,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,43.31,43.865,41.915,42.91,6981837,,,,,,,1.9500000000000028
1,43.12,45.3,42.92,45.29,5039123,,,,,,,1.9814285714285742
2,45.03,45.65,43.08,43.31,6081816,,,,,,,2.023469387755105
3,44.19,44.62,43.12,44.55,6836354,,,,,,,1.986078717201169
4,43.21,43.21,41.19,41.56,4464708,,,,,,,2.0842159516867995
5,39.72,40.96,39.27,40.78,5349164,,,,,,,2.0989148122806
6,38.0,40.145,36.75,37.54,6732888,,,,,,,2.2368494685462714
7,39.04,39.27,37.21,39.22,5848609,,,,,,,2.2242173636501095
8,37.91,38.09,36.33,36.94,4813908,41.34,,,,,,2.27177326624653
9,33.41,34.69,31.41,31.4101,4883602,40.07,,,,,,2.504503747228921
10,33.54,34.85,31.16,34.71,4534437,38.89,,,,,,2.5891820509982844
11,30.1,32.5201,28.82,28.99,4736788,37.3,,,,,,2.8249547616412642
12,29.51,30.35,27.01,30.15,6150773,35.7,,,,,,2.861743707238317
13,27.86,28.59,23.07,25.27,5734578,33.89,,,,,,3.1630477281498655
14,25.17,28.45,24.19,26.9,6509572,32.35,,,,28.109745482706995,44.13958162486916,3.241401461853447
15,27.32,29.35,26.23,26.72,6057358,31.15,,,,26.97447829523841,43.330581034579524,3.232729928863915
16,26.43,26.99,25.13,25.69,5511687,29.64,,,,25.878109281609934,42.17523689264607,3.1346777910879213
17,27.5,29.22,26.68,29.1,5157323,28.77,,,,25.212159675935442,40.67086726656925,3.162915091724498
18,29.45,38.23,29.19,36.73,12210126,29.36,,,,25.04529831752156,39.68759658577784,3.589135442315605
19,37.2,41.22,34.78,35.69,9529230,29.47,35.17,,,25.21778495879966,39.3396801604668,3.792768625007348
20,34.18,37.155,33.74,35.4,5022423,30.18,34.8,,,25.33754369530837,38.81531270550422,3.7657851517925374
21,35.63,36.75,34.5,36.26,3713124,30.86,34.35,,,25.379399173580126,38.353458617551446,3.6575147838073563
22,35.74,36.0,34.06,34.25,4908959,31.86,33.89,,,25.46230171133935,37.927934452528675,3.5534065849639735
23,32.06,33.15,31.05,31.9,4152610,32.42,33.26,,,25.4884281892407,37.41251569797619,3.528163257466547
24,31.63,33.12,31.105,31.84,3789518,32.98,32.77,,,25.478499794088055,37.2869357905422,3.420080167647508
25,31.31,32.66,31.3,32.4,3908760,33.73,32.36,,,25.483109955561147,37.11250945119113,3.2729315842441142
26,34.53,36.11,34.08,35.19,4207530,34.41,32.24,,,25.656598400184997,37.42925407524592,3.3041507567981063
27,37.19,38.23,35.65,35.71,3744155,34.29,32.06,,,26.040536257273178,38.067820883007435,3.2852828455982417
28,36.12,38.09,35.75,37.77,3574312,34.52,32.1,,,27.177418534698248,38.59809425866062,3.220619785198368
29,38.5,39.82,37.53,38.07,6113656,34.82,32.44,,,28.249564960905452,39.24875390968934,3.1541469433984846
30,38.15,38.15,36.53,37.29,2472924,34.94,32.57,,,29.1379892690872,39.58458180072039,3.0445650188700215
31,38.03,38.45,37.39,37.78,2683735,35.33,33.01,,,30.44800972506796,39.58070894582308,2.9099532318078776
32,36.19,36.53,35.33,35.76,3219749,35.76,33.29,,,31.652547292255637,39.36184402371338,2.8770994295358867
33,35.71,35.7399,34.76,35.04,2373858,36.11,33.77,,,32.43364728557496,39.184420242163355,2.7430208988547524
34,36.23,36.86,35.57,36.47,3353937,36.56,34.25,,,32.468805346637566,38.559278077869315,2.6770908346508415
35,35.51,36.535,35.02,36.14,2624017,36.67,34.72,,,32.56375247667893,38.5092727689276,2.5940843464614955
36,34.93,35.53,34.43,34.6,2673658,36.55,35.17,,,32.5586663611716,38.43757516712877,2.530935464571389
37,35.45,35.74,35.0,35.58,1649847,36.3,35.49,,,32.6258068537069,38.424232863114675,2.431582931387718
38,35.78,35.99,34.99,35.04,2593318,35.97,35.41,,,33.1508256082338,38.42865306262205,2.329327007717167
39,35.57,36.56,35.23,36.29,2710116,35.86,35.44,,,33.773480946812136,38.4157523053224,2.27151793573737
40,36.34,37.56,36.34,37.26,2203375,35.8,35.53,,,34.57262168179539,38.317137272614914,2.199980940327558
41,38.53,39.13,37.67,37.78,2118806,36.02,35.61,,,34.76635705210518,38.59499681933585,2.1764108731613043
42,39.1,39.48,38.31,39.22,2529229,36.49,35.86,,,34.76335533146019,38.77847061763374,2.1423815250783536
43,37.15,38.9,36.84,37.22,3496597,36.57,36.12,,,34.819086198441,38.877107897693854,2.1593542732870423
44,36.29,36.63,35.97,36.62,2980196,36.62,36.36,,,34.78319796582148,38.51291636655909,2.094400396623682
45,36.05,36.1,35.145,35.76,2665736,36.75,36.53,,,34.6845694176628,38.375402874951384,2.0501575111505614
46,35.86,36.644,35.86,35.91,3016093,36.79,36.57,,,34.65998015052406,38.19955554838751,1.9668605460683786
47,35.53,35.97,34.28,34.29,3479782,36.71,36.49,,,34.52889523871785,38.18282458817543,1.94708479277778
48,34.87,36.46,34.84,35.88,2614335,36.66,36.4,,,34.53863500309778,38.197943208950434,1.963007307579367
49,36.65,36.87,35.46,36.25,2235270,36.55,36.31,35.57,,34.53007741937814,38.19856754018887,1.9235067856094121
