,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,24.46,25.335,24.4223,25.07,7068502,,,,,,,0.912700000000001
1,25.22,25.63,24.735,25.62,4187242,,,,,,,0.9114357142857152
2,25.51,25.65,24.555,24.63,5485759,,,,,,,0.9245474489795926
3,24.99,26.055,24.85,25.83,3715356,,,,,,,0.9602940597667647
4,24.92,25.02,24.48,24.73,3936773,,,,,,,0.9881301983548528
5,23.88,24.925,23.77,24.29,4353186,,,,,,,1.0000494699009348
6,22.56,22.89,20.65,21.06,4787201,,,,,,,1.188617364908011
7,21.91,22.55,21.16,22.38,4199951,,,,,,,1.2101446959860103
8,21.77,21.99,20.36,20.71,5527628,23.81,,,,,,1.267991503415581
9,19.34,20.08,18.585,19.58,5955356,23.2,,,,20.436885432385846,26.013061379546585,1.329206396028754
10,20.68,21.05,18.96,20.56,5775544,22.64,,,,19.691847968544373,25.723872529952295,1.3835487963124142
11,18.62,18.89,16.06,16.09,5252796,21.69,,,,18.342584102902475,25.371170678988175,1.6061524537186704
12,16.42,17.34,14.22,16.08,11168293,20.61,,,,16.801391574905043,24.890246066150105,1.714284421310194
13,15.21,15.4,10.22,12.335,10366149,19.23,,,,14.493472924248895,24.150651972729406,2.01040696264518
14,12.11,13.935,11.2502,12.88,13134293,17.96,,,,13.063770466225709,23.406442559860153,2.0585778938848103
15,13.22,13.81,11.66,11.7,10642484,16.92,,,,12.100085529213938,22.288499642346196,2.0651080443216094
16,11.61,12.34,10.61,12.15,10558024,15.79,,,,11.04854765872307,21.445419992842215,2.0411717554414945
17,13.23,14.3,12.9486,14.28,9631812,15.07,,,,10.71742606046411,20.337886441393554,2.048945201481388
18,15.7,16.975,15.04,16.34,10988828,14.71,,,,10.777322285049635,19.341840913390655,2.095091972804146
19,16.94,18.54,16.55,17.14,9746250,14.33,19.17,,,10.850060519895994,19.00861023532355,2.1025854033181357
20,16.14,16.3479,15.44,15.75,5131392,14.3,18.71,,,11.036473751571458,17.971735297671678,2.0738293030811263
21,15.73,15.87,15.0,15.31,5180290,14.21,18.19,,,11.041893532308281,17.38308530206087,1.9878414957181887
22,15.25,15.5,14.27,14.43,7004589,14.44,17.68,,,11.044554541489438,17.085080104429334,1.9337099603097467
23,13.38,13.65,12.625,12.93,6358473,14.45,17.04,,,11.535659594909074,16.983717790404842,1.9245163917161934
24,12.75,13.42,12.6,12.94,3921793,14.59,16.45,,,11.800743388440663,16.97557867891756,1.8456223637364653
25,12.92,12.95,11.905,11.98,5533767,14.57,15.83,,,11.853115977661048,16.97092267055225,1.7884350520410035
26,13.18,13.995,12.6588,13.84,8562799,14.52,15.47,,,12.348039031733077,16.951013970475604,1.8046182626095033
