,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,25.26,26.47,24.3127,25.9,3078121,,,,,,,2.1572999999999993
1,26.04,27.37,25.93,27.37,3028657,,,,,,,2.1082071428571423
2,27.42,28.41,27.26,27.86,4514474,,,,,24.358251367544682,28.387508226002346,2.0397637755102034
3,28.28,28.855,28.27,28.69,3029573,,,,,25.979692275201277,28.973774489309456,1.965137791545189
4,28.23,29.835,28.205,28.69,4282394,,,,,27.34637175838132,29.762379513855066,1.94119937786339
5,28.29,28.99,27.81,28.95,3275097,,,,,27.846052214309896,29.75780538050076,1.8868279937302908
6,27.43,28.57,27.24,27.76,6984248,,,,,27.26652922909527,29.77595568048991,1.8741974227495557
7,28.03,29.2,27.64,29.19,6326069,,,,,27.270701596617474,29.240780298646907,1.851754749696016
8,28.58,29.42,26.82,27.05,7632070,27.94,,,,26.823292684941812,29.504506013055604,1.9052008390034436
9,25.26,28.445,25.0,25.91,7680268,27.94,,,,25.13546966647264,29.533045521659055,2.0151864933603405
10,26.95,28.05,26.04,27.95,6474317,28.01,,,,25.04024334141943,29.343498798549355,2.024101743834602
11,25.69,26.54,23.81,23.82,4979796,27.56,,,,23.834159509607225,28.68374784155038,2.175237333560702
12,24.42,25.29,22.18,24.28,3328397,27.07,,,,22.0722435653571,28.00870622229933,2.242006095449223
13,23.01,24.03,20.01,22.7,2796687,26.4,,,,20.09361598831717,26.541669986715398,2.386862802917136
14,22.46,24.07,20.77,20.775,4810921,25.49,,,,19.885561161579503,25.179526975676907,2.452086888423055
15,20.96,21.87,19.04,19.53,3776738,24.58,,,,19.07287832457036,24.58211581388085,2.479080682107123
16,19.41,19.55,17.5,18.14,4163534,23.35,,,,17.467413612401643,24.09026547113388,2.448432061956614
17,19.01,20.37,18.7,20.33,2013426,22.6,,,,17.604300989521782,21.77315862725688,2.432829771816856
18,20.43,21.57,18.69,20.75,5638366,22.03,,,,17.60671497753676,21.512606297419104,2.4647705024013664
19,20.88,22.09,20.2,21.92,4318374,21.36,24.88,,,18.327740125851378,22.225451995041258,2.4237154665155547
20,21.25,23.745,21.0,23.14,3526676,21.28,24.74,,,18.790288861314796,23.604118671032918,2.4466643617644435
21,23.37,23.84,21.81,23.07,3770728,21.15,24.53,,,20.19832815736657,24.20908587023695,2.4169026216384117
22,22.82,23.56,22.03,23.19,4116571,21.2,24.29,,,21.070900541797556,23.85739030865896,2.353552434378525
23,22.27,22.37,20.88,21.83,2739193,21.32,23.95,,,20.962896331396774,24.037200671904962,2.3504415462086303
24,21.1,22.13,20.79,21.22,2190653,21.51,23.58,,,20.541933786520286,23.452456019774523,2.278267150050871
25,20.94,21.34,19.925,20.67,3396129,21.79,23.16,,,20.00435429877334,22.48558533709234,2.2166052107615233
26,20.71,22.6325,20.71,22.23,2627471,22.0,22.88,,,19.99700941431872,22.685724095703712,2.1984548385642717
27,23.24,23.48,22.47,22.64,2294093,22.21,22.56,,,19.73174446097477,23.561850332374448,2.1307080643811096
28,22.86,24.0,22.23,23.86,2373379,22.43,22.4,,,20.848905057697444,24.061088419032338,2.104943202639602
29,24.14,25.24,23.97,24.67,4175894,22.6,22.34,,,21.947025981269906,25.144212364436576,2.053161545308202
30,24.57,24.65,23.79,24.08,1931918,22.71,22.14,,,22.37313010288755,25.250241888298408,1.969364292071902
31,24.53,25.29,24.24,25.19,1725602,22.93,22.21,,,23.773504966941886,25.415949434611115,1.9151239854953377
32,24.67,24.97,23.94,24.61,2267061,23.24,22.23,,,23.760871215252216,25.28999999999996,1.867615129388528
33,24.77,24.77,23.43,23.76,3038108,23.52,22.28,,,23.460488095411144,25.272297540972033,1.8299283344322044
34,24.39,24.93,23.845,24.855,1738898,23.99,22.48,,,23.467116937565443,24.995830052442475,1.7827905962584754
35,24.53,24.65,23.28,23.28,2374381,24.11,22.67,,,23.225658883930382,24.923808716704627,1.7679484108114416
36,22.65,23.24,22.0,22.04,3363738,24.04,22.87,,,22.096358075076964,25.17911108385126,1.7330949528963386
37,22.78,23.8,22.62,23.49,3319853,24.0,23.02,,,21.993229175142414,24.606619716757532,1.7350167419751719
38,23.56,23.9,22.78,22.98,1624447,23.81,23.14,,,22.054679611853892,24.002381908585438,1.691086974691231
39,23.16,23.47,22.77,23.02,1551363,23.69,23.19,,,22.633704468935157,23.948351851089825,1.6202950479275717
40,23.3,23.71,23.05,23.68,1806367,23.52,23.22,,,22.70781663256749,23.908817284785243,1.553845401647031
41,24.28,24.66,23.48,23.58,1904420,23.41,23.24,,,22.74236890515507,24.575978460083356,1.5271421586722433
42,23.94,24.49,23.315,24.23,2045178,23.46,23.3,,,23.064737338697125,24.79325657313275,1.5019891473385114
43,23.95,24.255,23.38,24.12,1640084,23.38,23.41,,,23.30855028240148,24.671700816804307,1.4572042082429035
44,23.8,23.94,22.98,23.24,1160749,23.38,23.51,,,23.01034912066338,24.504301326646544,1.4345467647969818
45,22.89,23.63,22.77,23.62,1334461,23.55,23.66,,,22.73344087886999,24.25416999998221,1.393507710168626
46,23.78,24.72,23.67,24.65,2773549,23.68,23.78,,,22.669149705320276,24.658301186023625,1.3725428737280099
47,24.73,24.84,23.94,23.98,1715452,23.79,23.85,,,22.847382664300145,25.063324999947902,1.3387898113188663
48,24.26,25.65,24.13,25.27,2630547,24.04,23.92,,,23.682176820698885,25.575865594797627,1.3624476819389473
49,25.57,25.775,24.6,24.81,2028688,24.17,23.92,24.05,,23.88357851977902,25.929267231415448,1.3490585618004507
50,24.64,25.09,24.59,24.7,1938478,24.29,23.96,24.03,,24.17148556835806,25.86979446267719,1.2884115216718472
51,24.72,24.8016,23.67,23.82,2536461,24.25,23.89,23.96,,23.752594262087168,25.722184519760315,1.2772106986952867
52,23.7,23.74,22.77,23.14,2179881,24.14,23.81,23.86,,22.766648351832664,25.254813115657946,1.2609813630741948
53,22.72,23.1,21.995,23.06,2600748,24.12,23.78,23.75,,21.97338966392038,24.73999412553583,1.2526969799974668
54,22.9,23.15,22.525,23.1,1501215,24.06,23.69,23.64,,22.0338623976445,23.685949434611203,1.2078614814262192
55,23.99,24.32,23.67,23.91,1932411,23.98,23.72,23.54,,21.87388960992173,24.213719698590765,1.2087285184672034
56,23.79,24.26,23.74,24.04,2400067,23.98,23.82,23.46,,22.629494889668152,24.568862656401166,1.1595336242909748
57,24.44,24.495,23.13,23.63,3033124,23.8,23.83,23.35,,23.179517016576174,24.48043301938254,1.174209793984477
58,23.58,24.155,23.39,24.08,1826006,23.72,23.88,23.29,,23.113895442699754,24.47742622041755,1.1449805229855858
59,24.13,24.215,23.54,24.2,2097499,23.66,23.94,23.26,,23.145888561566693,24.469808767850846,1.1114104856294726
60,24.94,25.16,24.61,24.94,1368563,23.79,24.01,23.2,,23.181359719962124,25.073715353702536,1.1005954509416533
61,25.53,25.53,24.47,24.72,1302756,23.96,24.06,23.22,,23.62508835437044,25.646461885551336,1.0976957758743926
62,25.0,25.28,24.38,25.01,1683865,24.18,24.1,23.23,,24.37076440899524,25.512101268463383,1.083574649026222
63,24.78,25.58,24.47,25.24,2496024,24.42,24.16,23.28,,24.38803847577294,25.624060846016302,1.0854621740957775
64,25.29,26.58,25.26,26.34,1937657,24.69,24.31,23.39,,24.219150172397992,26.494019261888663,1.1036434473746506
65,26.51,26.64,26.15,26.48,1685382,24.96,24.46,23.53,,24.452837447957712,26.862093684304604,1.0598117725621756
66,26.76,27.45,26.63,27.38,1737483,25.38,24.59,23.72,,25.318183469395084,27.375901224530093,1.0533966459505917
67,27.26,27.26,26.335,26.71,1774447,25.67,24.73,23.84,,26.129575086198926,27.54026238587682,1.0527968855255492
68,27.64,28.33,27.16,27.19,2698973,26.0,24.82,23.97,,26.29029226677004,28.2508765190475,1.0933113937022956
69,27.48,28.06,27.345,27.96,2247591,26.34,24.98,24.09,,26.408932221672327,28.439780395804792,1.0773605798664172
70,27.49,28.31,27.31,27.98,3063632,26.7,25.15,24.19,,27.173389846747718,28.38377712128448,1.071834824161673
71,27.79,27.98,26.74,27.365,1818939,26.96,25.32,24.28,,26.792022244758428,28.288810017781653,1.0838466224358394
72,26.23,26.68,25.9,26.5,3298759,27.1,25.49,24.34,,25.94070457494776,28.518428428021352,1.1110718636904222
73,27.35,27.35,26.705,26.915,374288,27.16,25.68,24.44,,25.97314039006358,27.986769222678518,1.0924238734268206
74,26.37,27.68,26.17,27.46,1779434,27.27,25.9,24.57,,25.848628154780066,27.746208944925456,1.122250739610619
75,28.32,28.32,27.63,27.93,1977786,27.33,26.1,24.71,,26.096369510512837,28.276520248542077,1.1035185439241462
76,28.06,28.1,27.3,27.4,1627859,27.41,26.27,24.82,,26.26767457557412,28.3584999572865,1.0818386479295643
77,27.06,27.33,26.48,27.2,1916204,27.41,26.45,24.91,,26.544523665919904,28.436506385554242,1.070278744506024
78,27.62,27.7,26.735,26.96,2293351,27.3,26.59,24.97,,26.41868069920199,28.09509739027912,1.0627588341841652
79,26.8,27.25,26.4,27.185,1179322,27.21,26.74,25.02,,26.363380958861395,27.66673610106668,1.047561774599582
80,27.56,27.735,27.245,27.33,1828633,27.21,26.86,25.09,,26.36782383481024,27.83214463865909,1.012021647842469
81,27.01,27.27,26.3,26.87,1835777,27.25,26.97,25.12,,26.1291914131098,27.69275697177059,1.0133058158537211
82,26.84,27.37,26.54,27.35,2135262,27.3,27.09,25.17,,26.203802483719596,27.703095122289735,1.0002125432927413
83,27.22,27.45,26.88,26.96,2370506,27.24,27.17,25.24,,26.281900093408012,27.453518328388743,0.9694830759146884
84,27.09,27.12,26.23,26.65,1234449,27.1,27.19,25.27,,26.224884635859766,27.48547668444846,0.9638057133493536
85,26.72,27.06,26.62,26.9,1481710,27.04,27.21,25.35,,26.249507174471542,27.419999999999565,0.9263910195386853
86,26.96,28.055,26.78,27.94,1730176,27.13,27.24,25.46,,26.260431701430353,27.969616783911157,0.9512916610002077
87,28.3,28.3,27.315,27.53,861027,27.19,27.28,25.55,,26.54102884729687,28.461715311226854,0.9536993995001928
88,28.01,28.01,27.295,27.36,762417,27.21,27.29,25.63,,26.8267261963175,28.277738231447394,0.9366494423930362
89,27.06,27.16,26.57,26.6,1021815,27.13,27.22,25.7,,26.635529741913466,28.415813994058322,0.926174482222105
90,26.71,26.96,26.6,26.85,1166776,27.13,27.16,25.77,,26.41147362268204,27.934190956122425,0.8857334477776689
91,26.69,26.93,26.47,26.74,1636237,27.06,27.13,25.83,,26.47859807381083,27.141699995556067,0.8553239157935498
92,26.78,26.94,26.43,26.55,1302415,27.01,27.13,25.88,,26.41111805582662,26.9586085856445,0.8306579218082965
93,26.64,27.175,26.38,26.43,1267700,26.99,27.11,25.92,,26.381574169138005,27.153654246238016,0.8281109273934183
94,26.33,27.14,26.3,27.06,1506111,27.01,27.09,26.0,,26.30442561475669,27.211787223330383,0.8289601468653169
95,27.12,27.32,26.76,27.26,1266264,26.93,27.06,26.07,,26.234235885451028,27.30710425534719,0.8097487078035085
96,27.19,27.41,26.995,27.28,1213224,26.9,27.05,26.13,,26.33148196651367,27.427477270847998,0.7815523715318293
97,27.46,27.92,27.32,27.74,1193387,26.95,27.08,26.2,,26.743797226187137,27.873573793746953,0.7714414878509844
98,27.63,27.75,27.36,27.53,830445,27.05,27.11,26.25,,27.024812587808192,27.953012622713747,0.7441956672901999
99,27.53,27.66,27.29,27.49,1600673,27.12,27.12,26.3,,27.28821448748971,27.908702015468076,0.7174674053409
100,27.4,28.2,27.4,28.17,1349468,27.28,27.16,26.37,,27.2943223563712,28.15930952282939,0.7233625906736929
101,28.16,28.32,27.37,27.62,1140222,27.4,27.2,26.44,,27.296470926302074,28.41156791662459,0.7395509770541434
102,27.45,27.495,27.185,27.27,962690,27.49,27.2,26.53,,27.201893076835038,28.450729738742837,0.7177973358359905
103,27.16,27.685,26.91,27.62,1116447,27.55,27.23,26.62,,26.923537260017834,28.265373069159917,0.721883240419134
104,27.5,28.3,27.465,28.14,1934027,27.65,27.3,26.72,,26.909162912938207,28.24744966695673,0.7299630089606245
105,28.37,28.685,28.285,28.55,3710388,27.79,27.39,26.81,,26.8615903656543,28.727722402736184,0.716751365463437
106,28.19,29.02,28.14,28.87,2691077,27.92,27.43,26.91,,27.525716682218004,29.028622568994134,0.7284119822160486
107,28.9,29.07,28.37,28.99,2338410,28.08,27.51,27.02,,28.14870296650357,29.13434421415385,0.7263825549149022
108,28.9,28.99,28.58,28.7,1900200,28.21,27.57,27.11,,28.143257588796583,29.06708118550605,0.7037838009924092
109,28.64,29.29,28.64,29.18,2284286,28.33,27.7,27.21,,28.388225531212157,29.27201573596871,0.6999421009215229
110,29.24,29.34,28.85,29.05,1260716,28.49,27.81,27.29,,28.548225531212132,29.39596361152581,0.6849462365699854
111,28.91,29.15,28.785,28.95,2579194,28.67,27.92,27.37,,28.65082364384715,29.35848857801629,0.6620929339578435
112,28.78,29.31,28.61,29.24,2484384,28.85,28.06,27.46,,28.624203025457234,29.368810356305346,0.6648005815322833
113,29.25,29.42,28.53,28.68,2524372,28.91,28.17,27.53,,28.5112506656031,29.429102745694887,0.6808862542799774
114,28.84,28.87,28.13,28.16,4132956,28.87,28.22,27.56,,28.16616931304005,29.491032644216546,0.6851086646885507
115,28.34,28.92,28.34,28.91,2967174,28.87,28.31,27.61,,28.13325001735371,29.374138126514392,0.6904580457822258
116,28.87,29.31,28.41,28.51,1466539,28.82,28.37,27.64,,28.147616713370475,29.274234419534736,0.7054253282263524
117,28.53,28.53,28.045,28.1,1043887,28.75,28.39,27.66,,28.071286293721727,29.3099999999996,0.6896806619244701
118,28.1,28.785,27.97,28.71,1710472,28.7,28.45,27.69,,27.906276918943036,29.272712207506498,0.6986320432155795
119,28.23,28.75,28.1,28.54,12589450,28.64,28.5,27.71,,27.973077426831388,28.826566228597226,0.695158325843038
120,28.68,28.78,28.07,28.26,3607570,28.57,28.5,27.71,,27.978598073810698,28.790596361144722,0.6962184454256783
121,28.25,28.76,28.25,28.48,3107490,28.48,28.55,27.73,,28.043563492389758,28.778608585640033,0.6829171278952729
122,28.56,28.76,28.31,28.7,2608960,28.49,28.62,27.78,,28.085100040031776,28.778213672037456,0.666280190188468
123,28.1,28.55,27.92,28.52,2333026,28.53,28.66,27.81,,27.949999999999857,28.811243556528606,0.6744030337464343
124,28.51,28.67,27.98,28.26,2799520,28.45,28.67,27.83,,27.859999999999868,28.765356537527136,0.6755171027645462
125,28.2,28.32,27.88,28.22,3884934,28.42,28.65,27.83,,27.87633443709768,28.69119095429192,0.6586944525670787
126,28.3,28.55,28.03,28.32,1830140,28.45,28.62,27.85,,27.886957071750388,28.691190954291923,0.6487877059551446
127,28.43,28.7,28.27,28.69,2745382,28.44,28.61,27.88,,27.8632768442708,28.714731696265325,0.6331600126726342
128,28.68,28.92,28.59,28.65,2837362,28.46,28.61,27.91,,28.015715899923812,28.909433664695303,0.6115057260531604
129,28.53,28.86,28.33,28.66,2025880,28.5,28.58,27.94,,28.22656865570416,28.940391480726877,0.6056838884779348
