,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,159.79,163.43,159.33,163.43,765459,,,,,,,4.099999999999994
1,160.76,162.72,158.9933,160.96,673544,,,,,,,4.124049999999995
2,158.375,159.94,154.48,159.07,734837,,,,,,,4.2923321428571395
3,153.36,154.41,147.905,148.07,831653,,,,,,,4.783236989795915
4,151.5,157.25,147.97,157.07,949626,,,,,,,5.1044343476676355
5,153.39,153.86,150.0,151.43,752083,,,,,,,5.244831894262804
6,141.72,145.67,136.13,136.45,1098753,,,,,,,5.9630581875297475
7,142.21,148.355,133.45,147.73,932801,,,,,,,6.601768316991909
8,134.33,134.33,121.7501,122.31,1329595,149.61,,,,,,7.985920580063914
9,125.39,135.5,120.06,135.18,1205914,146.47,,,,,,8.518354824345064
10,126.7,134.3,124.03,133.61,1093746,143.44,,,,,,8.70632947974899
11,130.94,136.365,128.44,132.0,996722,140.43,,,,,,8.650520231195491
12,133.58,134.65,121.09,122.87,1438780,137.63,,,,,,9.00119735753867
13,122.0,122.0,109.22,113.3,1041242,132.76,,,,,,9.33325468914305
14,119.66,129.7,117.23,129.5,797077,130.33,,,,,,9.838022211347118
15,128.27,139.75,127.0,133.3,1136037,129.98,,,,,,10.046020624822326
16,134.4,142.37,130.8,141.79,1058834,129.32,,,,,,10.154876294477873
17,137.16,146.55,135.6003,142.93,1067755,131.61,,,,,,10.211649416300883
18,143.98,145.74,138.75,144.56,849682,132.65,,,,,,9.981531600850822
19,140.0,142.74,133.02,136.72,1328543,133.0,140.61,,,105.94212440813298,167.45153496548912,10.09285077221862
20,131.67,133.21,127.57,131.23,816241,132.91,139.0,,,106.6448886964003,164.63077430938716,10.025504288488719
21,129.0,132.43,127.42,131.37,786971,133.86,137.52,,,107.93240280959813,161.47562579176014,9.667253982168097
22,129.41,133.02,128.54,130.0,662081,135.71,136.07,,,109.21352165283862,158.44606885492726,9.296735840584663
23,137.09,141.37,134.7,137.68,769801,136.62,135.55,,,110.10466569365609,156.53737981124738,9.444826137685759
24,143.38,145.78,137.95,138.26,652605,137.17,134.61,,,111.12885556433994,154.1190462337206,9.34876712785106
25,139.81,148.9,137.64,147.44,627866,137.8,134.41,,,112.82578950864918,152.98002012142373,9.485283761575985
26,149.25,158.47,149.25,157.8,923521,139.45,135.48,,,111.20994318038547,155.9021257816535,9.59562063574913
27,158.1,158.1,144.8,147.56,620454,139.78,135.47,,,110.5348455576216,158.00258100911213,9.860219161767048
28,150.93,156.53,150.76,155.21,398929,141.84,137.12,,,110.22597467799658,160.3784082492761,9.796632078783688
29,152.05,155.2,148.8,151.9,681502,144.14,137.95,,,110.94854054735005,162.1928556187822,9.554729787441994
30,152.29,153.15,150.01,151.84,617515,146.41,138.86,,,111.32377424153228,163.40580643911397,9.09653480262471
31,154.82,156.315,153.01,155.02,381556,149.19,140.01,,,111.17956596852929,165.01392725715795,8.766425173865802
32,153.5,155.59,150.665,150.98,331115,150.67,141.42,,,112.6634812217452,166.22605359564864,8.492037661446817
33,147.48,150.02,145.59,147.41,559971,151.68,143.12,,,117.97546925325183,164.81041634471472,8.270463542772044
