,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,279.81,287.49,275.47,287.03,970482,,,,,,,12.019999999999982
1,292.93,296.85,282.2187,283.76,1417956,,,,,,,12.206521428571413
2,292.39,301.99,289.9812,301.61,1191724,,,,,,,12.636769897959171
3,291.04,295.94,286.04,288.47,1352519,,,,,,,12.846286333819231
4,284.46,288.24,281.29,288.21,1015962,,,,,,,12.441551595689287
5,265.45,276.37,263.86,264.46,2644992,,,,,,,13.29215505314005
6,277.99,280.35,265.0,280.19,1373483,,,,,,,13.477715406487192
7,272.15,274.33,260.56,264.09,1053785,,,,,,,13.917164306023821
8,245.29,254.86,237.55,240.74,2177553,277.62,,,,,,14.818795427022117
9,257.06,257.86,233.84,256.96,1770902,274.28,,,,,,15.476024325091966
10,220.65,248.205,209.62,229.36,1375210,268.23,,,,,,17.752022587585394
11,231.55,239.98,225.02,238.35,2952104,261.2,,,,,,17.552592402757867
12,213.36,226.29,191.2542,196.99,2697151,251.04,,,,,,19.66282151684659
13,205.81,219.24,200.59,214.07,1496535,242.8,,,,,,19.84761997992898
14,225.15,237.32,215.59,215.85,2274418,237.4,,,,,,20.090647124219764
15,225.33,235.3,222.67,232.23,1593066,232.07,,,,,,20.044886615346925
16,254.33,260.53,250.8,260.36,1288489,231.66,,,,,,20.634537571393572
17,260.67,272.3368,251.95,262.07,1117630,234.03,,,,,,20.616842030579747
18,262.89,277.14,261.61,277.04,917531,236.26,,,,,,20.25349617125262
19,262.21,263.71,251.81,252.35,1151501,238.81,256.71,,,188.65801142601623,313.6239024113422,20.608960730448864
20,263.57,270.1264,260.69,267.39,954957,242.04,255.73,,,189.0129661295103,311.6576974607302,20.40663496398823
21,268.12,268.59,259.0,262.25,816682,249.29,254.65,,,189.91625282414066,307.7429072274846,19.634018180846212
22,253.13,257.68,247.38,249.53,615512,253.23,252.05,,,191.73735593690594,301.54158451653063,19.293731167928623
23,243.87,251.955,242.25,247.71,1399838,256.77,250.01,,,193.4921195177331,295.874071511383,18.608821798790867
24,246.06,248.0,242.48,244.6,487118,258.14,247.83,,,195.3037398284173,291.2892670519679,17.673905956020093
25,259.77,272.78,259.42,270.42,672577,259.26,248.13,,,195.54922315182375,290.70782226034413,18.424341244875798
26,280.46,281.28,271.0,272.76,697571,260.45,247.76,,,195.03973132955025,290.89416804627376,17.884031155956094
27,278.03,281.34,274.41,278.325,793242,260.59,248.47,,,193.98081164736433,292.1509893972083,17.21945750195923
28,282.22,285.13,275.12,276.79,645973,263.31,250.27,,,193.38077429290567,295.90293918959185,16.704496251819286
29,274.85,276.15,272.01,273.57,752526,264.0,251.1,,,193.73047402164028,297.69602782386846,15.852746519546484
30,286.99,294.76,285.05,289.0,2168972,266.97,254.08,,,197.1212007762184,302.8497438816906,16.23397891100745
31,276.92,284.54,275.05,282.0,2823910,270.58,256.27,,,199.46169969246435,305.11449432913355,16.070837560221204
32,289.83,292.55,286.17,292.4,3365100,275.54,261.04,,,210.09283710675453,306.5734416052187,15.676492020205405
33,301.25,301.43,293.61,295.14,2884922,281.16,265.09,,,219.5424978346738,306.9476545531536,15.201742590190735
34,291.65,298.0099,291.44,291.86,1385580,283.54,268.89,,,226.75792014793024,308.36843776951264,14.585182405177113
35,286.07,287.55,278.57,281.33,1799721,284.49,271.34,,,234.49473054640032,306.38151400507735,14.492669376235893
36,290.0,295.215,288.23,294.74,1721012,286.31,273.06,,,235.85600712630853,308.29135612259756,14.449264420790472
37,290.94,297.16,288.31,289.73,1341400,287.75,274.45,,,237.47246945541892,310.57004556810796,14.049316962162582
38,289.89,292.46,285.974,291.75,1170943,289.77,275.18,,,238.2231749624701,311.8632784053843,13.509080036293826
39,293.78,294.76,290.28,290.9,1303789,289.98,277.11,,,240.4693775811545,313.09347571020135,12.864145747987127
40,297.59,297.59,291.09,291.17,483645,291.0,278.3,,,241.63907091727356,314.75848344629554,12.42313533741662
41,296.3,304.76,295.35,303.71,1508784,292.26,280.37,,,243.1299633341061,317.23598214797994,12.506482813315431
42,301.36,301.53,287.06,288.68,800692,291.54,282.33,,,247.82232777671473,317.6018440947537,12.802448326650042
43,283.86,283.86,278.2,279.06,1568990,290.12,283.9,,,254.79842723261035,314.48878122626394,12.636559160460754
44,279.6,283.225,275.96,283.18,944980,290.32,285.83,,,263.49798128522775,308.1937685492676,12.25287636328499
45,284.33,293.0,284.33,288.71,1546476,289.65,286.74,,,268.1073187617309,307.20901645799586,12.079099480193204
46,293.89,295.78,290.79,291.65,492962,289.87,287.68,,,269.9280885026468,307.317548234863,11.721306660179403
47,297.94,300.12,294.55,299.57,1062354,290.74,288.75,,,271.04537537690993,307.7888738069198,11.489070470166592
48,300.22,304.51,299.44,304.23,628691,292.22,290.12,,,271.7984960759924,309.12698017937385,11.030565436583263
49,298.6,305.8,298.35,304.4,477033,293.69,291.66,272.21,,273.9067296438981,308.996340884033,10.774810762541602
