,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,58.77,60.0,57.16,59.99,5057278,,,,,,,2.8400000000000034
1,60.35,62.04,59.3,62.0,2836786,,,,,,,2.8328571428571463
2,62.2,63.28,60.93,61.12,1818353,,,,,,,2.798367346938779
3,62.39,63.515,62.105,63.34,1389320,,,,,,,2.7695553935860096
4,61.76,62.84,61.375,62.27,1392978,,,,,,,2.7120871511870095
5,60.67,61.87,59.92,61.69,1515598,,,,,,,2.686223783245081
6,57.38,57.54,54.83,54.84,3980564,,,,,,,2.9843506558704322
7,57.01,57.36,54.51,56.755,3737455,,,,,,,2.9747541804511157
8,55.23,55.78,53.19,53.84,2848319,59.54,,,,,,3.0169145961331796
9,50.72,51.0,45.22,46.5,6062097,58.04,,,,,,3.417134982123667
10,48.95,53.23,47.0,53.19,3832088,57.06,,,,,,3.6537681976862624
11,45.08,47.88,45.0,45.26,2596384,55.3,,,,,,3.9777847549943868
12,46.14,47.15,43.54,45.29,4871441,53.29,,,,47.33479640108321,63.00745355539273,3.951514415351931
13,42.5,43.15,33.775,41.69,5298228,51.01,,,,43.588644428982555,62.80740611750592,4.491763385683936
14,41.3,43.75,38.65,43.07,3339318,48.94,,,,41.5056832578009,61.88956144153152,4.535208858135084
15,44.01,45.43,38.1575,38.69,3408389,47.14,,,,39.68192889213083,60.404404982575734,4.7307296539825785
16,38.4,38.55,32.3601,33.11,7793898,44.52,,,,37.224368835261416,58.79758587360258,4.844956107269537
17,37.13,39.37,35.29,38.32,5914550,42.79,,,,35.832760016734134,56.78008148880117,4.946030671035999
18,39.0,44.92,39.0,42.52,6538582,42.35,,,,35.384986289122665,54.52484838108309,5.064171337390571
19,43.9,45.68,43.05,43.76,6383259,41.3,50.36,,,35.321546183761505,52.9694585309069,4.928159099005529
20,41.6,43.97,40.37,42.21,3426807,40.96,49.47,,,35.304393584733,51.10855002006607,4.8332905919337055
21,42.06,44.25,40.9156,44.13,3658771,40.83,48.58,,,35.622404330030314,49.301298133777244,4.7262269782241555
22,43.77,44.91,43.28,44.22,2215260,41.11,47.73,,,35.62270604643525,48.44639689138982,4.505067908351001
23,42.57,43.0,41.45,41.59,2032224,40.95,46.65,,,35.6856607676677,46.654485058115405,4.38113448632593
24,27.93,29.6562,27.25,28.95,2613069,39.87,44.98,,,33.37809560446761,47.16035311592263,5.0924820230169345
25,29.11,29.75,28.19,28.93,3543756,39.4,43.34,,,31.748892627842828,46.81904292132889,4.840161878515725
26,30.1,31.65,30.1,31.51,2766436,38.65,42.18,,,31.18636426678851,46.49543235532149,4.68872174433603
27,33.5,33.96,31.54,31.79,2934869,37.45,40.93,,,30.492330338468847,45.893055805937436,4.528813048312028
28,32.48,34.36,32.0,34.08,2686302,36.38,39.94,,,29.937683653348536,44.9379729345372,4.388897830575455
29,34.69,35.9199,34.28,35.08,2778706,35.59,39.37,,,30.154757443658436,44.78645536767889,4.206826556962922
30,34.98,34.99,33.2,33.75,1890554,34.43,38.4,,,29.94642429020657,44.520771853155914,4.0406246600369995
31,34.46,34.655,33.535,34.23,2667092,33.32,37.85,,,29.58428215117318,43.46002609687964,3.8320086128915003
32,33.0,33.85,32.63,33.18,1816974,32.39,37.24,,,29.243408993316116,42.07634395978751,3.6725794262563927
33,33.39,33.41,32.5,32.68,1548952,32.8,36.79,,,28.921546592792716,40.84094192769832,3.475252324380936
34,34.07,34.33,33.06,33.795,2052832,33.34,36.33,,,28.781740679665212,39.39436154951835,3.3448771583537265
35,33.03,33.71,32.76,33.01,2021279,33.51,36.04,,,29.10476115263275,37.37577730303533,3.179885932757032
36,32.22,32.705,31.79,31.85,1498591,33.52,35.98,,,29.684573427430927,35.2100031857141,3.0398940804172443
37,32.49,32.64,31.91,32.04,1982750,33.29,35.67,,,30.545480434442826,35.11597924999777,2.879187360387441
38,32.17,32.34,31.71,31.8,2606363,32.93,35.13,,,31.330386507626667,34.91068318753554,2.718531120359767
39,32.0,32.32,31.59,31.86,2231855,32.72,34.53,,,31.653639716919304,34.87498199283817,2.576493183191212
40,32.26,32.82,32.035,32.75,2192801,32.55,34.06,,,31.728157108490386,34.81734762742649,2.46102938439184
41,33.5,33.87,32.91,32.94,3031692,32.53,33.5,,,31.809320372856728,34.76359964846173,2.365241571220994
42,33.92,35.41,33.69,35.23,2923306,32.81,33.05,,,31.85523825719099,34.64351679323681,2.3727243161337803
43,34.74,34.89,33.69,33.8147,2853286,32.81,32.66,,,31.844779685664403,34.62499045147049,2.3132440078385104
44,33.17,33.22,32.4,32.82,1677753,32.79,32.86,,,31.81068909836147,34.46858634562107,2.2490622929929027
45,32.33,33.3,32.23,33.15,2039205,32.93,33.07,,,31.776698282149116,34.421767390340634,2.164843557779124
46,33.62,33.84,33.06,33.13,1378020,33.05,33.15,,,31.801776119171386,34.4603959694655,2.065926160794901
47,33.42,33.56,32.32,32.38,2396207,33.12,33.18,,,31.761456133400753,34.368637942208,2.0069314350238368
48,33.0,33.8,32.8,33.19,1653789,33.27,33.13,,,31.763075601375725,34.37811254661251,1.9650077610935623
49,33.78,33.78,33.01,33.4,1765653,33.34,33.05,40.61,,31.87417732872406,34.43775980143319,1.879650063872594
50,33.0,33.91,32.61,33.68,1791408,33.42,33.05,40.09,,31.956678542668605,34.50054907112916,1.8382464878816942
51,33.73,33.89,32.5,32.51,1989781,33.12,32.96,39.5,,32.0739796986194,34.53264597724449,1.8062288816044305
52,32.44,32.57,30.9,31.0,3052664,32.81,32.85,38.9,,31.8994723876066,34.51686826920074,1.7964982472041142
53,30.3,30.81,29.66,30.65,3953810,32.57,32.75,38.24,,31.3500407687286,34.699447499086325,1.7638912295466775
54,30.15,30.62,29.76,29.94,2229456,32.21,32.56,37.6,,30.891950528235235,34.720841267599454,1.7014704274362005
55,30.8,31.18,30.27,30.85,2873895,31.96,32.45,36.98,,30.60927800353776,34.3684108295035,1.6685082540479004
56,30.78,30.96,29.91,29.92,2376916,31.68,32.35,36.48,,30.319967113972833,34.05439540589567,1.624329093044479
57,30.3,30.4,29.465,29.87,3151432,31.31,32.24,35.94,,29.987456242056172,33.973416900035446,1.575091300684159
58,29.9,30.58,29.82,30.03,2182699,30.94,32.16,35.47,,29.76000917899495,33.83442714609277,1.516870493492433
59,30.0,30.48,29.75,30.3,1854921,30.56,32.08,35.14,,29.561541636310352,33.5779295041761,1.4606654582429737
60,31.44,32.35,31.33,32.09,2362748,30.52,32.04,34.72,,29.537449067367678,33.42050006917233,1.5027607826541898
61,32.7,32.86,31.49,32.18,1740310,30.65,32.01,34.46,,29.543625145370164,33.27071195096413,1.493277869607462
62,32.22,32.24,31.68,31.77,3518162,30.77,31.83,34.19,,29.589696556116706,33.0377584117545,1.4266151646355008
63,31.62,31.99,31.0,31.37,1777264,30.93,31.71,33.98,,29.61614409647179,32.72058543120273,1.3954283671615362
64,31.52,32.18,31.42,31.7,1976916,31.03,31.66,33.75,,29.67658067650869,32.377644928672076,1.3536120552214264
65,31.94,33.0,31.94,32.87,1870644,31.35,31.64,33.64,,29.667987911175818,32.460738529611845,1.3497826227056104
66,33.26,35.22,33.18,34.94,2014301,31.92,31.73,33.68,,29.733364591979228,33.22239516093657,1.4212267210837812
67,34.82,35.23,34.36,34.55,1551394,32.42,31.84,33.6,,29.774633963937294,33.80866050859305,1.3818533838635112
68,35.7,36.71,35.64,36.29,2626126,33.08,32.0,33.48,,29.764960816256217,34.625213437135365,1.4374352850161178
69,37.1,37.725,36.56,37.71,2925469,33.71,32.21,33.35,,29.90480674594998,35.520630013514904,1.4372613360863955
70,36.98,37.425,36.6,37.26,2055695,34.27,32.39,33.26,,30.290376808100085,36.17940433464413,1.4138855263659387
71,37.08,37.27,36.18,36.74,2253386,34.83,32.6,33.11,,30.761720225765135,36.68867033975975,1.390750845911229
72,35.03,35.53,33.21,33.37,3341097,35.05,32.72,32.89,,31.256880122956833,36.828096842581104,1.5435543569175698
73,34.64,34.92,33.75,33.8,776812,35.28,32.88,32.73,,31.536263871253148,36.92187691262017,1.5440147599948866
74,33.16,34.3,32.73,33.92,2000656,35.4,33.08,32.83,,31.710335297798153,36.95997237745863,1.5458708485666803
75,35.04,35.64,34.26,34.54,2405138,35.35,33.26,32.95,,32.001261323980295,37.06487135590188,1.5583086450976318
76,34.67,34.97,34.38,34.62,2062467,35.36,33.5,33.01,,32.472123875739626,37.04228626731466,1.489143741876372
77,34.09,34.64,34.09,34.31,1883020,35.14,33.72,33.06,,32.88964902100372,36.94879489430042,1.4220620460280595
78,34.75,34.89,33.8971,34.17,2598150,34.75,33.92,33.06,,33.21915524822198,36.880109605029844,1.3914076141689125
79,34.01,34.4,33.67,34.38,1314394,34.43,34.13,33.05,,33.292319095339664,36.86850808774451,1.344164213156847
80,35.0,35.08,33.85,33.97,1909387,34.12,34.22,33.05,,33.238495940392056,36.862201016607386,1.3360096265027863
81,33.59,33.61,32.04,32.8,2454228,34.06,34.25,33.02,,32.83995797718208,36.701336697077394,1.3784375103240158
82,32.48,33.68,32.26,33.64,1909357,34.04,34.35,33.03,,32.59530607564079,36.26837180835536,1.3814062595865864
83,33.28,33.54,32.41,32.51,2135777,33.88,34.4,33.03,,32.48862863458248,35.81213363561921,1.3705915267589732
