,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,44.88,45.25,43.78,44.33,2059200,,,,,,,1.4699999999999989
1,44.44,46.61,44.07,46.49,1685106,,,,,,,1.5464285714285702
2,46.68,46.99,46.02,46.21,1836117,,,,,,,1.5052551020408151
3,46.84,47.573,46.73,47.49,1130339,,,,,,,1.495094023323614
4,46.7,47.68,46.37,46.73,1318803,,,,,,,1.4818730216576417
5,45.94,46.64,45.44,46.54,1299899,,,,,,,1.468167805824953
6,44.04,45.11,41.89,42.13,2382646,,,,,,,1.6954415339803135
7,43.12,44.22,42.4,44.07,2412596,,,,,,,1.723624281553148
8,43.48,43.54,41.84,42.16,1689178,45.13,,,,,,1.7597939757279228
9,39.98,39.98,36.51,36.8,2293118,44.29,,,,,,2.0376658346045
10,37.88,40.68,36.66,40.68,1932872,43.65,,,,,,2.1792611321327504
11,37.0,39.23,35.35,36.18,2290715,42.53,,,,,,2.404313908408983
12,36.55,39.36,36.25,37.81,2407677,41.46,,,,,,2.4597200578083416
13,36.23,37.91,35.06,36.07,1956716,40.27,,,,,,2.487597196536317
14,35.65,37.79,35.2,37.64,2151759,39.28,,,,,,2.4949116824980084
15,37.94,38.64,35.82,35.89,1749614,38.59,,,,,,2.518132276605294
16,35.45,35.82,31.66,31.97,2645833,37.24,,,,,,2.6404085425620587
17,33.29,35.09,33.18,35.06,1707794,36.46,,,,,,2.674665075236198
18,35.41,39.03,34.95,37.71,2254594,36.56,,,,,,2.775046141290755
19,38.19,40.01,37.98,39.05,1877172,36.38,40.55,,,29.553391846043425,50.1046329705044,2.7411142740557013
20,38.05,39.57,37.7,38.4,1477892,36.62,40.25,,,29.45174500168676,49.71933200175309,2.6788918259088654
21,38.46,39.08,37.7263,38.98,2545443,36.75,39.88,,,29.41727034424392,49.05363999637611,2.5842352669153748
22,38.64,40.98,38.22,40.93,2591782,37.29,39.61,,,29.680650926517057,48.26479058597804,2.5967898907071336
23,39.75,39.88,38.41,38.87,2100174,37.43,39.18,,,30.21205479950556,47.18284654929272,2.591304898513767
24,38.74,40.5,38.7,40.44,2156140,37.93,38.87,,,30.907216118277464,45.909794063950606,2.534783120048498
25,40.42,40.88,39.94,40.43,1500315,38.87,38.56,,,31.62757263945355,44.76841878585479,2.4208700400450343
26,41.2,41.42,40.29,40.66,1946189,39.5,38.49,,,31.782670386602245,43.9953188959982,2.328665037184675
27,41.83,42.07,41.08,41.16,1742988,39.88,38.34,,,31.957334603635527,43.5014500760478,2.2630461059571982
28,41.07,41.2415,40.45,40.86,1284007,40.08,38.28,,,32.1226451438257,43.01477566324041,2.1579356698173986
29,40.97,41.75,40.67,41.04,1322469,40.37,38.49,,,32.08317794907933,43.24328584635774,2.0809402648304416
30,41.53,41.86,40.56,41.83,1522436,40.69,38.55,,,32.084111080257294,43.41441791415869,2.0251588173425525
31,42.29,42.71,41.72,42.13,1552759,40.82,38.85,,,32.17877691932338,43.8266786722835,1.9512189018180848
32,41.04,41.96,40.89,41.21,1690870,41.08,39.02,,,32.2941185519467,44.0655013616773,1.9004175516882218
33,41.5,41.82,40.68,40.9,1080669,41.14,39.26,,,32.633541156489095,44.23271500718903,1.8461020122819203
34,41.8,41.8,40.96,41.66,1165146,41.27,39.46,,,32.998215423270615,44.34842185098587,1.778523297118926
35,40.81,41.54,40.78,40.98,1348930,41.31,39.71,,,33.322191845289765,44.44968189075502,1.714343061610431
36,40.38,40.6,39.86,40.12,1126867,41.19,40.12,,,34.87746605270107,44.04261756608831,1.6718899857811143
