,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,459.25,465.41,449.02,463.65,1666157,,,,,,,16.390000000000043
1,467.14,488.18,461.57,488.18,1098360,,,,,,,17.12000000000004
2,488.34,503.98,476.1826,481.81,1382218,,,,,,,17.88267142857147
3,488.09,497.77,479.295,495.31,984956,,,,,,,17.924980612244937
4,477.37,482.395,464.58,472.29,826103,,,,,,,18.83962485422744
5,452.04,458.96,440.52,450.15,1266292,,,,,,,19.763223078925485
6,406.3701,436.1,405.15,419.0,1271098,,,,,,,21.56585000185938
7,441.33,459.02,434.23,459.0,1356985,,,,,,,22.884003573155137
8,445.0,447.985,422.17,430.7,1143515,462.23,,,,420.627803681542,496.58146583801164,23.880146175072625
9,398.38,420.0,383.43,386.22,1499852,453.63,,,,404.5519348469797,497.74685488556,25.550850019710293
10,415.11,419.24,388.0001,413.77,1382411,445.36,,,,392.8857902862372,492.77002797402974,26.084360732588127
11,368.44,376.57,354.0101,357.25,1381881,431.52,,,,374.59843111743436,484.32102772981995,28.489756394546117
12,366.21,398.24,355.39,387.16,1425999,419.5,,,,363.07338730151406,469.60019252879687,29.515488080649966
13,357.17,374.57,323.98,373.3501,1609030,408.51,,,,345.87590673737776,457.030709469249,31.920096074889255
14,367.29,415.15,351.3018,397.35,1467961,402.64,,,,339.5679317021593,448.6027572079467,34.20067492668288
15,401.01,402.395,351.01,354.58,1285963,395.49,,,,333.8280059461181,444.09058251168875,35.4281267176341
16,350.85,354.71,326.28,327.42,1206407,380.87,,,,327.34043048210924,432.4577245074376,34.92826052351738
17,349.3,373.06,346.2885,370.33,1141239,374.16,,,,329.4358933008527,418.73715207205436,35.693384771837565
18,384.9,439.99,377.0,402.2199,1778970,375.94,,,,329.8601377623471,424.8655268659654,38.11957157384917
19,408.06,454.5,405.57,451.83,1400398,380.17,419.08,,,327.2213306093222,435.2135830870422,39.1310378900028
20,428.54,449.48,421.12,434.16,925834,388.71,417.6,,,325.3744909507693,446.27592655764374,38.529535183574026
21,438.0,456.25,434.51,455.22,994689,396.27,415.96,,,325.7898427418747,456.36799706116483,37.3552826704616
22,451.89,458.63,436.99,439.84,1049411,403.66,413.86,,,337.0647303025735,465.2877868087874,36.23276247971434
23,418.11,424.5,401.9,409.4,1004863,405.0,409.56,,,344.29421309343536,466.2143479084669,36.3547080168776
24,408.18,433.87,406.19,425.54,555007,412.88,407.22,,,353.00908022055734,468.8810870045803,35.73508601567206
25,426.71,432.975,411.03,417.86,503305,422.93,405.61,,,373.32382465395875,464.9408096560279,34.75007987169549
26,442.01,452.98,433.4,448.42,811600,431.61,407.08,,,392.7745028775889,458.2682804778962,34.776502738002954
27,469.0,469.065,441.98,443.16,730741,436.16,406.29,,,404.22633282736194,463.92879526378357,34.227109685288454
28,445.81,455.64,441.6295,450.17,684692,435.97,407.26,,,408.17386906505175,464.13095929980625,32.78306613633928
29,460.0,478.69,458.43,470.61,1018349,440.02,411.48,,,408.6822495497335,470.93645077956796,32.478561412315045
30,468.86,470.24,449.25,453.02,586330,439.78,413.44,,,409.1263627856807,473.6549629868287,31.684378454292546
