,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,215.42,220.41,210.69,216.25,919404,,,,,,,9.719999999999999
1,217.17,219.225,210.32,218.42,667740,,,,,,,9.661785714285713
2,218.25,223.04,213.0,215.45,645752,,,,,,,9.688801020408162
3,217.55,219.13,211.83,218.87,1118984,,,,,,,9.518172376093293
4,216.79,227.7,216.79,218.47,1751319,,,,,,,9.617588634943774
5,213.46,217.37,208.86,214.23,1418965,,,,,,,9.617046589590645
6,202.7,209.1,198.95,201.55,995696,,,,,,,10.02154326176274
7,205.15,207.41,193.91,207.12,1334551,,,,,,,10.270004457351115
8,203.7,207.84,194.86,195.27,1241131,211.74,,,,,,10.463575567540321
9,181.96,185.98,173.89,182.31,1368905,207.97,,,,,,11.243320169858873
10,190.0,193.4771,172.99,187.8,1238751,204.56,,,,,,11.903590157726097
11,166.35,166.35,131.03,131.77,1727791,195.27,,,,,,15.10833371788852
12,133.36,143.61,121.79,139.23,1929091,186.42,,,,,,15.587738452325056
13,125.03,126.02,106.385,119.97,2452416,175.47,,,,,,16.820399991444695
14,118.08,138.6,105.67,130.51,2196354,166.17,,,,,,17.9710857063415
15,132.91,147.25,130.5401,138.01,1749294,159.11,,,,,,17.883151013031394
16,136.53,139.74,126.93,134.6,895505,151.05,,,,126.2571552422035,227.26907153505113,17.520783083529153
17,139.6,156.29,139.6,154.54,1488152,146.53,,,,122.66050940357931,223.19452154178424,17.8185842918485
18,158.58,178.98,155.45,163.32,1267003,144.42,,,,120.95862987700856,219.5417880448328,18.291542556716465
19,165.0,169.38,160.3,168.03,1225628,142.22,177.79,,,120.03249015020866,214.6150552471894,17.633575231236716
20,162.56,163.37,153.36,155.63,1075207,144.87,174.76,,,119.05733344945288,209.61267633250353,17.42189128614838
21,155.87,164.555,152.9701,162.47,732461,147.45,171.96,,,118.97198978288127,202.576331270428,17.00496333713778
22,162.77,164.6,157.68,158.47,747429,151.73,169.11,,,119.41561885711134,196.64137037042101,16.28460881305651
23,154.37,156.0,142.27,146.0,721466,153.45,165.46,,,118.97736956090083,191.18667702315736,16.278565326409616
24,144.83,151.59,141.09,144.64,751980,154.19,161.77,,,118.87180247254304,185.17371287614841,15.865810660237502
25,143.87,144.76,137.65,140.27,798459,154.82,158.08,,,119.58954883670305,177.8555917157999,15.24039561307768
26,148.66,159.83,146.13,158.86,1230414,155.3,155.94,,,119.84598147173298,174.69471676321908,15.548938783572131
27,170.4,175.88,163.72,166.73,849004,155.68,153.92,,,120.31271385731287,171.41007925944322,15.65401458474555
28,168.64,177.98,166.54,175.95,450781,156.56,152.96,,,121.29262383739828,172.972290072335,15.35301354297801
29,179.86,187.85,175.65,176.53,654061,158.88,152.67,,,123.39167935873448,177.12529818508364,15.127798289908151
30,168.02,170.895,162.01,166.86,2471147,159.37,151.62,,,129.22305248755146,177.39511570322145,15.084384126343284
31,171.62,178.15,168.33,176.97,2473835,161.42,153.88,,,136.49884271024314,178.86223264199103,14.813356688747335
32,172.64,176.43,169.0,173.49,1301028,164.48,155.59,,,139.37086354403053,180.13333101990852,14.324545496693954
33,175.41,179.47,172.58,175.75,762644,167.93,158.38,,,143.44647266166544,180.88261399646206,13.793506532644384
34,181.96,185.0,175.94,182.4,915856,172.62,160.98,,,145.58911331302292,182.87132684603583,13.468970351741214
35,178.23,180.97,176.31,177.22,715857,174.66,162.94,,,146.07578955354194,183.10463219347386,12.941901040902557
36,172.69,177.3,170.92,172.63,732946,175.31,164.84,,,146.40516379345783,183.71835148074578,12.473193823695235
37,173.99,175.865,170.42,174.545,497810,175.16,165.84,,,147.3480959878346,184.38131136234333,11.971179979145578
38,173.11,175.935,170.5668,171.03,384268,174.54,166.22,,,148.4265395867096,184.97994022068224,11.49953855206375
39,173.16,176.47,169.501,174.5,560978,175.39,166.55,,,149.09138231703088,185.57719079476007,11.175928655487768
40,176.47,185.27,174.0,182.53,669453,176.01,167.89,,,152.04292402214605,186.85542874360868,11.182648037238643
41,188.31,191.59,186.02,186.88,791021,177.5,169.11,,,155.4997504788451,188.30297271045393,11.031030320293025
42,191.03,198.45,188.94,194.78,586921,179.61,170.93,,,160.6149782086698,189.00658750705588,11.069528154557808
43,191.23,194.11,182.93,182.98,736313,179.68,172.78,,,165.0506616631614,189.95685887068234,11.125276143517965
44,178.83,180.04,175.14,179.45,470736,179.92,174.52,,,166.16656020475295,190.05734348792046,10.89061356183811
45,175.59,179.18,174.78,178.5,430725,180.58,176.43,,,166.93310509548164,190.09100404188928,10.446284021706816
46,180.06,183.24,178.37,178.79,868346,181.05,177.43,,,167.0198949267907,189.65822807341914,10.047978020156329
47,180.33,180.8,174.33,175.67,499379,181.56,177.87,,,168.63035578190062,189.64564587358376,9.792408161573734
48,178.81,181.74,178.15,178.33,648929,181.99,177.99,,,169.46587398930933,189.76773586499377,9.526521864318468
49,181.69,182.07,177.025,179.11,724019,181.61,178.12,174.07,,170.2324349965937,189.89952516851415,9.20641315972429
50,178.03,179.29,174.83,176.09,447527,180.41,178.58,173.27,,170.43877029206408,189.89546453988154,8.867383648315412
51,178.12,178.22,167.25,167.25,826439,177.35,178.1,172.25,,169.44655384414614,189.5665269996365,9.017570530578599
52,167.06,167.06,159.365,162.48,1147411,175.07,177.55,171.19,,167.09037571674847,189.83246941726628,8.936672635537269
53,160.42,166.59,155.03,166.42,888459,173.63,177.08,170.14,,164.55450602305964,190.06894955161334,9.124053161570322
54,164.2,170.74,161.75,167.95,825959,172.45,176.36,169.13,,163.52806985207482,190.07972596876152,9.11447793574387
55,177.01,185.0,176.55,179.0,819360,172.48,176.45,168.42,,163.88130651319693,190.58139831505923,9.681300940333594
56,178.25,183.43,175.5,178.18,711708,172.76,176.72,167.96,,164.30045060141296,190.91090521888486,9.556208016024053
57,179.79,184.87,179.79,184.05,652337,173.39,177.2,167.49,,164.52530769769302,190.87601170163293,9.351478872022335
58,193.99,203.73,192.38,202.37,1936339,175.98,178.77,167.64,,164.21776763735588,193.02998723368685,10.089230381163595
59,197.78,202.91,197.18,202.7,771530,178.93,180.18,168.04,,163.69414306258543,193.8507884374834,9.777856782509053
60,211.39,214.53,206.55,208.84,1292620,183.55,181.49,168.47,,162.49310167410823,197.64539628821277,9.924438440901264
61,211.0,214.515,204.42,210.26,1447233,188.86,182.66,170.04,,162.42500123526509,201.85113443234223,9.936621409408318
62,209.35,223.5799,208.01,213.56,2147998,194.1,183.6,171.52,,162.5959262878008,207.21455289378292,10.338998451593438
63,212.5,214.8,207.0,209.33,1079380,198.7,184.92,173.31,,162.93553038418284,210.26443544988334,10.157641419336766
64,207.0,214.24,206.51,206.7,1105988,201.78,186.28,174.83,,163.9081627623891,213.0125023331513,9.984238460812712
65,208.93,212.69,206.03,212.07,858321,205.54,187.96,176.31,,164.79347565773696,215.2901441497005,9.746792856468947
66,214.47,219.775,212.53,216.94,777400,209.2,189.86,177.96,,165.85733408466993,218.2714903869599,9.600950509578308
67,214.83,216.99,208.7,210.05,872255,210.05,191.58,179.07,,167.49099181893382,220.59208971982503,9.507311187465573
68,215.48,219.82,210.89,216.18,853346,211.55,193.48,180.13,,170.3413729740811,222.94592606224495,9.526074674075176
69,216.22,218.11,212.255,214.08,855403,212.13,195.22,181.05,,174.96398648582252,224.15749211505374,9.263855054498379
70,210.76,215.14,208.65,212.79,550309,212.41,197.06,182.19,,181.38040703075887,224.19568468476967,9.065722550605637
71,212.6,215.3,208.01,212.12,841573,212.25,199.3,183.19,,187.50033018830396,223.61512829640944,8.938885225562379
72,203.4,208.39,200.26,203.5601,867262,211.61,201.36,184.09,,190.79206600148393,223.2194877414946,9.147536280879352
73,209.45,211.1799,202.44,202.72,112448,211.17,203.17,185.22,,195.20116754526617,222.159458722543,9.118419403673686
74,197.0,206.18,195.0,205.97,845083,210.49,205.07,186.45,,198.66633253413895,219.89655102648308,9.265675160554139
75,214.74,217.77,206.06,213.74,773052,210.13,206.81,187.92,,200.576083701111,220.1342603249892,9.4466983633717
76,213.6,215.42,211.67,212.48,499105,210.4,208.53,188.99,,201.83690034824767,219.82824955171193,9.03979133741658
77,209.07,212.5,208.3,209.06,519769,209.61,209.78,189.84,,201.92349113881897,219.76251588994228,8.694091956172537
78,213.34,214.0,204.72,207.06,964100,208.83,210.01,190.46,,201.9517312061606,219.73895493713692,8.735942530731643
79,204.73,207.0,201.11,204.81,528145,207.95,210.12,191.02,,201.32631074061945,218.5653715196313,8.536946635679382
80,207.15,211.86,206.45,209.45,610953,207.65,210.15,191.88,,201.29607857995626,218.4250185502079,8.430736161702283
81,206.12,207.72,199.655,203.61,640170,207.66,209.81,192.41,,200.5838212693857,218.33022291412055,8.528183578723548
82,201.78,204.86,199.24,204.51,749892,207.85,209.36,193.03,,199.8905469066594,218.39660197686638,8.320456180243294
83,203.72,207.44,194.13,194.39,960773,206.57,208.61,193.4,,198.39438914335358,217.50940457975045,8.676852167368773
84,195.6,200.37,190.96,198.04,989413,204.82,208.18,193.72,,196.49455270155428,217.2505700794847,8.729219869699575
85,196.95,198.015,193.34,197.06,778818,203.11,207.43,194.11,,195.29662698644913,216.45105137261612,8.44141845043532
86,196.92,202.65,195.11,195.72,544762,201.63,206.37,194.57,,194.60183099737813,215.40058307736516,8.377031418261367
87,199.74,200.0,191.74,192.3,663421,199.99,205.48,194.93,,193.4627316163691,214.71751889443092,8.368672031242697
88,195.24,196.8766,191.0,193.12,656192,198.69,204.33,195.37,,192.37530729164558,213.97988861522802,8.190666886153933
89,191.26,191.72,182.6,183.16,799310,195.77,202.78,195.54,,190.03929946278433,214.13762448110856,8.357047822857224
90,182.0,184.57,178.6,183.54,987678,193.54,201.32,195.56,,187.20894479688158,214.30079869613255,8.18654440693885
91,183.53,184.75,174.39,178.9,681495,190.69,199.66,195.4,,184.28457335372576,214.38176751247278,8.341791235014648
92,178.18,181.91,176.62,178.56,838063,188.93,198.41,195.08,,181.87416173403219,212.86984132196577,8.123806146799316
93,181.17,181.3,174.49,174.95,809144,186.37,197.02,194.92,,179.7049113275266,211.28043674344738,8.029962850599365
94,173.49,174.8899,168.46,171.25,858238,183.5,195.29,194.76,,176.79266416746017,210.08261380993875,7.919965504127981
95,177.36,182.58,175.94,181.44,1119124,181.91,193.67,194.81,,175.3772295534995,207.83440055159707,8.163539396690268
96,180.69,191.07,180.49,190.35,1011442,181.7,192.56,195.05,,174.6133679261765,206.48052829665463,8.336143725498106
97,190.54,195.27,188.9,192.61,896212,181.64,191.74,195.38,,174.92666650549123,204.45427329906488,8.195704887962528
98,191.96,193.4,187.4,187.85,673394,182.16,190.78,195.57,,174.9468962004766,202.8392265332464,8.038868824536634
99,189.14,190.46,184.59,189.71,614398,182.85,190.03,195.79,,174.95026909910916,201.38391336250595,7.883949622784018
100,188.15,190.49,185.64,188.41,504790,183.9,188.97,196.03,,174.8914778912983,199.29586554353415,7.667238935442304
101,189.21,191.0562,186.57,187.52,314365,184.9,188.17,196.44,,174.84093644008138,198.30033917183385,7.440021868624997
102,186.03,189.19,185.97,186.82,517177,186.22,187.29,196.93,,174.85372132904803,197.46727884679922,7.138591735151782
103,186.62,186.62,182.67,183.51,428920,187.58,186.74,197.27,,174.91408947847168,195.62171052933184,6.925120896926655
104,183.93,185.93,182.23,182.27,706860,187.67,185.95,197.55,,174.88754658575624,194.02799087972596,6.6947551185747525
105,183.36,187.07,183.36,186.47,1145410,187.24,185.42,197.7,,174.96461547420157,192.89401318027933,6.559415467247984
106,184.47,188.99,182.665,187.51,1425648,186.67,185.01,197.89,,174.96722575496665,192.61476941155502,6.5426715053017
107,187.58,189.99,185.38,188.04,1258404,186.7,184.8,197.97,,175.31012141218946,192.94008439831302,6.404623540637295
108,187.99,189.64,185.72,187.49,845667,186.45,184.52,197.67,,176.22942828076245,193.20786176478745,6.227150430591774
109,186.98,188.65,183.46,183.48,1330984,185.9,184.53,197.29,,176.83901218720456,193.36519099917004,6.1530682569780755
110,184.48,186.145,182.28,183.62,1657062,185.47,184.54,196.78,,177.77085828437907,193.33459828755988,5.98963481005107
111,183.76,184.89,178.03,178.56,1630696,184.55,184.52,196.15,,179.9720483558993,192.36518441729746,6.051803752190279
112,180.05,180.92,175.89,180.19,1990193,184.18,184.6,195.48,,179.96111427614005,192.51673794938802,5.9788177698909735
113,180.96,184.74,179.28,182.17,1670160,184.17,184.96,194.94,,179.79855968683415,192.23618211590247,5.941759357755904
114,184.07,190.98,182.76,189.21,1893510,184.47,185.86,194.59,,179.75967405423964,191.54764487282358,6.146633689344768
115,190.4,193.16,184.56,192.31,1848466,185.01,186.4,194.19,,179.77995435750523,191.50587226148497,6.321874140105856
116,190.8,193.54,189.51,192.4,727880,185.49,186.51,193.7,,179.64665514031103,191.93867104837958,6.15816884438401
117,192.86,196.69,191.8,193.78,552020,186.19,186.57,193.38,,179.39106757939277,192.91258793654984,6.067585355499437
118,201.52,203.85,196.3,203.47,1659824,188.41,187.35,193.12,,178.8227716662433,195.2816884612543,6.353472115820906
119,202.7,203.0,197.46,199.92,2213699,190.22,187.86,192.84,,178.450739304477,197.12087309028462,6.328938393262269
120,191.51,196.46,190.33,195.48,4136465,192.1,188.21,192.49,,178.77935351023203,197.80423099820865,6.561871365172105
121,193.7,195.28,189.37,191.23,2628274,193.33,188.4,192.08,,179.17998482133788,198.29989007660805,6.529594839088382
122,191.87,193.31,191.02,192.75,1313214,194.51,188.69,191.86,,179.5267677438466,198.57001555603338,6.226766636296355
123,191.37,194.35,189.48,194.34,1882078,195.08,189.23,191.69,,179.95481879504698,198.86940430031902,6.129854733703759
124,195.79,195.79,192.835,194.55,1756952,195.32,189.85,191.46,,180.20475196081787,199.2509586312198,5.903079395582061
125,194.5,196.6,192.8,196.43,2565998,195.77,190.35,191.12,,180.46775894184105,199.69735986608143,5.75285943875477
126,195.03,207.0,193.68,201.72,3834000,196.65,191.06,190.9,,180.98249545637302,201.6237124309212,6.293369478843715
127,202.14,203.3,195.26,202.5,2559541,196.55,191.78,190.77,,181.70373288116843,202.68222722849995,6.4181288017834515
128,200.39,201.86,195.3,196.92,2752851,196.21,192.25,190.57,,183.2293999760732,203.33195722133266,6.473976744513204
129,195.89,202.64,194.13,201.79,1448084,196.91,193.17,190.51,,185.53809102857437,203.45667813884285,6.619406977047975
130,202.0,211.17,201.565,210.83,2413794,199.09,194.53,190.54,,187.22661612521765,205.0014022952319,6.8326636215445475
131,210.0,211.45,204.45,209.51,2706254,200.95,196.08,190.65,,188.2716850261559,206.6487396908228,6.844616220005651
132,211.02,213.38,208.41,211.9,2124793,202.91,197.66,190.8,,188.94740015516825,208.43151605868988,6.7107150614338185
133,208.83,215.5,206.94,214.61,2772793,205.13,199.28,191.21,,189.38633455785214,210.31916679356428,6.842806842759974
