,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,1401.01,1598.72,1325.0,1565.52,45685,,,,,,,273.72
1,1578.73,1635.72,1554.0,1633.8,18953,,,,,,,260.0057142857143
2,1583.0,1644.23,1574.585,1612.29,26401,,,,,,,246.4085204081633
3,1635.89,1700.0,1629.32,1669.84,16819,,,,,,,235.07291180758023
4,1652.42,1718.25,1634.69,1640.32,20116,,,,,,,224.25056096418166
5,1607.84,1636.442,1564.68,1605.0,10031,,,,,,,213.63552089531154
6,1489.0,1556.165,1475.8,1491.0,13025,,,,,,,207.60441225993216
7,1496.8,1586.14,1449.38,1586.14,36554,,,,,,,202.54409709850844
8,1544.96,1570.0,1474.01,1496.5,15288,1588.93,,,,,,196.08594730575786
9,1409.75,1459.5458,1305.0,1318.0,31870,1561.43,,,,,,195.75837964106086
10,1353.95,1385.51,1222.94,1385.51,44944,1533.84,,,,,,193.3877810952708
11,1210.0,1276.97,1173.5,1194.0,32307,1487.37,,,,,,194.71793958846575
12,1213.77,1247.8,1146.0001,1243.335,41211,1439.98,,,,,,188.0809367607182
13,1151.4,1223.4,1056.045,1183.45,38909,1389.22,,,,,,188.02444127780979
14,1160.64,1302.385,1137.0006,1255.0,40098,1350.33,,,,,,186.40729547225195
15,1242.05,1301.585,1242.05,1260.25,49234,1324.69,,,,,,177.34498865280537
16,1275.23,1306.0,1206.885,1268.57,31439,1289.4,,,,,,171.75713232046215
17,1311.84,1398.1,1309.8,1398.1,12746,1278.47,,,,,,168.74090858328628
18,1399.42,1443.29,1335.2,1406.34,21860,1288.28,,,,,,164.40870082733727
19,1441.6,1505.98,1441.6,1486.01,12744,1299.45,1434.95,,,1007.2644964039971,1796.744534951678,159.78236505395603
20,1454.0,1483.91,1430.495,1463.36,16441,1329.38,1429.84,,,1011.7758810191447,1785.7526764363943,152.3346961215306
21,1482.05,1662.29,1482.05,1662.29,16109,1375.93,1431.27,,,1014.6845898597995,1790.2320190573491,155.66293211284986
22,1646.3,1691.84,1621.5,1634.535,30561,1426.05,1432.38,,,1010.5322790187888,1798.7107329240787,149.568436961932
23,1579.18,1629.0,1495.255,1532.87,12028,1456.92,1425.53,,,1019.9333196317782,1786.1627408536226,148.8335486075083
24,1511.22,1614.86,1489.265,1614.04,26397,1496.24,1424.22,,,1031.6764321860537,1766.952835479878,147.17365227840054
25,1595.37,1595.37,1508.02,1537.31,17558,1526.1,1420.83,,,1035.7819233844223,1760.5032567375192,144.2341056870862
26,1590.32,1659.31,1562.7,1646.56,17525,1553.7,1428.61,,,1030.552978661737,1775.898804198836,142.6459552808658
27,1675.0,1724.59,1660.15,1699.65,39436,1586.29,1434.28,,,1015.3875857105495,1799.795768173221,138.0305299036611
28,1699.01,1725.0,1681.8,1706.09,10594,1610.74,1444.76,,,1000.6826847133839,1824.10998122459,131.25692062482815
29,1724.98,1772.815,1686.035,1715.2,23306,1638.73,1464.62,,,996.7538720790285,1863.339301086317,128.0799977230547
30,1705.0,1715.81,1622.52,1655.01,10344,1637.92,1478.1,,,1012.8748675033264,1888.2917956672097,125.59499788569366
31,1686.19,1730.0,1668.6226,1728.3,10492,1648.34,1504.81,,,1039.116167852867,1905.331790571705,121.98035517957268
32,1711.75,1740.54,1700.01,1700.59,8642,1666.97,1527.68,,,1075.6596981260163,1914.2080161577906,116.16247266674607
33,1725.97,1766.99,1707.0,1740.0,15091,1680.97,1555.5,,,1145.5866791798414,1914.5201012796804,112.60801033340707
34,1682.32,1779.8,1682.32,1775.3,25179,1707.41,1581.52,,,1208.155396489857,1919.5582937371262,111.52743816673514
35,1700.0,1790.85,1700.0,1780.2,33351,1722.26,1607.52,,,1252.0521421051521,1916.5137808757825,110.05047829768263
36,1770.04,1770.04,1631.0,1662.12,26764,1718.09,1627.19,,,1319.1859127017528,1898.0527733859435,112.84687270499101
37,1680.0,1734.87,1680.0,1729.0,15350,1720.64,1643.74,,,1365.614864773341,1882.2918430675186,109.98281036892023
38,1725.57,1760.6713,1696.72,1746.09,30279,1724.07,1660.73,,,1413.7328890970125,1869.1827520481431,106.69484534256878
39,1733.0,1839.175,1709.215,1818.01,48224,1742.18,1677.33,,,1438.702858896643,1874.1326642230208,108.35664210381387
40,1844.06,1904.86,1844.06,1858.71,30087,1756.67,1697.09,,,1456.4372730980435,1880.8239471101215,106.82045338211287
41,1879.08,1903.96,1825.7375,1856.95,28017,1774.04,1706.83,,,1472.1064529595656,1907.9380633944706,104.77774242624767
42,1868.93,1967.0,1867.0,1966.45,39185,1799.2,1723.42,,,1463.5119564819177,1947.678814090999,105.15433225294426
43,1963.03,1970.0,1909.36,1920.0,46400,1815.28,1742.78,,,1475.5349100837366,1977.328780940754,101.97473709201968
44,1871.23,1881.24,1823.0,1862.77,11037,1824.46,1755.22,,,1506.9651170600496,1981.6714226985491,101.61939872830399
45,1865.0,1876.94,1837.0,1869.9622,12713,1847.55,1771.85,,,1539.1611635338265,1977.4010238515768,97.213727390568
46,1845.53,1916.54,1845.53,1914.28,12496,1868.14,1785.23,,,1562.404607813093,1984.2669565740998,95.34203257695599
47,1937.8,1973.51,1914.49,1930.92,17439,1888.67,1796.8,,,1562.7756036550197,2005.4667158546663,92.762601678602
48,1934.96,1976.23,1911.28,1917.8,10165,1899.76,1807.38,,,1564.463981696103,2023.3446436014244,90.77598727298758
