,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,51.13,53.64,51.09,53.43,1569889,,,,,,,2.549999999999997
1,53.62,54.65,52.49,52.51,1042242,,,,,,,2.522142857142854
2,53.36,55.25,53.28,55.24,1031969,,,,,,,2.53770408163265
3,54.2,54.38,53.32,53.53,934401,,,,,,,2.4935823615160326
4,52.42,53.73,51.98,52.84,883476,,,,,,,2.440469335693459
5,51.44,51.56,48.49,48.5,1702674,,,,,,,2.5768643831439264
6,49.13,49.91,47.319,49.4,1448018,,,,,,,2.5778740700622174
7,47.73,48.25,45.58,45.92,1634305,,,,,,,2.666597350772059
8,43.07,43.44,37.2,39.47,2412716,50.09,,,,,,3.09898325428834
9,41.63,44.17,40.225,43.92,2688671,49.04,,,,,,3.213341593267745
10,37.66,37.87,34.74,35.78,1687537,47.18,,,,,,3.639531479462906
11,36.08,36.73,32.54,32.98,2129907,44.7,,,,,,3.6788506595012698
12,31.77,32.81,30.51,32.03,2535563,42.32,,,,,,3.5925041838226073
13,32.37,32.65,28.52,30.9501,4480628,39.88,,,,,,3.6308967421209926
14,31.92,35.49,30.81,31.5,2503719,37.99,,,,,,3.7058326891123508
15,31.21,32.05,28.35,29.71,2024312,35.81,,,,,,3.705416068461468
16,31.96,32.41,30.26,30.62,1567491,34.11,,,,,,3.6336006349999344
17,31.3,32.75,30.33,30.66,10306570,33.13,,,,,,3.546914875357082
18,31.95,33.95,31.27,33.41,4599866,31.96,,,,,,3.528563812831577
19,32.71,35.23,32.51,33.56,3992541,31.71,40.8,,,20.16745226966183,60.910916667671714,3.4708092547721785
20,33.96,36.89,33.57,36.81,3964813,32.14,39.97,,,19.915954839463588,59.46070463699324,3.46075145085988
21,36.87,38.36,36.87,37.5,3664269,32.75,39.22,,,20.294342139724293,57.61071385485985,3.3242692043698883
22,35.78,37.56,35.76,37.0,6009730,33.42,38.3,,,20.970258937549307,55.34267349649721,3.2153928326291825
23,37.01,37.78,36.42,37.48,2225097,34.08,37.5,,,22.082692073865843,52.955420219525706,3.0828647731556695
24,36.41,37.25,36.33,37.03,1499066,34.9,36.71,,,23.421795378365154,50.31914928483474,2.9448030036445503
25,38.38,41.94,38.355,41.87,2867958,36.15,36.38,,,24.500275964613255,48.27414468016502,3.0851742176699393
26,41.47,45.94,41.07,43.71,4883231,37.6,36.1,,,25.46888623962613,47.2251623220381,3.212661773550658
27,42.975,43.98,42.64,43.8,1555342,38.75,35.99,,,26.002407372779125,46.1700910621287,3.0789002182970395
28,43.87,44.655,43.15,43.66,1052823,39.87,36.2,,,25.501991126872657,46.42130317264167,2.9664787741329657
29,43.39,43.39,41.815,42.17,687454,40.47,36.11,,,25.3563925973517,46.26571329671652,2.8863731474091825
30,42.52,43.7,41.67,43.6,1394624,41.15,36.5,,,25.214396442618018,46.98763321508808,2.825203636879955
31,42.21,42.21,41.05,41.9,1191870,41.69,36.95,,,25.382393358991422,47.45463925198514,2.8055462342456727
32,41.52,42.14,40.69,41.05,1519670,42.09,37.4,,,25.93728353160595,47.75084677688091,2.7087215032281247
33,41.29,41.97,40.63,41.49,1407882,42.58,37.93,,,27.006117091210704,47.90580633318798,2.610955681568973
34,41.49,41.64,40.35,40.59,1234313,42.44,38.38,,,27.764657279496635,48.13007059135274,2.5166017043140463
35,40.0,40.24,38.66,38.79,1861061,41.89,38.84,,,29.231542296067772,47.86018020691303,2.474701582577329
36,39.33,40.59,39.0,40.31,1254255,41.51,39.32,,,30.411787954769974,47.51618832744025,2.4265086123932345
37,40.73,41.0,39.14,39.31,1213304,41.02,39.75,,,31.77321541940052,47.072834662231784,2.3860437115080035
38,39.57,40.28,39.11,40.26,1043591,40.81,40.09,,,33.09478948085261,46.61918873422368,2.299183446400289
39,40.68,41.655,40.565,41.47,1114492,40.57,40.49,,,34.30924997908535,46.308048881621666,2.2345989145145544
40,42.08,42.37,39.97,40.08,1313067,40.37,40.65,,,35.42333569635045,46.194320195991,2.246413277763515
41,39.89,42.12,39.77,41.67,994422,40.44,40.86,,,35.77724872665548,46.163428455013225,2.2538123293518346
42,41.02,41.09,39.32,39.63,1466192,40.23,40.99,,,36.42027937931932,45.931633440126326,2.260682877255275
43,39.22,39.68,38.73,39.29,1198867,40.09,41.08,,,36.8900552481629,45.713464861046205,2.1670626717370416
44,39.0,39.19,38.53,38.78,966281,40.09,41.17,,,37.42082965591912,45.3896664981411,2.066558195184396
45,38.87,39.09,37.88,38.0,1268013,39.83,40.98,,,37.323447918001776,45.4862572215162,2.0053754669569392
46,38.56,38.98,37.83,37.91,1388252,39.68,40.69,,,37.00923266289,44.806073605816664,1.9442772193171578
47,38.65,38.735,37.95,38.1,932560,39.44,40.4,,,36.90430253803136,44.54711866483552,1.8643288465087897
48,38.8,39.62,38.6922,39.41,1007839,39.21,40.19,,,37.11835367471514,43.94833979253093,1.8397339289010188
49,39.16,39.185,38.24,38.28,915951,39.01,40.0,40.34,,37.11464185335557,43.61357214853443,1.7918957911223743
50,38.58,38.69,36.94,36.94,911695,38.48,39.66,40.01,,36.893250047269326,43.15243363094139,1.7889032346136333
51,36.81,36.81,34.88,35.06,1378085,37.97,39.32,39.66,,36.05325275244514,43.23837353263845,1.8082672892840879
52,34.61,36.13,34.33,35.95,1486872,37.6,39.07,39.27,,35.21925445645055,43.323530755133206,1.807676768620939
53,36.08,36.51,34.99,35.15,1353326,37.2,38.75,38.91,,34.73689814653131,43.24181008838235,1.7871284280051574
54,36.52,37.565,36.39,36.89,2201175,37.08,38.56,38.59,,34.59283377430047,43.03224420369428,1.8319763974333603
55,37.03,37.22,36.15,36.59,1463528,36.93,38.45,38.35,,34.379970034919545,42.99926459722036,1.777549511902406
56,37.02,37.02,36.4,36.73,2002446,36.78,38.28,38.1,,34.226031252447136,42.90795508586516,1.6948674039093776
57,36.58,37.1,36.45,36.87,1454591,36.5,38.15,37.91,,34.10297180355738,42.712845929476956,1.6202340179158505
58,36.69,36.8,36.18,36.66,1980251,36.32,37.97,37.86,,33.96732033639846,42.60163343321235,1.5537887309218612
59,38.0,38.46,36.27,38.01,2982439,36.43,37.8,37.74,,34.02206263238814,42.19476443815289,1.599232392998871
60,38.92,39.88,38.86,39.77,2537207,36.96,37.78,37.82,,34.123729850922956,41.67149477296486,1.6185729363560948
61,40.65,40.8,39.21,39.37,2098453,37.34,37.67,37.95,,34.182652265077714,41.3313874193687,1.6165320123306592
62,38.79,38.85,37.2,37.715,2771467,37.62,37.57,38.06,,34.24364631131123,40.94704400825811,1.6560654400213262
63,38.11,39.27,37.95,39.01,1512936,37.86,37.56,38.22,,34.27756085080543,40.887896432955344,1.6488464800198028
64,39.34,39.85,38.73,38.92,1268587,38.12,37.57,38.37,,34.26412114780975,40.98486096928127,1.61107173144696
65,39.53,40.63,39.46,39.97,1216403,38.48,37.67,38.58,,34.164899354436336,41.2382407481225,1.6181380363436058
66,39.96,40.65,39.76,40.3,1807928,38.86,37.78,38.77,,34.052426255486715,41.48670873536439,1.5661281766047768
67,41.57,42.87,41.42,42.52,2429921,39.51,38.01,39.01,,33.72871429897901,42.27825533486085,1.6378333068472928
68,42.73,43.81,42.53,43.66,1555503,40.14,38.22,39.21,,33.29767207956947,43.14509061472191,1.6129880706439148
69,41.63,42.38,41.24,41.54,1061709,40.33,38.38,39.37,,33.15792839580119,43.58101472931597,1.6706317798836348
70,41.48,41.66,40.19,40.21,1809871,40.43,38.54,39.44,,33.21522838689734,43.87073777437164,1.6563009384633751
71,38.74,38.99,37.34,37.555,1709637,40.41,38.67,39.44,,33.54960794687396,43.84295147677388,1.7429937285731338
72,38.88,38.95,38.0,38.05,351926,40.3,38.77,39.46,,34.086593447631046,43.733711918809284,1.7181370336750532
73,37.23,38.87,36.9,38.62,833823,40.27,38.95,39.48,,34.41528660330908,43.63293694561455,1.7361272455554064
74,40.23,40.27,38.8788,39.14,2059973,40.18,39.06,39.53,,34.6426705430696,43.66405233957504,1.7299752994443065
75,39.28,39.5,38.16,38.32,1434244,39.96,39.15,39.46,,34.89618174140958,43.60226476913452,1.7021199209125706
76,38.02,39.84,38.02,39.8,1405781,39.66,39.3,39.38,,35.108778575905134,43.50414639134969,1.7105399265616725
77,40.08,40.34,38.53,38.6,1893650,39.09,39.39,39.27,,35.36490412434586,43.39873812301648,1.7176442175215534
78,38.71,39.05,38.38,38.8,1034254,38.79,39.49,39.18,,35.68974864824064,43.16425759116998,1.6428124876985848
79,39.32,39.79,39.1875,39.23,1038444,38.68,39.56,39.12,,36.07711668281591,43.11782482404823,1.5961830242915434
80,38.92,38.92,37.57,37.77,1252349,38.7,39.46,39.0,,35.94367433117885,43.13312134501101,1.60074137969929
81,37.48,38.42,37.41,38.31,914431,38.73,39.4,38.93,,35.78129823777756,43.11623072704877,1.5585455668636268
82,37.92,38.08,37.24,37.29,770860,38.58,39.38,38.85,,35.787767989859155,43.167038527449265,1.5236494549447965
83,37.64,37.8,37.31,37.53,974917,38.41,39.31,38.77,,35.70338008076662,43.24505332150071,1.4512459224487395
84,37.69,38.23,37.395,37.76,1195124,38.34,39.25,38.72,,35.57248952991641,43.26371141768867,1.4072283565595434
85,37.75,38.46,37.51,37.76,1018993,38.12,39.14,38.7,,35.447642780734135,43.20359521371254,1.374569188233862
86,38.33,38.53,37.87,38.1,1138397,38.06,39.03,38.65,,35.37981630462251,43.124192396685196,1.3313856747885864
87,39.11,39.24,38.58,39.22,944831,38.11,38.86,38.65,,35.53770944181961,42.60849348140302,1.3177152694465446
88,38.72,39.615,38.57,39.09,777185,38.09,38.63,38.63,,36.08518616458097,41.6535323911241,1.2982356073432202
89,39.17,39.34,38.495,38.82,695414,38.21,38.5,38.58,,36.48251694918189,41.00775992826853,1.2658616353901335
90,38.75,39.0,37.23,37.25,756606,38.09,38.35,38.52,,36.640245854294804,40.4549639103527,1.3018715185765528
91,37.39,38.8,37.26,38.8,786335,38.26,38.41,38.46,,36.62807901619895,40.45010728885329,1.3195949815353702
92,39.57,39.9,38.945,39.06,1652833,38.43,38.46,38.45,,36.597275951646054,40.54667950761267,1.3039096257114153
93,38.53,38.91,38.2,38.62,1633805,38.52,38.46,38.44,,36.75595985163856,40.547452433530516,1.272201795303457
94,39.36,40.1,39.345,39.53,1721467,38.72,38.48,38.45,,36.70025477021368,40.51177508650812,1.2870445242103534
95,39.28,39.49,38.86,39.0,1148378,38.82,38.52,38.47,,36.689213488164064,40.51067834426636,1.2429699153381855
96,39.0,39.425,38.83,39.28,1207067,38.83,38.49,38.5,,36.692682928492026,40.45561616216738,1.1966863499568865
97,39.18,39.355,38.21,38.34,734214,38.74,38.48,38.5,,36.68802996740438,40.280745376947515,1.1929944678171085
98,38.85,39.5,38.79,39.45,1198097,38.81,38.51,38.5,,36.681366437022234,40.321265488274356,1.1906377201158862
99,39.59,41.38,39.54,41.38,1685763,39.27,38.62,38.57,,36.63846960162711,40.74722528567674,1.2434493115361802
100,41.05,41.56,40.54,40.98,1266958,39.52,38.78,38.65,,36.47952349279059,41.20578829186553,1.2274886464264534
101,41.15,41.52,40.81,41.0,584362,39.73,38.91,38.77,,36.38689893003967,41.563161470590806,1.1905251716817067
102,40.77,41.85,40.68,41.64,1215681,40.07,39.13,38.88,,36.42539856281805,41.91480685198115,1.1890590879901564
103,41.25,41.49,41.01,41.05,1750276,40.24,39.31,39.0,,36.46813789352722,42.08330898794285,1.1491262959908597
104,41.34,41.99,41.08,41.8,1785466,40.55,39.51,39.1,,36.552220324869744,42.34961320267086,1.1341887034200844
105,41.08,41.67,40.6,41.64,2040700,40.81,39.7,39.2,,36.71729695081865,42.513522596065236,1.1388895103186496
106,41.45,41.78,40.45,41.18,3222386,41.12,39.86,39.29,,36.863337012044376,42.65885739894479,1.1525402595816032
107,40.83,40.83,39.74,40.02,2653421,41.19,39.9,39.35,,36.938451360577005,42.69540080045292,1.1730730981829172
108,40.11,40.65,39.82,39.93,2636736,41.03,39.94,39.41,,37.02229770503973,42.72178447560417,1.1485678768841372
109,40.65,41.12,40.33,40.46,3361856,40.97,40.02,39.46,,37.122939396292026,42.77100285914166,1.1515273142495557
110,39.37,40.71,38.78,40.62,4531332,40.93,40.19,39.48,,37.42189977422103,42.74120509527296,1.2071325060888731
111,40.21,41.685,39.98,41.46,2738510,40.91,40.32,39.52,,37.85214870765126,42.759362294778825,1.2426944699396683
112,41.45,42.18,41.3358,41.96,2348322,41.01,40.47,39.61,,37.8790416039328,42.92914471191082,1.214230579229692
113,42.6,43.35,42.33,42.67,5416184,41.1,40.67,39.68,,37.95085458036475,43.22186872518676,1.2267855378561427
114,43.01,43.67,42.6,43.07,3827137,41.26,40.85,39.76,,37.856171156649346,43.63793014979667,1.2155865708664184
115,42.73,42.97,42.54,42.68,1298775,41.43,41.03,39.82,,37.91473061246422,43.775523326519995,1.1666161015188172
116,42.43,42.54,41.88,42.1,1872702,41.66,41.17,39.85,,38.09870500708159,43.77790214348676,1.1404292371246159
117,41.86,41.94,40.43,40.81,3373926,41.76,41.3,39.82,,38.46867509993673,43.64037980739002,1.1782557201871435
118,40.96,41.41,40.69,40.86,2640530,41.8,41.37,39.76,,38.748388868207755,43.43820789175947,1.1455231687452048
119,40.83,41.0,40.29,40.7,3074044,41.81,41.33,39.75,,38.854790411724665,43.44924796683156,1.1144143709776901
120,40.43,40.59,40.11,40.22,1507873,41.67,41.29,39.75,,38.81195189092792,43.484639072566644,1.0769562016221412
121,39.83,39.99,38.98,39.14,2970304,41.36,41.2,39.78,,38.563111873590294,43.576818632441984,1.08860218722056
