,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,94.09,96.6,92.72,96.38,1172034,,,,,,,3.8799999999999955
1,95.99,97.54,92.915,94.62,1002459,,,,,,,3.9332142857142816
2,96.36,98.1,92.92,97.91,817325,,,,,,,4.022270408163261
3,94.49,95.71,93.345,94.82,770653,,,,,,,4.061036807580171
4,91.53,95.03,90.74,92.25,1174325,,,,,,,4.077391321324445
5,85.85,91.0,78.42,79.12,1002966,,,,,,,4.7740062269441275
6,83.3,86.325,80.185,86.25,1011180,,,,,,,4.94764863930526
7,83.59,83.81,78.33,80.64,1579808,,,,,,,5.1599594507834565
8,75.24,77.67,70.27,73.28,1770465,88.36,,,,,,5.532105204298924
9,78.1,79.51,72.35,78.42,1335522,86.37,,,,,,5.6483834039918595
10,70.45,74.21,66.12,66.12,945510,83.2,,,,,,6.123498875135298
11,68.14,70.66,64.44,70.42,1507162,80.15,,,,,,6.130391812625634
12,64.83,65.42,52.7,59.11,1094332,76.18,,,,,,6.9582209688666605
13,58.2,72.29,56.46,63.83,1537141,73.02,,,,,,7.591919471090471
14,65.04,69.39,62.02,64.72,1516210,71.42,,,,,,7.5760680802982945
15,64.31,65.32,60.33,62.21,1324771,68.75,,,,,,7.39134893170556
16,67.15,69.3,65.13,66.88,1223960,67.22,,,,,,7.369824008012305
17,67.36,75.65,65.59,73.02,1164521,67.19,,,,,,7.561979436011427
18,73.0,75.88,70.0,75.43,1392563,66.86,,,,,,7.441838047724897
19,72.16,72.78,70.33,71.25,698812,67.43,77.33,,,47.6614695937847,103.46237359117657,7.2745639014588335
20,72.61,74.93,69.67,74.02,711903,67.83,76.22,,,48.04217002137901,101.21176999910492,7.13066647992606
21,74.05,75.22,72.0609,73.36,774216,69.41,75.15,,,48.933106392477114,98.42541753154441,6.846983159931342
22,69.91,71.24,67.51,68.02,859461,69.88,73.66,,,49.973447859310305,95.01768570062035,6.775770077079103
23,68.15,72.21,66.525,68.62,1279308,70.31,72.35,,,51.73131024607853,91.64671084697753,6.697857928716309
24,68.34,71.43,66.98,67.1,791657,70.86,71.09,,,53.921817387340035,87.72863339090193,6.537296648093716
25,70.79,73.49,70.56,72.56,873438,71.49,70.76,,,54.38133044860585,84.3563829108457,6.526775458944165
26,76.07,78.0,74.485,75.65,971946,71.78,70.23,,,55.06491558888952,82.40655580593449,6.449148640448154
27,77.54,82.48,76.1416,82.09,848143,72.52,70.31,,,55.352647790229085,82.03068479013552,6.476352308987572
28,81.85,86.9,81.15,83.91,985440,73.93,70.84,,,54.33635638411944,84.26044030115719,6.424470001202746
29,83.07,83.82,80.3776,82.09,695244,74.82,71.02,,,53.67425594588881,85.12811750150037,6.217893572545407
30,83.78,84.03,80.41,81.33,963682,75.71,71.78,,,53.37411754853186,86.48747595112049,6.032329745935021
31,77.34,77.58,74.53,75.12,853563,76.5,72.02,,,53.79686321815817,86.7632615068266,6.087163335511091
32,75.49,78.21,71.42,72.26,1392100,76.9,72.67,,,56.81372515263948,86.61308868318112,6.137365954403156
33,74.95,78.99,74.54,78.08,1056054,78.12,73.39,,,59.25075333989975,86.94364242579994,6.179696957660073
34,76.85,78.235,74.8,76.13,601006,78.52,73.96,,,60.573885547679645,87.00163852871218,5.983647174970068
35,73.79,75.1,72.88,73.57,449372,78.29,74.52,,,62.56037291453609,86.19870057923664,5.788386662472206
36,75.65,76.71,73.6,75.77,427652,77.58,74.97,,,63.57217487766978,85.8902898707674,5.599216186581335
37,76.02,79.32,76.02,78.08,504289,76.94,75.22,,,64.62363252660732,86.09575912108153,5.452843601825525
38,78.8,79.39,77.16,78.73,1053420,76.56,75.39,,,64.94628887915538,86.2897385956852,5.222640487409417
39,78.51,83.41,78.47,82.97,1054953,76.75,75.97,,,65.2270503154763,86.90388125455515,5.202451881165887
40,84.45,86.91,79.55,81.93,1670642,77.5,76.37,,,65.62669581025268,88.20999960926498,5.35656246108261
41,81.09,87.05,81.09,86.41,757520,79.07,77.02,,,65.6800767449021,89.35887068354126,5.399665142433852
42,84.3,84.885,82.28,83.07,598454,79.63,77.77,,,66.54893456543387,89.6054436235893,5.308974775117148
43,81.29,81.29,78.93,79.32,749263,79.98,78.31,,,68.1492952422727,89.3676441600487,5.2254765768944935
44,78.26,78.3,76.31,77.83,616760,80.46,78.84,,,69.890890304646,88.7495306689832,5.067228249973457
45,79.23,81.41,77.83,77.98,487639,80.7,79.12,,,70.89285395339706,88.39480746718897,4.960997660689639
46,79.13,79.5,77.27,77.58,380607,80.65,79.21,,,71.15528169295895,88.3656523596508,4.765926399211808
47,78.79,80.95,78.79,80.37,678432,80.83,79.13,,,71.2729041655255,88.26324416951893,4.666217370696679
48,82.0,83.38,81.64,82.69,399268,80.8,79.07,,,71.2298960716989,87.64662122063622,4.54791612993263
49,80.71,80.98,79.255,80.04,519007,80.59,78.96,77.47,,71.26839418367074,87.36556217595512,4.468422120651728
50,80.55,81.96,77.795,77.87,376540,79.64,78.79,77.1,,71.30585997776183,87.11038140398378,4.446749112033747
51,77.225,77.225,73.16,73.89,491066,78.62,78.73,76.68,,71.0768751559246,87.13047449378693,4.46555274688848
52,72.23,76.17,69.69,76.17,961305,78.27,78.92,76.25,,70.60938267659176,87.25158704436541,4.609441836396447
53,75.71,78.41,75.59,76.67,1756352,78.14,78.85,75.88,,70.73135741576087,87.25613813251485,4.481624562368129
54,79.85,85.16,79.85,84.31,836187,78.84,79.26,75.73,,70.96832296343709,87.81470737169376,4.767937093627548
55,83.53,84.73,82.0,83.89,636070,79.54,79.78,75.82,,71.46834537407058,87.93589400399414,4.6223701583684385
56,85.37,86.785,85.25,86.14,1039961,80.19,80.3,75.82,,71.55975708511639,88.48418628020193,4.4989865756278355
57,85.6,86.73,84.12,86.15,818824,80.57,80.7,75.93,,71.60720101436301,89.08138782035772,4.36405896308299
58,85.99,86.23,84.235,85.49,762612,81.18,81.04,76.17,,71.61342523476749,89.50857321942497,4.19484046571992
59,88.56,91.45,88.43,91.38,737507,82.68,81.46,76.43,,71.0598968311717,90.96647312948798,4.320923289597069
60,93.54,96.02,92.81,94.12,1279210,84.92,82.07,76.99,,69.90304791651099,93.20576609905797,4.343714483197279
61,95.38,95.38,91.7,92.34,716633,86.72,82.36,77.43,,69.25339742417582,94.89816683502944,4.296306305826045
62,90.9,90.9,88.09,89.93,1537635,88.19,82.71,78.05,,69.10964732728783,95.63656154249912,4.292998712552756
63,90.37,90.82,88.91,89.34,937627,88.75,83.21,78.56,,69.1739785693768,96.40087997277425,4.122784518798988
64,89.38,92.71,89.38,92.63,867106,89.72,83.95,79.12,,69.63423758549519,97.25464624513302,4.069014196027631
65,94.23,96.7467,93.9536,95.83,516283,90.8,84.84,79.79,,69.60966426378558,98.89745413817323,4.072420324882801
66,94.95,96.4,93.46,96.4,533300,91.94,85.78,80.38,,69.95594475568093,100.13050688188946,3.9915331588197445
67,101.01,102.1104,97.3,97.71,923909,93.3,86.65,80.87,,69.88957421946847,102.49171192573897,4.114309361761191
68,97.61,99.06,97.22,98.73,655671,94.11,87.45,81.34,,69.7714044448726,103.90355843498483,3.9518586930639636
69,97.4,97.75,95.285,97.01,584077,94.44,88.3,81.85,,70.30681454478272,104.7763542795151,3.9156545007022525
70,97.09,97.835,94.43,94.61,574201,94.69,89.14,82.27,,71.29476333077666,105.53988943422553,3.8791791792235193
71,89.81,90.9,85.025,85.56,867099,94.2,89.72,82.51,,73.27102451799708,104.88573476878064,4.286737809278982
72,89.59,90.5,87.76,87.915,116161,94.04,90.31,82.91,,76.9335615145996,103.68607448061643,4.333399394330483
73,85.14,89.795,84.15,88.96,834466,93.64,90.92,83.31,,78.8407841848805,102.50606300133462,4.427085151878305
