,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,27.76,28.84,26.94,28.45,4299115,,,,,,,1.8999999999999986
1,28.58,30.57,28.58,30.56,2385559,,,,,,,1.9157142857142846
2,30.5,31.04,28.33,29.23,4476887,,,,,,,1.9724489795918356
3,29.82,30.05,28.68,28.98,1816069,,,,,,,1.9294169096209903
4,28.18,29.13,28.03,28.63,3887461,,,,,27.41030918489694,30.859289879940846,1.8701728446480625
5,28.0,28.3562,25.68,26.35,3060361,,,,,26.615713055601727,30.91576928538535,1.9473033557446295
6,24.0,25.23,22.54,23.25,4553432,,,,,24.069332774049276,30.976152343186516,2.0803531160485846
7,24.1,24.77,21.97,23.46,5757824,,,,,22.310138439603506,29.87884369539264,2.1317564649022573
8,22.81,23.2597,21.81,22.35,5961336,26.81,,,,21.262292654090086,28.641786525707577,2.097345288837811
9,20.27,21.59,18.91,20.73,4285571,25.95,,,,19.770906886907923,27.160250442048014,2.1932491967779675
10,21.88,23.75,21.01,23.7,3306030,25.19,,,,19.831200790514043,25.145797292298205,2.2523028255795414
11,19.95,20.41,16.5,18.64,10766114,24.01,,,,17.7158227262104,24.499586873079508,2.605709766609574
12,19.06,19.75,17.6,18.32,2681236,22.83,,,,16.92900871704871,23.49121968366216,2.5731590689946047
13,17.4,17.41,15.21,17.01,5144821,21.53,,,,15.611961056740492,22.91843317901452,2.611504849780704
14,17.18,20.28,16.6702,19.98,9083722,20.83,,,,15.206534305734053,22.587575798071565,2.68281164622494
15,20.64,22.13,18.7,19.39,4111735,20.4,,,,15.63292703175815,21.695552882378156,2.736182242923159
16,18.51,18.97,17.35,18.21,4067294,19.81,,,,15.818683635973288,21.44152819417507,2.6864549398572186
17,19.38,20.46,19.15,20.03,2026181,19.56,,,,15.828398539216092,21.616592765749903,2.6552795870102743
18,20.45,23.43,20.13,22.43,5086266,19.75,,,,17.008987517884375,22.793117592343858,2.7084739022238264
19,22.51,24.6,22.35,23.75,2302762,19.75,23.17,,,17.672004291850428,24.17303215054684,2.675725766350696
20,22.49,23.29,21.62,22.76,3803844,20.21,22.89,,,18.13022614350273,24.490352537546407,2.6367453544685038
21,22.61,23.1499,21.55,22.51,1505982,20.67,22.49,,,19.667637821661437,24.510946164214776,2.5626849720064677
22,22.53,22.795,21.44,21.65,3773414,21.19,22.11,,,20.613904234559097,24.136269947240503,2.4764217597202913
23,20.98,20.98,19.5,19.71,1969546,21.16,21.64,,,20.228200206805816,24.265107356290436,2.4531059197402705
24,19.5,20.6,19.42,20.19,2284422,21.25,21.22,,,19.566403580209204,23.436359618181438,2.362169782615965
25,19.97,20.4464,18.85,19.89,2944168,21.44,20.9,,,18.900053515520725,22.873443649051175,2.307471941000539
26,20.82,22.03,20.81,21.83,1247405,21.64,20.83,,,18.927138820460122,22.378280690475894,2.2955096595005005
27,22.95,23.59,21.86,22.17,1869500,21.61,20.76,,,18.86469709392971,22.83648946752993,2.257258969536179
28,22.54,23.12,21.9507,22.93,3598860,21.52,20.79,,,19.172028234171975,23.38451053218459,2.1795476145693096
29,23.0,24.94,22.99,24.1,2716662,21.66,20.96,,,19.724067808422078,24.51608140525134,2.167437070671502
30,23.57,23.88,21.5,22.81,2033447,21.7,20.92,,,21.029981620633873,24.576269702659967,2.1983344227663952
31,23.5,24.01,23.13,24.005,2634009,21.96,21.18,,,21.558189110172975,24.5784998135719,2.1270248211402243
32,24.04,24.04,22.52,22.7,4538008,22.29,21.4,,,21.727918080614685,24.64493121736391,2.083665905344494
33,22.69,22.98,22.0,22.73,2935952,22.57,21.69,,,21.74581967193421,24.66562921157751,2.0048326263913157
34,23.4,23.69,22.695,22.94,4115912,22.91,21.84,,,21.736639343412357,24.156061922208234,1.932701724506222
35,22.69,22.69,21.84,21.86,3546889,22.92,21.96,,,21.91233820417344,24.096955282927087,1.8732230298986348
36,21.39,21.535,20.8,21.0,4106698,22.79,22.1,,,21.22688643339879,23.961625569128948,1.815135670620161
37,21.18,21.84,21.08,21.735,2241414,22.65,22.18,,,20.925936594465178,23.418547474323642,1.7454831227187209
38,21.81,22.55,21.77,22.21,2863818,22.44,22.17,,,20.897223006575643,23.299737145952122,1.6790200425245265
39,22.23,22.66,22.01,22.6,2398619,22.42,22.12,,,20.97203219795144,22.786718910703676,1.6055186109156316
40,22.97,24.55,22.825,24.44,3693033,22.47,22.2,,,20.896846889651748,23.80139133171184,1.630124424421658
41,25.0,25.72,24.53,24.81,2839570,22.7,22.32,,,21.12015458197114,25.075530328600713,1.605115536962968
42,25.17,26.36,25.17,25.9822,3218356,23.06,22.53,,,21.74172221104897,26.103762080470695,1.6011787128941846
43,23.5,24.84,22.605,23.43,6256152,23.12,22.72,,,22.07701609928174,26.23315315442206,1.7280373762588856
44,23.04,23.17,21.6,22.23,1912338,23.16,22.82,,,21.87989376237602,26.144457972969043,1.7353204208118223
45,21.69,21.99,21.3588,21.975,1680853,23.27,22.92,,,21.331899433887816,26.22551098366381,1.6735975336109778
