,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,54.17,55.68,52.95,53.19,1937440,,,,,,,2.729999999999997
1,51.5,53.1,50.89,52.64,2585852,,,,,,,2.699285714285711
2,52.6,55.02,51.71,55.02,2696393,,,,,,,2.7429081632653034
3,54.58,55.11,50.445,51.0,3799859,,,,,,,2.8802004373177814
4,51.47,51.5,48.76,50.39,2402090,,,,,,,2.8701861203665113
5,48.33,48.56,46.08,46.71,2804533,,,,,,,2.9730299689117605
6,44.56,46.77,44.01,44.8,4281130,,,,,,,2.957813542560921
7,41.06,41.09,35.095,35.99,4897138,,,,,,,3.439755432377998
8,38.39,40.25,36.3,40.235,3991041,47.78,,,,,,3.4983443300652843
9,38.85,39.58,37.5,38.01,3150230,46.09,,,,,,3.4438197350606212
10,34.5,40.47,33.02,34.96,5164102,44.12,,,,,,3.7299754682705766
11,38.32,38.69,34.03,38.67,4344717,42.31,,,,,,3.7964057919655354
12,31.52,33.9,30.6,31.47,3798728,40.14,,,,,,4.101662521110854
13,32.17,34.72,30.0,34.39,3756482,38.36,,,,,,4.14582948388865
14,31.45,32.43,26.26,27.41,3848520,36.22,,,,,,4.430413092182318
15,26.73,30.0,24.28,28.9401,3871214,34.45,,,,,,4.522526442740724
16,29.26,30.03,27.17,28.93,3029395,33.67,,,,,,4.4037745539735305
17,28.5,29.32,27.05,27.34,1929433,32.24,,,,,,4.2513620858325645
18,29.8,31.63,29.07,30.53,2357316,31.4,,,,,,4.254121936844524
19,31.0,34.34,29.1286,33.09,2822151,31.2,39.19,,,17.589110652893392,59.687555504163775,4.32249894135563
20,33.48,34.84,32.5,33.98,2077123,30.68,38.23,,,17.93443404857526,57.50748174190258,4.180891874115943
21,32.54,33.82,31.39,32.82,1849891,30.83,37.23,,,18.22459377371042,55.617136183469725,4.067256740250518
22,32.54,32.75,30.4008,31.03,1863928,30.45,36.03,,,18.93264073734327,52.911268465903945,3.949538401661196
23,30.58,31.58,29.13,29.35,2167677,30.67,34.95,,,19.808407076990555,49.610463908019696,3.8424285158282534
24,27.93,28.02,26.96,27.15,2461698,30.47,33.79,,,20.704081580941953,46.98978582992752,3.7386836218405213
25,26.86,29.33,26.69,27.78,3396711,30.34,32.84,,,21.659014953296804,44.586194588319344,3.6602062202804837
26,28.34,28.43,26.95,27.35,2577217,30.34,31.97,,,22.91216670446177,42.250272239591304,3.5044772045461636
27,29.43,30.37,28.13,28.96,3583691,30.17,31.62,,,22.89661041312781,41.097142756514785,3.4698716899357236
28,31.08,32.24,30.28,30.69,3046656,29.9,31.14,,,23.29103119030065,39.973619857495954,3.4563094263688865
29,31.195,33.32,30.72,33.02,2712682,29.79,30.89,,,24.156100530895703,38.92565301870553,3.3972873244853945
30,34.32,37.01,33.77,34.75,3866750,30.01,30.88,,,24.063849606078527,37.990172412006245,3.439623944165009
31,34.75,34.75,32.25,32.8,2053360,30.21,30.59,,,24.270759744451894,37.0921885220246,3.3725079481532223
32,33.43,33.68,30.35,30.89,2416827,30.38,30.56,,,24.272827814754102,37.06569039253069,3.3694716661422777
33,28.99,29.63,27.98,28.11,3030844,30.48,30.25,,,24.164516137601872,36.773756306933436,3.336652261417829
34,28.0,28.0,25.8,26.06,2696913,30.29,30.18,,,24.08244647731003,36.83905794187245,3.2633199570308413
35,27.53,30.22,27.31,29.98,4116025,30.58,30.23,,,24.679722069480665,36.836192613689605,3.3273685315286383
36,28.39,30.905,27.84,29.66,3007536,30.66,30.27,,,24.765996540211574,36.83629929503172,3.308627922133736
