,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,277.39,286.63,270.86,272.36,746192,,,,,,,15.769999999999982
1,280.54,286.14,275.495,286.12,499574,,,,,,,15.627857142857126
2,278.22,283.25,272.12,274.95,696318,,,,,,,15.511581632653046
3,264.87,273.76,263.6,272.27,713726,,,,,,,15.214325801749254
4,256.12,259.76,248.62,250.41,973425,,,,,,,15.816873958767165
5,257.26,268.9,253.24,268.43,1516934,,,,,,,16.007811533140938
6,259.98,262.335,245.67,250.4,997670,,,,,,,16.49011070934516
7,231.98,236.018,214.24,225.865,1853064,,,,,,,17.89510280153479
8,233.25,244.07,223.605,243.58,1069027,260.49,,,,,,18.07866688713945
9,197.57,207.68,197.57,202.43,3218842,252.72,,,,,,20.073762109486633
10,206.56,210.65,195.85,209.12,1695576,244.16,,,,,,19.697064815951876
11,173.57,182.39,163.19,178.05,1622109,233.4,,,,,,21.57084590052674
12,176.23,185.37,160.39,182.57,2605388,223.43,,,,,,21.814356907631975
13,180.17,189.42,167.35,175.1,2454199,215.06,,,,,,21.832617128515405
14,177.22,177.22,154.33,157.05,1502575,202.68,,,,,,21.90814447647859
15,165.82,178.76,165.31,173.79,1236538,194.17,,,,,,21.893991299587263
16,174.22,200.56,168.86,192.36,2963317,190.45,,,,,,22.594420492473887
17,194.36,197.98,182.54,192.58,1534407,184.78,,,,,,22.08339045729718
18,187.44,187.7499,180.0,181.24,1785376,182.43,,,,,,21.404576853204528
19,181.9,183.6,175.35,180.28,956784,179.22,218.45,,,121.842887213552,307.6114162809788,20.464964220832776
20,178.49,179.58,171.9193,173.22,2252136,178.69,213.49,,,120.55001624466637,299.29098405771725,19.600373919344722
21,165.44,167.38,160.55,162.58,1008903,176.47,207.31,,,119.86929543062047,290.1546271642127,19.1053472108201
22,160.25,167.29,158.89,165.19,2611048,175.37,201.83,,,120.58969119356051,279.62120628938516,18.34067955290438
23,163.26,167.5,162.19,164.22,1312608,176.16,196.42,,,122.6602502538782,269.3689871915375,17.409916727696924
24,169.0,180.6,168.28,179.19,1215077,176.76,192.86,,,124.94422487489177,260.35711460730846,17.336351247147142
25,190.78,195.33,185.35,186.02,1447927,176.06,188.74,,,131.57293416526258,247.0806457057863,17.250897586636633
26,188.48,193.97,185.51,192.42,1740608,176.04,185.84,,,139.45603256684902,232.92706349885586,16.622976330448303
27,197.94,207.15,197.505,198.86,841994,178.0,184.49,,,141.46500333206103,226.6921137292793,16.487763735416284
28,198.75,198.85,191.46,195.08,637453,179.64,182.07,,,146.8023652307965,214.67761270223247,15.83863775431512
29,199.13,203.95,198.64,201.7,1358408,182.81,182.03,,,146.6665437317187,213.95819662102946,15.340877914721183
30,196.76,197.01,186.11,187.16,2232667,185.54,180.93,,,147.41869651813582,211.41119949649047,15.358672349383955
31,189.32,191.13,186.49,190.64,1856947,188.37,181.56,,,148.57063642063835,211.80721041105645,14.59305289585653
32,198.99,204.7499,196.61,204.15,2070978,192.8,182.64,,,149.7503441048626,213.93385330384118,14.558541974723923
33,200.02,202.55,193.21,193.95,2041002,194.44,183.58,,,150.55684483985024,215.3574617655001,14.300074690815073
34,189.85,191.89,187.98,190.52,1863435,194.94,185.26,,,154.38956257137954,215.50021899233133,13.705069355756855
35,193.6,198.3,192.8,197.52,1071148,195.51,186.44,,,156.165016448824,216.18047751460688,13.281850116059937
36,198.16,203.56,198.16,199.42,2542264,195.57,186.8,,,157.32394823617636,216.60652446160032,12.764575107769941
37,201.28,202.67,198.27,200.17,1826811,196.14,187.18,,,157.21788798939525,217.19349404970097,12.167105457214944
38,201.68,213.06,200.0,212.5,2394700,197.34,188.74,,,157.32311570676862,220.1552235272008,12.23088363884245
39,219.28,223.2,214.41,218.16,2133896,200.78,190.63,,,156.6617273951184,224.97560126080384,12.12153480749656
40,223.1,232.1,221.27,230.96,1763543,205.26,193.52,,,156.27647691808914,231.04810708823376,12.251425178389663
41,228.0,228.2551,221.01,221.61,1176884,207.2,196.47,,,159.26690591925447,233.78216870149762,12.087037665647546
42,216.98,218.15,210.97,211.82,619747,209.19,198.8,,,164.86234581567098,233.42776832665675,11.98367783238701
43,209.3,210.23,206.38,209.63,620329,211.31,201.07,,,170.93384135035822,230.83836631028717,11.516272272930793
44,211.6,214.89,210.35,210.75,873064,212.78,202.65,,,176.20266162962147,230.24398747296524,11.069395682007164
45,212.0,212.69,208.15,210.16,401767,213.97,203.86,,,177.96773876121932,230.64877111524262,10.603010276149508
