,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,57.29,59.34,57.1,59.25,19422458,,,,,,,2.240000000000002
1,60.67,64.07,59.86,64.04,13571160,,,,,,,2.4242857142857157
2,64.57,65.65,61.36,62.52,13073740,,,,,,,2.557551020408165
3,66.6,66.98,64.83,66.03,11943547,,,,,,,2.6934402332361533
4,63.94,65.44,63.63,64.34,7295823,,,,,,,2.672480216576428
5,62.57,65.09,62.2,64.135,10343972,,,,,,,2.688017343963826
6,59.75,63.1483,59.6,61.25,11623235,,,,,,,2.8199446765378386
7,62.76,63.36,59.06,62.6,11276855,,,,,,,2.925662913927993
8,61.22,63.0,59.98,61.29,10924612,62.83,,,,,,2.9324012772188506
9,57.13,57.98,53.5,54.6,15051372,62.31,,,,,,3.279372614560361
10,57.46,59.8,54.46,59.577,13365927,61.82,,,,,,3.426560284948907
11,54.24,56.89,52.21,52.3,11297554,60.68,,,,,,3.7080202645954135
12,53.63,59.25,52.6395,58.0,13956096,59.79,,,,,,3.939590245695741
13,54.35,59.64,53.06,57.26,14036487,59.0,,,,,,4.128190942431759
14,56.8,59.11,54.14,55.4,13261245,58.03,,,,53.58992310559652,65.11840037502364,4.188320160829491
15,55.81,56.78,53.53,54.74,12742304,57.31,,,,53.20988684886202,65.15631384034336,4.121297292198813
16,53.86,54.97,52.04,53.11,14005762,56.25,,,,52.5148710159513,64.89825349815956,4.036204628470326
17,55.13,55.64,52.86,54.34,17152374,55.48,,,,51.989690712124485,64.26133571724809,3.9464757264367316
18,54.4,57.53,52.71,53.635,17306043,55.37,,,,51.72237020446382,63.23709963597396,4.0088703174055365
19,53.65,58.43,52.28,58.3,21115057,55.23,58.84,,,51.54129492145329,62.40726946504165,4.16180815187657
20,56.69,59.78,55.82,58.72,13588993,55.94,58.81,,,51.7447638663181,61.61699948002436,4.147393283885386
21,58.92,60.4,57.78,59.68,11652924,56.13,58.59,,,51.82846039335692,61.208928536888074,4.038293763607859
22,59.18,59.84,58.18,59.38,9389198,56.37,58.43,,,51.875531970485596,60.64625058666979,3.8684156376358696
23,57.75,58.87,57.2,58.28,10129724,56.69,58.05,,,52.06760725620867,59.97625274861575,3.747814520661879
24,56.77,56.98,54.07,55.36,15311285,56.76,57.6,,,52.113297933223215,59.94447810277851,3.7808277691860304
25,55.22,56.6,54.35,55.71,7877761,57.04,57.18,,,52.10675611532333,59.724888811090324,3.671482928529885
26,57.77,57.92,55.78,56.18,10477190,57.25,56.92,,,52.3836900158772,59.763612124951074,3.567091290777751
27,57.9,58.52,56.16,56.88,10666481,57.61,56.64,,,52.63652866851341,59.689644148483275,3.4808704842936264
28,57.2964,59.82,56.8486,59.41,7132678,57.73,56.54,,,52.86732744713635,59.714720865679254,3.4444797354155106
29,59.52,61.45,59.32,60.48,7989500,57.93,56.84,,,52.93519845503047,60.0749173960523,3.350588325742974
30,60.5,61.2641,58.12,58.92,9163120,57.84,56.8,,,53.18411238878988,60.481651220378495,3.335839159618476
31,59.88,61.67,59.67,61.52,7278452,58.08,57.27,,,53.68530096088429,60.81762955997316,3.293993505360014
32,60.65,60.928,59.45,60.56,7466906,58.34,57.39,,,54.15260046817915,60.98082978381772,3.2065653978342983
33,60.84,62.8927,60.43,62.51,10394617,59.13,57.66,,,54.71517455513222,61.49359009142555,3.1534321551318483
34,64.01,64.25,62.3531,63.38,7225429,59.98,58.05,,,55.402239818529715,62.190649225906505,3.0636798583367164
35,62.75,63.685,62.16,62.37,6014600,60.67,58.44,,,55.62188808914398,62.643431234976084,2.9537741541698086
36,61.51,61.71,59.97,60.26,7390938,61.05,58.79,,,55.72591437845645,62.757895722786024,2.9142188574433936
37,60.79,60.99,60.08,60.445,4402236,61.16,59.1,,,55.81048562856296,62.83280041055146,2.7710603676260086
38,60.89,62.23,60.86,61.31,5068761,61.25,59.48,,,56.00339551670588,63.050060920366064,2.700627484224151
39,61.34,62.7,60.98,62.31,4312901,61.63,59.68,,,56.729382920356215,63.23333125677987,2.6305826639224263
40,62.98,63.83,62.81,63.46,5649483,61.84,59.92,,,57.50786839527219,63.418855039486424,2.55125533078511
41,65.0,65.0,62.78,63.22,6884359,62.14,60.1,,,58.1231595019955,63.78645083340062,2.52759423572903
42,63.52,64.05,62.5201,62.59,6726152,62.15,60.26,,,58.788825074135175,63.918434102741145,2.4563303617483854
43,62.35,62.68,61.41,61.535,5875893,61.94,60.42,,,59.41297836551557,63.92194985013807,2.371592478766358
44,60.79,60.8,59.27,59.71,6540457,61.65,60.64,,,59.405791833534145,63.93028134369013,2.363978730283046
45,59.16,60.13,58.9402,59.95,5515640,61.61,60.85,,,59.55883153670302,63.96099735800746,2.2801088209771145
46,60.63,61.61,60.35,61.11,7099092,61.69,61.1,,,59.63777532178277,63.95952625172806,2.2358153337644633
47,63.43,63.49,60.26,60.37,12971675,61.58,61.27,,,59.7422588661923,64.08249918529292,2.306828524209859
48,61.36,61.7916,60.85,61.46,8571120,61.49,61.37,,,59.7794045459843,64.02520183799625,2.2435979153377263
49,62.16,63.23,61.76,63.09,6703889,61.45,61.5,59.74,,59.7752144747956,63.89583645875976,2.209769492813603
50,62.71,64.079,62.68,63.825,6237823,61.52,61.75,59.83,,59.76805918232288,63.94941808764581,2.1518573861840595
51,64.2,64.57,63.05,63.37,9239962,61.6,61.84,59.82,,59.910241929257225,64.21009296689893,2.1067247157423408
52,63.28,63.4999,60.755,61.14,7257732,61.56,61.87,59.79,,59.98624147923528,64.30409324368476,2.1523086646178875
53,62.31,62.41,60.34,62.29,8273435,61.84,61.86,59.71,,59.93261844840686,64.31054992539396,2.146429474288038
54,61.77,63.29,61.71,63.23,7061988,62.21,61.85,59.69,,59.97850574292336,64.35142213333897,2.1059702261246067
55,64.47,64.86,63.67,63.71,5734272,62.5,61.92,59.68,,59.94969088074437,64.48975015650511,2.071972352829992
56,63.3,64.18,62.865,63.61,4736795,62.86,62.09,59.73,,59.94905571868022,64.3699265341146,2.0179028990564216
57,64.1,64.33,62.99,63.21,5918891,63.05,62.22,59.74,,59.948033995667004,64.40576778251241,1.9694812634095342
58,62.95,63.93,62.73,63.33,4736561,63.08,62.33,59.78,,59.995335542950116,64.50589626887536,1.9145183160231392
59,63.42,63.49,62.89,63.34,3052574,63.03,62.38,59.96,,60.33046105416474,64.53972112521475,1.820624150592915
60,64.47,65.6,64.33,64.67,6656595,63.17,62.44,60.06,,60.76575289988118,64.71428912092682,1.8520081398362778
61,64.97,66.0,63.85,65.97,5757733,63.71,62.58,60.33,,61.017961723023525,65.01687168205702,1.873293272705115
62,66.7,67.73,66.41,66.55,5705334,64.18,62.77,60.5,,61.176489909232394,65.66579979195829,1.8652008960833215
63,66.39,66.7,64.62,65.63,7011152,64.45,62.98,60.67,,61.44812433272023,65.9647377958101,1.880543689220227
64,65.44,65.96,65.0122,65.64,4815337,64.66,63.27,60.88,,61.61985404190203,66.14367106466099,1.8139191399902097
65,65.64,67.31,65.4102,66.86,4890798,65.02,63.62,61.12,,61.7102727510052,66.49396250521758,1.8200534871337661
66,67.14,67.6751,66.24,66.87,5521146,65.43,63.91,61.39,,61.770734817889014,66.848717443503,1.7925568094813549
67,66.29,66.72,65.95,66.52,4863012,65.78,64.22,61.64,,62.20255034867853,67.04611254569951,1.7302313230898296
68,67.28,69.19,67.13,68.37,7457084,66.34,64.56,61.93,,62.77887686714425,67.56194207722324,1.797357657154842
69,68.2,70.64,68.16,70.555,7582057,67.0,64.93,62.18,,63.11620058803787,68.30784342534709,1.846117824500925
70,69.87,70.29,68.98,69.52,5206673,67.39,65.22,62.39,,63.19560941316539,68.87212256799918,1.8267522656080022
71,69.58,69.61,67.38,67.5,5630639,67.5,65.43,62.55,,63.52939343627122,69.24532051114646,1.855555675207431
72,66.11,66.43,62.71,63.28,10830227,67.24,65.53,62.63,,63.48401244035436,69.26796199865113,2.0651588412640427
73,64.77,65.78,63.71,63.71,2123131,67.02,65.6,62.74,,63.6316084525194,69.23852446478412,2.0962189240308966
74,63.03,63.78,61.82,63.32,8619864,66.63,65.61,62.9,,63.437579358107214,69.21897019594492,2.0864890008858326
75,64.97,66.1899,63.92,65.6,9348656,66.49,65.7,63.09,,63.39126521824608,69.2269748136739,2.1424469293939867
76,66.0,66.1351,64.665,65.0,6576547,66.32,65.77,63.27,,63.48002994274912,69.22949414451918,2.094422148722987
77,64.65,64.97,63.89,64.48,5356161,65.89,65.84,63.42,,63.29044228825024,69.13736365829462,2.0241062809570596
78,65.91,66.0,64.11,64.55,11236068,65.22,65.9,63.52,,63.23980600881984,69.11044340624473,2.0145272608886984
79,64.54,64.73,63.28,64.3,5474649,64.64,65.94,63.6,,63.06028644129201,69.10293537520126,1.9742038851109345
80,64.86,65.26,64.33,64.43,4590665,64.3,65.93,63.71,,62.97906027083943,69.01352915422999,1.9017607504601541
81,63.81,64.05,62.33,63.21,6309021,64.29,65.79,63.74,,62.631381256902216,68.88021796344698,1.915920696855858
82,62.7,64.1997,62.42,64.02,4858827,64.32,65.67,63.81,,62.336865932689044,68.79995812236726,1.90619064708044
83,63.9,64.1233,62.7166,63.45,4607551,64.34,65.56,63.83,,62.11106464676149,68.40812913617648,1.8705127437175515
84,64.0,65.27,63.865,64.45,6169083,64.21,65.5,63.85,,62.104026009593255,67.68329516577668,1.8669046905948687
85,64.71,65.27,63.96,64.96,5554875,64.21,65.4,63.91,,62.3541140702406,66.88288636420734,1.8271257841238064
86,64.97,65.59,64.49,64.545,4488877,64.21,65.29,63.99,,62.604656391435846,66.04203851620802,1.7751882281149638
