,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,3.32,3.42,3.23,3.37,9919351,,,,,,,0.18999999999999995
1,3.36,3.595,3.31,3.42,17123305,,,,,,,0.19678571428571423
2,3.49,3.515,3.35,3.475,4489206,,,,,,,0.19451530612244894
3,3.37,3.39,3.12,3.19,5852376,,,,,,,0.205978498542274
4,3.08,3.1,2.9,2.92,10495478,,,,,,,0.21198003436068302
5,2.65,2.86,2.53,2.555,9253061,,,,,,,0.2246957461920628
6,2.71,2.74,2.61,2.71,16400856,,,,,,,0.2218603357497726
7,2.62,2.69,2.575,2.6,13794619,,,,,,,0.21565602605336026
8,2.45,2.5,2.25,2.35,15416315,2.95,,,,,,0.22525202419240595
9,2.48,2.55,2.33,2.455,10289525,2.85,,,,,,0.22487687960723407
10,2.01,2.26,1.88,1.93,6797944,2.69,,,,,,0.24988567392100308
11,2.0,2.34,1.795,2.17,21451494,2.54,,,,,,0.2709652686409314
12,2.01,2.16,1.9,1.99,11070117,2.41,,,,,,0.2708963208808649
13,2.0,2.04,1.82,1.86,7536641,2.29,,,,,,0.2672608693893746
14,1.92,1.96,1.72,1.72,14889538,2.2,,,,,,0.2653136644329907
15,1.76,1.79,1.55,1.63,9313925,2.08,,,,,,0.26350554554491995
16,1.74,1.83,1.68,1.76,7070147,1.98,,,,,,0.2589694351488543
17,1.79,1.91,1.72,1.74,13890953,1.92,,,,,,0.2540430469239361
18,1.76,2.025,1.75,2.0,12731066,1.87,,,,,,0.25625425785794065
19,1.93,1.93,1.83,1.85,10951631,1.86,2.38,,,1.0603239189398117,3.7432388054327888,0.25009323943951633
20,1.86,1.88,1.79,1.82,6784168,1.82,2.31,,,1.0523575249117665,3.6231770107687558,0.23865800805097945
21,1.87,2.18,1.82,2.125,19629743,1.83,2.24,,,1.085312040528213,3.426018844557859,0.24732529319019522
22,2.06,2.11,1.91,1.915,9091639,1.84,2.16,,,1.1741251549009122,3.2143439092204495,0.24501634367660988
23,1.9,1.99,1.82,1.875,8568036,1.86,2.1,,,1.2505625481154994,2.9975434250307877,0.2396580334139949
24,1.87,1.9,1.66,1.7301,10750422,1.87,2.04,,,1.3008176890788719,2.8342305857619747,0.23968245959870954
25,1.83,1.95,1.8,1.95,8896446,1.89,2.01,,,1.3231876559498468,2.7120876582952254,0.2382694267702303
26,2.1,2.21,2.02,2.07,12667194,1.93,1.98,,,1.3903012500954421,2.612816832423941,0.2398216105723567
27,2.085,2.14,2.005,2.135,7012340,1.94,1.95,,,1.4793977845711765,2.505615849077212,0.23233435267433125
28,2.18,2.4,2.18,2.255,7327881,1.99,1.95,,,1.490573614693042,2.481788494778851,0.23466761319759333
29,2.36,2.48,2.14,2.21,8208279,2.03,1.94,,,1.5277156615796557,2.4619459606376353,0.24219135511205095
30,2.24,2.24,2.07,2.1,6937748,2.03,1.95,,,1.5208697306187495,2.4590270695212757,0.23703482974690449
31,2.01,2.08,1.95,2.06,5694527,2.04,1.94,,,1.5266738524856787,2.4251360672939772,0.2308180561935542
32,2.07,2.085,1.95,1.985,8763765,2.06,1.94,,,1.5270440556316227,2.4186005966651605,0.22397390932258604
33,2.07,2.195,2.005,2.17,11085645,2.1,1.96,,,1.530641418560024,2.431462472555062,0.2229757729424013
34,2.14,2.17,2.065,2.11,7449615,2.12,1.97,,,1.5446021697192482,2.441420295037872,0.2145489320179441
35,2.07,2.08,1.94,1.98,9393066,2.11,1.99,,,1.602482501918158,2.430567493807377,0.2113668654452338
36,2.04,2.09,1.93,1.95,13956513,2.09,2.0,,,1.6340994551760062,2.4210549230287546,0.20769780362771711
