,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,47.53,48.64,46.021,48.51,17799169,,,,,,,2.6189999999999998
1,46.5,46.57,44.4175,45.02,21353999,,,,,,,2.7242499999999996
2,43.47,46.9283,42.87,45.89,24186717,,,,,,,2.8195392857142854
3,43.3,45.01,42.425,43.5,24097255,,,,,,,2.8656436224489794
4,45.57,45.88,41.46,45.47,27421822,,,,,,,2.9766690779883382
5,44.0,44.34,41.73,42.68,22220614,,,,,,,3.031192715274886
6,37.47,38.78,33.46,33.7,34251451,,,,,,,3.4732503784695368
7,38.54,38.74,34.88,38.36,30312416,,,,,,,3.585161065721713
8,32.8,38.08,31.23,35.8,33293991,42.1,,,,,,3.838363846741591
9,36.23,37.19,30.6,31.74,31674028,40.24,,,,,,4.034909286260048
10,29.79,29.79,19.1,23.485,56513162,37.85,,,,,,4.649558622955759
11,23.36,24.15,20.0,21.5,42710188,35.14,,,,,,4.613875864173205
12,23.17,26.85,21.26,21.35,52917970,32.68,,,,,,4.683599016732262
13,22.17,22.83,20.6,22.23,41609238,30.09,,,,,,4.508341944108529
14,26.26,28.98,24.52,26.89,62024829,28.34,,,,,,4.668460376672205
15,31.49,33.28,27.4,31.14,66182027,28.06,,,,,,4.791427492624191
16,32.61,35.89,30.424,31.7,54879394,27.32,,,,,,4.839611243151034
17,30.72,31.32,29.02,29.55,33321515,26.62,,,,,,4.685353297211675
18,28.49,29.29,26.0,28.67,28435635,26.28,,,,,,4.604256633125127
19,29.35,30.53,28.42,28.53,23023866,26.84,33.79,,,14.218534377954885,52.37215930628762,4.426095445044761
20,26.59,26.59,23.69,23.83,53681458,27.1,32.55,,,14.099218986968385,50.682936077838924,4.455660056112993
21,23.92,24.65,22.51,22.69,35346363,27.25,31.44,,,13.959633533430278,49.25662311067562,4.290255766390637
22,23.03,23.65,21.75,22.48,42805911,27.28,30.26,,,13.860333522473056,47.46618047947839,4.119523211648449
23,22.3103,23.5,20.76,22.31,88817579,26.77,29.21,,,13.946654949253407,45.759409299801575,4.020985839387845
24,25.21,25.85,21.9,22.245,93034638,25.78,28.04,,,14.498253984276682,43.2843082070828,4.015915422288714
25,23.09,23.64,22.53,23.24,62760511,24.84,27.07,,,15.835647652219082,40.85707233169621,3.82870717783952
26,25.4,25.53,23.35,24.395,85580506,24.27,26.61,,,16.051734589495858,39.47058059336794,3.7187995222795545
27,24.98,25.06,22.08,23.25,71545087,23.66,25.85,,,16.64187363721986,37.85662311200524,3.6660281278310154
28,23.9899,25.29,23.83,24.545,50274081,23.22,25.29,,,16.98262556685466,36.115166492123834,3.549883261557371
29,24.91,25.5,23.31,24.3401,83987108,23.28,24.92,,,17.34615099513069,34.28616499196242,3.452748742874702
30,23.76,23.8,22.63,22.77,52369630,23.29,24.88,,,17.86918423362355,34.01537700052426,3.328273832669366
31,24.15,24.61,23.59,24.27,50383278,23.49,25.02,,,18.321853152804007,34.00550563935762,3.2219685589072684
32,23.44,24.12,22.91,23.64,40490855,23.63,25.14,,,18.524446872037757,33.97073694676536,3.0889708046996063
33,23.02,23.77,22.8,23.04,37006044,23.72,25.18,,,18.840396027851583,33.92413410520569,2.9376157472210633
34,23.88,23.94,21.63,22.5425,66264542,23.64,24.96,,,18.580283153746166,33.695219140586794,2.8927860509909875
35,22.65,22.96,22.41,22.48,42650220,23.43,24.53,,,18.527819501212328,32.585573565179224,2.7254441902059168
36,22.53,22.68,21.75,22.41,41057436,23.34,24.06,,,19.06236254661959,30.157145563305885,2.59719817661978
37,22.83,23.44,22.0,22.16,49485389,23.07,23.69,,,19.61527052195619,28.913452536076502,2.5145411640040813
38,23.0,24.9,22.65,24.335,82450591,23.07,23.48,,,19.75775024612745,28.124603263322513,2.5306453665752184
39,25.69,27.6,25.5,27.315,78175917,23.58,23.41,,,20.621235244379644,27.05394020981157,2.583099268962703
40,26.7,27.23,25.5,25.93,59647539,23.76,23.52,,,20.39040264795113,27.209026777157522,2.528235035465367
41,24.95,25.4,23.72,24.13,43672351,23.82,23.59,,,20.417384036056852,27.27170316441189,2.5055039615035555
42,21.19,22.79,20.5,22.597,87375002,23.77,23.6,,,20.178748014562828,27.32155991793054,2.5858251071104443
43,23.02,23.5,21.51,21.71,49811114,23.67,23.57,,,20.319001312614215,27.32155991793054,2.54326617088827
44,21.76,22.1,20.7503,21.01,51458489,23.51,23.51,,,20.124034925326256,27.27768989485436,2.458011444396251
45,21.07,22.5,21.02,21.67,46996815,23.43,23.43,,,19.937611692223587,27.32645076693713,2.388867769796519
46,22.36,22.92,22.05,22.71,39714575,23.49,23.34,,,19.87867230330092,27.204345216342475,2.3075200719539106
47,22.1,22.51,21.55,22.02,38089701,23.23,23.28,,,19.82050749484246,27.14004334941317,2.2255543525286314
48,22.1,22.4,21.03,21.035,35865410,22.53,23.11,,,19.663364594297356,27.027319135325545,2.164443327348015
49,20.97,20.97,19.09,19.425,70641442,21.81,22.86,27.32,,19.11033132185605,26.976251322631462,2.1487688039660138
50,18.8,19.54,17.51,19.38,86129057,21.28,22.69,26.74,,18.217343349152397,27.25574315696176,2.1402853179684413
51,18.97,19.65,18.62,19.1884,42970596,20.91,22.44,26.23,,17.766947553286084,27.3374977311752,2.0609792238278386
52,20.91,21.94,20.55,21.85,67540095,20.92,22.35,25.74,,17.656987528130223,27.246573418764022,2.1103092792687073
53,22.57,22.57,21.32,21.755,65903979,21.0,22.28,25.31,,17.621828606145407,27.18269873532684,2.0488586164637996
54,22.34,23.1,22.14,22.71,48139668,21.12,22.29,24.85,,17.63802711453155,27.120664282779515,1.9985830010021
55,22.77,23.68,22.6668,23.15,44872164,21.17,22.32,24.46,,17.63746602798962,27.166558055927787,1.9281985009305216
56,23.24,23.4,22.23,22.68,34859912,21.24,22.34,24.24,,17.651034077605157,27.200744136195233,1.8740414651497699
57,24.48,25.865,24.28,25.64,75153940,21.75,22.51,23.99,,17.587970919519066,27.503162464477914,1.9676813604962147
58,27.67,27.85,24.73,26.32,87024703,22.52,22.61,23.8,,17.491909208564522,28.075948512045304,2.0499898347464853
59,26.25,26.36,24.95,25.65,51898829,23.22,22.53,23.68,,17.557185663211612,27.80751044029253,2.0042762751217365
60,24.62,25.605,24.37,25.13,45036214,23.88,22.49,23.71,,17.68338499700226,27.480142689899175,1.9525422554701837
61,25.33,26.76,25.0826,26.17,45065738,24.36,22.59,23.8,,17.568620561518646,27.733734413881397,1.9328892372223136
62,26.68,26.98,25.935,26.41,41261787,24.87,22.78,23.91,,17.50612778565816,28.228491061212058,1.86946857742072
63,27.01,28.6,26.7,28.47,63128051,25.51,23.12,24.03,,17.330025985917136,29.003767432376396,1.8923636790335259
64,30.27,32.81,29.22,32.3898,130290792,26.54,23.69,24.14,,16.94659710976862,30.848570748420258,2.0671948448168456
65,37.2,37.24,33.45,34.1683,123421018,27.82,24.31,24.2,,15.921180521377917,33.70677211173865,2.2659809273299283
66,36.63,37.08,35.38,36.99,76087971,29.08,25.03,24.31,,14.89426067324064,35.87627692245923,2.3121037182349333
67,34.5,34.729,32.65,34.18,57141791,29.95,25.63,24.4,,14.764041529847013,37.11968820330358,2.456953452646724
68,32.24,32.99,29.76,31.67,86671587,30.62,26.17,24.46,,15.092421636200307,37.86936086845357,2.597171063171958
69,26.65,29.57,26.6,27.222,83016520,30.85,26.56,24.43,,15.853093777240497,37.99327869164729,2.773801701516818
70,29.89,30.74,29.3,29.3317,27700814,31.2,27.05,24.54,,17.05923236488748,37.99640477395061,2.826958722837045
71,28.3,30.965,28.0,30.46,61134270,31.65,27.62,24.7,,18.198834025704738,37.867159789985436,2.836818814062971
72,32.63,33.02,30.61,31.33,56069739,31.97,28.09,24.88,,18.99850173405919,38.10944954554644,2.8170460416299017
73,30.84,31.16,30.08,30.72,33951543,31.79,28.54,25.04,,19.788515392724378,38.06101544865095,2.7051141815134803
74,29.88,31.145,29.595,30.81,35301750,31.41,28.94,25.21,,20.525471822849344,37.957390388853796,2.622606025691089
75,31.51,31.52,29.02,29.52,42661013,30.58,29.26,25.34,,21.24026731365662,37.84152286283175,2.61384845242744
76,29.03,29.84,28.56,29.31,37487427,30.04,29.59,25.44,,22.137253619652085,37.46237751541905,2.5185735629683372
77,29.53,29.65,28.73,29.64,28807946,29.82,29.79,25.57,,22.668862350176397,37.31186237053673,2.404389737042027
