,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,33.8,33.8,33.8,33.8,2,,,,,,,0.0
1,35.49,35.49,35.49,35.49,6,,,,,,,0.12071428571428605
2,31.98,31.98,31.98,31.98,6,,,,,,,0.36280612244898003
3,31.0,31.0,31.0,31.0,2,,,,,,,0.40689139941691005
4,32.802,32.802,32.802,32.802,450,,,,,,,0.5065420137442735
5,32.8,32.8,32.8,32.8,2,,,,,,,0.47050329847682565
6,34.0,34.0,34.0,34.0,4,,,,,,,0.5226102057284812
7,34.0,34.0,34.0,34.0,2,,,,,,,0.48528090531930396
8,31.04,31.5607,31.04,31.5607,201,33.05,,,,,,0.6620465549393537
9,32.0,32.0,32.0,32.0,26,32.85,,,,,,0.6461360867293998
10,31.2,31.2,31.2,31.2,6,32.37,,,,,,0.6571263662487284
11,29.78,35.9999,29.78,35.9999,264,32.82,,,,,,1.0544673400881046
12,31.56,31.56,31.56,31.56,64,32.88,,,,,,1.29628395865324
13,35.0,35.0,33.745,33.745,300,32.99,,,,,,1.4494065330351515
14,32.78,32.78,32.78,32.78,2,32.98,,,,,,1.4148060663897835
15,32.78,32.78,32.78,32.78,4,32.85,,,,,,1.3137484902190846
16,33.79,33.79,33.79,33.79,4,32.82,,,,,,1.29205216948915
17,31.08,31.08,31.08,31.08,4,32.77,,,,,,1.3933341573827822
18,33.6,33.6,33.6,33.6,8,32.95,,,,,,1.473810288998298
19,32.51,32.51,32.51,32.51,124,33.09,32.92,,,29.809806113532158,35.90113504462729,1.4463952683555628
20,33.6,33.6,33.6,33.6,4,32.83,32.91,,,29.816811459079165,35.88073835530777,1.4209384634730229
21,32.51,32.51,32.0,32.0,94,32.88,32.74,,,29.999635808879777,35.48400109653871,1.4337285732249498
22,30.27,30.27,30.27,30.27,4,32.49,32.65,,,29.7357751300649,35.61465867740712,1.4548908179945965
23,35.0,35.8842,35.0,35.8842,208,32.83,32.9,,,29.752054374165866,36.05876630772831,1.7519843309949825
24,32.74,34.37,32.74,34.37,18,33.01,32.98,,,29.75016180042285,36.1968040172257,1.8514283073524838
25,32.8,34.44,32.8,34.44,122,33.08,33.06,,,29.75016180042285,36.334989530880215,1.836326285398735
26,34.85,34.85,34.85,34.85,102,33.5,33.1,,,29.672876838323962,36.447278111243605,1.7344458364416828
27,33.1,33.1,33.1,33.1,12,33.45,33.06,,,29.695448954770463,36.37991256778166,1.73555684812442
28,33.6,33.6,33.6,33.6,2,33.57,33.16,,,29.872735424810333,36.39923767913357,1.6473027875441044
29,36.5,36.5,36.5,36.5,152,33.89,33.38,,,29.62505374654127,36.881539961461776,1.7367811598623826
