,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,38.12,40.49,38.05,40.41,8849722,,,,,,,2.440000000000005
1,41.05,41.41,39.78,41.41,6382607,,,,,,,2.3821428571428616
2,41.35,42.7439,39.74,40.53,5626191,,,,,,,2.426554081632657
3,41.45,41.97,40.21,41.88,4208156,,,,,,,2.378943075801753
4,40.03,40.63,39.66,40.07,4659813,,,,,,,2.367589998958771
5,38.72,39.69,38.31,38.98,6204183,,,,,,,2.3241907133188584
6,34.75,34.94,30.43,30.53,13645761,,,,,,,2.7688913766532255
7,32.51,33.33,29.315,31.39,11971058,,,,,,,2.8578991354637093
8,30.19,30.33,27.8501,27.99,11151040,37.02,,,,,,2.906613482930587
9,25.45,26.39,22.39,23.92,16399872,35.19,,,,,,3.098998234149831
10,27.93,28.01,22.58,25.69,15922825,33.44,,,,,,3.265498360281986
11,23.1,25.43,21.95,22.0,10763355,31.38,,,,,,3.299391334547559
12,25.67,27.6,22.74,26.6,18674064,29.69,,,,,,3.463720524937019
13,24.84,28.2899,24.51,26.38,13903132,28.16,,,,,,3.4863047731558034
14,26.28,31.35,25.93,28.12,13113972,26.96,,,,22.62101228084436,41.226294832184024,3.6244258607875324
15,28.59,29.69,26.59,27.44,11708349,26.61,,,,22.076029456084928,40.33528784583623,3.5869668707312803
16,27.14,28.43,26.01,26.6,10237659,26.08,,,,21.648905023949098,39.15307415747606,3.5036120942504745
17,28.66,29.96,26.9,28.49,11115665,26.14,,,,21.4900496178579,37.55305805425385,3.4933540875182976
18,29.18,32.425,28.6,30.37,9341411,26.85,,,,21.730974785161376,36.02938971719227,3.5249002241241336
19,30.28,31.3,28.95,29.68,12527978,27.3,31.42,,,22.270447351221897,34.47191284323757,3.4409787795438387
20,28.0,29.2618,26.92,28.5,8380824,28.02,30.83,,,23.094191198692755,32.6320573417461,3.3923374381478504
21,28.31,29.39,27.8101,28.65,6032188,28.25,30.19,,,23.161652838139005,31.79090843207864,3.26287762113729
22,28.55,30.08,28.45,29.21,6550217,28.56,29.62,,,23.18533605878333,31.271423644408713,3.1462435053417694
23,27.84,28.27,26.94,27.04,8613712,28.44,28.88,,,23.170219309061768,31.119207221991765,3.083654683531643
24,27.11,29.84,26.9252,28.03,9113831,28.51,28.28,,,23.674422913744607,31.189899226259936,3.0715936347079547
25,27.78,28.57,27.42,27.97,6654510,28.66,27.73,,,24.227104854396014,31.201164031529846,2.934336946514529
26,29.53,30.98,29.5,30.47,6295667,28.88,27.73,,,25.037225372932618,31.200557689799105,2.93974145033492
27,32.76,35.07,31.81,32.27,13769008,29.09,27.77,,,25.63111792200525,32.208592036040656,3.058331346739569
28,33.23,34.94,32.36,34.74,6129334,29.65,28.11,,,25.945865905259225,32.96913919477275,3.0305933934010283
29,35.75,37.74,35.54,36.56,8808286,30.55,28.74,,,25.81362603473778,34.14849187722786,3.028408151015241
30,36.47,36.89,34.57,35.23,6435935,31.28,29.22,,,25.987615153458226,35.006114903373174,2.977807568799867
31,36.37,37.14,35.09,35.37,6685174,31.96,29.89,,,26.360397634745773,35.78779659686583,2.9115355995998766
32,33.85,33.85,31.8699,32.22,6897414,32.54,30.17,,,26.770485313115827,36.01501534119033,2.953575913914171
33,32.69,32.69,30.65,31.64,6213019,32.94,30.43,,,26.93985686232751,36.03372583339786,2.8883204914917298
34,33.04,34.06,32.6,33.36,5639274,33.54,30.69,,,27.15225769850378,36.229997743686305,2.8548690278137494
35,32.18,32.83,31.5,31.53,6553145,33.66,30.9,,,27.637102291490773,36.32481383389885,2.783806954398482
36,30.4,31.16,29.62,30.88,6780641,33.5,31.11,,,27.866774337280212,36.32703736333265,2.7213921719414476
37,31.8,32.025,30.88,31.88,4367384,33.19,31.28,,,28.12478465080688,36.35832572159065,2.608792731088487
38,32.1,33.33,32.01,32.52,6973908,32.74,31.39,,,28.742941938778106,36.35344418267318,2.5260218217250237
39,33.04,33.35,32.24,33.1343,3881161,32.5,31.56,,,29.4712847948649,36.38152455966212,2.4248774058875218
40,33.31,34.745,32.8099,34.42,4471857,32.4,31.86,,,30.240812216436886,36.32692760599207,2.3898933054669844
41,35.48,36.19,34.71,35.87,5190855,32.8,32.22,,,30.651577375381784,36.54334137088455,2.3456152122193425
42,37.0,38.09,36.9,37.46,6481891,33.45,32.63,,,30.643934348535165,36.984473143305365,2.3366426970608183
43,37.27,37.35,36.05,36.645,7533732,33.82,33.11,,,30.726615751662173,37.26975747409,2.270453932985046
44,34.73,35.09,33.54,33.935,7598729,34.08,33.41,,,30.70121180238902,36.92868108158151,2.3300643663432576
45,32.1,33.14,31.76,33.04,5493816,34.32,33.66,,,30.54105525514538,36.60073926439982,2.318988340175882
46,33.63,34.55,33.23,33.33,4610535,34.48,33.8,,,30.518761044698653,36.26447902137614,2.2612034587347476
47,32.71,33.375,31.88,31.9537,4191531,34.42,33.79,,,30.519762553445414,36.243239664175746,2.2064746402536946
48,32.53,33.8,32.51,32.82,4569367,34.39,33.69,,,30.73245525278562,36.27484894016321,2.180747880235573
49,33.78,34.37,33.37,34.3083,3756394,34.37,33.58,32.07,,30.7792152024262,36.295502658264965,2.135694460218746
50,34.2,34.24,33.08,33.87,3819160,34.15,33.51,31.94,,30.9261631620219,36.34555153556898,2.070880570203122
