,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,33.13,33.15,31.47,32.49,4656899,,,,,,,1.6799999999999997
1,32.69,33.91,32.36,33.9,2969112,,,,,,,1.6707142857142854
2,34.04,35.0,33.65,34.11,3537487,,,,,,,1.6478061224489795
3,34.66,35.85,34.66,35.78,1893466,,,,,,,1.6543913994169097
4,34.88,35.41,34.22,34.64,1773775,,,,,,,1.6476491566014164
5,33.64,34.37,32.7094,33.96,2326238,,,,,,,1.6678599311298867
6,32.4,32.98,31.13,31.13,3379000,,,,,,,1.7508699360491806
7,31.93,32.73,30.68,32.72,3256220,,,,,,,1.7722363691885246
8,31.77,31.77,30.16,30.33,3063589,33.23,,,,,,1.8285051999607729
9,28.08,29.74,26.88,27.44,3541141,32.67,,,,29.270012671413568,35.51469076744008,1.944326257106432
10,28.96,31.9,27.665,31.88,3107864,32.44,,,,28.506041155797483,35.46337948667167,2.1240172387416867
11,28.4,30.175,26.13,26.15,4025328,31.56,,,,27.39010265491426,35.34635614176208,2.3830160074029947
12,26.94,29.69,25.61,29.1101,2918814,30.82,,,,26.35345953567115,34.92849378517886,2.5042291497313522
13,27.11,29.68,26.75,29.17,3235112,30.21,,,,25.905544211251357,34.09632662212504,2.5346413533219696
14,28.39,29.95,27.5,28.25,4020660,29.58,,,,25.83969312498158,33.15411238843437,2.5285955423704003
15,28.42,29.245,26.28,26.98,3830765,29.11,,,,25.652866481575806,32.33155502076834,2.5597672893439434
16,27.0,27.12,25.19,26.34,2841803,28.41,,,,25.27714742550462,31.956920743801494,2.514783911533662
17,27.44,29.27,26.8701,29.05,2990287,28.26,,,,25.38451856088694,31.33100187692652,2.544442203566972
18,28.74,30.42,28.25,28.49,2455708,28.38,,,,25.675064004035285,31.0253495108295,2.517696331883617
19,28.67,30.92,28.16,30.67,2018339,28.25,30.63,,,25.686305975339188,31.208747976528898,2.535003736749073
20,29.63,33.03,29.2,32.06,2468539,28.9,30.61,,,25.59486961299689,31.581878825158295,2.627503469838425
21,32.51,33.42,31.0,33.05,2299411,29.34,30.57,,,25.558530552085323,32.30759715090057,2.612681793421395
22,32.56,33.04,31.5275,32.38,3170444,29.7,30.48,,,25.846574198588907,32.837705985515896,2.5348116653198667
23,30.75,31.17,28.71,30.17,2343957,29.91,30.2,,,26.095372573023923,32.963298177334565,2.6158965463684476
24,29.72,30.76,29.5,30.02,2615196,30.25,29.97,,,26.279195919345298,33.022257843366454,2.519046793056416
25,29.62,30.41,29.17,29.55,1863168,30.6,29.75,,,26.731943155650836,33.0605593468573,2.427686307838101
26,31.24,32.46,31.0,32.2,1862367,30.95,29.8,,,27.721753893722816,33.02999126981652,2.462137285849665
27,33.6,34.05,31.46,31.5,2831601,31.29,29.74,,,28.34272973262495,33.478922955606194,2.4712703368604028
28,32.04,33.7,31.52,33.42,4102971,31.59,29.89,,,28.69295396175334,33.78576084583323,2.451893884227517
29,34.08,35.68,33.66,35.55,2650341,31.98,30.3,,,29.00004317470359,34.56079828065908,2.438187178211266
30,35.04,35.55,33.77,33.91,2489804,32.08,30.4,,,29.255714211835986,35.05944061296046,2.3911738083390324
31,34.42,35.98,34.42,35.59,2084585,32.43,30.87,,,29.279754243743348,35.56223418800281,2.3682328220291016
32,34.67,35.04,33.28,33.71,1733313,32.83,31.1,,,29.36633316540111,35.83871283165674,2.3640733347413088
33,33.86,34.28,33.52,34.04,1695653,33.27,31.35,,,30.07844839207005,35.982375288615685,2.2494966679740727
34,34.8,35.12,34.2,34.92,1494014,33.87,31.68,,,30.71372895785245,36.1108464817141,2.16596119169021
35,34.33,34.82,33.72,33.75,1567167,34.04,32.02,,,31.68876191679489,35.84098724062394,2.096963963712338
36,32.97,33.76,32.79,33.4,1991968,34.25,32.37,,,32.109185230063794,35.697205427029836,2.016466537732885
37,34.04,34.42,33.5061,34.185,1363095,34.34,32.63,,,32.546550624441906,35.70143961769474,1.945290356466251
38,34.13,34.58,33.42,33.45,1909396,34.11,32.88,,,33.12623225526006,35.68185030729966,1.8891981881472326
39,33.6,34.4,33.49,34.32,1174627,34.15,33.06,,,33.10718416141497,35.51162934011316,1.822112603279573
40,34.72,35.76,34.45,35.72,1484354,34.17,33.24,,,33.097066818606756,35.565350414989105,1.7948188459024605
41,36.42,37.11,36.015,36.18,1752520,34.44,33.4,,,32.8569081871954,35.96326586416534,1.765903214052285
42,36.53,36.74,35.32,35.5,3091709,34.6,33.55,,,32.965342154368734,36.31149132413845,1.7411958416199793
43,34.93,34.93,33.15,34.69,2452705,34.58,33.78,,,32.89696976461796,36.337931305959174,1.784681852932838
44,33.96,34.06,33.05,33.31,2607903,34.53,33.94,,,32.73774125364146,36.29356112308894,1.774347434866207
45,32.93,33.32,32.39,32.83,1418233,34.47,34.11,,,32.49103103500962,36.28453718519411,1.714036903804335
46,33.22,33.445,32.885,32.92,1521414,34.32,34.14,,,32.509893300416984,36.29216113431928,1.6355342678183113
47,33.06,33.455,32.81,32.94,1727435,34.27,34.22,,,32.39821915949906,36.275067315467,1.5647818201170032
48,33.27,33.64,33.1,33.22,1570499,34.15,34.21,,,32.35232538698167,36.23283321301581,1.503011690108646
