,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,96.52,100.76,94.23,97.5,2222981,,,,,,,6.530000000000001
1,97.75,98.8,95.56,98.8,2069215,,,,,,,6.295000000000001
2,98.47,100.4,94.46,95.3,1462505,,,,,,,6.269642857142859
3,96.55,96.94,93.43,95.05,1559497,,,,,,,6.072525510204083
4,94.41,94.41,87.38,87.96,2451650,,,,,,,6.186630830903791
5,84.47,90.51,83.79,88.19,2228029,,,,,,,6.224728628696377
6,82.07,82.4,77.23,77.43,2246273,,,,,,,6.562962298075207
7,80.86,82.69,76.365,82.6,2015936,,,,,,,6.545964991069835
8,79.05,79.29,69.7,70.21,3483835,88.12,,,,75.30239352624184,101.05234710762626,6.999824634564846
9,62.97,67.35,57.27,59.17,3720872,83.86,,,,67.56599414964377,100.13444245219192,7.4241228749530705
10,63.96,65.4,59.29,65.33,3738424,80.14,,,,62.68842553869494,98.04678140649239,7.338828383884994
11,58.24,58.36,46.17,49.2,4147242,75.02,,,,55.199892117194054,94.56199029310653,8.183197785036066
12,49.9,50.16,35.94,41.93,9408762,69.11,,,,46.69789602026988,90.97118766995317,8.614397943247775
13,37.17,39.04,26.15,34.15,7803778,63.13,,,,37.30295425722204,87.06057695653533,9.126226661587221
14,33.73,46.54,30.5,42.42,10493028,58.05,,,,31.75668560632766,81.2219816851528,9.620067614330992
15,45.5,45.82,37.055,39.0,8363381,53.78,,,,29.128642873266624,76.3041801256533,9.558991356164492
16,39.88,42.24,37.15,41.02,7321135,49.16,,,,28.15940050197066,69.76474621146431,9.23977768786703
17,45.13,55.2,45.0,53.95,7944410,47.35,,,,29.160694998587335,63.234349721814404,9.592650710162243
18,56.66,67.715,54.0,58.4,7414021,47.27,,,,29.3748237734248,63.351315892479796,9.890675659436369
19,58.48,62.44,56.3,60.56,4417348,46.74,66.91,,,29.69698200539607,62.534340292350294,9.622770255190915
20,56.57,57.7099,52.5,54.66,5452550,47.34,64.77,,,29.73210026372331,62.40507393625988,9.511143808391564
21,53.04,57.84,51.02,56.85,3775854,49.0,62.67,,,31.21346214814854,63.44421944716716,9.318919250649309
22,56.9,59.0,53.11,54.46,3962308,51.26,60.63,,,36.09990690997134,64.2064756747724,9.0739964470315
23,50.3,51.15,45.0,46.02,6130740,51.66,58.18,,,39.9735364727321,64.22712542840036,9.101568129386393
24,46.28,49.65,43.11,44.32,4352933,52.25,55.99,,,41.6521885094335,64.11186852413874,8.918598977287365
25,44.24,46.39,43.18,45.48,3461576,52.74,53.86,,,43.59035852884396,63.617583753477376,8.510841907481124
26,49.2,55.88,49.0,52.37,4539533,52.57,52.6,,,44.30534596635741,63.68122857095538,8.645781771232473
27,57.64,63.34,56.6,58.96,6153651,52.63,51.42,,,44.20901639666171,62.286120366125274,8.811797359001583
28,62.16,65.35,59.38,63.65,3840565,52.97,51.1,,,43.96077666890832,63.12864209788896,8.638811833358613
29,67.97,69.17,62.13,64.41,4624073,54.06,51.36,,,43.69287286479096,65.89177283833999,8.524610988118713
30,65.0,65.19,59.801,60.93,2038251,54.51,51.14,,,44.08189272611861,67.17115057508875,8.300638774681662
31,63.37,64.7,60.72,61.17,2904996,55.26,51.74,,,44.37307958482974,68.11050525710381,7.9920217193472585
32,57.86,59.67,57.07,58.83,3534974,56.68,52.58,,,46.32352565182477,68.46746541444199,7.7140201679653115
33,58.69,59.99,56.51,58.01,2753589,58.2,53.77,,,49.29806144745232,68.50358220205538,7.41159015596779
34,63.78,65.43,60.34,63.35,3877010,60.19,54.82,,,53.6703211618912,67.58789052273103,7.412190859112949
35,61.34,64.55,61.01,61.76,1996041,61.23,55.96,,,57.00576098361398,67.3580427121914,7.135605797747738
36,62.6,63.74,61.32,63.24,5824558,61.71,57.07,,,57.722111553053374,67.3904410495851,6.798776812194328
37,64.98,69.46,64.97,68.52,5503231,62.25,57.8,,,57.631752921128324,68.38224334246652,6.757435611323304
38,69.48,69.5,66.3,66.88,3479065,62.52,58.22,,,57.3844656897196,68.48082318798492,6.503333067657354
39,67.69,69.3,65.75,68.83,3022456,63.4,58.63,,,57.66792046907643,69.30140871959946,6.292380705681828
40,70.0,72.61,68.69,72.42,3168326,64.65,59.52,,,57.78883694652625,70.98572738197686,6.122924940990269
41,76.41,77.11,71.22,74.79,3908196,66.42,60.42,,,58.955888888888964,73.61639032672971,6.10628744520525
42,78.12,81.1773,76.97,78.22,3709220,68.67,61.61,,,60.3345781475065,76.73590394587795,6.126359770547731
43,76.94,77.5385,72.79,73.76,2946936,69.82,62.99,,,61.84981235610091,78.22018248516339,6.0766197869371785
44,70.4,72.3138,68.08,69.81,3282101,70.72,64.27,,,63.32213067664826,78.38972670744887,6.048289802155953
45,67.14,70.7,66.02,70.62,1962316,71.54,65.53,,,64.59863902856303,78.03118046637321,5.950554816287671
46,72.27,72.63,68.6,68.98,2128105,71.59,66.36,,,65.31317488696659,78.13008467188129,5.81337232940998
47,69.68,71.23,68.2,68.22,2259645,71.74,66.82,,,65.68545099476154,78.11991859667197,5.614560020166411
48,69.24,72.0988,68.76,70.53,2195936,71.93,67.16,,,66.3234959556724,78.09035500677071,5.490577161583096
49,72.02,74.88,71.75,74.72,2902513,72.18,67.68,64.66,,66.64754154769014,78.29537370946186,5.40910736432716
50,73.29,75.13,72.49,73.93,2605935,72.09,68.33,64.19,,66.7088910515165,77.93241050788679,5.211313981160934
51,74.56,75.13,68.87,70.33,3375229,71.21,68.79,63.62,,66.97434816379241,75.99622699478982,5.286220125363724
52,69.57,69.6499,63.42,65.88,3838230,70.34,69.14,63.03,,65.48057978327358,74.8577261268554,5.402204402123458
53,63.0,67.23,61.21,66.69,3587221,69.99,69.57,62.46,,63.69514182899611,75.05767041434814,5.446332659114641
54,66.0,70.11,65.35,69.62,2189517,69.88,69.89,62.1,,63.57093297204794,75.04072130001052,5.39730889774931
55,74.54,76.56,74.35,75.51,2716286,70.6,70.58,61.84,,63.51333959502523,75.91060527262346,5.507501119338645
56,75.0,78.0,72.62,75.82,3145555,71.45,71.2,61.81,,63.74464083293207,77.15734317201338,5.498393896528742
57,78.0,78.93,76.35,78.31,3364615,72.31,71.69,61.72,,63.86685150812455,78.39301483778395,5.327794332490976
58,78.01,78.24,75.585,77.21,2700206,72.59,72.21,61.86,,63.9155991131147,79.03499288774726,5.141880451598764
59,77.69,77.98,75.135,75.56,2387918,72.77,72.55,62.19,,63.97579685514681,79.5372845326632,4.977817562198853
60,79.71,80.79,78.01,78.47,2590887,73.67,72.85,62.45,,64.44592334228581,80.665537555378,4.995830593470364
61,81.45,81.7,78.27,81.53,2890698,75.41,73.19,63.1,,66.53936395060785,81.91193593380541,4.883985551079624
62,82.4,82.4,78.75,79.47,2695085,76.83,73.25,63.85,,70.41399233874543,82.29129740932368,4.795843726002508
63,78.07,79.4662,75.87,76.95,2510997,77.65,73.41,64.71,,73.90912193428555,81.46383572272849,4.710426317002329
64,77.0,79.35,76.86,78.31,1967758,77.96,73.83,65.43,,74.30142349799,81.44162427941617,4.551824437216449
65,78.95,79.56,77.14,78.1,1881906,78.21,74.21,66.21,,75.49433426704306,81.48404435652539,4.39955126312956
66,79.27,86.51,79.02,85.92,3734823,79.06,75.05,67.11,,75.61334273664119,83.56976282904435,4.686011887191734
67,85.35,88.22,83.82,86.02,2833304,80.04,75.94,67.75,,75.34042285016464,85.58255093435878,4.66558246667804
68,91.87,92.07,84.96,85.62,3385664,81.15,76.7,68.29,,75.75755686699947,88.3418604244436,4.84018371905818
