,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,139.94,143.53,138.495,142.18,1282120,,,,,,,5.034999999999997
1,143.97,150.99,143.05,150.97,1052159,,,,,,,5.304642857142854
2,150.33,154.37,148.9,151.21,1312072,,,,,,,5.31645408163265
3,153.97,163.04,152.6,162.86,1298806,,,,,,,5.781707361516031
4,158.93,161.03,155.68,158.17,1441088,,,,,,,5.88158540712203
5,153.42,155.97,149.36,154.17,1302264,,,,,,,6.090757878041884
6,144.27,148.32,141.24,141.7,1159214,,,,,,,6.5792751724674625
7,145.77,152.87,143.06,152.79,1063554,,,,,,,6.907184088719788
8,148.44,152.03,140.99,145.475,1450998,151.06,,,,,,7.256670939525517
9,134.6,139.76,129.44,135.4601,1964990,150.31,,,,136.65776511405917,159.3504094262958,7.883694443845123
10,140.42,142.42,130.71,140.7,1538353,149.17,,,,134.88948729546937,159.3955131968532,8.15700198357047
11,128.68,131.74,120.68,128.93,1388762,146.7,,,,130.01939142476968,159.91388114033117,9.004358984744007
12,131.81,136.34,128.97,134.0,1427423,143.49,,,,127.76662973537412,158.8808057780126,8.890476200119435
13,123.85,127.17,109.82,124.11,1462993,139.7,,,,121.25767675272945,155.8303405329936,9.982585042968047
14,122.7,122.7,107.22,115.3,1599194,135.39,,,,115.9787232442929,152.36961319312536,10.475971825613186
15,117.0,118.0,105.35,105.6401,1112186,131.38,,,,111.37437229738667,149.3047897818053,10.631259552355102
16,104.6,110.98,103.01,104.08,1338144,125.97,,,,107.05417901840431,147.35523587620938,10.441169584329737
17,108.38,114.93,107.15,113.39,1217928,122.4,,,,104.86415120104661,142.81759259331943,10.470371756877613
18,113.34,119.47,108.31,115.73,770884,120.21,,,,103.94385272530525,137.22722427336083,10.519630917100642
19,117.42,122.21,117.025,121.39,629889,118.06,134.91,,,103.8515809884412,134.4345671946907,10.231085851593454
20,118.19,123.22,117.07,119.77,647598,117.05,133.79,,,104.28234330399296,130.26627916336264,9.939579719336779
21,120.71,124.61,119.6245,121.93,818528,115.7,132.34,,,104.28861715411794,128.91531064706783,9.585716882241295
22,121.24,122.91,119.04,119.43,828874,115.18,130.75,,,105.17629412688875,125.46394008587578,9.177451390652632
23,115.44,117.205,112.55,113.4,896635,114.97,128.28,,,105.46468429146773,123.96967842989025,9.013347719891732
24,112.04,114.235,107.04,109.22,907497,115.37,125.83,,,105.43212850589937,123.27896080737159,8.883465739899464
25,108.25,112.09,105.66,106.37,664233,115.63,123.44,,,105.49734810330185,123.16404390409625,8.708218187049502
26,111.29,114.96,110.255,113.96,811530,115.69,122.05,,,106.97135689844482,123.05520279616604,8.69977403083168
27,120.63,123.34,116.02,116.24,1133824,115.75,120.23,,,108.08784797843603,123.92339354041454,8.748361600057988
28,117.41,124.17,115.68,122.64,545514,115.88,119.08,,,109.09022352263246,124.6375251126845,8.729907200053846
29,123.39,128.0,123.2,124.16,642579,116.37,118.52,,,108.95356446910783,125.84266722546448,8.489199542907143
30,123.23,124.07,118.58,121.34,895951,116.31,117.55,,,109.0123753085635,125.98242388779134,8.281399575556632
31,123.31,130.51,121.13,129.79,1071142,117.46,117.59,,,109.00410777349737,127.3300871032349,8.359871034445444
32,126.69,127.74,124.03,124.27,752241,118.67,117.11,,,108.93312821018746,128.14574452813258,8.174165960556483
33,124.94,125.61,120.55,121.95,781589,120.08,117.0,,,109.63303087575933,128.89314000357868,7.951725534802448
34,124.19,128.12,124.19,127.96,794416,122.48,117.63,,,111.78434361920347,129.78440076870257,7.8244594251737025
35,126.44,130.67,123.41,126.02,1343915,123.82,118.65,,,115.13582012137718,130.30235745448192,7.7841408948041515
36,126.0,133.56,122.19,130.02,2494349,125.35,119.95,,,117.72702468561421,130.91555993835297,8.040273688032427
37,130.89,132.8,128.23,132.72,860736,126.47,120.92,,,118.69440448454947,131.86722563903487,7.792396996030112
38,132.42,133.79,131.08,131.12,611311,127.24,121.68,,,119.99728379642075,132.82090011847987,7.429368639170817
39,131.36,131.711,129.39,131.26,470693,128.35,122.18,,,120.20266006871144,133.21455091825675,7.064485164944332
40,132.85,138.53,132.4,137.93,604197,129.25,123.09,,,121.3928646090798,134.98863906208095,7.079164796019738
41,140.6,143.21,138.7,140.67,701130,131.07,124.02,,,121.81416133454564,137.8146821654978,6.950653024875471
42,142.92,144.59,140.64,143.51,689668,133.47,125.23,,,122.26043314827226,140.40360425538506,6.736320665955796
43,141.73,142.14,138.624,138.91,677691,134.68,126.5,,,124.18510693509944,141.68340792898042,6.604154904101811
44,137.16,138.63,135.85,137.82,625101,136.0,127.93,,,125.63727793831289,142.07730793150492,6.351000982380254
45,136.76,141.91,135.64,141.71,787263,137.29,129.7,,,127.56363412024862,142.89023620807643,6.345215197924523
46,142.41,147.84,142.41,146.59,871664,138.84,131.33,,,130.4289794373886,144.9091671204576,6.3298426837870565
47,147.02,148.1,145.69,146.27,608742,140.52,132.83,,,131.869459740019,146.4924498235382,6.04985392065941
48,148.32,149.88,147.44,148.14,585101,142.39,134.11,,,133.0350291554703,148.09665610801494,5.875578640612308
49,148.82,150.71,148.52,149.45,440404,143.67,135.37,131.46,,135.21020087299834,148.97167460197002,5.639465880568574
