,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,68.65,71.99,68.65,71.83,654341,,,,,,,3.339999999999989
1,72.0,74.265,71.51,72.76,814501,,,,,,,3.2982142857142756
2,73.9,75.63,73.65,75.48,874532,,,,,,,3.267627551020398
3,74.67,76.06,74.01,75.3,504534,,,,,,,3.180654154518941
4,73.78,75.42,72.63,75.12,729226,,,,,,,3.152750286339017
5,74.62,74.9,71.4,71.87,899157,,,,,,,3.193268123029087
6,72.92,74.35,70.86,74.2,888825,,,,,,,3.214463257098438
7,72.64,72.92,68.65,68.8,1124694,,,,,,,3.3812873101628353
8,62.0,69.67,61.62,63.97,1305502,72.15,,,,,,3.7147667880083475
9,66.84,67.91,62.78,66.66,1390495,71.57,,,,,,3.8158548745791796
10,59.8,61.11,53.16,53.16,1704377,69.4,,,,,,4.507579526394952
11,54.24,57.45,52.08,56.13,2129726,67.25,,,,,,4.569180988795313
12,52.33,53.655,42.081,45.37,1462955,63.92,,,,,,5.246310918167077
13,44.99,50.66,41.965,46.51,1883674,60.74,,,,,,5.492645852583713
14,47.3,51.77,46.5,48.67,2310510,58.16,,,,,,5.476742577399163
15,48.35,48.69,43.87,45.55,1682412,54.98,,,,,,5.429832393299223
16,47.65,50.02,45.29,49.09,1611542,52.79,,,,,,5.379844365206422
17,48.77,53.36,48.44,49.71,1725229,51.21,,,,,,5.346998339120249
18,49.78,54.29,48.76,53.8,1413672,49.78,,,,,,5.360069886325946
19,52.59,58.19,52.16,57.0,831849,50.2,61.05,,,34.33805149288701,84.57759483806424,5.407922037302665
20,57.98,58.93,53.4,56.53,1143562,50.25,60.28,,,33.964357022260785,83.63787678648585,5.416641891781047
21,55.99,58.2,53.5,57.76,1870820,51.62,59.53,,,33.9104669655125,82.2250308417583,5.365453185225259
22,56.06,57.47,51.1,52.93,1263498,52.34,58.41,,,34.08240321457933,80.3716859879272,5.4579208148520255
23,51.86,53.61,50.24,52.37,1121574,52.75,57.26,,,34.58061519978,78.19556805060549,5.308783613791166
24,51.68,52.62,51.0,52.37,1413387,53.51,56.12,,,35.37551843941448,75.8286405719035,5.04529906994894
25,54.46,58.86,53.77,58.54,1171415,54.56,55.46,,,36.58347436438534,73.27246100674236,5.148491993524016
26,63.13,63.13,57.21,57.49,1256250,55.42,54.62,,,38.18989787032615,70.90723187475606,5.2035997082723
27,57.99,60.445,57.35,59.99,1378911,56.11,54.18,,,39.775670285645816,68.27975798920859,5.052985443395707
28,61.21,64.2,60.82,62.95,1178328,56.77,54.13,,,39.881483501587596,66.92632334876576,4.992772197438872
29,62.63,62.765,60.75,61.49,766193,57.32,53.87,,,40.1825646916603,65.69443524440618,4.793288469050381
30,63.0,64.77,63.0,64.11,992606,58.03,54.42,,,39.483382255645246,66.3956474329851,4.685196435546782
31,62.39,63.265,61.32,62.55,834079,59.1,54.74,,,39.200837962447515,67.1237032572917,4.549825261579154
32,62.97,62.97,61.165,62.1,762760,60.18,55.58,,,40.46346018536001,67.80575450621407,4.3537663143235
33,63.78,64.44,62.58,63.38,762569,61.4,56.42,,,41.95794597664032,68.43731434460979,4.209925863300393
34,62.16,63.18,60.47,60.68,1080633,61.64,57.02,,,42.89485155309747,68.79415265658459,4.117074015921794
35,59.66,60.6594,57.31,59.13,1355070,61.82,57.7,,,44.702879209127886,68.26031460820583,4.063711586213095
36,59.73,61.69,59.11,61.52,912443,61.99,58.32,,,46.421992148211714,67.76684343808834,3.9577321871978737
37,60.9,61.78,58.97,59.4,1134078,61.6,58.8,,,47.59052412283895,67.60833525388591,3.8757513166837403
38,59.61,60.82,59.36,60.46,714780,61.48,59.14,,,48.862245709964405,67.37330028305178,3.7031976512063305
39,60.81,63.225,60.565,62.75,519798,61.33,59.42,,,49.51342251498883,67.62221799789121,3.6361835332630217
40,64.38,65.23,62.93,63.02,568062,61.38,59.75,,,49.9218389248279,68.14386754141526,3.5535989951728064
41,63.88,63.9073,61.2,61.3,1097856,61.29,59.93,,,50.50048940453851,68.38509434297482,3.4931490669461773
42,60.5,61.38,59.35,60.33,1033184,60.95,60.3,,,51.70981118526797,68.323587488138,3.388638419307165
43,59.18,60.63,58.87,60.51,676631,60.94,60.7,,,53.406925565892365,67.5365438346229,3.2723071036423677
44,59.93,60.51,58.49,60.31,504834,61.07,61.1,,,55.229435789931706,65.85207784096062,3.182856596239341
45,60.49,62.0,60.49,61.2,611222,61.03,61.23,,,56.541296618569675,65.59409209909148,3.0762239822222455
46,61.21,61.515,59.31,59.4,499528,61.03,61.33,,,56.887643573686134,65.53415173424396,3.0139936977777992
47,60.06,61.56,59.94,60.65,492154,61.05,61.36,,,57.2928523744076,65.47322853602324,2.9529941479365283
48,61.74,62.205,60.49,61.28,553341,60.89,61.28,,,57.28475622793025,65.26795165942382,2.8645659945124904
49,60.79,62.51,60.37,61.24,739659,60.69,61.27,60.37,,57.273395820850254,65.25106705963887,2.8128112806187415
50,61.43,61.43,57.77,57.81,866403,60.3,60.95,60.09,,57.105859122659275,64.88614892578728,2.8733247605745453
51,57.9,58.075,56.03,56.32,1130936,59.86,60.64,59.77,,56.41332315468301,65.16905378493095,2.814158706247792
52,55.58,56.325,53.52,56.2,1201225,59.38,60.34,59.38,,55.095478047456716,65.67981111871875,2.8135045129443785
53,55.91,56.98,55.03,56.84,994721,58.99,60.02,59.01,,54.58482851087072,65.59202798241691,2.751825619162637
54,58.41,60.79,58.41,60.4,1038700,58.9,60.0,58.72,,54.53273228247485,65.38240579868005,2.8374095035081623
55,60.03,60.42,59.26,59.54,561019,58.92,60.02,58.47,,54.69110804335697,65.37777691665507,2.7175945389718654
56,60.37,60.85,59.3,60.28,640793,58.88,59.96,58.19,,54.69848813395555,65.32983913510026,2.634194929045304
