,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,94.71,98.2,94.425,98.12,3671921,,,,,,,3.7750000000000057
1,94.92,96.395,93.32,93.66,3404485,,,,,,,3.848214285714292
2,90.31,93.93,90.08,92.77,4066916,,,,,,,3.8483418367347006
3,85.09,86.47,78.0,83.07,4668896,,,,,,,4.628460276967936
4,86.23,89.52,84.63,89.05,4507672,,,,,,,4.7585702571845125
5,86.41,87.5,83.11,84.35,3872429,,,,,,,4.842958095957048
6,78.25,80.49,75.01,75.92,5220519,,,,,,,5.164175374817258
7,80.82,87.04,78.19,85.55,4802460,,,,,,,5.589591419473169
8,75.81,81.28,74.87,75.31,4254421,86.42,,,,,,5.953192032367942
9,76.9,77.98,70.28,73.74,5176514,83.71,,,,,,6.077964030055946
10,68.13,69.44,58.72,68.81,4617925,80.95,,,,,,6.71668088505195
11,67.52,72.68,62.1,72.45,3966156,78.69,,,,,,6.992632250405383
12,73.86,73.86,64.475,64.93,3612845,76.68,,,,,,7.163515661090713
13,63.83,64.31,56.415,57.7701,5461845,73.2,,,,,,7.260050256727092
14,61.64,72.41,61.165,71.2,4550134,71.74,,,,,,7.787182381246585
15,72.09,79.31,69.412,74.64,4393585,71.6,,,,,,7.9379550683004005
16,76.29,78.96,73.82,78.22,2520170,70.79,,,,,,7.738101134850372
17,73.03,76.51,71.92,74.39,2249207,70.68,,,,,,7.635379625218203
18,74.42,78.71,74.0,78.2,2485045,71.18,,,,,,7.426423937702617
19,77.67,79.04,75.87,77.67,3975521,72.16,78.49,,,52.68743713528556,99.16288912546224,7.1223936564381445
20,72.57,74.035,71.13,73.21,3161824,72.25,77.25,,,53.61838118044625,96.31646673885892,7.080794109549706
21,72.44,75.09,71.58,73.6,2665850,73.21,76.24,,,54.921525953953264,93.42272345678599,6.8257373874390135
22,74.12,74.12,70.34,71.22,3260456,74.71,75.17,,,56.10143398660465,90.72237336065022,6.608184716907656
23,75.21,77.89,75.13,77.4,4578815,75.39,74.88,,,56.17423205307623,89.64736601189401,6.612600094271396
24,81.17,82.25,75.935,76.16,5766953,75.56,74.24,,,56.93878978883067,88.15204382305117,6.591342944680582
25,76.81,80.7,76.13,80.14,5881282,75.78,74.03,,,57.60299764478509,86.84269121041966,6.446961305774827
26,80.69,84.835,80.5,81.46,8226020,76.56,74.3,,,57.23130816723234,87.57082613311353,6.321821212505196
27,79.4,79.93,76.7385,78.35,3730002,76.58,73.94,,,57.31743757992999,86.22672659816055,6.207512554469109
28,80.51,81.24,78.68,79.79,3244298,76.81,74.17,,,57.139431001546484,86.22067893977184,5.97054737200703
29,77.76,78.01,75.39,75.77,3480542,77.1,74.27,,,57.238145327172845,86.22305746209456,5.858365416863672
30,75.6,76.24,74.35,75.73,4855982,77.34,74.62,,,59.229726492593265,85.94435097212966,5.574910744230552
31,78.58,80.88,78.12,79.22,4340792,78.22,74.95,,,60.593955066890516,86.2706159622903,5.544559976785512
32,77.53,79.45,76.71,77.89,3791570,78.28,75.6,,,61.70460451354652,86.42950511415359,5.3442342641579765
33,76.71,77.86,75.8,76.91,4212634,78.36,76.56,,,65.78095190841137,84.42527320686821,5.111788959575264
34,78.92,79.68,77.495,77.99,3538898,78.12,76.9,,,69.12543402697636,84.11658656208326,4.944518319605604
35,78.78,80.29,78.03,78.15,3354642,77.76,77.07,,,70.0257715930553,84.20526835224864,4.755624153919491
36,78.98,79.3809,77.7,78.86,3452364,77.81,77.11,,,70.17731506666493,84.23242400047927,4.536001000068098
37,79.29,83.23,79.29,82.54,3396632,78.12,77.51,,,70.59102070310111,84.79698070178281,4.524143785777521
38,84.53,85.45,82.63,83.13,3662748,78.94,77.76,,,70.33594313860391,85.79063711117139,4.408847801079126
39,84.99,86.77,84.3,85.8,4557920,80.05,78.17,,,69.80525704982055,86.96174916336939,4.353930101002046
40,85.31,85.49,82.67,83.5,5083914,80.53,78.68,,,70.44767102177136,87.40053517791594,4.266506522359042
41,82.0,82.89,79.87,82.07,4540424,80.99,79.1,,,71.3472352270693,87.39120431568419,4.221041770761968
42,80.47,81.14,78.095,79.34,5034096,81.26,79.51,,,72.77307544616744,86.93211821793889,4.203467358564684
43,81.05,82.3599,80.5,80.8,4141586,81.58,79.68,,,73.14663753960619,86.9613909693316,4.11892683295292
44,80.77,81.65,79.92,79.95,3109685,81.78,79.87,,,73.44476014792892,86.91862085097233,3.948289202027712
45,81.26,81.57,79.87,80.26,3780162,81.93,79.88,,,73.74492774872853,86.95350795543719,3.7876971161685886
46,81.5,82.4,81.09,82.21,2713532,81.9,79.91,,,73.72710879208624,86.61827445728197,3.67000446501369
47,81.44,81.79,80.185,81.09,2971870,81.67,80.05,,,73.96868698482906,86.67569317265897,3.55250414608414
48,81.47,82.09,77.27,77.45,3384210,80.74,79.93,,,73.83850869289456,86.7268238878628,3.6430395642209876
49,76.43,76.6,73.06,73.86,4067550,79.67,79.84,78.67,,73.29207440509815,86.88086285455536,3.696393881062346
