,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,7.09,7.09,6.92,7.08,63860166,,,,,,,0.16999999999999993
1,6.96,6.97,6.71,6.74,69830868,,,,,,,0.18428571428571425
2,6.6,6.68,6.4,6.49,96826102,,,,,,,0.19540816326530608
3,5.97,6.14,5.87,5.89,92539157,,,,,,,0.22573615160349852
4,6.26,6.29,5.8,6.26,91930741,,,,,,,0.24461214077467722
5,6.06,6.11,5.88,5.89,84179371,,,,,,,0.2542827021479146
6,5.38,5.69,5.2,5.3578,83091552,,,,,,,0.2854053662802064
7,5.87,5.9,5.12,5.63,114054825,,,,,,,0.3207335544030488
8,5.04,5.22,5.0,5.0,100507288,6.04,,,,,,0.34282401480283103
9,5.08,5.14,4.7,5.01,98701597,5.81,,,,,,0.34976515660262875
10,4.75,4.84,4.1,4.495,99891225,5.56,,,,,,0.3897819311310124
11,4.33,4.58,4.1,4.47,117767446,5.33,,,,,,0.39622607890736866
12,4.54,4.75,4.25,4.33,113962436,5.16,,,,,,0.4036385018425566
13,4.27,4.52,3.96,4.0165,118317082,4.91,,,,,,0.414807180282374
14,4.47,4.99,4.265,4.94,132707500,4.81,,,,,,0.4547138102622045
15,5.77,5.87,5.12,5.4,178440456,4.81,,,,,,0.4886628238149041
16,5.36,5.65,5.16,5.26,124321677,4.77,,,,,,0.48875833639955385
17,5.07,5.3,4.91,5.185,98144413,4.79,,,,,,0.48170416951387146
18,5.11,5.1197,4.93,5.04,84963493,4.79,,,,,,0.4655110145485949
19,5.03,5.19,4.75,4.84,158422448,4.83,5.37,,,3.4214672249658467,7.136734030434961,0.4636887992236953
20,4.63,4.77,4.36,4.4,107543074,4.82,5.23,,,3.4724574978543714,6.8925335704937085,0.46485388499343133
21,4.39,4.57,4.25,4.34,79383859,4.82,5.11,,,3.5303794621796314,6.642990352624484,0.45450717892247194
22,4.4,4.42,4.17,4.2478,112539510,4.85,5.0,,,3.576124911934288,6.436992457791237,0.4398995232851525
23,4.54,4.67,4.41,4.51,171925348,4.8,4.93,,,3.603549966110946,6.313080192343929,0.4386352716219274
24,4.85,5.03,4.63,4.71,203944190,4.73,4.85,,,3.666770539203401,6.123163016312227,0.4444470379346469
25,4.88,5.09,4.8,5.03,201622579,4.7,4.81,,,3.7889145423011996,5.956996122285021,0.4398436780821721
26,5.51,5.75,5.24,5.365,298658826,4.72,4.81,,,3.7846789281361755,5.969200994201574,0.45985484393344556
27,5.43,5.43,5.02,5.155,181424034,4.73,4.79,,,3.7915115854088306,5.876199088009381,0.4562937836524852
28,5.27,5.44,5.16,5.28,138613442,4.78,4.8,,,3.7803165494177575,5.902630602300479,0.4440585133915934
29,5.06,5.14,4.95,5.04,137465770,4.85,4.8,,,3.7800084126255054,5.902630602300479,0.43591147672076536
30,5.06,5.0697,4.89,4.945,107300730,4.92,4.83,,,3.849807943526332,5.907988907642932,0.4176106569549965
31,5.17,5.28,5.03,5.11,176642832,5.02,4.86,,,3.9267308827823695,5.915364006426554,0.4117098957439253
32,5.01,5.09,4.91,4.975,133752648,5.07,4.89,,,3.986572640512839,5.915370623524269,0.39658776033364496
33,4.89,4.92,4.72,4.765,153292024,5.07,4.93,,,4.120100798118541,5.890798446223933,0.3864743488812417
34,4.87,4.89,4.75,4.765,107108758,5.04,4.92,,,4.190309905671476,5.891297528430011,0.3688690382468673
35,4.8,4.98,4.77,4.885,120062996,4.99,4.89,,,4.1904482478459375,5.764934975621545,0.3578783926578054
36,4.93,4.96,4.8,4.87,94312660,4.96,4.87,,,4.198066640757582,5.678442122718356,0.34374422175367647
37,4.91,5.19,4.88,5.17,174832952,4.95,4.87,,,4.197923354074461,5.665752969628273,0.34204820591412816
38,5.49,5.54,5.215,5.39,194146080,4.99,4.89,,,4.182139859059503,5.724329542859444,0.3440447626345476
39,5.33,5.5,5.2104,5.25,242697042,5.02,4.91,,,4.176366392760647,5.765906578372295,0.3401558510177942
40,5.16,5.24,5.06,5.09,177978376,5.02,4.94,,,4.238968349636889,5.775689863560742,0.32943043308795183
41,5.02,5.05,4.9,4.9264,155844752,5.01,4.97,,,4.339755211908634,5.750514930207862,0.3194711164388124
42,4.88,4.97,4.77,4.865,155460908,5.02,5.0,,,4.480314874776496,5.686142278711798,0.3109374652646115
43,4.99,5.09,4.94,4.96,187206392,5.05,5.03,,,4.576521389173109,5.655380356289324,0.30479907488856783
44,5.05,5.09,4.82,4.86,168444464,5.04,5.03,,,4.610717928408139,5.655056895846023,0.30231342668224154
45,4.9,4.98,4.85,4.87,128187902,5.04,5.03,,,4.6169920714342085,5.656787085278916,0.2900053247763672
46,4.96,5.25,4.95,5.23,192868472,5.05,5.02,,,4.633424503910332,5.551642371835676,0.29643351586376954
47,5.18,5.19,5.05,5.115,147330028,5.02,5.02,,,4.632706103285993,5.5185726477706645,0.28811683615921463
