,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,182.61,192.74,181.82,192.74,28054197,,,,,,,10.920000000000016
1,194.1,196.57,188.85,196.54,21795546,,,,,,,10.691428571428586
2,196.22,197.24,183.97,185.89,24693345,,,,,,,10.875612244897974
3,189.05,191.83,186.39,191.79,20486825,,,,,,,10.523068513119549
4,186.78,188.99,183.8901,185.02,21975861,,,,,,,10.33569933361101
5,178.33,183.78,176.26,181.11,21916170,,,,,,,10.223149381210225
6,169.6,175.0,165.19,168.6,26418975,,,,,,,10.630067282552353
7,174.67,178.29,169.5,178.19,42200790,,,,,,,10.562919619512899
8,173.86,175.88,167.66,170.22,37010571,183.34,,,,,,10.560568218119121
9,159.54,166.6,154.34,154.46,39090919,179.09,,,,,,10.940527631110612
10,163.16,170.79,157.6,170.62,29428089,176.21,,,,,,11.325489943174139
11,152.32,159.13,143.1,145.96,72152076,171.77,,,,,,12.482240661518844
12,150.74,153.94,140.0,149.42,31562530,167.07,,,,,,12.586366328553213
13,139.75,148.18,137.1006,147.05,29533901,162.85,,,,,,12.567297305085127
14,146.62,159.9294,144.8,153.03,70865214,159.73,,,,,,12.750304640436187
15,156.02,159.27,148.0,149.73,30645720,157.63,,,,,,12.644568594690748
16,149.66,152.31,142.25,147.8,26881306,154.25,,,,,,12.459956552212837
17,155.205,161.31,152.57,161.22,25999531,153.25,,,,,,12.534959655626206
18,158.92,162.99,153.06,156.16,62557455,153.44,,,,,,12.348891108795764
19,158.35,164.0,157.0201,163.35,23443636,152.64,167.44,,,127.37914471516625,203.05729782781611,12.026827458167496
20,158.32,160.09,154.75,156.77,42910937,153.84,165.65,,,127.26000423953084,200.23287509801648,11.78205406829839
21,159.18,166.75,158.06,165.85,20555939,155.66,164.11,,,128.57112011936175,196.08584269111788,11.65333592056279
22,165.48,170.93,164.2,166.79,42024824,157.86,163.16,,,129.84507208095295,191.31656946873423,11.301669069094022
23,161.615,164.15,158.035,159.6,17568762,158.59,161.55,,,131.87305473480055,187.0182158178258,11.119764135587305
24,159.1,161.3509,155.92,158.2,36188716,159.53,160.21,,,134.17603931220407,182.7197888896872,10.71341669733107
25,157.15,157.91,150.83,154.19,32151306,160.24,158.86,,,135.42890022517633,179.24795871371228,10.474601218950278
26,160.15,166.2,158.51,165.55,23379664,160.72,158.71,,,135.74676372418278,177.91800071957957,10.58427256045383
