,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,46.66,48.51,46.27,48.49,4473525,,,,,,,2.239999999999995
1,47.52,48.27,46.56,47.13,5194716,,,,,,,2.217857142857138
2,45.73,46.69,44.73,46.48,5225754,,,,,,,2.2308673469387714
3,43.52,44.25,39.25,42.92,9201997,,,,,,,2.587948250728859
4,43.97,45.17,42.92,44.96,6475004,,,,,,,2.5638090899625117
5,43.69,44.35,42.48,43.12,7280173,,,,,,,2.5578227263937614
6,40.15,41.61,37.95,38.53,5417906,,,,,,,2.7444068173656353
7,40.69,41.25,38.72,41.23,5050854,,,,,,,2.74266347326809
8,37.7,39.76,33.865,34.3,5505910,43.02,,,,,,3.0728303680346545
9,35.26,40.49,32.91,40.11,6738245,42.09,,,,,,3.3947710560321798
10,37.49,38.69,33.555,37.2,5937821,40.98,,,,,,3.6205016948870243
11,37.32,37.36,33.5,35.9601,4758224,39.81,,,,,,3.6376087166808087
12,35.97,36.695,33.98,34.26,4210234,38.85,,,,,,3.5717080940607513
13,34.02,35.75,32.0,33.22,5548931,37.55,,,,,,3.5844432301992692
14,34.21,36.02,33.91,35.49,4827840,36.7,,,,,,3.528411570899322
15,35.33,37.29,33.575,35.51,4496416,36.36,,,,,,3.541739315835084
16,35.47,39.27,35.42,38.68,4313501,36.08,,,,,,3.563757936132578
17,37.36,40.325,37.11,38.63,5077826,36.56,,,,,,3.5388466549802513
18,39.19,40.91,38.31,40.49,5154597,36.6,,,,,,3.471786179624519
19,40.03,40.83,39.11,40.09,5412221,36.93,39.84,,,28.483623379499573,48.9767607385026,3.346658595365625
20,38.33,39.32,38.14,38.85,6184103,37.25,39.36,,,28.964230189479473,47.74223049437349,3.246897267125224
21,38.23,40.52,38.23,40.03,4281160,37.89,39.0,,,29.709502486184522,46.38896108841061,3.178547462330566
22,39.58,40.27,37.56,37.96,4528869,38.41,38.58,,,30.3158552974058,45.2777188743262,3.145079786449811
23,39.37,41.9,39.37,41.36,8027220,39.07,38.5,,,30.31112369942277,44.858045868384124,3.201859801703396
24,42.43,42.76,40.39,40.44,8068643,39.61,38.27,,,30.629035087917387,44.29555329976879,3.1424412444388676
25,40.84,43.59,40.45,43.22,6312551,40.12,38.28,,,30.90414685202256,44.10584588106443,3.1429811555503777
26,43.77,45.315,43.77,44.75,7672269,40.8,38.59,,,30.306207951523714,44.89782552922951,3.068125358725351
27,44.11,44.5,43.06,43.93,4168372,41.18,38.72,,,29.9630511950567,45.44102841873232,2.9696878331021117
28,44.86,45.7735,44.6,45.47,6057998,41.78,39.28,,,29.861211468431314,46.31070549310838,2.8892458450233898
29,44.32,44.65,43.63,43.97,4120174,42.35,39.48,,,30.23400894710192,46.81923568304526,2.8142997132360046
30,43.99,44.955,43.38,44.9,4893646,42.89,39.86,,,30.66189320393688,47.35678811960968,2.7257783051477182
31,45.73,46.3604,44.8,46.21,4351958,43.81,40.37,,,31.10820573209829,48.01902523987834,2.6425369976371673
32,45.82,45.82,44.32,44.49,5086240,44.15,40.88,,,31.665998401484572,48.38220902844486,2.5887843549487983
33,43.77,43.94,42.63,43.21,6826494,44.46,41.38,,,32.94395726494142,48.19680782368056,2.536728329595313
34,44.07,44.5,43.17,44.36,3836646,44.59,41.83,,,33.91033386551497,47.93428305513021,2.4505334489099333
35,44.45,44.64,42.78,42.95,5421890,44.39,42.2,,,35.17971675733107,47.72738605336742,2.40835248827351
36,39.99,43.23,39.3443,42.32,9891316,44.21,42.38,,,35.93034061164715,47.58522419293223,2.513877310539688
37,42.6,43.88,42.44,43.51,7684764,43.99,42.63,,,36.541028879651364,47.554345850898024,2.445743216929711
38,44.01,44.22,42.45,42.65,7167878,43.84,42.73,,,36.96438142861912,47.56651363700873,2.397475844291874
39,43.32,43.84,42.26,42.36,5537880,43.56,42.85,,,37.27551701092762,47.508302298360206,2.339084712556741
40,42.01,42.22,40.62,41.25,4957934,43.01,42.97,,,37.697668839566084,47.137228682104336,2.2962929473741167
41,40.88,40.88,40.215,40.86,6001628,42.61,43.01,,,38.079641577000686,47.081839833289266,2.206200593990251
42,40.83,41.32,40.31,41.21,6036216,42.39,43.17,,,38.71254683829595,46.914442412156035,2.120757694419519
43,41.47,42.275,41.44,41.69,5080950,42.09,43.19,,,39.054969288779645,46.884461740022786,2.0453464305324105
44,41.37,41.57,39.93,39.99,7314752,41.76,43.16,,,38.9690274808228,46.969050410992956,2.024964542637238
45,40.48,40.74,40.01,40.22,5995564,41.53,43.02,,,38.890465578970776,47.129225379182536,1.9338956467345783
46,40.74,40.91,40.13,40.6,4563202,41.2,42.81,,,38.65944926592846,47.04512181095093,1.8514745291106796
47,40.36,40.705,39.66,40.43,5173922,40.96,42.63,,,38.35971966560973,47.03480431467649,1.793869205602774
48,40.54,40.8,39.56,39.61,5851174,40.65,42.34,,,38.19865747113182,46.76076628102335,1.75430711948829
49,39.43,39.55,38.72,39.05,6907506,40.41,42.09,41.17,,37.84818723539253,46.744145258951335,1.692570896667698
50,38.65,40.13,38.141,39.96,6980904,40.31,41.85,41.0,,37.429526530666486,46.542701564227855,1.713744404048577
51,39.57,39.935,38.63,39.28,8060806,40.09,41.5,40.85,,37.38281401763635,45.96344643350693,1.6863340894736787
52,40.42,41.275,40.39,41.12,5229554,40.03,41.33,40.74,,37.59756609021705,45.353705940097505,1.7083816545112729
53,40.92,41.11,40.33,40.34,4120268,40.07,41.19,40.69,,37.62859605211228,45.108890580397,1.6427829649033248
54,40.69,40.84,40.135,40.28,4249320,40.07,40.98,40.59,,37.755207086896036,44.70939088291637,1.5757984674102306
55,40.11,40.73,40.0302,40.43,5207292,40.06,40.86,40.54,,37.87305054643336,44.20217773805111,1.5132271483094997
56,40.33,40.73,40.225,40.65,5121750,40.08,40.77,40.58,,37.95460635850012,43.970655716138225,1.4412109234302495
57,41.43,41.62,40.64,40.7,4092984,40.2,40.63,40.57,,38.087625126760884,43.58114462413841,1.4082672860423744
58,41.23,41.38,40.56,41.36,9285466,40.46,40.57,40.71,,38.26856813427783,42.97919705226523,1.3662481941822047
59,42.05,42.82,41.75,42.7,6292154,40.76,40.59,40.76,,38.35959398088187,42.64871177215688,1.3729447517406186
60,42.54,42.86,42.07,42.27,5782468,41.09,40.64,40.87,,38.22405443891516,42.80021444997053,1.3313058409020029
61,42.13,42.95,41.9,42.77,4360178,41.28,40.73,41.0,,38.15349646858066,43.08802518960471,1.3112125665518604
62,42.99,43.08,42.28,43.08,4492362,41.58,40.83,41.18,,38.05764816399153,43.35397946051002,1.2746973832267272
63,43.42,43.91,43.175,43.49,5101492,41.94,40.92,41.38,,37.85139603957276,43.71083094352032,1.242933284424818
64,43.22,43.3,41.96,42.35,5157790,42.15,41.03,41.52,,37.87388586677047,43.95020728618439,1.2634380498230455
65,42.88,43.855,42.78,43.27,6301854,42.44,41.19,41.68,,37.8390085940042,44.29703851333575,1.280692474835685
66,43.12,44.1,42.87,43.99,4556181,42.81,41.36,41.78,,37.82078513571962,44.650704691710224,1.2770715837759934
67,43.63,43.63,42.78,42.89,4318336,42.98,41.48,41.87,,37.89998639283357,44.86286779051804,1.2722807563634226
68,43.07,43.19,42.15,42.26,4566492,42.93,41.61,41.9,,38.057548914086894,44.983225529846855,1.2556892737660355
69,41.64,41.64,40.215,40.51,7026034,42.73,41.68,41.91,,38.309084224502804,44.85223418902155,1.3120686113541755
70,41.37,41.47,40.33,40.33,1572510,42.46,41.7,41.94,,38.758317602820476,44.770001758472276,1.2997779962574487
71,39.51,40.74,38.87,40.47,7121158,42.17,41.76,41.95,,38.82165993959498,44.68034726786602,1.340508139381917
72,41.62,41.76,40.27,40.51,9107680,41.84,41.73,42.0,,38.80599777760834,44.67246603276392,1.3511861294260654
73,40.64,40.67,39.81,40.26,6480892,41.61,41.73,41.98,,38.72790389940788,44.70361814786109,1.3161014058956322
74,40.0,40.57,39.86,40.51,5930380,41.3,41.74,41.98,,38.685836691386264,44.72601139272022,1.2728084483316584
75,41.1,41.1,38.96,38.98,9883574,40.75,41.67,41.9,,38.48541425226524,44.70184176282267,1.3347507020222542
76,39.07,39.74,38.53,39.7,4078214,40.39,41.62,41.79,,38.1771972530624,44.81874443465248,1.3258399375920933
77,40.15,40.15,38.68,38.79,3334273,40.01,41.52,41.69,,37.889869272705376,44.89537825238531,1.3361370849069438
78,38.48,38.62,37.31,37.78,4382528,39.7,41.35,41.54,,37.31869228527013,45.16589148378104,1.3464130074135905
