,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,357.85,380.42,351.99,376.46,520739,,,,,,,28.430000000000007
1,380.68,387.18,371.12,387.06,247672,,,,,,,27.546428571428578
2,388.38,394.14,367.151,372.61,234090,,,,,352.3148197160649,394.7929339116914,27.506612244897962
3,380.64,392.745,377.15,391.44,192303,,,,,366.26874556651654,395.40555116619953,26.980068513119537
4,381.93,389.745,377.17,380.41,184631,,,,,367.4670884202095,394.6803940475156,26.07220647646814
5,369.11,370.885,345.32,357.93,353968,,,,,346.3255478466475,397.4935205331143,26.716334585291847
6,330.65,339.43,315.242,316.5,354462,,,,,311.8456191367816,394.6474313751529,27.857167829199575
7,325.37,336.64,311.89,336.51,417566,,,,,303.9000735293453,369.903909274864,27.635227269971036
8,326.84,333.46,306.36,314.43,272389,359.26,,,,306.2301857067792,339.7958345971751,27.81485389354453
9,293.2,298.69,274.6,278.64,533718,348.39,,,,275.48040175288054,346.0878425808621,28.673078615434207
10,294.03,304.03,255.7,303.65,433578,339.12,,,,250.72601068472417,332.6567150050679,30.07714442861748
11,250.0,294.16,238.04,240.69,745544,324.47,,,,236.00147848766312,304.39459004893536,32.61520554085909
12,247.27,251.4,212.94,245.26,505364,308.22,,,,211.92363369720363,313.96965047281253,33.032690859369154
13,226.23,234.33,177.65,214.3,503344,289.77,,,,176.1715915398145,293.8659192573202,35.5024986551285
14,210.71,254.0,202.25,244.7701,445635,277.19,,,,177.7075869184589,258.3304965247728,36.663034465476464
15,245.7,265.93,237.6,241.45,470626,268.86,,,,172.68460321688258,268.97292234928346,36.06781771794243
16,236.82,248.29,219.7135,233.12,384412,257.37,,,,200.41153602180313,265.9743375416604,35.532723595232255
17,244.74,271.29,240.861,269.39,261563,252.36,,,,220.2007825443194,275.0740382083781,35.721100481287095
18,269.01,285.0,257.02,270.22,268579,251.43,,,,218.61853666839403,288.59820089804236,35.16816473262374
19,274.65,306.04,270.21,304.34,231178,251.5,303.96,,,239.8608747244834,306.6970425950139,35.215438680293474
20,290.48,303.36,280.16,291.41,229400,257.14,299.71,,,256.36148258410617,310.73104381315187,34.42719306027251
21,294.04,315.225,289.0,313.57,457832,264.73,296.03,,,269.449490969977,315.05319842209394,33.841322127395905
22,313.0,329.38,304.01,307.33,532359,275.07,292.77,,,277.7936571916899,330.31779602679603,33.23622768972477
23,296.4,306.13,285.23,288.3,410608,279.9,287.61,,,281.81838764692503,329.7997174340767,32.44078285474443
24,285.44,294.68,276.19,282.36,309096,284.45,282.71,,,272.8662080784854,329.5126844364765,31.444298365119824
25,280.22,282.31,259.3682,263.85,570112,287.86,278.0,,,259.15903108729236,307.4775901353547,30.84054848189698
26,272.68,302.755,272.68,300.93,509848,291.37,277.23,,,259.6512319109026,304.57548997493257,31.416580733190052
27,314.44,317.41,296.96,298.29,307680,294.49,275.32,,,255.36927675881196,320.2173534350526,30.633253537962197
28,304.03,307.0,299.035,299.53,564314,293.95,274.57,,,273.439110024398,317.34957806341,29.06730685667918
29,310.0,323.23,298.531,300.8,512180,295.0,275.68,,,296.9848505727156,324.92470944807,28.755284938344953
30,301.5,303.005,291.71,298.6,369028,293.33,275.43,,,291.9248301166554,322.8610360191918,27.508121728463173
31,309.34,315.335,305.845,312.47,472548,293.9,279.01,,,290.9195072998287,325.0692099813361,26.738613033572946
32,303.06,317.5,303.0387,310.76,436590,296.4,282.29,,,291.9660946498174,320.54757351323445,25.86166210260345
33,314.99,317.88,299.53,302.24,558266,298.61,286.69,,,299.3241624837263,318.4151581870808,25.325114809560347
34,309.99,320.8,303.96,318.95,555046,304.73,290.4,,,299.60493502476834,320.71280899120984,24.841892323163183
35,314.24,320.68,306.72,307.34,233506,305.44,293.69,,,299.41343554851113,321.6042093300842,24.0646143000801
36,301.17,301.63,287.1501,291.96,341194,304.74,296.63,,,287.6252530078581,326.50665946626185,23.78784899293152
37,302.29,307.63,295.2,303.315,206020,305.16,298.33,,,285.53699841766905,320.6939943531813,23.208002636293557
