,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,24.41,24.76,23.73,24.39,9786349,,,,,,,1.0300000000000011
1,24.19,25.73,24.05,25.72,9370514,,,,,,,1.0764285714285724
2,25.72,26.04,24.1,24.43,9697746,,,,,,,1.13811224489796
3,24.78,25.21,24.18,25.16,6997866,,,,,,,1.1303899416909629
4,24.13,24.2,23.31,23.68,6763467,,,,,,,1.1817906601416084
5,22.45,23.155,21.86,22.2,10157891,,,,,,,1.2273770415600649
6,20.02,20.22,18.25,18.3,8830013,,,,,,,1.4218501100200602
7,19.19,19.61,17.73,19.25,22940926,,,,,,,1.4545751021614843
8,18.55,18.81,17.38,17.65,30988256,22.31,,,,,,1.4842483091499499
9,16.055,17.2,14.89,15.9,14035805,21.37,,,,,,1.5753734299249533
10,17.4,18.029,16.155,17.67,8300746,20.47,,,,,,1.614918184930314
11,14.87,14.98,13.71,14.01,27308088,19.31,,,,,,1.782424028863863
12,14.21,14.69,13.045,13.96,11130239,18.07,,,,,,1.7726080268021587
13,13.08,13.295,11.5,13.1,9706336,16.89,,,,,,1.8217074534591473
14,11.78,13.74,11.1,13.07,21295340,15.88,,,,,,1.8801569210692084
15,13.32,13.67,12.11,12.9,27380898,15.28,,,,,,1.857288569564265
16,13.0,13.0675,11.62,12.15,21753618,14.49,,,,,,1.828017957452532
17,13.11,14.61,13.0,14.4,11048927,14.13,,,,,,1.8731595319202083
18,14.72,15.535,13.98,14.81,9849383,14.01,,,,,,1.8504338510687648
19,15.05,17.52,14.71,17.3,10875047,13.97,18.0,,,7.368250248612615,27.96294427074978,1.9189742902781386
20,16.25,17.72,16.14,17.15,10935718,14.32,17.64,,,7.517108517223932,27.16609260196003,1.8947618409725573
21,16.75,16.85,15.52,15.86,8445796,14.53,17.15,,,7.777227492345583,26.02416651481834,1.8758502809030888
22,15.63,15.86,14.73,14.85,14446336,14.72,16.67,,,8.154124425621685,24.592141301509322,1.8225752608385826
23,14.0,14.05,13.15,13.46,16501084,14.76,16.08,,,8.65236860741129,23.161258601228752,1.813819885064398
24,13.21,14.6,13.2,14.2725,7723343,14.92,15.61,,,9.332181816354828,21.7117870739629,1.7842613218455126
25,14.25,14.53,13.15,13.43,11195255,15.06,15.17,,,10.061886694211507,20.269728768205514,1.7553855131422618
26,14.42,15.61,14.395,15.46,18518196,15.18,15.03,,,10.31176659393545,19.540842552153116,1.785715119346386
27,16.61,17.34,15.74,15.87,8164554,15.29,14.86,,,10.530149401680353,19.057128418443472,1.792449753678787
28,16.16,16.79,15.97,16.68,6625911,15.23,14.82,,,10.706348420259687,18.66659274941194,1.730131914130302
29,17.6,18.35,17.44,17.82,9996204,15.3,14.91,,,10.480766096372871,18.891761704429534,1.7258367774067092
30,18.18,18.18,17.01,17.36,14793366,15.47,14.9,,,10.396408976649507,18.923507198374164,1.686134150449087
31,17.85,18.0,16.55,17.15,17288594,15.72,15.05,,,10.37904586021774,19.233764708049108,1.6692674254170092
32,16.17,16.27,15.52,15.73,32842333,15.97,15.14,,,10.500395028434891,19.2882149173786,1.6664626093157942
33,15.71,15.75,14.47,14.77,33111439,16.03,15.22,,,10.887737337267904,19.211098157229166,1.638858137221809
34,15.68,16.76,15.64,16.64,27215391,16.39,15.4,,,11.45563479903179,19.219206288230644,1.6639396988488229
35,16.0,16.94,15.7003,16.68,30260497,16.52,15.59,,,11.848640684589103,19.19680349827472,1.6336368632167644
36,16.04,17.08,15.619,16.26,30756126,16.57,15.8,,,12.453765658763524,19.0213105438026,1.6213056587012813
37,16.92,17.05,16.315,16.535,19562033,16.55,15.9,,,12.757821078493414,19.012130857793622,1.5619266830797611
38,16.64,17.19,16.52,16.87,23142553,16.44,16.01,,,12.897950030786854,19.06395435105401,1.4982176342883498
39,17.0,17.4,16.78,17.13,11448106,16.42,16.0,,,12.945975132825641,19.04923825817626,1.4354878032677532
40,17.29,18.445,17.23,18.35,16877852,16.55,16.06,,,12.895718537306578,19.174705935664377,1.426881531605771
41,19.27,19.53,18.53,18.571,5764055,16.87,16.19,,,12.725152605483094,19.618635780667308,1.4092471364910732
42,19.45,20.065,19.23,19.685,6037597,17.41,16.44,,,12.592390198186445,20.14592283768413,1.4153009124559968
43,19.3,19.31,18.55,18.69,9409232,17.64,16.7,,,12.929227584828258,20.247252015355897,1.3952794187091397
