,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,9.95,11.185,9.86,11.12,119864049,,,,,,,1.325000000000001
1,11.21,11.34,10.76,11.22,106790444,,,,,,,1.2717857142857152
2,11.25,11.38,10.67,10.87,93496669,,,,,,,1.231658163265307
3,11.06,11.12,10.7,10.95,69957825,,,,,,,1.173682580174928
4,10.6,10.73,9.95,10.085,91787747,,,,,,,1.1612766815910045
5,9.74,9.76,9.18,9.39,129468708,,,,,,,1.1429712043345044
6,8.33,8.665,8.11,8.21,109269155,,,,,,,1.1527589754534684
7,8.78,8.85,8.16,8.85,88461182,,,,,,,1.1197047629210777
8,8.62,8.66,8.16,8.2,88344191,9.88,,,,,,1.089011565569572
9,7.23,7.78,6.83,7.225,140992143,9.44,,,,,,1.1090821680288883
10,7.8,8.04,7.19,7.85,95874932,9.07,,,,,,1.0905762988839678
11,6.99,7.15,6.65,6.6556,98977746,8.6,,,,,,1.098392277535113
12,6.91,7.33,6.3,7.08,109833536,8.17,,,,,,1.0935071148540336
13,6.51,6.8,5.9,6.6,112987467,7.78,,,,,,1.0996851780787456
14,6.4,6.91,6.15,6.48,84890530,7.46,,,,,,1.0754219510731209
15,7.01,7.05,6.45,6.51,109994714,7.27,,,,,,1.0414632402821837
16,6.45,6.63,6.03,6.1291,94127471,6.97,,,,6.087447657173224,10.745311848530642,1.0099301516905992
17,6.66,7.06,6.47,7.02,91325930,6.84,,,,5.914566439181722,10.428496835807254,1.0042851408555564
18,7.45,8.0,6.96,7.56,123192244,6.88,,,,5.862243149696781,10.060112751890665,1.0068362022230168
19,7.63,8.3,7.51,8.09,100758394,6.9,8.3,,,5.897876285163326,9.64806662356272,0.9913479020642301
20,7.68,7.87,7.54,7.63,82269749,7.01,8.13,,,6.011258355231814,9.198027238945038,0.9598230519167851
21,7.54,7.94,7.35,7.88,78320991,7.1,7.96,,,6.112558292998427,8.752785916801718,0.9334071196370147
22,7.87,8.18,7.815,7.9202,80491078,7.25,7.82,,,6.191668795655413,8.491904917450082,0.8928066110915136
23,7.52,7.55,7.0,7.0399,85588807,7.31,7.62,,,6.183516961039169,8.37887622258454,0.8947632817278341
24,7.02,7.39,6.77,6.895,84951549,7.35,7.46,,,6.177347474047993,8.210767562926714,0.8751373330329889
25,7.03,7.05,6.58,6.7252,124124961,7.42,7.33,,,6.180075742785832,8.049165417075644,0.8461989521020612
26,7.07,7.3,6.94,7.225,152728934,7.44,7.28,,,6.185355529728103,8.015761342647146,0.8268133126661996
