,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,49.04,50.33,48.55,49.38,1167610,,,,,,,1.7800000000000011
1,49.74,51.74,49.05,51.7,868126,,,,,,,1.8450000000000013
2,51.65,52.98,50.37,50.6,803347,,,,,,,1.8996428571428583
3,51.5,52.03,50.77,51.86,650324,,,,,,,1.8660969387755113
4,50.52,50.93,49.77,50.56,694659,,,,,,,1.8820900145772603
5,49.13,50.9,49.0,50.78,833902,,,,,,,1.8833692992503133
6,47.22,48.865,46.9737,48.31,1059502,,,,,,,2.0207214921610053
7,49.78,51.62,49.2,51.6,1415425,,,,,,,2.1128128141495046
8,50.09,50.67,47.35,47.93,1430132,50.3,,,,,,2.2654690417102543
9,44.71,45.58,42.65,42.82,1960623,49.57,,,,,,2.4807926815880936
10,44.92,46.68,42.77,46.62,1709735,49.01,,,,,,2.5828789186175154
11,41.52,45.38,41.08,42.49,1725169,48.11,,,,,,2.7941018530019783
12,43.27,45.26,42.62,45.04,1688934,47.35,,,,,,2.792380292073265
13,42.01,44.33,39.73,41.04,1547782,46.29,,,,,,2.9722102712108893
14,40.47,44.24,39.17,43.55,1384839,45.49,,,,41.41039955922595,52.236818819414545,3.122052394695826
15,43.84,44.46,40.62,41.18,1558531,44.7,,,,40.71994900113684,52.01378939987471,3.173334366503267
16,40.77,41.59,38.43,39.53,1369078,43.36,,,,39.76134456888526,51.654815418590715,3.172381911753034
17,41.37,45.73,41.19,45.62,1235400,43.1,,,,39.377216954471685,50.858680236631315,3.388640346627817
18,45.79,46.4,44.18,44.43,1177988,43.28,,,,39.39619362864876,50.178584077949566,3.3051660361544015
19,44.47,47.0,43.615,46.73,945182,43.29,46.59,,,39.413771483436804,49.67865366438522,3.310868462143373
20,44.88,46.565,44.63,45.55,824616,43.63,46.4,,,39.50958043897075,49.0982203130079,3.2243778577045603
21,45.76,48.18,45.23,48.06,846543,43.97,46.22,,,39.53718793254467,49.00460211655792,3.204779439297092
22,47.48,49.1,47.44,48.72,666943,44.82,46.12,,,39.68687971827527,48.482439174964824,3.0944380507758713
23,46.52,47.1,44.97,45.5,1100839,45.04,45.8,,,39.77813486746551,47.83393107157054,3.1412639042918804
24,45.26,46.895,45.23,46.44,908663,45.62,45.6,,,39.847712440550595,47.941671250674425,3.0358164825567466
25,46.08,47.24,44.97,45.61,972923,46.3,45.34,,,39.92458616549668,48.00322312780234,2.981115305231265
26,47.56,47.96,46.29,46.58,2318254,46.4,45.25,,,40.17611095557536,48.241878631449936,2.9360356405718893
27,48.05,48.38,45.96,46.03,2029822,46.58,44.97,,,40.309300494315224,48.52282188600338,2.8991759519596116
28,46.73,48.89,46.03,48.52,1243794,46.78,45.0,,,40.8667134967988,48.84723272911564,2.8963776696767822
29,49.19,49.29,47.6,47.98,1498618,47.05,45.26,,,41.619467655887966,49.173551888514254,2.8102078361284404
30,47.69,47.88,45.67,46.03,1168926,46.82,45.23,,,42.19136476330076,49.27219348665905,2.7744787049764086
31,47.25,47.99,46.9,47.59,1175872,46.7,45.49,,,43.559004122903936,48.78978192031607,2.716301654620951
32,46.56,46.91,45.935,46.51,1661900,46.81,45.56,,,44.398815560018974,48.740788627286314,2.640494393576597
33,46.58,46.95,45.43,46.31,1080926,46.8,45.82,,,44.56104167081573,48.72681027348069,2.5604590797496978
34,47.57,48.0,46.27,46.71,1434014,46.92,45.98,,,44.924798069278594,48.767446640482675,2.5011405740532906
35,45.84,46.99,45.22,46.35,1059940,46.89,46.24,,,45.01759846938896,48.75371318673045,2.4489162473351986
36,45.06,45.48,44.1,44.59,1562946,46.73,46.49,,,44.81950612030342,48.78849924976374,2.434707943954113
37,45.33,46.0,44.66,45.58,996810,46.41,46.49,,,44.69923046728207,48.5858986338175,2.361514519385962
38,44.57,46.15,43.71,44.57,2262770,46.03,46.5,,,44.48043179686503,48.58013226394256,2.367120625144107
39,44.75,44.92,43.81,44.61,1187128,45.87,46.39,,,44.277791404038396,48.63946684313643,2.2773262947766706
40,44.93,45.95,44.47,45.84,1542626,45.67,46.41,,,44.21771173292497,48.603836178354975,2.2203744165783372
41,46.7,46.78,45.56,45.9,1189620,45.61,46.3,,,44.193408584394554,48.50880933124138,2.148919101108456
42,47.03,47.34,46.08,46.77,1352710,45.66,46.2,,,44.196400236370536,48.387940467843784,2.0982820224578527
43,45.65,45.79,44.59,44.66,1879610,45.43,46.16,,,44.0931889581857,48.09778857632734,2.1041190208537204
44,44.08,45.02,43.65,44.76,1277538,45.25,46.08,,,43.9523142869413,47.668476922053486,2.051681947935598
45,44.4,44.53,43.83,44.38,1064316,45.23,46.01,,,43.7933948667446,47.50203396132017,1.971561808797341
46,44.89,45.28,44.365,44.58,1287750,45.12,45.91,,,43.78105601282081,47.23811847199891,1.8960931081689596
47,44.77,45.55,44.505,45.29,1309394,45.2,45.88,,,43.748264778423554,47.13280555251547,1.835300743299748
48,46.1,46.54,45.27,45.47,1168528,45.29,45.72,,,43.74758958750999,47.08201161138176,1.7949221187783373
49,46.39,47.03,46.26,46.32,1248712,45.35,45.64,46.27,,43.74841212422109,46.88896050957445,1.7781419674370278
50,45.86,47.07,45.59,46.57,1226448,45.42,45.67,46.22,,43.748454483008295,46.90220082961034,1.756846112620097
51,46.65,46.94,44.95,44.95,990834,45.22,45.54,46.08,,43.82074519757753,47.02591682072343,1.773499961718661
52,44.71,44.88,43.08,43.63,2006253,45.11,45.39,45.94,,43.6008192303686,47.00787673214452,1.7803928215959
53,42.93,44.11,41.79,43.97,1768882,45.02,45.28,45.78,,43.21414167526265,46.999475069899944,1.818936191481907
54,43.62,44.33,43.32,44.23,1996522,45.0,45.15,45.66,,43.15138010400513,47.01230913564705,1.7611550349474852
55,45.82,46.52,45.67,46.22,1413088,45.18,45.14,45.57,,43.18989527578553,47.066849248221956,1.7989296753083794
56,46.0,47.0,46.0,46.32,1277372,45.3,45.23,45.53,,43.18654182839032,47.09755303985124,1.7418632699292096
57,47.0,47.17,46.42,46.48,726046,45.41,45.28,45.42,,43.175396096041425,47.06947366338028,1.6781587506485518
58,46.24,46.75,46.17,46.43,1064226,45.42,45.37,45.39,,43.21525629850169,47.15956252385234,1.599718839887941
59,46.36,46.36,45.5,45.82,608096,45.34,45.43,45.45,,43.36114483604773,47.22358205955973,1.5518817798959452
60,47.08,47.96,46.76,47.59,1573294,45.63,45.52,45.47,,43.49812602330905,47.482659093310374,1.593890224189092
61,48.28,48.76,47.74,48.46,761768,46.17,45.64,45.59,,43.56223411009808,47.866920865481994,1.563612351032728
62,48.85,49.385,48.0503,48.67,905898,46.69,45.74,45.66,,43.64541469418898,48.31606532464491,1.5472614688161044
63,48.35,48.5,47.76,48.275,850909,47.14,45.92,45.81,,43.70701124194876,48.52287102416082,1.5017427924720972
64,48.41,48.825,48.01,48.42,654596,47.38,46.1,45.91,,43.71821580198336,48.73435671947667,1.4526897358669477
65,48.79,48.99,48.28,48.61,825782,47.64,46.32,46.06,,43.78190390638108,48.95364362519382,1.3996404690193087
66,49.28,49.63,48.96,49.58,847442,47.98,46.57,46.26,,43.91762621843778,49.26568052010378,1.372523292660787
67,48.99,50.82,48.99,50.8,1477520,48.47,46.84,46.36,,44.40066466761841,49.756038992018574,1.4052002003278736
68,52.0,52.885,51.86,52.6,1473106,49.22,47.2,46.52,,45.12686539124983,50.526227060278075,1.4537573288758827
69,52.62,53.88,52.51,53.78,2045614,49.91,47.57,46.66,,45.62924411009187,51.34747888176293,1.4477746625276056
70,52.98,53.6291,52.4,53.29,2456738,50.45,47.91,46.82,,45.85938958185282,52.04707964428266,1.4429336152042054
71,53.34,53.87,52.66,52.72,2196324,50.9,48.29,46.91,,46.13695062881713,52.684546030067565,1.4262954998324766
72,51.03,51.37,49.29,49.33,1406854,51.01,48.58,46.92,,46.42732076128511,52.87448940472217,1.5694172498444425
73,50.62,50.63,48.775,48.81,230342,51.06,48.82,46.99,,46.74624176828373,52.93884588377627,1.589816017712697
74,47.52,49.22,47.41,48.75,1144116,51.07,49.05,47.04,,47.07085918435407,52.858540209183055,1.6055434450189332
75,50.37,50.62,48.4,48.95,1169610,51.0,49.18,47.1,,47.29601115327654,52.896229756940926,1.6494331989461521
76,49.06,49.435,48.58,49.0,800478,50.8,49.32,47.15,,47.396316544472384,52.89598161163606,1.5926879704499988
77,48.7,48.92,48.29,48.38,1060294,50.33,49.41,47.2,,47.42537547012829,52.8953564207218,1.5296388297035703
78,48.81,49.095,47.95,48.5,1356048,49.75,49.52,47.2,,47.45111934697845,52.887294398019286,1.5021646275818865
79,48.29,48.61,47.63,48.01,621055,49.16,49.63,47.2,,47.39925869917927,52.891145088549386,1.4648671541831801
80,48.6,48.655,47.76,47.82,470142,48.62,49.64,47.24,,47.33375689296635,52.895172899745866,1.4241623574558102
81,47.28,47.29,45.99,46.41,818436,48.29,49.54,47.21,,46.919607270386464,52.93867743762407,1.4531507604946807
82,46.14,47.0,45.48,46.89,644450,48.08,49.45,47.22,,46.45085511316842,52.89408915814618,1.4579257061736324
83,46.77,47.41,46.44,46.8,851655,47.86,49.37,47.23,,46.151241803056024,52.5310539676032,1.423073870018373
84,47.22,47.82,46.86,47.47,443891,47.7,49.32,47.24,,46.03041631437606,51.8959933630125,1.3942828793027753
85,47.33,48.205,47.28,47.99,460722,47.59,49.29,47.28,,46.068451231311975,51.20293079228988,1.3607626736382912
86,47.99,48.24,47.35,47.42,593814,47.48,49.19,47.33,,46.4035705176652,50.246619562818786,1.3271367683784132
87,48.09,48.98,47.97,48.51,469198,47.48,49.07,47.39,,46.43001335591734,49.8614903252715,1.3437698563513834
88,49.42,49.42,48.18,48.26,533215,47.51,48.85,47.47,,46.441654305545825,49.65118925561229,1.3363577237548563
89,47.88,48.31,47.65,47.69,368340,47.49,48.55,47.53,,46.45590704698542,49.5754773709907,1.288046457772367
90,47.69,48.02,47.23,47.63,388998,47.63,48.27,47.56,,46.41929084879457,49.192816761873274,1.252471710788627
91,47.85,48.35,47.4,47.95,526578,47.75,48.03,47.6,,46.4130081291992,49.05380402575228,1.2308665885894396
92,47.87,48.475,47.42,48.42,590220,47.93,47.98,47.64,,46.40638388651642,49.00252868024046,1.2183046894044798
93,48.85,49.66,48.63,48.65,318528,48.06,47.98,47.72,,46.38209321364722,49.109205653887905,1.2198543544470166
94,49.0,51.46,48.97,51.43,760380,48.44,48.11,47.85,,46.35445452704218,49.69897592386894,1.33343618627223
95,52.2,52.9,51.73,52.51,527741,49.01,48.29,48.01,,46.033754837016026,50.515151590797494,1.3431907443956421
96,52.4,52.99,52.11,52.41,282976,49.44,48.46,48.17,,46.083770167442395,51.20144819076583,1.310105691224525
97,52.19,52.9,52.11,52.38,368898,49.9,48.66,48.31,,46.377432604165094,51.73974861834278,1.2729552847084875
98,52.18,52.63,51.91,51.99,443399,50.37,48.83,48.44,,46.632104919444565,52.149177481867895,1.2334584786578817
99,52.27,52.91,52.205,52.29,429119,50.89,49.05,48.56,,46.88657814007515,52.547095141088754,1.2110685873251756
100,52.13,52.86,52.1007,52.25,560578,51.37,49.27,48.67,,47.15125921308156,52.88287077370089,1.1787994025162343
101,53.76,55.7,53.435,54.46,1018504,52.04,49.67,48.87,,47.41557304322967,53.68538229168237,1.3410280166222177
102,54.44,54.49,52.935,53.33,553416,52.56,49.99,49.06,,47.68764029367817,54.14354636231914,1.3563117297206306
103,53.14,54.7,53.06,54.23,686491,52.87,50.36,49.26,,47.9821599424814,54.57423492732045,1.3765751775977286
104,54.01,54.24,53.19,53.24,769807,52.95,50.65,49.44,,48.4179403803301,54.843081402887506,1.3532483791978913
105,53.5,53.99,53.41,53.68,725796,53.09,50.94,49.59,,49.01474337897363,54.96916918427682,1.3101592092551848
106,53.1,53.22,52.33,53.08,948055,53.17,51.22,49.73,,49.667961805828526,54.93121728805937,1.3130049800226717
107,52.85,53.33,52.41,53.23,1034338,53.31,51.46,49.86,,50.46861220004441,54.75970839149871,1.2849331957353383
108,53.45,53.79,53.26,53.46,735495,53.44,51.72,50.0,,51.136340455175336,54.60824882631632,1.2331522531828143
109,53.04,53.69,52.91,53.57,1113210,53.59,52.01,50.16,,51.964045106161116,54.57730178519298,1.2007842350983278
110,53.74,54.43,53.705,54.31,886402,53.57,52.34,50.29,,52.08397372394783,54.67810052583544,1.1764425040198758
111,54.08,54.46,53.6,54.1,879038,53.66,52.65,50.41,,52.17033234679968,54.769593233940746,1.153839468018456
112,54.19,54.795,54.0905,54.73,685428,53.71,52.97,50.53,,52.25383586767587,54.889272988475724,1.1217437917314237
113,54.73,55.23,54.61,55.0,659300,53.91,53.28,50.66,,52.37142014031237,55.03700468076336,1.0859049494648931
114,55.5,57.78,55.39,57.38,1894497,54.32,53.58,50.84,,52.41146738336802,55.76200092069492,1.2069117387888295
115,57.73,58.08,57.21,57.69,995307,54.83,53.84,51.02,,52.32616060987796,56.37464940730528,1.1828466145896273
116,57.21,57.62,56.95,57.15,642589,55.27,54.08,51.17,,52.28522315762983,56.681697933537336,1.1512147135475106
117,56.74,57.45,56.74,57.21,591520,55.68,54.32,51.3,,52.39153502681374,57.01195696007255,1.1196993768655457
118,57.25,57.7597,56.97,57.15,657354,56.08,54.58,51.39,,52.526342602769134,57.3519009964192,1.0961279928037213
119,57.06,57.64,56.91,57.16,589650,56.4,54.82,51.46,,52.696704853101195,57.65011123981665,1.0699759933177415
120,57.42,57.68,56.935,57.1,1266622,56.73,55.06,51.54,,52.87837282222124,57.92043412449418,1.0467634223664741
121,56.59,57.09,56.05,57.0,832278,56.98,55.19,51.62,,53.26700625044826,58.053305509228,1.046994606483155
122,56.81,57.33,56.6,57.25,745312,57.23,55.39,51.78,,53.70764249354357,58.16551284373229,1.0243521345915008
123,57.59,58.19,57.34,58.15,741424,57.32,55.58,51.97,,54.04060572000131,58.35740676279047,1.018326982120679
124,58.2,58.5,57.54,58.4,896366,57.4,55.84,52.16,,54.51404510600701,58.50740026124485,1.0141607691120593
125,58.5,58.89,58.03,58.61,617846,57.56,56.09,52.35,,54.88257726436258,58.69697727750623,1.0031492856040551
126,58.85,58.895,58.08,58.11,485104,57.66,56.34,52.54,,55.363949219999625,58.79518247595605,0.9897100509180516
127,58.17,58.25,57.64,58.17,489092,57.77,56.58,52.73,,55.836528558723295,58.72564468095342,0.9625879044239051
128,58.07,58.2,57.85,58.01,575231,57.87,56.81,52.92,,56.28006861778762,58.54659937017748,0.9188316255364835
