,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,25.98,26.285,25.25,25.26,6478403,,,,,,,1.0350000000000001
1,24.34,25.175,23.675,24.02,9842480,,,,,,,1.0742857142857145
2,23.04,24.095,22.8,23.88,11461536,,,,,,,1.0900510204081633
3,24.04,24.68,23.51,24.67,7171490,,,,,,,1.09576166180758
4,24.52,25.41,23.73,23.88,6945995,,,,,,,1.1374929716784672
5,24.25,25.1,23.905,25.08,5684421,,,,,,,1.1433863308442913
6,24.67,25.03,24.36,24.62,7040140,,,,,,,1.113144450069699
7,23.66,24.98,23.61,24.87,8627637,,,,,,,1.1314912750647206
8,23.16,24.15,22.62,22.83,13737955,24.35,,,,,,1.2113847554172406
9,23.83,24.205,22.685,24.2,8057206,24.23,,,,,,1.2334287014588663
10,23.43,23.8,22.77,23.16,10273495,24.13,,,,,,1.2474695084975187
11,21.29,22.33,20.36,20.445,7881396,23.75,,,,,,1.3583645436048388
12,21.69,22.8,20.1,22.8,7805010,23.54,,,,,,1.4541956476330646
13,19.83,20.14,18.42,19.06,11166443,23.01,,,,,,1.6631816728021314
14,19.33,21.57,18.46,21.561,8225045,22.62,,,,,,1.7665258390305505
15,19.84,21.56,19.39,21.5,6313674,22.27,,,,,,1.7954168505283683
16,21.14,21.99,20.02,21.27,6361592,21.87,,,,,,1.8078870754906275
17,21.35,21.61,18.79,18.86,7065452,21.43,,,,,,1.8801808558127258
18,18.71,18.78,17.44,17.75,6234508,20.71,,,,,,1.8473107946832452
19,18.7,20.07,18.22,20.02,6547705,20.36,22.49,,,16.57680405204168,27.359149532329504,1.8810743093487277
20,19.9,21.035,19.16,20.24,7364613,20.34,22.24,,,16.49900767375427,26.933615320328578,1.8806404301095327
21,20.29,21.96,19.91,21.8,5936444,20.23,22.12,,,16.427742847135534,26.648964307871502,1.892737542244566
22,21.02,21.59,20.465,20.74,4938124,20.42,21.97,,,16.384252105496945,26.50460829153119,1.8528991463699542
23,20.92,21.4,20.27,21.3,5468682,20.39,21.8,,,16.387764093334464,26.253423266892323,1.8012634930578146
24,21.37,21.55,20.45,20.56,5117251,20.28,21.63,,,16.458519060871144,25.815669890294586,1.7511732435536853
25,19.52,19.68,18.7612,19.11,5321952,20.04,21.33,,,16.443224040794764,25.465300500135598,1.754575154728422
26,19.1,19.44,18.49,18.71,7076606,20.03,21.04,,,16.57504571698494,25.059726266576508,1.6971055008192493
27,18.61,18.84,17.82,17.91,9486184,20.04,20.69,,,16.59694910714169,24.62136471142157,1.6487408221893027
