,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,1274.31,1342.45,1268.21,1341.16,3465941,,,,,,,74.24000000000001
1,1351.39,1387.47,1325.2,1386.6401,2330698,,,,,,,73.38500000000002
2,1397.68,1408.19,1329.2421,1337.72,2458902,,,,,,,73.78235000000004
3,1358.96,1382.78,1337.0,1380.92,1912387,,,,,,,71.78218214285718
4,1346.99,1353.63,1301.64,1315.33,2292572,,,,,,,72.31774056122453
5,1270.2,1302.75,1257.21,1295.69,2862411,,,,,,,71.30361623542277
6,1204.96,1252.73,1198.04,1210.68,3086891,,,,,,,73.18550079003543
7,1254.33,1275.85,1214.51,1275.85,4633340,,,,,,,72.61296501931861
8,1248.27,1256.93,1191.14,1210.65,4702196,1306.07,,,,1205.6044177565923,1394.1518877538047,73.47703894651013
9,1122.62,1188.75,1108.47,1110.76,4294803,1280.47,,,,1164.7176161855784,1394.4544286887326,75.52725045033085
10,1174.99,1214.4,1112.29,1214.3699,3283021,1261.33,,,,1133.6456809738952,1375.7220796385677,77.53530398959293
11,1089.0,1145.47,1067.0801,1073.01,8593972,1231.92,,,,1098.3933252265033,1347.2305410795075,82.5177679903363
12,1090.64,1126.0,1049.1,1118.065,3726901,1202.71,,,,1071.0519122011115,1316.362131802721,82.11649884816943
13,1055.01,1104.99,1037.0,1096.1,3779697,1178.35,,,,1049.243448368575,1284.963053428483,82.04139178758591
14,1088.22,1152.61,1055.55,1112.84,6509980,1158.04,,,,1038.0908014215374,1259.4203286651546,83.11414951704407
15,1130.9,1138.4783,1062.1,1067.83,7898242,1142.16,,,,1029.3699557146053,1243.870411271556,82.63301740868378
16,1056.37,1066.91,1008.87,1054.13,7514976,1117.53,,,,1017.7814069232841,1218.2924551161054,80.9420875937778
17,1101.83,1133.33,1086.43,1131.0,3143271,1108.68,,,,1028.57353065694,1188.684882005557,80.8176527656508
18,1124.88,1146.17,1083.01,1101.13,4107182,1107.61,,,,1029.2721075119168,1179.8990316005297,79.55639185381862
19,1114.63,1171.48,1092.03,1162.92,3293469,1101.89,1199.84,,,1031.052220621824,1165.1952554752359,79.54879243568872
20,1127.47,1151.05,1104.0027,1110.26,2726681,1106.03,1188.29,,,1030.969490947391,1166.222033719789,78.07511440456811
21,1132.64,1151.0,1098.4901,1146.31,2657188,1109.17,1176.28,,,1034.959656964434,1169.528588235427,76.24902766138467
22,1148.73,1173.4,1136.72,1161.95,5031596,1116.49,1167.49,,,1041.3261274977049,1177.2141686070804,73.42266854271435
23,1121.7,1129.42,1093.49,1101.9,4618308,1115.27,1153.54,,,1046.780512163531,1174.6792537254107,73.06819221823476
24,1098.57,1122.77,1093.13,1116.84,2468518,1120.72,1143.61,,,1051.3652330013438,1173.5231973407388,69.96617848836084
25,1114.71,1118.79,1075.08,1092.69,3568324,1125.0,1133.46,,,1076.5454164809212,1165.9334136459577,68.09073716776365
26,1133.0,1190.7548,1125.0,1183.4,5334586,1130.82,1132.1,,,1078.6124629227156,1177.5464889550549,70.23174165578052
27,1217.01,1220.775,1177.25,1182.48,2732988,1139.86,1127.43,,,1076.3917578083483,1195.9648701563542,68.32411725179621
28,1203.1,1214.9,1183.954,1207.0,1680350,1144.76,1127.25,,,1078.4947539591915,1206.0646665186064,65.75953744809648
29,1218.18,1221.99,1192.4166,1206.755,2563275,1155.48,1132.05,,,1081.7176269064985,1218.4916953708157,63.17481334466102
30,1201.5,1214.5199,1182.3318,1211.21,3318492,1162.69,1131.89,,,1089.7184054723552,1227.098813788376,60.96147667718524
31,1239.9735,1275.7499,1228.5413,1265.24,5366429,1174.17,1141.5,,,1090.4201199877855,1249.9687332286505,61.21707834310058
32,1246.51,1275.1099,1234.0,1257.29,4993158,1191.43,1148.46,,,1104.0004231515252,1267.6823089502439,59.78085131859339
33,1267.14,1273.3586,1238.2,1257.44,9449955,1207.06,1156.53,,,1123.0828586313812,1277.9886610068777,58.02211908155101
34,1281.7,1290.0,1266.0,1279.04,6317271,1227.76,1164.84,,,1156.294186407694,1281.7371301469805,56.20339629001165
35,1269.89,1276.82,1256.44,1261.22,6129953,1236.41,1174.51,,,1180.1718786440026,1286.8334019674974,53.803153697867955
36,1242.71,1250.0,1205.0,1210.08,5885914,1239.48,1182.31,,,1186.5434203575558,1287.7936217119686,53.975785576591676
37,1241.11,1279.88,1237.2,1256.94,5358739,1245.02,1188.6,,,1195.707449328433,1291.5865219974442,55.10608660683515
38,1265.74,1288.15,1260.5302,1271.62,4209755,1252.23,1197.13,,,1204.6330801455704,1295.136054845592,53.3992232777755
39,1255.0,1277.71,1244.0,1276.61,3217466,1259.5,1202.81,,,1220.6097022658917,1288.8822422073474,51.99285018650583
40,1292.0,1294.1,1265.06,1270.86,5175778,1260.12,1210.84,,,1223.700743624062,1292.4990329320626,50.3533608874697
41,1283.2,1284.76,1230.38,1232.31,2771569,1257.35,1215.14,,,1222.975175367275,1293.6792771268274,50.64097796693614
42,1345.0,1360.15,1326.73,1341.221,4859923,1266.66,1224.11,,,1217.8161806650896,1321.5738407770796,56.15519382644071
43,1331.36,1350.0,1321.5,1346.86,4360313,1274.19,1236.36,,,1216.508622302665,1335.200667517156,54.1798228388378
44,1324.09,1351.43,1309.66,1317.3,2221247,1280.42,1246.38,,,1219.034775212687,1347.3737694497245,53.29340692177796
45,1308.13,1324.47,1296.01,1322.51,1330002,1292.91,1257.87,,,1235.7354422493092,1349.820845339161,51.51959214165097
46,1337.5,1371.01,1335.03,1349.65,1737295,1303.22,1266.18,,,1245.2248871986624,1362.8079328358094,51.3039069886759
47,1358.0,1368.69,1345.13,1345.17,1314155,1311.39,1274.32,,,1251.575649123029,1372.214363089763,49.32219934662761
48,1361.31,1375.9999,1352.5406,1369.84,2399511,1321.75,1282.46,,,1265.408426593854,1379.3275958482168,48.0013208218685
49,1381.82,1396.64,1372.01,1384.38,2903668,1334.36,1291.34,1226.66,,1276.0230601925418,1389.6085221718674,46.48694076316362
50,1376.79,1415.53,1375.5,1402.76,1424730,1353.3,1300.92,1227.9,,1307.5236904630185,1397.594659516574,46.02573070865193
51,1408.22,1414.33,1374.51,1375.25,2853796,1357.08,1306.42,1227.67,,1310.2943151212708,1407.78578145861,45.5824642294625
52,1376.16,1385.33,1328.01,1348.4,3591966,1357.25,1310.97,1227.88,,1311.575158424386,1410.323965722659,46.42085964164375
53,1333.52,1357.37,1323.3,1357.08,2840232,1361.67,1315.96,1227.4,,1314.9368080695351,1410.3039342723587,45.53865538152634
54,1348.26,1374.58,1339.0,1373.89,1540876,1367.38,1320.7,1228.58,,1327.0918197292858,1406.8603106643218,44.827322854274456
55,1361.58,1392.76,1354.2,1385.18,3848092,1371.33,1326.9,1230.37,,1330.0002939933443,1408.7271851528726,44.37965693611199
56,1385.48,1392.49,1373.76,1374.3,2641672,1374.56,1335.11,1233.64,,1331.956551109647,1410.0973093631565,42.54753858353257
57,1389.16,1412.026,1387.4193,1409.18,1608447,1378.94,1342.72,1236.3,,1332.9419735787142,1414.7659877031829,42.20314297042311
58,1410.99,1416.46,1394.39,1407.92,1335891,1381.55,1349.53,1240.25,,1332.5205111795183,1418.5936572311696,40.765061329678595
59,1403.9,1417.0,1395.95,1413.23,2526540,1382.71,1356.36,1246.3,,1332.3583565639449,1418.9551121592424,39.35684266327298
60,1441.96,1445.11,1419.395,1421.38,1869160,1387.84,1363.89,1250.44,,1331.1653572828782,1428.1354070328275,38.82278247303919
61,1420.0,1425.345,1394.6,1420.28,2686262,1395.83,1373.29,1257.38,,1341.6045101630962,1433.382619006029,38.24579801067926
62,1400.0,1444.46,1399.076,1417.46,3012156,1402.54,1377.1,1263.37,,1357.0519800038173,1439.4691086222315,38.75566958134503
63,1420.43,1436.73,1415.98,1432.4,1357622,1409.04,1381.38,1270.1,,1370.817326665136,1441.9897981606643,37.46955032553467
64,1425.7,1441.58,1422.28,1434.35,1032163,1414.5,1387.23,1276.53,,1382.7007137608857,1445.34177033117,36.17172530228219
65,1435.0,1443.0,1421.61,1443.0,1928968,1422.13,1393.26,1284.03,,1390.3444254855658,1446.2001308313281,35.11588778069061
66,1442.7,1449.01,1431.62,1439.25,1090308,1425.47,1397.74,1291.73,,1394.6423213987953,1449.2028773954714,33.84975293921272
67,1436.78,1441.32,1406.01,1414.82,2399796,1426.24,1401.22,1297.41,,1397.1983765788357,1449.6098413498876,33.95405630069752
68,1415.64,1446.3,1407.6213,1440.75,1699497,1429.3,1404.76,1304.2,,1399.8479472519198,1449.0811767019582,34.291530850647696
69,1426.28,1449.0,1424.48,1448.47,2317184,1432.31,1407.97,1309.91,,1399.928374629562,1449.9186414083383,33.59356436131572
70,1445.24,1467.8,1442.36,1452.07,2485515,1435.84,1410.43,1316.75,,1404.159972353703,1456.3325588889802,33.01116690693603
71,1461.51,1472.77,1454.355,1464.98,1357405,1441.12,1414.92,1323.12,,1407.885199213929,1463.316379432339,32.131797842154896
72,1441.03,1451.6033,1398.41,1401.02,1999334,1437.63,1417.55,1327.91,,1403.4921124722805,1463.8680309063707,34.59166942485811
73,1425.86,1434.505,1407.49,1407.49,887410,1434.65,1420.07,1334.02,,1401.0162417189138,1464.1451639417087,34.51262160879683
74,1389.49,1425.0,1387.1952,1420.75,2269274,1432.18,1422.41,1340.1,,1393.6378370995924,1464.9798724856757,34.74777720816848
75,1449.0,1457.17,1428.99,1446.64,2479769,1433.0,1425.49,1347.17,,1393.556658471571,1466.1884929381868,34.86722169329931
76,1452.94,1462.2,1435.125,1452.7,1159372,1437.21,1429.41,1352.56,,1396.5138025368806,1468.7159877462745,34.31063442949222
77,1449.85,1452.9698,1426.235,1433.621,1510086,1436.42,1430.63,1357.58,,1399.1451394157116,1469.304036096788,33.769503398814216
78,1440.0,1444.5,1420.0,1426.98,3542029,1434.03,1431.58,1361.98,,1398.6402137953894,1469.028408602145,33.107396013184626
79,1425.01,1450.95,1419.19,1450.44,1199967,1433.85,1433.44,1366.86,,1397.5724137977543,1465.867822828699,33.0111534408143
80,1452.0,1475.2,1445.0,1464.18,1598914,1433.76,1435.58,1371.92,,1398.5835093613973,1466.6829574838011,32.81035676647042
