,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,13.76,14.49,13.72,14.31,9832182,,,,,,,0.7699999999999996
1,14.36,14.48,13.49,14.03,10386159,,,,,,,0.7857142857142854
2,14.08,14.68,13.67,13.82,8725084,,,,,,,0.8017346938775507
3,13.95,14.29,13.73,14.28,6281710,,,,,,,0.7844679300291542
4,13.88,13.99,13.16,13.36,6640575,,,,,,,0.8084345064556432
5,12.86,13.5,12.63,13.19,6536405,,,,,,,0.8128320417088115
6,12.13,12.36,11.54,11.77,7610842,,,,,,,0.8726297530153251
7,12.25,12.69,11.64,12.4201,7964365,,,,,11.940881935105757,14.774708690301305,0.8852990563713733
8,12.03,12.09,10.93,10.96,12661319,13.13,,,,11.396453989681172,14.622500401284038,0.9284991237734181
9,10.04,10.42,9.35,10.065,13003106,12.66,,,,10.41924149585294,14.54175619792715,0.9771777577896027
10,10.79,11.36,10.29,10.81,15766168,12.3,,,,10.03587117013359,14.040449094575777,0.9998793465189169
11,9.32,9.77,7.75,8.34,17292346,11.69,,,,8.972061219865378,13.616483666343994,1.1470308217675658
12,8.38,8.54,6.79,8.34,15893859,11.03,,,,7.89114928558592,13.165047132946222,1.1901000487841682
13,7.69,8.98,6.8,7.89,11800326,10.42,,,,7.146313684738201,12.5206724125972,1.2608071881567275
14,7.66,8.59,7.22,8.07,9833700,9.85,,,,6.696038884949726,12.073768336603592,1.2686066747169613
15,8.28,8.5334,7.12,7.21,9476548,9.35,,,,6.451519892072282,11.306773466664175,1.2789490550943214
16,7.13,7.23,6.04,6.27,12475491,8.66,,,,6.0930434375037335,10.59739130358788,1.2725955511590128
17,6.9,8.23,6.62,8.14,10293395,8.35,,,,5.904510158891754,10.24577925818975,1.321695868933369
18,8.52,9.695,7.78,8.99,11273357,8.23,,,,6.373325850383732,9.593598362835442,1.3640747354381284
19,9.06,9.34,8.43,8.43,9837922,7.96,10.53,,,6.29100573902792,9.463219514969133,1.3316408257639765
20,7.82,8.0,7.4,7.79,7603875,7.9,10.21,,,6.372896237416424,9.433351861350602,1.3100950524951211
21,7.65,7.67,7.12,7.415,6514662,7.8,9.88,,,6.429331155482226,9.312805028929704,1.2643739773168983
22,7.19,7.43,6.9,7.04,8187483,7.71,9.54,,,6.379811420626592,9.238119991997937,1.211918693222834
23,6.53,6.65,5.7,5.88,13674084,7.46,9.12,,,6.015434771151305,9.174022098171566,1.2210673579926317
24,5.82,6.14,5.26,5.51,16096593,7.27,8.73,,,5.75344203478977,9.231818615300156,1.1967054038503009
25,5.5,5.79,5.47,5.645,13954330,7.2,8.35,,,5.481056419466271,9.140543383083727,1.134083589289565
26,6.22,6.8,6.11,6.6,12747546,7.03,8.09,,,5.340115949570675,8.479040507877055,1.1355776186260247
27,7.23,7.86,6.8833,6.945,17122385,6.81,7.82,,,5.451701406801684,7.946256564884286,1.1444649315813087
28,7.15,8.07,6.92,7.86,10268826,6.74,7.66,,,5.471883565666795,7.968140698813901,1.144860293611215
29,8.35,9.39,8.25,9.1,17059439,6.89,7.61,,,5.344205623290582,8.553134991808854,1.1723702726389855
30,9.16,9.32,8.11,8.325,10350977,6.99,7.49,,,5.319556143203205,9.020178278536948,1.1750581103076296
31,8.81,9.01,8.175,8.425,8357635,7.14,7.49,,,5.56481136862504,9.362813638129529,1.150768245285656
32,8.0,8.06,7.41,7.71,10072452,7.35,7.46,,,6.044577132106686,9.418649391940335,1.1410705134795378
33,7.73,7.85,7.41,7.62,6154305,7.58,7.45,,,6.578230487737338,9.269070252673218,1.0909940482309994
34,8.17,8.82,8.08,8.36,10393313,7.88,7.46,,,7.028674395226036,9.269961615391638,1.098780187643071
35,8.02,8.29,7.71,7.84,6835902,8.02,7.49,,,7.233821486653778,9.270365180667731,1.0667244599542802
36,7.45,7.84,7.285,7.56,5923644,8.09,7.56,,,7.3686809783821925,9.278161543720305,1.030172712814689
37,7.71,7.84,6.96,7.135,10255694,8.01,7.51,,,7.150600184416097,9.029344439724174,1.0194460904707827
