,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,135.5,140.0,133.685,135.21,2755587,,,,,,,6.314999999999998
1,131.36,132.64,124.98,127.83,2894549,,,,,,,6.594642857142856
2,123.57,127.43,122.2535,127.13,2356637,,,,,,,6.521918367346937
3,119.27,121.335,110.51,116.66,2809635,,,,,,,7.243209912536441
4,120.83,122.26,113.38,120.88,2908530,,,,,,,7.360123490212411
5,117.54,118.59,110.7,112.57,3324320,,,,,,,7.561543240911524
6,103.99,109.02,101.01,101.51,3956206,,,,,,,7.847147295132129
7,107.13,108.519,101.07,104.28,4896448,,,,,,,7.818708202622692
8,93.0,96.545,83.87,84.45,5133840,114.5,,,,,,8.718086188149643
9,86.33,87.4,76.3,77.24,6246545,108.06,,,,,,8.888222888996097
10,73.02,74.21,58.38,68.13,5159096,101.43,,,,,,9.600492682639231
11,67.0,88.0,66.79,83.5001,4989174,96.58,,,,,,10.429743205307856
12,85.2,88.45,75.02,78.5,5564139,92.34,,,,,,10.644047262071581
13,80.91,85.56,75.34,78.8,5225066,87.66,,,,,,10.613758171923612
14,86.31,92.06,82.95,86.75,4016915,84.8,,,,,,10.802775445357641
15,87.26,95.88,85.42,92.44,4313474,83.79,,,,,,10.778291484974952
16,95.09,103.74,90.18,94.4,4330311,82.69,,,,,,10.976984950333884
17,90.4,92.25,86.0,87.44,3258016,83.02,,,,,,10.792914596738607
18,88.98,92.41,86.02,90.95,3200181,84.55,,,,,,10.478420696971563
19,89.61,91.84,87.6,89.85,2481005,86.96,97.93,,,52.87399283726576,139.6396454557548,10.032819218616453
20,83.92,86.39,82.02,83.66,2910285,86.98,95.35,,,54.6899213974217,133.30885635664396,9.875474988715277
21,82.62,88.84,81.75,83.86,1854738,87.57,93.15,,,56.075416062332636,127.80671059959872,9.676512489521329
22,83.32,84.35,79.735,81.87,1651223,87.91,90.89,,,57.7901413592828,122.91218525747249,9.314975883126948
23,86.55,94.19,85.04,93.67,3323492,88.68,89.74,,,58.77664158631648,118.81600797813793,9.529620462903594
24,99.51,102.61,97.82,98.6,3820124,89.37,88.62,,,60.658401598017555,114.48517806690248,9.487504715553337
25,100.0,110.825,99.24,108.01,3839527,90.88,88.4,,,62.25563700592174,112.35464259653142,9.683040093013814
26,108.73,112.18,105.63,108.15,3352320,93.18,88.73,,,61.65017154433376,113.10334401191523,9.4592515149414
27,107.16,107.98,101.66,103.57,2527822,94.58,88.69,,,61.5864446870143,112.99120444315683,9.247162121017015
28,105.3,112.715,105.22,112.56,3304126,97.11,90.1,,,60.81713832818387,115.56876343257849,9.239864826658657
29,106.5,111.35,106.5,109.54,2220405,99.98,91.71,,,61.00781638986098,117.74862619006221,9.012731624754467
30,109.53,110.75,106.62,108.34,2247013,102.7,93.72,,,65.72617367552536,118.04183600771948,8.663965080129149
31,112.8,116.075,111.22,115.72,2008807,106.46,95.33,,,68.5228001570819,120.49439437235763,8.597610431548496
32,112.59,114.92,108.685,110.22,2629143,108.3,96.92,,,70.37235852141212,122.33107818782373,8.485995400723604
33,103.81,114.29,100.56,105.46,3882017,109.06,98.25,,,73.05064028792847,123.45196048187822,8.860567157814776
34,108.33,108.91,104.53,104.55,2538570,108.68,99.14,,,74.40536447542345,124.01128892300633,8.540526646542292
35,105.5,109.5,104.61,104.79,2746390,108.31,99.76,,,75.56377054885678,124.65535329349179,8.284060457503557
36,106.01,108.61,104.28,107.82,1907620,108.78,100.43,,,76.21991587153065,125.03039014297443,8.001627567681876
37,108.86,111.91,108.68,110.9,2060062,108.59,101.6,,,77.45959475134002,125.63221444871044,7.722225598561742
38,111.66,113.74,108.89,109.29,2128855,108.57,102.52,,,78.9484935816406,126.2707531558068,7.517066627235903
39,112.59,115.965,111.41,113.33,2232090,109.12,103.7,,,80.28692364336783,126.90412697763662,7.456919011004767
40,111.86,112.3,109.06,109.88,1662969,108.47,105.01,,,83.33811862316558,125.86348454652268,7.229281938790141
41,107.38,108.62,103.7,104.93,1694268,107.88,106.06,,,87.05861268612226,124.36574778261314,7.15433322887656
42,103.28,104.32,101.46,103.57,1905263,107.67,107.15,,,92.44049921096132,120.34001412817084,6.891166569671093
43,105.6,108.49,104.92,106.53,1533753,107.89,107.79,,,97.64736471083003,117.89377562382087,6.750368957551729
44,106.92,106.92,99.05,99.48,2517979,107.3,107.83,,,97.9456761770721,117.27359232545801,6.830342603440893
45,101.04,104.8192,100.38,102.62,1682350,106.73,107.56,,,98.18499668930339,117.56141256755822,6.723832417480828
46,104.5,108.12,104.08,107.84,1543775,106.39,107.55,,,98.08660959680579,117.4164598754786,6.636415816232199
47,105.79,106.6,103.045,104.14,1596722,105.81,107.58,,,98.27684383456729,117.48049889696027,6.504886115072757
48,104.9,104.97,99.44,99.49,2343627,104.28,106.92,,,97.50982732073666,117.4128420826757,6.435251392567561
49,100.12,101.275,98.345,100.31,4002075,103.21,106.46,101.42,,96.56819510505896,117.85605207216057,6.1848762930984496
50,98.67,99.42,95.86,99.15,3782242,102.57,106.0,100.7,,95.19342647129298,118.41622197135855,6.060956557877132
51,98.41,100.11,97.105,98.74,3749797,102.03,105.15,100.12,,94.62372440783288,117.79355531686767,5.842673946600194
52,102.52,108.33,102.4,105.58,5591024,101.93,104.92,99.69,,94.66241549321936,116.9291658366815,6.11034009327161
53,104.38,106.51,102.65,103.87,3772686,102.42,104.84,99.43,,94.8475711667844,116.03220856756681,5.949601515180781
54,105.86,107.22,104.29,106.44,4611689,102.84,104.94,99.15,,94.84296679254392,115.92126317027855,5.763915692667868
55,105.87,108.44,105.65,108.1,2880293,102.87,105.1,99.06,,94.84467912958867,115.82608273014772,5.551493143191592
56,108.49,108.79,105.5,106.74,1966686,103.16,105.05,99.16,,94.85608782479552,115.84115434002098,5.389957918677907
57,110.95,113.61,108.98,109.12,1764641,104.23,104.96,99.26,,94.82982944730935,116.14955456201356,5.495675210200914
58,111.0,113.962,110.25,113.64,1925603,105.71,105.18,99.84,,94.6902064996259,116.19497604130977,5.448984123757992
59,115.0,115.495,109.42,109.78,1526077,106.89,105.0,100.49,,94.93937793547589,116.07714251612703,5.493699543489564
60,109.21,109.91,104.52,106.88,2216428,107.79,104.85,101.27,,95.13862718534489,115.7370566923943,5.486292433240309
61,106.84,110.44,106.55,108.82,1146518,108.15,105.04,101.77,,95.13080394036953,115.92680103083758,5.372271545151716
62,109.57,109.92,107.83,109.01,1000245,108.73,105.31,102.38,,95.23739210203156,116.15034573369581,5.13782357764088
63,109.75,113.21,107.81,108.04,2413338,108.9,105.39,102.97,,95.18001229593382,116.73802801386498,5.156550464952246
