,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,52.01,56.19,52.01,56.19,5205198,,,,,,,4.18
1,56.88,57.43,54.67,57.21,3737841,,,,,,,4.078571428571428
2,57.36,58.61,56.03,57.67,3691523,,,,,,,3.971530612244898
3,59.05,59.05,55.97,57.01,2884607,,,,,,,3.907849854227405
4,55.1,55.53,53.49,54.475,4195956,,,,,,,3.880146293211162
5,52.36,53.46,48.34,49.72,9767010,,,,,,,4.041207272267507
6,35.2,35.52,27.6,32.975,12364108,,,,,,,5.332549609962685
7,36.71,39.88,32.49,39.67,8667508,,,,,,,5.479510352108208
8,37.89,38.85,35.33,36.69,7293455,49.07,,,,,,5.398116755529051
9,33.7,35.24,32.19,32.84,7267123,46.47,,,,,,5.333965558705547
10,35.2,37.24,31.01,34.92,5382649,44.0,,,,,,5.397968018798008
11,31.0,33.71,30.47,31.05,6339327,41.04,,,,,,5.3302560174552935
12,30.94,34.49,29.8,30.62,6496313,38.11,,,,,,5.284523444779915
13,28.39,30.43,26.06,30.1401,6749458,35.4,,,,,,5.2327717701527785
14,30.4,33.73,29.1213,31.13,4128727,33.34,,,,,,5.1881952151418655
15,32.03,32.82,29.59,30.8,4732788,33.1,,,,,,5.048324128346018
16,30.7,31.3,27.77,28.89,4802523,31.9,,,,,,4.939872404892731
17,31.23,34.9,30.3826,34.52,3667650,31.66,,,,,,5.016310090257536
18,34.76,37.17,32.71,34.56,3345754,31.85,,,,,,4.976573655239141
19,34.82,37.62,34.5101,36.61,3601698,32.04,39.88,,,15.421145088837608,62.49331830216454,4.84323982272206
20,34.9,35.85,33.755,34.03,2618226,32.37,38.78,,,15.554574390207652,60.45013317902203,4.701222692527627
21,32.76,33.19,29.83,31.93,6806239,32.51,37.51,,,15.945788816694154,57.829193904776616,4.665421071632796
22,33.29,35.34,32.6225,33.29,3020207,32.86,36.29,,,17.390572783705597,54.35695384958497,4.57574813794474
23,32.19,32.535,30.58,31.99,3149528,32.96,35.04,,,19.592229813421103,49.88207712025339,4.44248041380583
24,33.73,37.5,32.15,35.29,4633780,33.46,34.08,,,22.729912748582006,45.59811789090597,4.518731812819699
25,36.96,37.42,31.05,33.52,5279347,33.97,33.27,,,26.256368987176423,40.25473898175875,4.650965254761149
26,33.95,35.63,32.59,35.09,3297892,34.03,33.38,,,26.73073164709897,40.261787067142805,4.535896307992496
27,37.87,38.99,34.99,35.14,3032606,34.1,33.15,,,26.573018943186177,40.057403956707915,4.497618000278746
28,35.97,39.37,35.79,39.16,2587714,34.38,33.28,,,26.510734265964356,40.170462757505,4.478502428830264
29,41.32,43.8,38.55,40.32,4654409,35.08,33.65,,,25.857283257726948,41.91140298769152,4.533609398199531
30,41.77,42.27,39.32,39.95,2190266,35.97,33.9,,,25.35438823719506,42.80304578263769,4.42049444118528
31,39.42,39.56,38.05,38.61,2071951,36.56,34.28,,,25.277205252653385,43.19927488319084,4.240459123957761
32,36.0,36.68,34.025,35.42,4488126,36.94,34.52,,,25.56991715628806,43.26482611761246,4.265069186532207
33,34.86,34.89,32.41,32.52,4045701,36.64,34.64,,,26.600034062023035,42.96105022107093,4.175421387494193
34,32.99,37.54,32.62,37.35,3699351,37.06,34.95,,,27.0346097679953,43.027090239630944,4.235748431244608
35,33.96,37.42,33.69,35.92,3165584,37.15,35.21,,,27.473186653100267,42.98827758260547,4.199623543298565
36,34.13,37.1827,33.735,36.38,3986585,37.29,35.58,,,28.3933931504978,42.66557692862147,4.145914718777239
37,38.56,39.5,37.1,39.39,2650438,37.32,35.82,,,28.75469997035929,42.86730706700097,4.072635096007436
38,41.66,42.67,40.63,41.67,3348570,37.47,36.18,,,28.417871835652875,43.61715851059824,4.016018303435476
39,42.64,43.34,40.71,42.46,3367010,37.75,36.47,,,28.094748300533087,44.412290021311705,3.917016996047228
40,41.37,43.48,40.44,43.17,1894498,38.25,36.93,,,27.972348390979132,45.14676024582494,3.8543729249009977
41,44.17,44.67,42.83,44.3,2242584,39.24,37.55,,,28.259775618669835,45.80199329137297,3.7104891445509267
42,46.58,49.27,45.81,49.0,3590757,41.07,38.33,,,27.809731510627177,47.674377244611,3.8004542056544324
43,49.62,50.4,47.4701,48.595,3340822,42.32,39.16,,,27.76444090923178,49.173199442827574,3.738271762393401
44,47.28,47.74,43.97,44.29,2381931,43.25,39.61,,,28.20717387943371,50.12183430876718,3.801609493651015
45,43.13,46.72,42.71,46.2,3195079,44.34,40.25,,,29.102828126199952,50.747225153833455,3.8164945298188
46,49.0,49.18,45.887,46.13,2507482,45.09,40.8,,,29.60776398850517,51.58170851980525,3.7791020634031716
47,46.1,46.65,44.55,45.03,2446625,45.46,41.29,,,29.98087257048973,52.032580096936684,3.6591662017315163
48,46.9,48.7,45.71,46.36,2590506,45.9,41.65,,,30.263036281629695,52.74313773210704,3.65994004446498
