,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,32.99,33.26,32.7,33.25,6119750,,,,,,,0.5599999999999952
1,32.67,32.81,32.44,32.73,6688181,,,,,,,0.5778571428571386
2,31.93,32.335,31.86,32.25,4954315,,,,,,,0.5987244897959143
3,30.65,31.27,30.25,30.45,10248155,,,,,,,0.6988155976676347
4,31.71,31.75,30.815,31.66,10189574,,,,,,,0.7417573406913751
5,31.27,31.33,30.67,30.92,7254337,,,,,,,0.7594889592134196
6,28.66,28.86,27.7,28.545,8460732,,,,,,,0.9352397478410326
7,29.52,29.92,28.37,29.88,7470781,,,,,,,0.979151194423816
8,26.93,28.7,26.83,28.14,6175315,30.87,,,,,,1.1270689662506863
9,29.15,29.845,28.56,29.7,9294970,30.48,,,,,,1.1683497543756372
10,28.43,29.13,27.99,28.6,10292794,30.02,,,,,,1.2070390576345202
11,28.78,29.53,28.71,29.08,10019733,29.66,,,,,,1.1872505535177689
12,29.6,29.66,28.59,28.81,7315339,29.48,,,,,,1.1788755139807856
13,29.15,29.23,27.81,28.13,7722394,29.09,,,,,,1.196098691553587
14,29.32,30.08,28.837,29.59,7305041,28.94,,,,,,1.249948785014045
15,29.47,30.42,29.08,29.705,7145873,29.07,,,,,,1.2563810146558991
16,29.3,30.21,29.22,30.14,7674068,29.1,,,,,,1.2373537993233352
17,28.82,29.5,28.56,28.88,6619049,29.18,,,,,,1.2618285279430972
18,28.42,28.91,28.27,28.87,4518810,29.09,,,,,,1.2174122045185904
19,28.09,28.37,27.87,28.01,5979674,29.02,29.87,,,25.95446280370456,33.08954826842136,1.201882761338691
20,25.35,25.795,25.1,25.135,7860257,28.59,29.46,,,25.4947025942294,33.002396530247324,1.3238911355287848
21,24.12,24.91,23.95,24.5201,6344340,28.11,29.05,,,24.83063167900091,33.02006320510333,1.3139703401338718
22,24.36,24.5,24.12,24.33,4502474,27.69,28.65,,,24.324727550208685,33.01540731287404,1.2486938872671667
23,25.63,25.63,25.271,25.44,5414857,27.23,28.4,,,24.02563500790946,32.883520338992504,1.2523586096052264
24,26.16,26.22,25.49,25.59,5008683,26.77,28.1,,,23.900873892003226,32.51756678071453,1.2186187089191387
25,25.89,26.17,25.6,26.0141,3327583,26.31,27.86,,,23.861901620936553,32.16524032775439,1.1730030868534862
26,26.19,26.945,26.1685,26.76,5152877,26.07,27.77,,,23.75505671162844,32.103489350894044,1.1557100092210943
27,26.6,26.7,26.285,26.415,2309059,25.8,27.59,,,23.671111077535745,31.90656862414597,1.107087865705302
28,26.91,27.145,26.72,26.86,4224147,25.67,27.53,,,23.663340553493168,31.83398850331899,1.0801530181549235
29,25.53,25.68,25.39,25.45,4595583,25.71,27.32,,,23.494048423247868,31.643369584621375,1.1079992311438576
30,25.28,25.385,25.03,25.27,4113759,25.79,27.15,,,23.280422355668072,31.533185017140458,1.058856428919296
31,25.81,26.01,25.63,25.95,5101721,25.97,26.99,,,23.209000579247448,31.299377843502665,1.0360809697107751
32,25.62,26.0,25.49,25.53,4603486,25.98,26.83,,,23.143935198174255,31.00730756654038,0.9985037575885771
33,24.69,24.9385,24.48,24.68,4712910,25.88,26.66,,,22.922167959901966,30.792486972784555,1.0021820606179646
34,25.12,25.16,24.811,24.99,2753086,25.77,26.43,,,22.872713853565177,30.332297672427508,0.9648833420023958
35,24.94,25.35,24.905,25.01,2641689,25.57,26.19,,,22.937491447005474,29.676539032096496,0.9277488175736532
36,25.16,25.18,24.69,24.97,2285141,25.41,25.93,,,23.105083928098132,28.944040844592802,0.8964810448898208
