,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,131.58,134.28,129.0,134.19,4102211,,,,,,,5.280000000000001
1,130.5,132.29,128.45,129.53,4397516,,,,,,,5.312857142857145
2,126.7,128.33,124.52,127.78,7260994,,,,,,,5.291224489795921
3,120.16,122.41,117.28,117.68,9323646,,,,,,,5.663279883381927
4,122.78,124.88,115.76,124.88,10325129,,,,,,,5.91018846314036
5,121.01,122.58,116.3838,117.97,7569298,,,,,,,6.094903572916048
6,109.65,109.8,102.28,102.81,11149760,,,,,,,6.780267603422045
7,108.68,109.16,100.82,107.95,11050282,,,,,,,6.891677060320471
8,98.0,107.41,95.0,99.08,9030392,117.99,,,,,,7.324414413154723
9,100.61,107.395,97.1,106.7,8095551,114.93,,,,,,7.536599097929385
10,99.41,106.9345,99.4,103.59,6317647,112.05,,,,,,7.5364491623630006
11,102.33,103.69,98.235,100.34,7254964,109.0,,,,,,7.387774222194215
12,100.92,100.99,94.71,95.39,9811600,106.52,,,,,,7.308647492037486
13,94.6,97.74,90.56,94.75,8293302,103.18,,,,,,7.29945838546338
14,99.99,106.04,99.26,105.42,6437114,101.78,,,,,,7.584497072215996
15,105.48,112.4779,102.83,105.8,6916715,102.11,,,,,,7.731882995629139
16,106.91,113.15,105.57,112.89,5564900,102.66,,,,,,7.721034210227058
17,108.58,111.5,107.645,107.93,5438786,103.65,,,,,,7.544174623782269
18,108.09,113.46,107.81,112.89,4368209,104.33,,,,,,7.408876436369249
19,112.0,113.81,110.17,110.93,4790820,105.15,110.92,,,84.3357587008662,134.46000174023317,7.139670976628588
20,106.36,109.92,104.521,105.07,5059211,105.67,109.47,,,85.55541315610805,130.91529036207865,7.08748019258369
21,105.37,110.32,105.14,110.03,5092972,107.3,108.49,,,87.37098774578844,127.32117651676586,6.956231607399141
22,108.92,110.07,104.92,106.39,3403507,108.59,107.42,,,89.0831352898138,124.29630477477451,6.827215064013487
23,110.35,115.63,110.13,114.76,5336134,109.63,107.28,,,89.8016608554483,123.03423842335317,6.9995568451553805
24,118.8,119.57,114.87,114.89,4628655,110.64,106.78,,,89.92232724840952,121.66219644467704,6.843159927644281
25,116.31,119.96,115.0742,119.22,4077975,111.35,106.84,,,90.11344117504551,120.98216332091947,6.716505647098261
26,120.48,122.92,120.1672,121.51,4747635,112.85,107.78,,,89.02308303598547,123.06807148673312,6.501040958019814
27,121.63,121.8,118.04,121.19,4496817,113.78,108.44,,,88.7769679298311,124.63787536614949,6.305252318161256
28,123.46,125.18,122.62,123.83,4078169,115.21,109.68,,,89.098848239273,126.75738730629406,6.13987715257831
29,119.12,120.1852,116.76,118.74,4814128,116.73,110.28,,,90.08187688290809,127.64193783623764,6.2063144988227155
30,119.01,119.75,114.42,115.64,5307432,117.35,110.88,,,90.99541540423907,128.3288003745667,6.143720606049664
31,119.3,120.39,117.92,120.11,4487479,118.88,111.87,,,92.12193460524202,128.73693588313452,6.044169134188974
32,119.15,122.8635,118.14,120.58,5959708,119.52,113.13,,,94.28281517800386,128.89040968424808,5.949835624604048
33,114.0,117.145,112.06,116.76,13506425,119.73,114.23,,,98.32842988467375,127.0418349887172,6.133418794275188
34,119.87,120.33,117.55,119.38,5190375,119.75,114.93,,,100.30362231133343,126.73241855419722,5.95031745182696
35,119.57,123.03,119.12,121.43,6086816,119.74,115.71,,,101.62853731014359,127.36662997799166,5.804580490982177
36,122.41,125.0,120.7634,124.72,4316300,120.13,116.3,,,102.48467857430563,128.2667582395583,5.69258188448345
37,125.56,126.99,125.47,125.86,4266891,120.36,117.2,,,102.66766618038079,129.26931783077558,5.448111749877489
38,128.03,128.2,125.38,126.25,4246930,121.19,117.86,,,103.134154343219,130.45957534534165,5.260389482029097
39,128.88,129.31,127.53,128.71,4683487,122.64,118.75,,,103.22289401841061,131.68401023716396,5.103218804741305
40,126.52,127.27,125.22,125.47,4897202,123.24,119.77,,,104.99087139388726,131.79011423806412,4.9879888901169265
41,123.19,123.47,121.39,121.83,4420412,123.38,120.36,,,107.15657634866375,131.1154396455897,4.92313254082286
42,120.82,121.97,119.391,121.68,3679507,123.93,121.13,,,109.83852303231716,129.80958287043342,4.7556945021926555
43,123.39,124.32,122.47,122.58,3564996,124.28,121.52,,,111.37306872676402,129.50325585175332,4.604573466321751
44,123.24,124.05,122.41,123.16,3269655,124.47,121.93,,,111.99452854667594,129.53870858118913,4.392818218727341
45,122.98,123.26,120.85,121.2,3844109,124.08,122.03,,,112.63267317261949,129.51671057068023,4.251188345961103
46,122.67,123.23,121.06,122.94,4243319,123.76,122.1,,,112.67227812578463,129.52897647198654,4.102532035535311
47,121.81,123.45,120.67,122.55,3146511,123.35,122.17,,,112.88551809063632,129.56586631215185,4.008065461568503
48,123.01,124.32,120.26,120.3,4248173,122.41,121.99,,,112.82857168669243,129.48407986309684,4.011775071456466
49,119.95,119.99,114.85,115.74,5225568,121.33,121.84,116.22,,112.49443515708909,129.49689778625302,4.11450542349529
50,114.57,117.01,111.81,117.0,4788457,120.79,121.91,115.88,,111.87752180776147,129.81430045257858,4.192040750388483
51,115.93,117.39,115.25,117.0,3198919,120.27,121.76,115.63,,111.50712806565178,130.06883659579142,4.0454664110750205
52,119.88,122.36,119.75,121.53,3577325,120.16,121.8,115.5,,111.63429687689371,130.05138074333223,4.139361667426805
53,121.19,122.17,120.17,120.27,2865129,119.84,121.98,115.55,,112.93803229185869,129.73535947947906,3.9865501197534616
54,120.93,122.4659,120.6,121.41,3056173,119.86,122.08,115.48,,113.22377164972212,129.69876162104924,3.8586465397710725
55,120.99,121.72,118.97,119.15,3582557,119.44,121.97,115.51,,113.20923221536195,129.67974836706662,3.779457501215996
56,119.37,119.465,117.59,118.39,3219457,118.98,121.65,115.82,,112.92193070826087,129.5905773902141,3.643424822557711
57,121.3,122.62,121.0101,121.77,4608059,119.14,121.45,116.1,,113.05113412365407,129.11178750113635,3.6853230495178746
58,123.94,125.83,123.47,125.53,5274510,120.23,121.41,116.62,,113.18806695189666,128.64848153161677,3.7120856888380267
59,126.87,126.97,124.22,124.55,3426987,121.07,121.2,116.98,,113.6130090615447,128.05749341903862,3.6433652824924536
60,123.67,125.13,122.24,124.79,3979127,121.93,121.17,117.4,,113.83757758474233,127.64189579610112,3.589553476600136
61,124.64,125.75,124.03,124.91,2537929,122.31,121.32,117.9,,113.72575967012925,127.94080295975758,3.456013942557269
62,125.67,126.0,124.66,126.0,2185358,122.94,121.54,118.51,,113.67444749301701,128.33383439286746,3.3048700895174647
63,127.15,129.595,127.0,129.0,3315038,123.79,121.86,119.19,,113.30925971059628,129.34949767690748,3.3255936545519313
64,127.78,128.95,127.02,128.91,3331346,124.87,122.15,119.66,,113.01464356114185,130.11096286845842,3.229479822083937
65,133.885,134.23,131.75,132.0,5137237,126.38,122.69,120.19,,112.13649624740572,132.22392722417308,3.3788026919350838
66,132.27,135.88,132.27,135.82,4513216,127.95,123.33,120.65,,111.47619863175964,134.414415296924,3.414602499654006
67,133.52,133.6,131.02,131.86,4418150,128.65,123.8,121.12,,111.24431976648849,135.69562960849765,3.513559463964433
68,132.15,132.23,129.8,129.84,4183517,129.24,124.27,121.46,,111.29813802362939,136.55216777924946,3.4361623593955435
69,126.03,126.1,117.8352,118.06,10644076,128.49,124.39,121.61,,111.81177995027971,136.55463960581642,4.048207905153005
70,121.25,123.12,120.47,120.515,2265796,128.0,124.57,121.92,,113.46579895486232,136.1365821351871,4.1204787690706475
71,119.19,122.367,118.29,121.67,4299456,127.52,124.8,122.15,,114.06081965587528,135.7034186735021,4.117373142708458
72,125.0,127.5,123.16,125.3,4638324,127.11,124.99,122.53,,114.40114929421611,135.78259221136466,4.239703632514996
73,125.83,126.25,123.4,124.11,2744292,126.57,125.18,122.71,,114.71430510818578,135.75232825480796,4.140439087335354
74,123.0,124.4,122.33,124.13,2496691,125.7,125.32,122.9,,114.9007693514148,135.69304575637355,3.992550581097115
75,126.17,126.82,122.25,122.49,5889822,124.22,125.48,122.96,,115.33346191342393,135.6070846163179,4.033796968161607
76,122.12,122.5,120.53,121.01,4080921,123.01,125.61,122.95,,115.85192469306294,135.2745526741306,3.8863828990072062
77,122.01,122.9,119.23,119.41,5670159,121.86,125.5,122.92,,115.5805782773769,135.25496247803642,3.8709269776495487
78,118.32,118.32,115.88,116.48,6044773,121.68,125.04,122.77,,114.42745151926161,135.82621792534295,3.846575050674581
79,116.76,119.21,116.1,119.0,5475330,121.51,124.77,122.78,,113.40664696245385,136.08444489278116,3.793962547054968
80,118.26,118.99,116.26,117.25,3448606,121.02,124.39,122.81,,112.61117582035216,136.34691379667032,3.718679507979613
81,117.98,119.78,117.37,119.78,3174804,120.41,124.13,122.8,,111.97718295578844,136.45315875541627,3.633773828838212
82,119.19,121.2,119.0,120.75,2948813,120.03,123.87,122.8,,111.6002039025341,136.4240924739808,3.531361412492626
83,120.27,121.225,118.37,118.54,4197888,119.41,123.35,122.84,,111.22735712537497,136.0183731505984,3.483049883028866
84,119.69,121.42,119.26,119.78,3132850,119.11,122.89,122.85,,111.0235312108031,135.62789307140153,3.439974891383947
85,121.25,121.85,119.46,120.17,3191326,119.02,122.3,122.82,,111.47302234099212,134.13564337241212,3.3649766848565226
86,119.0,119.51,117.33,117.63,3643782,118.82,121.39,122.68,,112.15637042850004,131.87500021326974,3.3274783502239145
87,118.06,118.64,116.48,117.75,4533569,118.96,120.68,122.52,,112.97063992578929,129.9035882836605,3.2440870394936345
88,118.0,118.0,115.2,115.71,4269924,118.6,119.98,122.31,,113.94435956883854,127.9339357568395,3.2123665366726604
89,115.5,118.5699,115.29,118.33,4010439,118.72,119.99,122.1,,113.57647737018881,127.41724026519032,3.217190355481756
90,119.78,120.99,118.66,119.25,4181240,118.66,119.93,121.98,,113.54687794666295,127.27346346378411,3.1773910443759164
91,118.62,120.89,117.92,120.59,3881517,118.64,119.87,121.95,,113.51963179633562,127.19185910904135,3.1625773983490655
92,122.4,123.96,122.15,123.0,4072199,119.13,119.76,121.98,,113.63713849559313,126.41664323039657,3.177393298466989
93,122.68,124.48,122.16,124.02,3645021,119.61,119.75,122.01,,113.79941166995434,126.01919207152721,3.1161509200050617
94,124.39,125.63,123.2,125.12,3660504,120.16,119.8,122.05,,113.68470261917143,126.2801162957405,3.0671401400046996
95,126.07,127.07,125.14,126.35,5934982,121.12,120.0,122.15,,113.24358174874776,126.351783889568,2.9873444157186486
96,131.16,132.17,125.8,126.08,14885624,122.05,120.25,122.21,,112.70264726984726,128.79171379525258,3.2289626717387443
97,125.9,129.47,125.8,128.69,7021704,123.49,120.71,122.33,,112.33765661902254,129.91504608642546,3.2604653380431197
