,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,90.66,92.635,87.42,89.24,5900234,,,,,,,5.215000000000003
1,89.94,93.39,89.53,93.37,5163573,,,,,,,5.138928571428575
2,93.62,96.22,92.24,95.04,4624412,,,,,,,5.056147959183677
3,95.25,100.46,94.86,100.16,4302888,,,,,,,5.094994533527699
4,98.21,99.31,96.77,97.9,2882260,,,,,,,4.973209209704293
5,95.13,96.58,92.18,94.03,4927468,,,,,,,5.026551409011129
6,88.93,91.9299,87.67,88.51,4837704,,,,,,,5.121797736938906
7,90.82,91.5,86.853,90.64,4173973,,,,,,,5.087883612871842
8,88.24,89.31,84.96,86.24,3063442,92.79,,,,,,5.130177640523854
9,80.43,83.04,75.46,75.61,5663825,91.28,,,,,,5.533736380486436
10,79.77,83.29,76.78,83.17,6161151,90.14,,,,80.28275879831436,98.8037512963294,5.687040924737405
11,75.03,79.95,72.82,74.13,4945415,87.82,,,,77.45905839535018,98.90370020992559,6.020109430113306
12,75.81,78.88,73.71,76.79,6220168,85.22,,,,75.19285309993433,98.5819044737959,5.9593873279623555
13,72.72,73.55,66.04,70.06,6494638,82.13,,,,71.41284952767094,97.75731156674634,6.301573947393615
14,70.03,74.94,64.11,73.66,4834988,79.87,,,,68.0723481922907,95.15585365111103,6.625032951151215
15,73.77,74.1,68.8203,72.99,7274229,78.14,,,,66.85220225547954,92.13250065511117,6.528937740354699
16,72.24,72.41,63.51,66.7501,5917117,75.49,,,,64.91308610567269,89.1586535356199,6.739727901757935
17,70.3,74.15,69.89,73.65,4393092,74.09,,,,64.47164663658228,86.78571941679112,6.786883051632369
18,73.49,77.54,72.51,74.46,3758649,73.96,,,,64.8222592285855,84.06231691757986,6.661391405087199
19,75.41,80.7,75.41,79.56,3378927,73.56,82.8,,,65.67007673538886,81.81018029739967,6.6312920190095435
20,77.66,84.35,77.32,81.24,4002237,74.35,82.4,,,65.60509070387175,82.14935312454841,6.659771160508862
21,82.07,84.5,81.26,83.66,4187398,75.11,81.91,,,65.27557091302491,82.45617676049908,6.416930363329659
22,82.55,82.96,80.29,80.91,2850227,76.32,81.21,,,65.28102975933507,82.99860946205632,6.199292480234682
23,77.38,80.12,77.38,79.37,2620605,76.95,80.17,,,65.40247376806062,83.15432879339441,6.008628731646491
24,78.995,81.39,77.17,81.24,2428381,77.87,79.33,,,66.67137081115185,83.67370990025242,5.880869536528885
25,80.85,82.95,80.71,81.0,4146697,79.45,78.68,,,68.7289207279186,84.35121006266445,5.620807426776823
26,83.54,85.655,82.445,84.42,3349116,80.65,78.48,,,69.94639450408214,85.34037742890011,5.551821182007051
27,87.17,87.17,82.11,82.3,3445063,81.52,78.06,,,73.41102080918867,86.08032279590482,5.516691097577976
28,83.19,85.96,82.3,85.31,3049000,82.16,78.01,,,75.41122264053696,86.20077690083144,5.384070304893835
29,86.2,87.865,85.86,87.33,3794010,82.84,78.6,,,76.8164098728234,86.80992188574876,5.181993854544275
30,86.69,86.69,84.67,85.24,1485479,83.01,78.7,,,77.85784222549636,87.21264090289489,5.00185143636254
31,86.71,87.5,86.16,86.95,2759265,83.68,79.34,,,78.5652032536964,87.67278065237514,4.806004905193788
32,86.02,86.74,85.4,86.19,2601109,84.44,79.81,,,78.7502297031514,87.943647066141,4.573433126251375
33,86.65,88.44,86.0,88.11,2453712,85.21,80.72,,,79.14080377344628,88.54170537649388,4.421045045804848
34,89.71,90.55,87.87,90.4,2633601,86.25,81.55,,,80.31141826537463,89.21304414737328,4.2966846853902165
35,90.83,91.73,88.18,89.4,3388114,86.8,82.37,,,81.97719081419407,89.98690193640856,4.243350065005201
36,87.84,88.99,86.74,87.52,2808457,87.38,83.41,,,82.88373601689898,90.00698331667655,4.130253631790544
37,88.74,90.05,87.04,89.09,1681397,87.8,84.18,,,83.4760027528564,90.3326299832553,4.050235515234076
38,89.07,90.3099,88.145,88.59,1986715,87.94,84.89,,,84.31498601320973,90.6673407777363,3.9155686927173563
39,89.21,89.33,87.81,88.93,1479565,88.35,85.36,,,85.40087112567818,90.73494066192393,3.7444566432375446
40,90.01,92.58,89.8,92.29,2021930,88.95,85.91,,,85.45519355286395,91.47752427049471,3.7377097401491484
41,93.51,94.2,90.16,90.31,2098291,89.4,86.24,,,85.91721909215244,92.45953507584854,3.759301901567067
42,91.7,92.26,90.56,90.71,1746053,89.69,86.74,,,86.13822771793879,92.80147068013407,3.630066051455134
43,90.04,91.85,89.03,89.43,3183426,89.59,87.24,,,86.7044078347812,92.85643091443332,3.57220419063691
44,88.55,90.64,88.12,88.74,2252136,89.51,87.61,,,87.12885464795565,92.8366244507421,3.4970467484485592
45,88.15,90.5,87.51,89.67,2373876,89.75,88.05,,,87.07119652731171,92.8342405023954,3.460829123559376
46,89.85,93.78,89.68,92.96,2456189,90.18,88.47,,,87.15651806395347,93.23060034930796,3.5071984718765634
47,93.34,93.44,91.65,91.78,1792776,90.54,88.95,,,87.45698808909725,93.54743286570516,3.384541438171094
48,92.99,94.68,92.61,93.08,1599239,91.0,89.34,,,87.75406143546111,94.09662860788706,3.349931335444588
49,94.66,94.7,92.77,93.53,1746178,91.13,89.65,85.51,,87.96986866563621,94.53946674950987,3.2485076686271177
50,93.22,94.32,92.7,94.15,2183725,91.56,90.09,85.61,,88.3967665035756,94.68396969196662,3.1321856922966087
51,94.66,94.7,92.51,92.53,2361226,91.76,90.37,85.59,,88.54574198477823,94.95801870332143,3.0648867142754224
52,92.17,93.99,91.41,93.21,2764456,92.18,90.72,85.56,,88.65477382267963,94.92572205990221,3.0302519489700352
53,91.77,93.27,91.01,93.25,1968452,92.68,90.98,85.42,,88.69600944064064,94.98594938029385,2.975233952615032
54,92.92,94.09,92.68,93.48,1768745,93.11,91.13,85.33,,89.05486525493015,95.1267350947492,2.863431527428244
55,95.26,96.74,94.39,95.94,2240185,93.44,91.46,85.37,,89.69109182070777,95.65810902979632,2.891757846897655
56,95.51,96.14,92.69,92.93,1666782,93.57,91.73,85.46,,90.8527966890538,95.7075305616121,2.931632286404965
57,94.06,94.36,93.09,93.48,1945968,93.61,91.95,85.51,,91.50211812178745,95.7307471819917,2.824372837376038
58,93.2,93.72,92.04,92.8,1389748,93.53,92.16,85.65,,91.56992398485976,95.72572756531365,2.7426319204206067
59,93.16,93.84,92.4151,93.69,1437984,93.48,92.4,86.01,,91.55184095357384,95.67741711185724,2.648508211819135
60,95.34,95.69,94.02,94.23,1871509,93.67,92.5,86.23,,91.54479816630517,95.83024433642649,2.602186196689197
61,94.87,94.99,91.89,92.82,2878681,93.62,92.62,86.6,,91.44441137900345,95.89121450610878,2.637744325497111
62,93.87,95.631,93.11,94.835,2288431,93.8,92.83,86.96,,91.48445079059643,96.01612842890769,2.6501197308187465
63,94.92,97.35,94.54,97.28,2303248,94.22,93.22,87.51,,91.69759292675101,96.54540607028684,2.661539750045978
64,97.4,98.48,96.93,97.65,1540446,94.41,93.66,87.99,,91.8262593219665,97.24346973942227,2.582144053614122
65,98.04,98.12,95.93,96.37,2759972,94.8,94.0,88.46,,91.95419884858246,97.71407984705029,2.554133764070256
66,96.63,98.16,95.9478,97.88,2324866,95.28,94.25,89.08,,91.95633162733554,97.97852152793912,2.529709923779523
67,97.21,97.47,95.0,95.74,3025754,95.61,94.44,89.52,,92.18582506912355,98.15686982134176,2.554730643509557
68,96.0,98.39,93.48,97.83,3401469,96.07,94.68,89.99,,92.241679421621,98.52987555640685,2.72296416897316
69,97.25,97.73,96.42,97.28,1820243,96.41,94.87,90.34,,92.66474560848978,98.63809068207925,2.6291810140465057
70,97.06,98.165,96.68,97.52,1732440,96.93,95.04,90.67,,93.09843899727835,98.66567896759561,2.54745379875747
71,97.48,97.91,96.57,97.35,2000578,97.21,95.28,90.94,,93.2839099948774,98.74721555047388,2.4612070988462227
72,96.99,97.0,91.78,92.255,3081399,96.65,95.23,91.17,,93.25037382180575,98.57178005055994,2.6832637346429205
73,93.59,94.46,92.8101,92.894,715937,96.12,95.21,91.44,,93.18192177416147,98.80653397586163,2.649102039311283
74,91.34,94.04,90.76,93.78,1454133,95.84,95.23,91.69,,92.35572433009273,98.97346346778872,2.6941661793604776
75,95.75,95.75,93.4,94.78,1944125,95.49,95.17,91.96,,92.13855455496343,98.73046182600771,2.669582880834729
76,95.17,95.215,94.36,94.62,2274246,95.37,95.25,92.17,,92.061474573395,98.51057792498686,2.539969817917963
77,94.43,94.64,93.66,94.41,1495866,94.99,95.3,92.41,,91.9313471064768,98.23690862538741,2.4285434023523944
78,95.73,95.76,93.49,94.495,2560801,94.68,95.39,92.59,,91.81368782295633,98.05147644965193,2.4172188736129385
79,94.17,94.95,93.74,94.31,1169387,94.32,95.42,92.73,,91.84246667556245,97.60503481186446,2.330988954069158
80,95.03,95.25,93.45,93.46,1706831,93.89,95.38,92.9,,91.76717974947745,97.25847220916314,2.293061171635647
81,92.92,93.26,90.45,90.7,3539016,93.72,95.27,92.97,,91.25949626915518,96.73414346021562,2.344271087947386
82,90.86,92.96,90.008,92.83,2213523,93.71,95.17,93.11,,90.86615019659503,96.12292977697098,2.387680295951144
83,92.14,92.79,90.33,90.37,2009488,93.33,94.83,93.15,,90.59171774831853,95.63975090292787,2.3957031319546336
84,91.29,91.29,90.1,90.45,1923011,92.85,94.47,93.15,,90.20150581105104,95.75274557124806,2.3095814796721608
85,90.31,91.86,90.31,91.53,4332047,92.51,94.22,93.2,,90.11648962031192,95.73228399810635,2.2553256596955777
86,91.68,93.9,91.57,93.31,2017012,92.38,94.0,93.31,,90.00056581647536,95.44078713807185,2.263516684003037
87,94.55,94.6,92.19,92.26,1609841,92.14,93.82,93.37,,90.00509887652906,95.33264219102449,2.2739797780028197
88,93.5,93.54,92.15,92.55,1470464,91.94,93.56,93.45,,90.00018628605369,95.19955482186265,2.2108383652883328
89,92.0,93.11,91.99,92.6,1623989,91.84,93.32,93.53,,90.00356290814251,94.75841336392097,2.1329213391963098
90,92.68,93.87,92.5475,93.85,2157582,92.19,93.14,93.56,,90.07368485115894,94.55440749450386,2.075034100682288
91,94.13,94.13,91.5,92.15,1683053,92.12,92.88,93.59,,90.13473159653023,94.28549402601811,2.114674522062124
92,92.24,92.7,91.55,92.58,1512648,92.36,92.9,93.63,,90.26595149503588,94.24739573771231,2.045769199057687
93,92.73,94.32,91.72,91.84,1812248,92.52,92.84,93.68,,90.52969857322071,94.43265709667337,2.0853571134107094
