,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,10.34,10.54,10.13,10.205,11726620,,,,,,,0.40999999999999837
1,10.35,10.48,10.22,10.465,11189368,,,,,,,0.4003571428571414
2,10.32,10.36,10.075,10.13,10962001,,,,,,,0.39961734693877426
3,9.96,10.04,9.59,9.79,14230302,,,,,,,0.40964467930029047
4,9.21,9.35,8.79,9.075,11599049,,,,,,,0.4518129164931268
5,9.42,9.45,9.01,9.18,20313004,,,,,,,0.4509691367436177
6,9.06,9.18,8.85,8.89,22311749,,,,,,,0.4423284841190736
7,8.3,8.385,8.0,8.04,15399545,,,,,,,0.47430502096771127
8,8.6,8.64,8.0,8.38,32853612,9.35,,,,,,0.4861403766128748
9,7.35,7.87,7.24,7.37,17103565,9.04,,,,,,0.5328446354262409
10,7.4,7.93,7.12,7.87,18324386,8.75,,,,,,0.5526414471815094
11,7.1,7.53,7.08,7.34,20084443,8.44,,,,,,0.5695956295256873
12,7.32,7.35,7.03,7.125,12662701,8.14,,,,,,0.5517673702738525
13,7.5,7.56,6.86,6.94,18124022,7.9,,,,,,0.5623554152542916
14,6.92,7.19,6.76,7.11,23712611,7.67,,,,,,0.5529014570218422
15,7.83,8.06,7.505,7.75,18914435,7.55,,,,,,0.5812656386631392
16,7.76,8.375,7.68,8.18,19840738,7.56,,,,,,0.5893895216157722
17,8.5,9.13,8.42,9.115,26743987,7.64,,,,,,0.6151474129289314
18,8.65,8.83,8.45,8.51,21546655,7.77,,,,,,0.6187083120054364
19,8.41,8.645,8.35,8.5,11812368,7.84,8.5,,,6.0027245471071495,10.855191398081654,0.5955862897193338
20,8.48,8.52,8.145,8.21,17880813,7.94,8.4,,,6.082764818529718,10.578468461770548,0.5798301261679528
21,7.87,8.02,7.755,7.78,14094963,8.01,8.26,,,6.195500286041215,10.267600624771095,0.5709136885845277
22,7.8,8.02,7.74,7.91,6686512,8.12,8.15,,,6.346842426046423,9.931644578204029,0.5501341393999185
23,7.8,7.805,7.46,7.56,11913307,8.17,8.04,,,6.441328392966408,9.63129439395684,0.5429817008713529
24,7.86,8.28,7.8,8.265,14033739,8.23,8.0,,,6.47128622419732,9.481895605420476,0.5556258650948277
25,8.67,8.765,8.35,8.39,13554791,8.25,7.96,,,6.542992032390684,9.340232185738754,0.5516525890166257
26,8.4,8.52,8.19,8.49,12058427,8.18,7.94,,,6.608539131309181,9.223114885259562,0.5358202612297239
27,8.55,8.68,8.47,8.525,9175381,8.18,7.97,,,6.585175344444607,9.258555237198586,0.5125473854276007
28,8.5,8.545,8.32,8.5,4903007,8.18,7.97,,,6.575833219156521,9.24615362795988,0.4920082864684864
29,8.59,8.745,8.475,8.67,6861960,8.23,8.04,,,6.617507685216399,9.307808239814666,0.47615055172073734
30,8.28,8.455,8.25,8.335,7599480,8.29,8.06,,,6.702824332936892,9.329391065860468,0.47213979802639894
31,8.3,8.32,8.09,8.23,9445854,8.33,8.1,,,6.809093742003549,9.314125606304428,0.4559155267387991
32,8.45,8.59,8.39,8.5827,14603517,8.44,8.18,,,6.938650980211788,9.282076156558162,0.44906441768602773
33,8.47,8.73,8.34,8.51,9246256,8.47,8.26,,,7.144568197648856,9.27547995843273,0.4448455307084544
34,8.1,8.425,8.1,8.23,9655077,8.45,8.31,,,7.445147093505367,9.11866897172827,0.4423565642292791
35,8.38,8.57,8.34,8.555,8116094,8.46,8.35,,,7.545260334584645,9.11512152513772,0.4350453810700449
36,8.89,8.99,8.75,8.79,11091182,8.49,8.38,,,7.58688375987919,9.180316129715845,0.43504213956504173
37,8.73,8.81,8.6,8.77,7604473,8.52,8.37,,,7.578099729812552,9.11609653716218,0.41896770102468167
38,8.88,8.95,8.79,8.93,5019724,8.55,8.39,,,7.5525427343829366,9.13756072924117,0.4018985795229187
39,8.9,8.925,8.685,8.8,9062442,8.6,8.4,,,7.541563514450438,9.175755580561477,0.39069153812842444
40,9.01,9.5,9.0,9.49,20153492,8.74,8.47,,,7.512186903502334,9.356476099167155,0.4127849996906798
41,9.46,9.51,9.1,9.22,12064567,8.81,8.54,,,7.544356402439548,9.4878385379397,0.41258607114134555
42,9.08,9.12,8.96,9.065,5714774,8.87,8.6,,,7.6188175121999775,9.51036903835375,0.40168706605982085
43,8.99,8.99,8.8,8.94,5956792,8.95,8.66,,,7.809930344124862,9.45380073382011,0.391923704198405
44,9.11,9.14,8.89,8.92,5093049,8.99,8.7,,,7.925273827562493,9.474562758483064,0.3817862967556618
45,8.9,8.94,8.745,8.87,4847728,9.0,8.72,,,7.945947782974237,9.48521330583585,0.3684444184159717
46,8.99,9.05,8.91,9.04,7493723,9.03,8.75,,,7.989905188050466,9.503066930759205,0.35498410281483095
47,9.08,9.18,8.995,9.17,7731700,9.06,8.78,,,7.994951360376294,9.53896422430998,0.3428423811852002
48,9.14,9.14,8.9,9.01,6326076,9.08,8.81,,,8.029973695281512,9.559869049831088,0.3376393539576859
49,9.17,9.39,9.08,9.16,12491077,9.04,8.83,8.58,,8.03882793522344,9.621952674557098,0.3406651143892798
50,9.13,9.14,8.505,8.55,25381141,8.97,8.84,8.54,,8.078236049394224,9.6225970221645,0.3631176062186169
51,8.46,8.69,8.37,8.675,14343324,8.93,8.86,8.51,,8.139203897577646,9.581679908284592,0.3600377772030014
52,8.55,8.72,8.54,8.695,5488584,8.9,8.87,8.48,,8.16071474183559,9.572396415038464,0.3471779359742157
53,8.87,9.03,8.85,8.965,7675678,8.9,8.89,8.46,,8.21331582135502,9.573769590497276,0.3463080834046288
54,8.96,8.98,8.765,8.79,10482064,8.9,8.92,8.46,,8.341800346149542,9.530241388456963,0.3369289345900125
55,8.89,9.04,8.85,9.0,10271206,8.89,8.94,8.45,,8.418595737056686,9.501717403098791,0.3307197249764402
56,8.96,9.02,8.87,8.94,11240985,8.86,8.95,8.46,,8.424415634119029,9.502391207358205,0.31781117319240876
57,9.06,9.07,8.98,9.06,5518076,8.87,8.96,8.48,,8.449634196990203,9.49890918832282,0.30439608939295104
