,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,9.5,9.6,9.29,9.59,7649506,,,,,,,0.3100000000000005
1,9.62,9.7,9.17,9.21,12839146,,,,,,,0.3257142857142861
2,9.16,9.274,9.02,9.26,9727128,,,,,,,0.32059183673469427
3,8.77,8.91,8.69,8.74,9765634,,,,,,,0.33840670553935903
4,8.55,8.675,8.4,8.465,8618942,,,,,,,0.33852051228654767
5,7.41,7.89,7.19,7.245,6600391,,,,,,,0.4054119042660799
6,7.73,7.77,7.21,7.535,11456041,,,,,,,0.4164539111042171
7,7.37,7.38,6.88,6.94,28223897,,,,,,,0.43349291745391594
8,6.33,6.35,5.61,5.84,11781941,8.09,,,,,,0.4975291376357791
9,6.15,6.17,5.64,6.15,8740211,7.71,,,,,,0.4998484849475092
10,4.89,5.335,4.86,4.9,24684633,7.23,,,,,,0.55628787887983
11,4.86,5.12,4.65,5.04,11517806,6.76,,,,,,0.5501244589598422
12,4.62,4.717,4.52,4.7,7502907,6.31,,,,,,0.547972711891282
13,4.59,4.9,4.52,4.81,5881184,5.91,,,,,,0.5359746610419048
14,5.13,5.38,4.95,5.04,13075656,5.66,,,,,,0.5384050423960545
15,5.46,5.525,5.12,5.16,13946429,5.4,,,,,,0.534590396510622
16,5.89,6.265,5.79,6.12,11576587,5.31,,,,,,0.5753339396170061
17,6.29,6.555,5.995,6.38,10808347,5.37,,,,,,0.5742386582157913
18,6.33,6.59,6.29,6.51,7369683,5.41,,,,,,0.5546501826289492
19,6.09,6.18,5.83,6.04,6595363,5.53,6.68,,,3.17795997337503,10.174141784988635,0.5636037410125957
20,5.43,5.5,5.325,5.48,9374756,5.58,6.48,,,3.2224713218998127,9.767437038683589,0.574417759511696
21,5.21,5.2701,5.07,5.15,9564452,5.63,6.28,,,3.295022798285413,9.262456031618779,0.5626736338322892
22,5.25,5.26,5.08,5.105,7862936,5.66,6.07,,,3.437834236616675,8.779526455849501,0.5353398028442685
23,5.07,5.295,5.015,5.1,13800682,5.67,5.89,,,3.617916921190455,8.304874372070307,0.5171012454982493
24,5.01,5.06,4.88,4.93,7316879,5.65,5.71,,,3.8491417341776044,7.806398544141464,0.49587972796266006
25,5.5,5.54,5.34,5.48,7588731,5.57,5.62,,,3.952072096197363,7.450714873886515,0.5040311759653272
26,5.9,5.91,5.55,5.65,9282564,5.49,5.53,,,4.126447891587591,7.076579803253711,0.4987432348249467
27,5.62,5.795,5.58,5.755,7796670,5.41,5.47,,,4.288329911741531,6.751632886734772,0.47847586090887906
28,5.91,6.05,5.79,5.925,8998959,5.4,5.47,,,4.281617411602286,6.703791980185194,0.46537044227253055
29,5.95,5.96,5.67,5.78,5999968,5.43,5.45,,,4.2808364577729625,6.674787489219142,0.452843982110207
30,5.71,5.77,5.56,5.625,8616098,5.48,5.49,,,4.330343245751443,6.690607754838171,0.43621226910233507
31,5.23,5.23,5.08,5.105,9820375,5.48,5.49,,,4.39571354006129,6.685998787959264,0.44398282130931116
32,5.05,5.06,4.9,4.98,8741915,5.47,5.51,,,4.470751439145894,6.649593977661048,0.4269126197872175
33,5.22,5.28,5.12,5.265,7436987,5.51,5.53,,,4.5837938932027456,6.621290641268274,0.4178474326595591
34,5.04,5.2,5.01,5.075,6862364,5.46,5.53,,,4.5933187780167035,6.627338673410154,0.4062154731838763
35,4.97,5.08,4.875,4.93,10750199,5.38,5.52,,,4.556118777670493,6.63867667295602,0.391842939385028
36,5.09,5.12,5.02,5.08,5296543,5.31,5.47,,,4.524815554623845,6.562217069995823,0.3774255865718118
37,5.14,5.3929,5.13,5.165,6621830,5.22,5.41,,,4.535266385638216,6.393203598681671,0.3728166161023967
38,5.07,5.08,4.92,5.0299,6352007,5.14,5.33,,,4.603792694497303,6.179880728330115,0.3636868578093684
39,5.12,5.32,5.11,5.31,5929803,5.1,5.3,,,4.630941911516701,6.052467229703553,0.35843065368012783
40,5.65,5.65,5.44,5.53,10030232,5.15,5.3,,,4.6291692107090245,6.06789389060993,0.3571141784172616
41,5.78,5.89,5.735,5.885,7168682,5.25,5.34,,,4.620594110773866,6.127956804817562,0.3573203085303143
42,5.48,5.54,5.3743,5.5,8570674,5.28,5.35,,,4.637357994057327,6.1372524641302455,0.36827600077814904
43,5.39,5.39,5.2,5.23,5271026,5.3,5.36,,,4.656274704195258,6.138413031767648,0.3633991435797098
44,5.19,5.27,5.145,5.225,6342392,5.33,5.38,,,4.693713256533653,6.128476927287313,0.3463706333240163
45,5.2,5.25,5.11,5.125,6099700,5.33,5.36,,,4.6783511157636175,6.120882355441346,0.3316298738008722
46,5.15,5.15,4.975,4.99,6692236,5.31,5.33,,,4.651852967983645,6.061382830967446,0.32044202567223856
47,5.11,5.3,5.11,5.2,7274729,5.33,5.3,,,4.6489200273259375,6.014002414279714,0.3196961666956501
48,5.49,5.5,5.41,5.48,4220976,5.35,5.28,,,4.689079003300898,5.9081385452596455,0.3182892976459608
49,5.28,5.37,5.23,5.33,6947482,5.33,5.25,5.86,,4.718473917360071,5.8018030856291025,0.31341149067124935
50,5.55,5.58,5.38,5.39,9473452,5.27,5.24,5.78,,4.735389382225268,5.761920151487028,0.30888209848044584
51,5.29,5.29,5.09,5.15,9153605,5.24,5.24,5.7,,4.736277679085385,5.762732835043456,0.3082476628746997
52,5.02,5.34,4.915,5.31,9901556,5.24,5.26,5.62,,4.738929057483657,5.7565687325412025,0.31658711552650687
53,5.26,5.315,5.225,5.26,5955358,5.25,5.26,5.55,,4.743924373783566,5.757357531198192,0.30040232156032787
54,5.55,5.83,5.5,5.805,8675402,5.32,5.3,5.49,,4.7512188739859464,5.8345874406577645,0.31965929859173303
55,5.65,5.685,5.52,5.52,7629000,5.38,5.33,5.46,,4.787572293379169,5.86043969609855,0.31718363440660924
56,5.72,5.845,5.705,5.785,5394615,5.45,5.36,5.43,,4.784541225313701,5.913842173246689,0.31774194623470864
57,5.72,5.82,5.66,5.685,4713442,5.47,5.39,5.4,,4.783615580920995,5.962719992666431,0.3064746643608009
58,5.77,5.79,5.63,5.68,4256392,5.51,5.42,5.4,,4.828231371243611,5.981687471676014,0.29601218833502946
59,6.08,6.27,6.08,6.22,7310782,5.6,5.47,5.4,,4.783406154239543,6.129979806130921,0.31701131773967023
