,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,127.28,127.61,124.06,126.0,1762621,,,,,,,3.549999999999997
1,123.39,126.49,123.01,125.59,2538260,,,,,,,3.544999999999997
2,122.09,123.27,117.3,120.05,1945672,,,,,,,3.883928571428569
3,113.1,114.38,109.9875,110.19,3602018,,,,,,,4.325255102040814
4,110.4,114.185,107.41,114.14,3337766,,,,,,,4.5002368804664705
5,111.18,112.28,106.0,107.2,3206618,,,,,,,4.760219960433151
6,99.06,103.5,96.27,102.34,4150062,,,,,,,5.200918534687926
7,106.56,108.18,98.705,106.31,2818516,,,,,,,5.506210067924503
8,91.23,103.55,90.95,92.74,2649206,111.62,,,,,,6.2100522059298955
9,94.86,97.3012,82.86,89.98,2184516,107.62,,,,,,6.79799133407776
10,84.12,90.06,76.91,83.32,1816542,102.92,,,,,,7.251706238786492
11,83.0,94.0,82.63,92.95,1826378,99.91,,,,,,7.545870078873172
12,94.38,94.38,82.38,83.23,2552478,96.91,,,,,,7.864022216096517
13,83.11,85.9899,77.28,85.02,2016538,93.68,,,,,,7.924442057803909
14,88.88,93.03,87.63,91.44,1340860,91.93,,,,,,7.930553339389345
15,90.79,94.97,84.815,90.37,3026506,90.6,,,,,,8.08944238657582
16,90.68,105.6,88.82,104.88,5395808,90.44,,,,,,8.710196501820406
17,101.46,108.2488,100.84,104.76,3246868,91.77,,,,,,8.617239608833234
18,104.79,109.35,102.139,107.81,2280984,93.75,,,,,,8.516793922488002
19,107.0,109.155,99.04,99.51,3161484,95.55,101.89,,,68.0051938510899,129.63222182072707,8.630951499453145
20,95.52,96.21,92.49,93.22,1390730,95.58,100.25,,,69.35599516355404,126.06114629917005,8.515883535206493
21,91.88,94.92,90.18,93.99,2119706,96.78,98.67,,,71.13896972210532,122.14087129120026,8.24617756840603
22,93.79,94.2934,88.81,91.82,1340438,97.53,97.26,,,72.55753350669691,118.40805479228908,8.048836313519885
23,95.78,100.94,95.24,99.79,2038278,98.46,96.74,,,73.57641132957139,116.5775891695928,8.125348005411322
24,104.0,105.43,100.77,101.21,1696124,99.67,96.09,,,74.25855340201754,115.00821411051477,7.947823147881942
25,102.44,106.83,102.195,104.97,1012122,99.68,95.98,,,74.69089237040497,113.97746998212813,7.781550065890375
26,105.87,108.4,104.8,106.91,1151862,99.91,96.21,,,74.12906700632077,114.65458719415363,7.482867918326778
27,106.15,106.72,102.8741,105.67,537206,99.68,96.18,,,73.87751697851574,114.4241468549412,7.236655924160579
28,108.03,108.7,105.68,105.96,1003156,100.39,96.84,,,73.55454483884041,115.126868955681,6.936180501006253
29,103.62,104.51,100.845,102.67,706728,101.44,97.48,,,74.65888725404866,115.53804320266384,6.806096179505806
30,103.14,103.17,97.56,99.13,726112,102.01,98.27,,,77.2981826649067,115.3775666740951,6.720660738112534
31,101.81,106.81,101.01,105.93,959178,103.58,98.91,,,78.909808663715,115.79545552114442,6.789184971104497
32,104.77,106.24,103.25,104.17,713958,104.07,99.96,,,80.773270252027,116.04882389827642,6.517814616025604
33,101.63,103.35,101.08,101.55,2203846,104.11,100.79,,,84.69524218396742,114.47919792655286,6.272970714880919
34,104.05,105.54,102.19,105.35,459988,104.15,101.48,,,86.15172845039604,114.01768674007809,6.109901378103712
35,106.13,109.115,105.04,107.58,683444,104.22,102.34,,,88.59007643566318,114.02469973627626,5.964551279667732
36,108.14,110.88,107.29,109.76,1212268,104.68,102.59,,,90.13369429403474,114.68818936545756,5.794940473977179
37,110.99,114.46,110.35,114.0,812762,105.57,103.05,,,89.62183172288513,115.80497606009531,5.716730440121665
38,116.07,117.97,112.99,114.77,1072014,106.92,103.4,,,88.86241624426539,117.56157646560916,5.664106837255832
39,117.62,121.7,116.91,121.27,1017612,109.38,104.49,,,87.95111983905721,120.1275080224512,5.754527777451845
40,119.21,120.13,117.9,118.68,1038260,110.79,105.76,,,88.3110617496874,121.77621993355584,5.584204364776712
41,117.1,117.52,114.01,114.92,1202972,111.99,106.81,,,90.13262873377066,122.27534388489326,5.518904053006947
42,113.91,116.42,112.11,116.28,811096,113.62,108.03,,,92.98365308992419,122.00339377878805,5.432553763506451
43,117.99,119.32,115.71,115.87,850780,114.79,108.83,,,94.26086366041235,122.89988837481589,5.302371351827419
44,116.54,117.02,113.57,114.64,1119634,115.58,109.5,,,94.87456617757684,123.5339910155693,5.170059112411175
45,120.85,129.715,120.56,123.8,1915706,117.14,110.45,,,94.73864456149033,126.99218539610486,5.877554890096091
46,125.81,126.4798,120.23,122.61,1518786,118.09,111.23,,,94.61810735413869,129.0500924328144,5.904143826517799
47,122.1,122.1,117.94,118.85,1232762,118.55,111.89,,,95.15935740624442,129.9697755947881,5.815990696052242
48,119.13,119.31,116.1,116.18,1216994,117.98,112.4,,,95.558356782927,130.4556102124955,5.629848503477082
49,115.11,115.11,106.57,109.88,1590354,117.0,112.76,105.99,,96.40745570339737,130.25977690169745,5.914145038943006
50,108.31,111.26,106.6,110.61,875628,116.52,113.34,105.68,,98.08615075703985,129.7233598179704,5.824563250447078
51,109.29,111.89,108.5,111.43,646274,115.99,113.61,105.39,,99.27595298459408,129.49474156603597,5.650665875415144
52,114.55,119.57,114.55,118.79,835754,116.31,114.34,105.37,,100.406864307665,129.48919255487132,5.828475455742632
53,118.24,119.439,115.27,115.39,1008288,116.39,115.03,105.47,,102.25049316025977,128.79207236375723,5.709941494618159
54,117.27,119.27,116.79,118.21,723024,115.77,115.68,105.55,,104.09517541609475,128.0975904068793,5.579231387859719
55,118.21,120.67,116.08,116.31,542558,115.07,116.11,105.74,,105.46986407369906,127.84426363858294,5.508572003012596
56,116.98,118.36,114.43,117.71,760482,114.95,116.51,106.04,,106.4333600543652,127.50260382680136,5.395816859940267
57,119.87,124.79,119.87,121.11,757300,115.49,116.87,106.34,,106.78054647589626,128.13967028375723,5.516115655658821
58,122.77,123.72,120.34,122.88,541912,116.94,117.27,106.94,,106.8376455561018,128.60533099437754,5.363535965968905
59,123.88,124.21,121.59,121.75,561158,118.18,117.3,107.58,,106.62075387691712,128.91866486365822,5.16756911125684
60,121.09,123.02,119.445,121.64,682676,119.31,117.44,108.34,,106.58078863413712,129.17526098916906,5.053814174738494
61,120.57,123.1,120.39,122.3,893694,119.7,117.81,108.93,,106.67301739884248,129.4810945141826,4.886398876542887
62,123.63,126.73,122.3,126.73,769234,120.96,118.33,109.8,,106.92430075600831,130.2465093651551,4.8537989567898245
63,128.18,132.915,127.73,132.09,854900,122.5,119.15,110.74,,106.24755901231029,132.33620244572023,4.948884745590551
64,131.39,132.6,129.28,130.58,711276,124.09,119.94,111.53,,105.8354758669834,133.97946710171362,4.8325358351912255
65,134.21,137.005,132.96,135.01,790526,126.01,120.5,112.42,,104.674377382178,135.6964093109912,4.946283275534709
66,136.51,138.715,135.41,137.69,1140080,127.85,121.26,113.07,,103.45194335807716,138.09393159206735,4.857620184425088
67,136.36,136.36,130.82,131.22,709840,128.78,121.88,113.6,,103.26072772203678,139.91097127472023,5.001361599823296
68,130.64,130.79,126.58,127.0,1165105,129.36,122.42,113.99,,103.60816315354211,140.61440290784347,4.975550056978776
69,123.4,123.42,116.5,116.8,1239739,128.82,122.76,114.33,,105.27302771819811,140.4313580481239,5.370153624337434
70,120.55,121.275,118.405,118.405,178764,128.39,123.15,114.84,,107.30351711411814,139.6773472949163,5.306214079741904
71,115.66,120.93,114.36,120.86,1346804,127.74,123.62,115.37,,108.51066401749202,138.8447585384435,5.396484502617484
72,124.74,125.79,121.61,122.16,900002,126.64,123.79,115.98,,109.29494603753162,138.81693679180046,5.36316418100195
73,123.5,123.5,120.53,121.17,916300,125.59,124.08,116.41,,109.9327519796963,138.69248433085082,5.192223882358953
74,119.9,122.505,119.08,122.0,746858,124.15,124.27,116.82,,110.22012510582636,138.54376576352686,5.065993605047599
75,125.27,125.27,119.13,120.07,1074876,122.19,124.46,117.13,,110.63173035572825,138.4748361670877,5.1427083475441995
76,119.78,122.21,118.1513,122.06,387774,121.17,124.68,117.43,,111.24256923089848,138.20460526222737,5.06527917986247
77,123.94,123.94,121.47,122.13,331413,120.63,124.73,117.76,,111.38416979165503,138.20265425051656,4.87990209558658
78,120.22,121.2,114.825,115.66,455534,120.5,124.37,117.95,,110.60275967226605,138.28028469809098,5.053123374473253
79,115.59,119.43,115.47,119.22,592255,120.59,124.24,118.28,,109.88831161606811,138.4566343575312,4.97504313343945
80,118.35,118.84,115.84,117.85,1018819,120.26,124.05,118.66,,109.43482437027072,138.64699368696913,4.8611114810509175
