,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,15.06,15.4,14.545,14.6,6351516,,,,,,,0.8550000000000004
1,14.08,14.49,13.8,14.41,10510173,,,,,,,0.8510714285714289
2,14.47,14.81,14.02,14.79,7938377,,,,,,,0.8467091836734698
3,14.69,15.1,14.11,14.29,8156994,,,,,,,0.8569442419825077
4,14.53,14.63,13.93,14.62,5010245,,,,,,,0.8457339389837573
5,13.98,14.03,13.26,13.42,9248735,,,,,,,0.882467229056346
6,12.74,13.495,12.64,13.12,13937676,,,,,,,0.8805052841237497
7,11.82,12.42,11.36,11.58,11662194,,,,,,,0.9433263352577675
8,12.31,12.47,11.475,12.47,12442046,13.7,,,,,,0.9470173113107843
9,11.93,12.04,10.66,11.1655,18826628,13.32,,,,,,1.0086589319314425
10,10.16,10.18,9.17,9.475,16693778,12.77,,,,,,1.0791475796506251
11,10.23,10.8,9.01,10.8,21481606,12.33,,,,,,1.1299227525327233
12,8.84,9.345,8.25,8.745,16475850,11.71,,,,,,1.231356841637529
13,8.96,10.36,8.17,10.18,20460332,11.22,,,,,,1.2998313529491339
14,9.14,11.155,8.95,9.84,20829684,10.82,,,,,,1.36448625630991
15,9.45,10.785,9.11,9.84,10093392,10.46,,,,,,1.3866658094306308
16,9.96,9.96,8.53,8.54,16903502,10.12,,,,,,1.3897611087570145
17,8.25,8.51,7.38,7.6,13238748,9.58,,,,,,1.3733496009886563
18,8.34,8.64,7.89,8.51,14780032,9.28,,,,,,1.3495389152037522
19,8.66,9.46,8.285,8.975,16364528,9.23,11.35,,,5.670348020370678,16.481238422777142,1.3370718498320557
20,9.05,10.0,8.92,9.8,18595452,9.11,11.11,,,5.66496003385302,15.973851561856396,1.3187095748440518
21,9.4,9.8735,8.88,9.37,17458286,9.18,10.86,,,5.644613367844497,15.591881637150099,1.295480319498048
22,9.31,9.66,8.85,9.56,13910286,9.12,10.6,,,5.724653959851535,15.077892216720578,1.260803153819616
23,9.57,9.64,8.9,9.1,12505594,9.03,10.34,,,5.930501647149165,14.384635590160734,1.2236029285467864
24,8.51,8.57,7.88,8.01,12314796,8.83,10.01,,,6.128427774081905,13.746383330712955,1.2233455765077303
25,8.02,8.55,7.88,8.21,14011832,8.79,9.74,,,6.360094514023848,13.144062471332182,1.183820892471464
26,8.22,8.375,7.67,7.82,13420036,8.82,9.48,,,6.600165035469843,12.581154889542194,1.1496194001520736
27,8.46,9.06,8.3,8.96,12397340,8.87,9.35,,,6.7678117291572555,12.184575031402828,1.1560751572840684
28,9.74,10.128,9.04,9.14,13008376,8.89,9.18,,,7.1325401360928256,11.725432021036397,1.1569269317637778
29,9.28,9.6299,9.17,9.46,8178678,8.85,9.1,,,7.3909078589011195,11.285370282679985,1.109282150923508
30,9.85,10.36,9.58,9.87,14168866,8.9,9.12,,,7.347538287343615,11.308797580052456,1.0943334258575432
31,9.9,9.93,9.35,9.57,10115734,8.9,9.06,,,7.326525367748014,11.181412800227514,1.0575953240105758
32,9.84,9.97,9.45,9.805,10573858,8.98,9.11,,,7.331808993019342,11.216177858456085,1.0191956580098205
33,8.83,9.09,8.8,8.95,9764070,9.09,9.05,,,7.37792828486738,11.131295744326668,1.0181816824376904
34,8.92,8.92,8.5025,8.705,9128964,9.14,8.99,,,7.362787199930177,10.852342954612483,0.9774187051207125
35,9.15,9.32,8.905,9.075,12649454,9.28,8.95,,,7.366162551419457,10.631388167369936,0.9515316547549474
36,8.82,9.24,8.56,9.09,9134494,9.3,8.98,,,7.367987419391667,10.566452383844192,0.9321365365581655
37,8.72,9.2,8.64,8.92,9438278,9.27,9.04,,,7.574064368752783,10.538822619031691,0.9055553553754394
38,9.17,9.28,8.93,9.185,8641688,9.24,9.08,,,7.685178949401301,10.518830203817043,0.8665871157057652
39,8.67,8.87,7.2014,7.2501,82069700,8.95,8.99,,,7.439239920712588,10.515202531751532,0.9463737502982106
40,7.4,7.85,7.3,7.8,34370450,8.75,8.89,,,7.2217742909783595,10.559330958844424,0.9216256252769098
41,7.9,8.03,7.71,7.94,22797198,8.55,8.82,,,7.116319042407427,10.548626070969599,0.8786523663285591
42,8.14,8.57,8.12,8.51,15540240,8.5,8.77,,,7.076813465250666,10.501067538054212,0.8608914830193765
43,8.83,8.99,8.445,8.61,15672658,8.49,8.74,,,7.066921577587776,10.448258296417537,0.8383278056608496
44,8.4,8.685,8.183,8.62,13058030,8.44,8.77,,,7.102553721745094,10.445526712748055,0.814304390970789
45,8.27,8.3,7.86,7.99,15520922,8.31,8.76,,,7.099680285134987,10.459073454364072,0.8104255059014468
46,7.82,8.14,7.61,8.08,17934794,8.22,8.78,,,7.089007334491767,10.476869997575347,0.7903951126227721
47,8.33,8.36,7.835,7.8594,10894342,8.07,8.72,,,7.037685170191785,10.478338233973096,0.7714383188640026
48,7.92,8.05,7.6,7.62,12207388,8.11,8.65,,,6.943767154197131,10.344309194787462,0.7484784389451454
49,7.73,7.985,7.59,7.68,14664954,8.1,8.56,9.75,,6.872136289398433,10.284236564318041,0.7232299790204922
50,7.67,7.995,7.66,7.97,12675792,8.1,8.46,9.62,,6.8811059618017625,10.02676305567102,0.6954992662333143
51,7.84,7.98,7.67,7.82,10416998,8.03,8.37,9.49,,6.890540607053272,9.841832643640403,0.6679636043595061
52,7.84,7.9,7.24,7.25,17835136,7.88,8.25,9.34,,6.886725673219879,9.605583394259043,0.6673947754766842
53,7.2,7.245,6.71,6.77,21278778,7.67,8.14,9.18,,6.703000041486253,9.625356815576875,0.6582951486569211
54,6.57,7.13,6.375,7.0,19324716,7.56,8.05,9.03,,6.449554170873076,9.650317946784511,0.6652026380385696
55,6.65,6.86,6.63,6.705,16988308,7.41,7.93,8.9,,6.341869534119506,9.60670953797988,0.644116735321529
56,7.05,7.37,7.04,7.28,19104848,7.34,7.84,8.78,,6.300532408704055,9.478745270567305,0.645608397084277
57,7.28,7.515,7.11,7.23,13468990,7.3,7.76,8.69,,6.298480551395031,9.323723906957344,0.6284220830068287
58,7.38,7.5,7.32,7.37,8084604,7.27,7.67,8.59,,6.401893643009684,9.117244421313497,0.602820505649198
59,7.36,7.58,7.31,7.35,9450942,7.2,7.67,8.52,,6.411814434712575,8.981902401527844,0.5790476123885411
60,7.36,7.405,7.11,7.28,9885384,7.14,7.65,8.47,,6.392638570473949,8.982237741403567,0.5587584972179309
61,7.66,8.26,7.64,8.09,17842268,7.23,7.65,8.42,,6.392195586588082,9.005084944318856,0.5888471759880787
62,8.53,8.675,8.12,8.38,14616106,7.41,7.65,8.41,,6.392195586588082,9.024704345787356,0.5885723777032159
63,8.56,8.67,8.09,8.115,13088982,7.53,7.62,8.37,,6.434147497242762,8.951007110400738,0.5879600650101291
64,7.95,8.15,7.735,7.97,14963696,7.67,7.59,8.33,,6.463498355697782,8.864680133882164,0.5756057746522628
65,8.01,8.35,7.92,8.23,11081402,7.78,7.6,8.3,,6.460188577809419,8.872063611767466,0.5652053621771012
66,8.37,8.495,8.26,8.37,14373986,7.91,7.62,8.3,,6.42318376337252,8.92257829360851,0.5437621220215938
67,8.65,9.22,8.65,9.145,14925302,8.1,7.68,8.33,,6.34168918541526,9.110079155633208,0.5656362561629087
68,9.09,9.57,8.88,9.56,16240306,8.35,7.78,8.35,,6.247693421774854,9.396813557565778,0.5745193807227009
69,10.3,10.97,9.95,10.4,24117016,8.7,7.91,8.38,,5.981470012415491,10.076864064312653,0.6341965678139366
70,11.0,11.56,10.78,11.54,21480158,9.08,8.09,8.41,,5.639092083146202,10.782949577806107,0.6717539558272269
71,10.84,11.27,10.61,11.15,17787480,9.39,8.26,8.45,,5.459778136490868,11.270135686229594,0.6902001018395678
72,10.99,11.05,10.21,10.31,16836928,9.63,8.41,8.46,,5.445261634975726,11.636796754211389,0.70804295170817
73,9.32,10.045,9.25,9.805,20927742,9.83,8.56,8.48,,5.613728066730643,11.763529264448678,0.7331827408718722
74,10.5,10.55,9.9301,9.96,3735950,10.03,8.71,8.52,,5.844788846576316,11.927819893721049,0.7340268308095956
75,9.93,10.89,9.79,10.74,19809504,10.29,8.91,8.57,,6.080268700657286,12.077818818175437,0.7601677714660532
76,11.3,11.39,10.67,11.15,19015884,10.51,9.11,8.63,,6.2077442367927596,12.314717236260524,0.7572986449327638
77,11.04,11.32,10.97,11.22,16729624,10.7,9.31,8.68,,6.345220008256226,12.495918107694745,0.7282058845804236
78,11.04,11.3975,10.912,11.34,10840340,10.8,9.51,8.72,,6.505672019857036,12.63613395351259,0.7108697499675362
79,11.55,11.56,10.91,11.095,22224266,10.75,9.69,8.75,,6.720245731950049,12.755799862091932,0.7065219106841408
80,11.1,11.405,10.91,11.32,6323909,10.77,9.89,8.78,,7.037837047958551,12.759067560895957,0.6914132027781307
81,11.57,11.77,11.34,11.42,8110406,10.89,10.06,8.82,,7.25834542048811,12.873876964554977,0.6741694025796928
82,11.24,11.35,10.7,10.72,8163083,11.0,10.18,8.84,,7.466412918247279,12.924903067491872,0.6774430166811434
83,10.59,10.89,10.49,10.73,7161317,11.08,10.31,8.87,,7.717242888126119,12.895107517121545,0.657625658346776
84,10.49,10.5505,9.92,10.0,6328837,11.0,10.41,8.9,,8.0831549410669,12.721870175167089,0.668509539893435
85,10.15,10.41,10.05,10.39,4344168,10.92,10.52,8.93,,8.463963832799797,12.514115842345985,0.6500445727581896
86,10.35,10.815,10.26,10.76,5913381,10.86,10.64,8.96,,8.818876802474556,12.254716849775642,0.6432556747040332
87,10.74,10.79,10.23,10.25,4443550,10.74,10.69,8.99,,9.112111938329914,12.082428239238478,0.6373088407966022
88,10.72,10.76,10.455,10.55,6332278,10.68,10.74,9.01,,9.400867723919276,11.930709299125004,0.6282153521682734
89,10.88,10.93,10.605,10.755,6188136,10.62,10.76,9.08,,9.454978713186158,11.929520822657576,0.6104856841562538
90,10.62,10.75,10.31,10.33,4084793,10.5,10.7,9.13,,9.442195441736567,11.861897193559585,0.5986652781450928
91,10.41,10.65,10.27,10.61,3745797,10.49,10.67,9.19,,9.426826018350942,11.833774619024028,0.5830463297061578
92,10.52,10.62,10.01,10.05,5269713,10.41,10.66,9.22,,9.404299122136578,11.824455478785477,0.5849715918700036
93,10.01,10.565,9.96,10.53,6238592,10.47,10.7,9.26,,9.570349934153034,11.765717756567378,0.5864021924507176
94,10.61,10.8,10.45,10.62,4913828,10.5,10.73,9.3,,9.629602273737968,11.758209346186668,0.5695163215613808
95,10.57,10.725,10.29,10.49,4766979,10.46,10.72,9.35,,9.711404757387227,11.757474089698494,0.5599080128784251
96,10.73,10.97,10.56,10.93,6275527,10.54,10.71,9.4,,9.709867799877658,11.711513191016987,0.5542002976728234
97,10.77,11.08,10.65,10.735,4572225,10.56,10.68,9.46,,9.724012124705496,11.682396677757058,0.5453288478390503
98,10.8,10.86,10.48,10.49,4715375,10.53,10.64,9.52,,9.732863324984994,11.623967232370365,0.5335196444219752
99,10.42,10.47,10.17,10.29,4718365,10.53,10.6,9.57,,9.721803391385027,11.526316181021944,0.518268241248977
100,10.38,10.765,10.38,10.73,4614728,10.54,10.57,9.63,,9.73787762889065,11.443388534889005,0.5151776525883358
101,10.64,10.85,10.53,10.54,3871425,10.6,10.52,9.68,,9.875351734549826,11.209852440896327,0.501236391689169
102,10.46,10.8,10.38,10.68,5587959,10.61,10.52,9.75,,9.8908995512416,11.089062395278996,0.49543379228279977
103,10.795,10.88,10.37,10.44,3224017,10.59,10.51,9.82,,9.89141672642444,11.087731086206233,0.49647423569117133
104,10.34,10.81,10.17,10.71,6533425,10.62,10.54,9.9,,9.939822730149288,11.087718714085767,0.5067260759989448
105,10.56,10.63,10.0643,10.37,11161930,10.55,10.54,9.97,,9.94264915071303,11.060505110489874,0.5166527848561632
106,10.41,10.62,10.215,10.61,10141912,10.54,10.54,10.04,,9.938176048867662,11.05839046729561,0.5086775859378658
