,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,24.55,24.81,24.01,24.77,13893722,,,,,,,0.7999999999999972
1,24.75,26.08,24.57,26.08,12569984,,,,,,,0.8507142857142829
2,26.0,26.52,25.255,25.505,10077081,,,,,23.92576719638452,26.780064787384713,0.880306122448977
3,25.93,26.48,25.6,26.455,7572003,,,,,24.56497040056696,26.627641551333102,0.8870699708454788
4,25.83,26.75,25.73,26.65,11221872,,,,,25.258310031869648,26.74362161529218,0.8965649729279446
5,25.66,26.39,25.62,26.01,7759102,,,,,25.57299999999989,26.74608493394712,0.9060960462902341
6,24.08,24.7,23.67,23.94,15378649,,,,,23.731884201563965,27.150668466222356,1.008517757269503
7,24.67,24.89,23.49,24.49,22615656,,,,,22.960649008158313,26.345003709758657,1.0364807746073958
8,23.91,24.24,23.305,23.65,19315118,25.28,,,,23.28757705489282,24.977637049275543,1.0470892907068676
9,21.9,22.07,20.04,20.055,14039501,24.76,,,,20.143608155861244,25.357699773928985,1.2301543413706626
10,21.24,23.99,20.7,23.965,13557199,24.52,,,,19.44934068370743,24.739341117894128,1.4233576027013295
11,20.9,23.57,19.99,22.02,28046326,24.14,,,,19.80743158599437,24.320291853523234,1.605617773936949
12,22.21,23.91,20.84,23.83,11702065,23.85,,,,20.00868472993551,24.06864402069404,1.7102165043700241
13,22.45,24.0,21.928,23.61,9475151,23.51,,,,19.850757452390294,24.076134767499987,1.736058182629308
14,23.16,23.56,21.92,22.3,23285516,23.1,,,,20.874220144899578,24.079029116117063,1.7327683124415
15,22.45,23.24,21.78,22.28,25221142,22.91,,,,21.78444193099523,24.019733248623524,1.7132848615528213
16,22.32,23.3,20.67,20.74,26209852,22.49,,,,20.703320575329357,23.553774478725376,1.7787645142990482
17,21.79,23.365,21.53,22.98,10070718,22.42,,,,20.68617440806146,23.370434997556696,1.8392099061348306
18,23.39,24.32,22.88,22.95,14162577,22.74,,,,20.46791490139541,24.28983152029459,1.8106949128394858
19,23.24,27.38,22.98,24.77,11079086,22.83,23.85,,,21.57251442169459,27.328864768983273,1.997788133350951
20,24.0,25.18,23.61,24.25,7465881,23.08,23.83,,,22.72132044429502,27.36262327134702,1.9672318381115974
21,24.64,25.3,24.04,25.17,6380559,23.23,23.78,,,22.956884415410144,27.314017474981696,1.9167152782464834
22,25.11,25.49,24.395,24.71,11869404,23.35,23.74,,,23.582593651758017,25.495276153286245,1.8580213298003059
23,24.02,24.385,23.5,23.68,10724914,23.5,23.6,,,23.482590372381495,25.708226080895084,1.811734091957427
24,23.48,24.79,23.36,24.64,6516083,23.77,23.5,,,23.133991118070732,25.50326022600706,1.784467371103325
25,24.39,25.475,24.39,25.32,9551570,24.27,23.47,,,23.135474980167647,25.489390742605234,1.7345054160245161
26,26.0,26.12,25.56,25.9,12782180,24.6,23.57,,,23.225850275411037,26.193276934044967,1.6677550291656222
27,26.97,27.48,26.04,26.61,10976544,25.01,23.67,,,24.39642461472037,27.48421347052971,1.6614868127966493
28,26.75,27.5,26.61,27.32,6238859,25.29,23.85,,,25.49179328955811,27.903469721110163,1.606380611882603
29,27.35,28.495,27.35,28.11,10154358,25.72,24.26,,,25.94414723209526,28.463355504401708,1.5755677110338457
30,27.9,28.175,27.34,27.93,11955404,26.02,24.46,,,26.63317990617363,28.61540639438726,1.522670017388571
31,28.09,28.675,27.93,28.45,11900741,26.44,24.78,,,27.168434393410696,28.72690349206048,1.4671221590036734
32,28.0,28.09,27.41,28.06,16459190,26.93,24.99,,,27.20543124785159,28.661024407899927,1.4366134333605538
33,28.5,29.41,28.2,29.21,32693282,27.43,25.27,,,27.404974088810267,29.452560822199715,1.4304267595490858
34,29.12,29.49,28.645,29.33,20893755,27.88,25.62,,,27.396972202596356,29.861502681951205,1.3886105624384368
35,28.98,29.8,28.88,29.17,21502735,28.24,25.96,,,28.195101658334586,29.79325954681343,1.3551383794071201
36,28.93,29.13,28.31,28.47,15893220,28.45,26.35,,,28.29656258333313,29.842175214541545,1.3197713523066117
37,28.83,28.9,28.45,28.785,10606754,28.61,26.64,,,28.219921608045325,29.79100734494637,1.2576448271418537
38,28.62,29.05,28.46,28.54,12115034,28.66,26.92,,,28.31441519874633,29.155104719179295,1.2099559109174354
39,28.59,29.335,28.59,29.23,12275108,28.8,27.14,,,28.41408725356429,29.33806017773362,1.1803162029947616
40,29.5,30.25,29.35,30.19,19837154,29.0,27.44,,,28.271198524964106,30.234652629952116,1.1688650456379928
41,30.48,30.77,30.055,30.43,6343226,29.26,27.7,,,28.525727411304644,30.91748793873405,1.1364461138067077
42,30.54,31.035,30.17,30.51,6705863,29.41,27.99,,,29.36996760630746,31.12427753186318,1.117057105677657
43,30.13,30.89,29.53,30.33,16001751,29.52,28.33,,,29.54302801318251,31.04429936819461,1.1344101695578246
44,29.99,30.24,29.15,29.39,5272561,29.54,28.56,,,29.0496240462813,31.187394680998143,1.13766658601798
45,29.14,29.24,28.45,28.93,5351486,29.59,28.74,,,28.44070464721436,31.037613560251305,1.1235475441595528
46,29.0,29.485,28.86,28.95,4904711,29.61,28.9,,,28.433118881308303,30.228346971736897,1.0879370052910133
47,29.14,29.57,28.88,29.4,5089677,29.71,29.04,,,28.463037455810497,29.620143676758662,1.0595129334845126
48,29.58,29.72,28.73,28.83,8739105,29.66,29.11,,,28.733743527364858,29.72255434115593,1.0545477239499044
49,29.09,29.665,28.93,29.55,7831488,29.59,29.18,26.33,,28.732175036695427,29.73513871787666,1.0388657436677684
50,29.31,29.575,29.26,29.33,3444731,29.47,29.25,26.42,,28.678924886896286,29.73385403460452,0.9871610476914991
51,29.34,29.78,29.34,29.39,7912302,29.34,29.3,26.49,,28.937601124746706,29.786362459372608,0.9487924014278208
52,29.44,29.52,28.48,28.76,11162390,29.17,29.34,26.55,,28.504041243123687,29.775724085666067,0.9553072298972621
53,28.5,28.935,28.12,28.79,8064412,29.1,29.32,26.6,,27.95713832545547,29.887737127137818,0.9452852849046004
54,28.71,29.32,28.56,29.19,4514486,29.13,29.31,26.65,,28.128850194474822,29.585402260829085,0.932050621697129
55,30.06,31.14,29.95,30.87,21343862,29.35,29.39,26.75,,27.825931527188846,31.093864530693395,1.0047612915759054
56,30.82,30.93,29.9,29.91,11667910,29.4,29.47,26.87,,28.60267249553576,31.55861153239199,1.006564056463341
57,30.15,30.48,29.98,30.24,4098668,29.56,29.54,26.98,,29.8988773626037,31.22091373660168,0.9753809095731023
58,30.06,30.11,29.59,29.72,3624041,29.58,29.6,27.1,,29.596740453185898,30.95838154724198,0.9521394160321665
59,29.57,29.99,29.56,29.95,5898486,29.65,29.63,27.3,,29.452261760694743,30.47428232039892,0.9148437434584403
60,30.36,30.735,30.14,30.22,5439953,29.74,29.63,27.42,,29.404130976250993,30.718344791517296,0.905569190354266
61,30.36,31.06,30.27,31.025,9207778,29.99,29.66,27.6,,29.57417672022819,31.19842294454208,0.9008856767575326
62,30.62,30.75,30.26,30.41,6261500,30.17,29.66,27.74,,30.143757373813383,31.050141616942213,0.8911795569891372
63,30.27,30.59,29.77,30.52,4529668,30.32,29.67,27.87,,29.785584669584665,31.062851669197343,0.8860953029184846
64,30.5,30.78,30.32,30.425,4938076,30.27,29.72,28.04,,29.784777628984614,30.819024725270243,0.8556599241385929
65,30.49,31.46,30.42,31.45,11833172,30.44,29.85,28.22,,29.784999999999755,31.446495666316594,0.8688270724144076
66,31.5,31.83,31.28,31.3,4562956,30.56,29.96,28.43,,30.092794503164725,31.942496277844825,0.8460537100990926
67,30.9735,31.5,30.82,31.49,11012298,30.75,30.07,28.6,,30.36661643459008,31.820032584687176,0.8341927308063003
68,31.73,32.64,31.69,32.63,18095940,31.05,30.26,28.8,,30.784569995833948,32.63526041254659,0.8567503928915647
69,32.54,34.0,32.51,33.95,21405040,31.47,30.48,28.98,,30.743697741645086,34.09010685622412,0.9019825076850245
70,33.3,33.5,32.74,33.13,10406956,31.7,30.67,29.16,,31.70620374804402,34.1366848749643,0.9239837571360944
71,33.09,33.1898,32.4,32.51,4701847,31.93,30.82,29.3,,32.359157132697504,34.01293398383911,0.9143992030549447
72,31.72,31.91,31.14,31.185,5888052,32.01,30.95,29.43,,31.166108801014673,33.793717092281106,0.9469421171224485
73,31.79,31.98,31.43,31.44,2670086,32.12,31.08,29.59,,30.93080556884316,33.1514244300193,0.9360891087565595
74,31.26,32.12,30.99,32.12,8111511,32.2,31.22,29.74,,30.94061721364241,32.12095277616984,0.9499398867025195
75,32.58,32.9,32.02,32.74,10056209,32.36,31.32,29.89,,30.91150109938522,32.87861980238712,0.944944180509482
76,32.92,33.38,32.76,32.8,4202264,32.5,31.46,30.02,,30.945487571807742,33.49951697620558,0.9231624533302334
77,32.61,33.2,32.5,33.19,3330244,32.56,31.61,30.16,,32.01371469205755,33.42673582436515,0.9072222780923598
78,33.25,33.7,33.07,33.48,11774536,32.51,31.8,30.28,,32.46276487735417,33.70523682539347,0.8874206868000486
79,33.07,33.37,32.8,33.14,6034404,32.51,31.96,30.38,,32.47635529655316,33.70298728616268,0.872604923457188
80,33.2,33.3774,32.305,32.4,6560557,32.5,32.07,30.47,,32.29822693383925,33.68973496268193,0.8868760003531033
81,32.25,32.315,31.67,32.125,5051633,32.6,32.12,30.54,,31.635245391439458,33.69317712126438,0.8756705717564529
82,31.95,32.07,31.51,31.87,4327959,32.65,32.19,30.62,,31.365798920199012,33.351948665495364,0.8570512452024205
83,31.89,31.89,30.8,30.9,5848040,32.52,32.21,30.65,,30.817290250513075,32.326326171765345,0.8736904419736762
84,31.0,31.71,31.0,31.64,4270883,32.39,32.27,30.7,,30.70061713880739,32.08799999999959,0.8691411246898424
85,31.64,32.05,31.4987,31.88,4419802,32.29,32.3,30.75,,30.703749181411837,32.07044114539144,0.8464381872119964
86,31.93,32.03,31.485,31.67,3978184,32.12,32.31,30.82,,31.015442429600213,32.13986662431133,0.8249068881254253
87,31.95,32.21,31.73,31.81,3752033,31.94,32.33,30.88,,31.419800190879347,32.20519008963681,0.8045563961164663
88,32.08,32.34,31.85,32.0,3230868,31.81,32.3,30.95,,31.483696867048614,32.364570984955726,0.7849452249652905
89,31.79,32.275,31.78,32.04,4061726,31.77,32.2,31.0,,31.72036181515863,32.34649999999868,0.7642348517534838
90,32.04,32.16,31.48,31.86,3080313,31.74,32.14,31.04,,31.487124329511804,32.35859839870081,0.7582180766282347
91,31.64,31.755,31.16,31.36,2872471,31.68,32.08,31.06,,31.132274198675606,32.36379311988248,0.7540596425833608
92,31.35,32.31,31.35,32.29,4473684,31.84,32.14,31.09,,31.152971753665884,32.390807298838745,0.7687696681131208
93,32.51,32.95,32.18,32.52,5343800,31.94,32.19,31.13,,30.966657262643814,32.99613731882836,0.7688575489621838
94,32.3,33.435,32.28,33.3,5715844,32.09,32.25,31.21,,31.3750917978081,33.519037838982435,0.7964391526077423
95,33.5,33.5,33.05,33.15,4420175,32.26,32.27,31.3,,31.979667091024773,33.62559529639685,0.7716934988500467
96,33.57,34.69,33.44,34.43,8125576,32.55,32.35,31.41,,32.274022673222476,34.652214417004515,0.8265725346464718
97,34.61,35.19,34.37,35.01,7602025,32.88,32.44,31.52,,32.874024799339594,35.41497486877908,0.8261030678860096
98,34.92,34.92,33.91,34.12,5366794,33.12,32.48,31.62,,33.395156810130466,35.20862651038816,0.8456671344655804
99,34.36,34.89,34.27,34.53,4041696,33.41,32.55,31.72,,33.91720303942882,35.18174982805934,0.8402623391466106
100,34.65,34.96,34.28,34.9,3314369,33.81,32.67,31.84,,33.92146196094403,34.96196406375535,0.8288150292075671
101,34.65,35.13,34.27,34.87,3655150,34.09,32.81,31.95,,34.266982480342925,35.129099062930074,0.8310425271213123
102,34.9,35.25,34.511,34.69,4059352,34.33,32.95,32.06,,34.20368565675638,35.273621615290956,0.8244680608983613
103,34.67,34.8875,34.49,34.83,3816746,34.5,33.14,32.18,,34.276824563257215,35.2923009100451,0.7939703422627642
104,34.76,35.39,34.76,35.26,5503479,34.74,33.33,32.31,,34.42179113219809,35.46109640636054,0.7822581749582812
105,35.55,35.87,35.4,35.56,6307554,34.86,33.51,32.4,,34.36922796151377,35.92292223075996,0.7699540196041182
106,35.063,35.5,33.36,34.38,11594781,34.79,33.65,32.49,,33.35900585730977,35.86327529511649,0.8721001610609672
107,34.12,34.83,33.83,34.4,7535537,34.82,33.78,32.57,,33.02155291330757,35.97987843553591,0.8812358638423267
108,34.4742,35.05,34.25,34.8,4121424,34.85,33.92,32.67,,33.3235759103843,35.502334516412866,0.8754333021393031
109,34.79,35.1399,34.38,35.09,4306676,34.88,34.07,32.78,,33.83712717695162,35.1820135033439,0.8671809234150669
110,35.15,35.23,34.65,34.78,3487262,34.87,34.21,32.87,,34.20221993950472,35.23896668703498,0.8466680003139906
111,34.84,35.33,34.67,35.28,4217032,34.93,34.41,32.95,,34.38850288433783,35.33790224997385,0.8333345717201339
112,35.14,35.45,34.98,35.41,3299271,35.0,34.57,33.05,,34.56314189339883,35.45783321870525,0.8073821023115534
113,35.115,35.12,34.52,34.8,3933580,34.94,34.68,33.14,,34.4652823047872,35.48373622397227,0.8132833807178705
114,35.0,35.25,34.49,34.64,4114562,34.84,34.75,33.22,,34.36121690985769,35.45618937871582,0.8094774249523082
115,34.89,35.5,34.765,35.33,3955230,34.95,34.86,33.3,,34.425722147824644,35.50244528707313,0.8130861803128576
116,35.44,35.67,35.1333,35.57,4436742,35.08,34.91,33.39,,34.44104676835664,35.70572596086895,0.7933443102905109
117,35.34,35.665,35.13,35.6,2368291,35.17,34.94,33.47,,34.77657223603767,35.71807899364481,0.7748911452697599
118,35.68,36.3686,35.54,35.91,4444745,35.26,35.03,33.53,,35.00842323483592,36.34646679328192,0.7787274920362057
119,36.0,36.01,35.26,35.65,3698357,35.35,35.09,33.57,,35.07952440476176,36.40153742960737,0.776675528319334
