,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,28.55,29.295,28.33,28.33,7082162,,,,,,,0.9650000000000034
1,28.0,28.18,27.06,28.14,11153811,,,,,,,0.9867857142857174
2,28.44,29.69,28.28,29.69,10660787,,,,,27.17076429454594,29.838086840650515,1.0270153061224518
3,29.52,30.42,28.97,29.34,9190529,,,,,27.136155307666222,30.572409733852094,1.057228498542277
4,29.68,30.97,29.65,30.96,7964813,,,,,28.281660583968616,31.002105910267147,1.0981407486464
5,30.65,33.7,30.4305,33.46,30462601,,,,,28.95267392629984,33.45326375573785,1.2532378380288005
6,32.72,32.99,31.51,32.05,26012716,,,,,29.596169834052485,33.96974899737174,1.3030065638838861
7,30.68,31.7,30.0,31.25,23348554,,,,,29.868935471571707,33.810586453106076,1.3563632378921797
8,31.28,32.75,31.18,32.62,29883952,30.65,,,,30.102794300770668,33.16607579756175,1.3716230066141668
9,31.81,32.26,30.07,30.59,22883734,30.9,,,,29.75467472311047,32.76205541162922,1.4557927918560118
10,28.6,30.38,28.37,29.11,27445516,31.01,,,,28.458047732002875,33.04775952226665,1.5103790210091539
11,30.54,30.98,28.25,30.72,29540700,31.12,,,,27.87876031864965,32.16694440426831,1.597494805222786
12,29.33,33.21,29.0,31.1,44951388,31.32,,,,28.137135258430323,33.01451854427573,1.7841023191354441
13,31.81,34.94,30.9065,33.0,45047286,31.54,,,,28.01593592701911,35.0285873053312,1.9447735820543408
14,33.65,36.84,32.51,33.88,38619700,31.59,,,,29.04832165105531,36.812329998161076,2.1151468976218886
15,35.75,36.5,33.41,34.16,28953496,31.83,,,,31.00738299041454,37.106513146265556,2.1847792620774684
16,34.25,34.25,31.03,31.8,37001788,31.89,,,,31.11494567852786,37.27082519239802,2.2587236005005065
17,31.78,32.72,30.77,31.16,24184228,31.72,,,,30.28169816758041,36.391394225298896,2.2366719147504703
18,31.5,31.68,29.42,30.14,24466078,31.67,,,,29.542355765813657,34.17609523458711,2.2383382065540083
19,29.99,30.19,27.82,27.94,36592976,31.54,30.97,,,27.85990218533142,32.80165246824748,2.2477426203715796
20,28.0,29.18,27.33,28.96,32602696,31.35,31.0,,,27.096976669965343,31.60765655089133,2.219332433202181
21,29.29,29.9,28.55,29.14,22854748,31.13,31.05,,,27.28607818087312,30.276698716960887,2.157237259402025
22,30.0,30.36,29.12,29.65,23514032,30.76,31.05,,,27.41887538824598,30.408088184791655,2.0917203123018804
23,29.58,30.26,29.1,30.145,24445720,30.34,31.09,,,28.59986257216105,30.415269964154742,2.025168861423175
24,30.3,31.78,29.83,30.49,30163081,29.94,31.07,,,28.93418754227412,31.650176452273225,2.0197996570358057
25,30.23,31.99,29.85,31.6,33161508,29.91,30.98,,,29.165977119697256,32.28738488559794,2.028385395818962
26,31.61,32.84,31.6,32.29,25385412,30.04,30.99,,,29.41048098809539,32.76461163625731,1.972072153260465
27,32.3,32.76,31.28,32.61,27188182,30.31,31.06,,,29.978173835954355,32.99936126810793,1.9369241423132888
28,31.46,32.5,30.57,31.87,29987892,30.75,31.02,,,30.622837785876094,32.87776388834598,1.9442867035766254
29,31.51,31.81,30.72,31.0,32527532,30.98,31.04,,,30.48245638710001,32.8476181238732,1.887551939035438
30,30.33,31.295,30.01,31.05,31549512,31.19,31.14,,,30.059123053766676,32.47294753539381,1.8445125148186212
31,31.2,32.225,31.05,31.28,22106316,31.37,31.16,,,30.06188876112156,32.2425618623204,1.796690192331577
32,32.05,32.37,31.57,32.09,24332354,31.59,31.21,,,30.082353546207642,32.546649999761804,1.74621232145075
33,32.37,32.49,31.065,32.025,26117796,31.76,31.16,,,30.932346284067073,32.494363061995344,1.7232685842042679
34,32.05,32.635,31.84,31.95,25255042,31.8,31.07,,,31.09827330966462,32.631029728662014,1.6569636853325345
35,31.85,32.13,30.885,31.94,30476112,31.76,30.96,,,30.75588054406782,32.67834935848029,1.627537707808782
36,32.1,32.62,31.74,31.94,18163910,31.68,30.96,,,30.963444456204716,32.7489963263491,1.574142157251012
37,32.17,32.6,31.74,32.18,23025184,31.72,31.01,,,30.961365519842857,32.72730849247704,1.5231320031616542
38,32.33,32.61,32.075,32.37,15678638,31.87,31.13,,,31.658254326488134,32.619999999994874,1.4525511457929645
39,32.05,33.1,31.96,32.87,22179258,32.07,31.37,,,31.7547795546945,33.05583211855896,1.43022606395061
40,33.02,33.11,32.47,32.96,12606634,32.26,31.57,,,31.900829439280685,33.22583211855897,1.3737813450969951
41,32.98,33.53,32.98,33.28,17379463,32.39,31.78,,,31.960000000000015,33.49209146845582,1.3163683918757811
42,33.07,33.42,32.25,32.37,17568384,32.43,31.92,,,32.192189253017574,33.5711252829854,1.3059135067417968
43,31.89,32.19,31.1,31.53,25603478,32.38,31.98,,,31.162213104120976,33.79059766705128,1.3033482562602399
44,31.7,32.05,31.27,31.61,17231592,32.35,32.04,,,30.919274617886444,33.30714586528888,1.2659662379559369
45,31.44,32.125,31.23,31.99,14400882,32.35,32.06,,,31.111118055826626,32.19172616518917,1.2394686495305127
46,32.58,32.75,31.83,32.53,12648756,32.39,32.07,,,31.107873449989047,32.69266175191987,1.2166494602783333
47,32.57,32.965,32.205,32.78,12037106,32.44,32.08,,,31.263192110677334,33.04969136675684,1.1840316416870242
48,32.99,33.28,32.715,32.78,13398996,32.43,32.13,,,31.805787213151177,33.26490102329824,1.1398150958522368
49,32.9,33.19,32.48,32.68,11160249,32.39,32.21,31.43,,32.21140536264015,33.30724980739555,1.109114017577077
50,32.7,33.52,32.55,33.32,14913356,32.4,32.32,31.53,,32.46100874801516,33.50058722109201,1.0991773020358577
51,33.45,34.03,33.36,33.74,15375662,32.55,32.45,31.64,,32.307551819894144,34.00320207938986,1.0713789233190107
52,33.83,34.23,33.5,33.55,11181744,32.78,32.52,31.72,,32.62379891243242,34.292772298053606,1.0469947145105098
53,33.61,34.5,33.61,34.09,15977006,33.05,32.62,31.81,,33.36470035913893,34.489200527604254,1.0400665206169022
54,33.88,34.23,32.37,32.785,20487720,33.14,32.66,31.85,,32.47363275136416,34.47588457268088,1.098633197715695
55,32.71,32.945,32.255,32.52,18504322,33.14,32.69,31.83,,31.993684487049567,34.7225447162824,1.0694451121645738
56,32.43,32.53,31.5,32.24,20409918,33.08,32.71,31.83,,31.569058654320955,34.12132668920658,1.0666276041528187
57,32.4,32.5,31.75,31.75,13832738,32.96,32.69,31.84,,31.450389807727294,32.907046689092994,1.0440113467133316
58,32.02,32.375,31.605,32.29,14545190,32.92,32.68,31.84,,31.492801132948756,32.55054241636696,1.0244391076623793
