,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,190.81,192.83,185.95,190.99,4109418,,,,,,,6.880000000000024
1,191.3,198.3,189.41,198.1,2817960,,,,,,,7.023571428571452
2,198.02,201.84,192.34,195.39,2674367,,,,,185.71480603724294,202.6499195476385,7.200459183673491
3,198.4,205.75,197.37,205.5,2084697,,,,,188.61150601219785,206.06251743914433,7.426140670553957
4,197.74,199.48,195.07,196.52,3438812,,,,,192.15679910063884,205.84011385778837,7.640702051228675
5,192.13,192.66,185.76,189.12,7283032,,,,,185.970969077148,206.49828470245095,7.863509047569485
6,174.92,180.38,172.32,172.99,7841024,,,,,171.80229361742218,201.48711359946915,8.501829829885951
7,176.48,177.42,167.52,176.21,9625938,,,,,164.79960616130327,192.37579200796625,8.601699127751239
8,173.46,176.66,172.54,173.87,7222320,188.74,,,,167.6727177957615,180.3153114399142,8.281577761483295
9,163.4,169.95,157.0,158.08,10444914,185.09,,,,156.96305403580467,179.19878169542648,8.895036492805918
10,173.38,177.15,161.35,176.47,10311334,182.68,,,,154.8113404079757,179.01189890162743,9.621819600462638
11,148.72,163.64,146.71,158.34,12333898,178.57,,,,146.75002617900137,177.68253920009113,11.060261057572449
12,156.76,165.64,155.66,163.88,7931030,173.94,,,,146.45506256097448,176.83070489420993,10.98309955346013
13,153.39,160.16,149.64,157.52,6960884,169.61,,,,145.6506601031606,166.19708652847868,11.215735299641551
14,151.47,158.81,148.8076,154.27,6773986,165.74,,,,147.25610511133,165.5155102591364,11.129068492524297
15,154.1,157.94,148.05,151.2,8058492,163.32,,,,147.95771082760024,160.20047673688074,11.040563600201132
16,149.78,155.36,146.8,150.36,7431892,160.44,,,,146.77067103515745,159.34366486516961,10.863380485901052
17,159.29,166.84,157.0,164.78,5314920,159.43,,,,144.4969846215489,166.67193053562596,11.264567594050977
18,163.07,175.46,161.34,165.17,5166050,160.22,,,,146.83602812064987,176.97890725787892,11.468527051618764
19,169.27,175.0,168.69,173.83,4106838,159.93,173.63,,,155.84317715572217,177.76770202450334,11.351489405074568
20,167.33,171.06,166.21,167.46,3839070,160.94,172.45,,,161.3002108779065,176.5003631331082,11.084954447569244
21,172.26,177.29,170.84,176.76,4215722,162.37,171.39,,,166.03134486444256,177.9163267301282,10.99531484417144
22,172.7,177.25,170.61,173.09,4690544,164.1,170.27,,,166.34980087798718,179.14394104925532,10.684220926730623
23,165.62,168.51,160.22,160.83,5692000,164.83,168.04,,,160.5505631189968,179.91339069273417,10.840348003392723
24,160.15,166.74,159.41,164.16,4175036,166.27,166.42,,,156.54312807196473,177.02306307972253,10.589608860293245
25,163.25,165.75,161.2637,161.9,3380080,167.55,165.06,,,159.27566778650683,168.5380737953697,10.153658227415155
26,169.61,177.05,169.52,175.89,5001806,168.79,165.2,,,157.4773721520541,176.73033213887956,10.510539782599787
27,181.54,185.45,178.64,180.09,5405744,170.45,165.4,,,160.24700049062835,186.95739574502355,10.44264408384266
28,180.59,187.43,178.75,186.84,3866662,171.89,166.05,,,169.80944500164165,189.37206796398712,10.316740934996757
29,183.31,190.05,183.25,189.64,5359476,174.36,167.62,,,177.31988723337966,190.18148252779193,10.06554515392556
30,186.45,188.48,183.76,186.0,3548052,175.38,168.1,,,178.88717013335668,190.1037630397757,9.766577642930878
31,188.75,190.91,187.73,189.7,3404030,177.23,169.67,,,182.21547634428867,191.16871605910865,9.419679239864388
32,182.15,183.45,179.32,181.07,2828916,179.48,170.53,,,178.97542621095747,191.79857434590727,9.488273579874075
33,181.79,183.7,178.875,183.03,3144890,181.57,171.8,,,176.487165704943,190.68037949098544,9.15518260988307
34,187.82,188.9,185.97,188.68,4434878,184.55,173.52,,,177.01685273937696,188.73462331729812,8.920526709177137
35,184.87,189.6,184.41,185.07,2316320,185.57,175.22,,,178.9836849974668,190.9456875214826,8.654060515664485
36,181.67,182.67,176.6,178.89,3237830,185.44,176.64,,,176.80422478527606,191.25322553475505,8.640913335974165
37,180.88,182.89,180.02,181.64,1559606,184.86,177.49,,,176.03680406565883,189.38630486951163,8.309419526261726
38,180.73,185.2195,180.35,181.1,2043628,183.91,178.28,,,176.70599627846104,185.14717512894484,8.063710988671604
39,182.04,182.76,178.85,181.36,1704464,183.39,178.66,,,178.87295155844453,185.14555835438443,7.767017346623632
40,182.64,185.62,181.94,184.5,2055337,182.82,179.51,,,178.68025972572167,186.2366366549059,7.516516107579086
41,187.96,188.11,185.475,186.78,3435538,183.45,180.01,,,178.44184439418422,188.44151137111737,7.237479242752009
42,188.01,190.2,187.67,188.8,2030220,184.09,180.8,,,181.84823764556913,190.4988669627038,6.964802153984008
43,185.38,186.1921,183.14,183.98,2510728,183.57,181.96,,,182.9364367497375,190.3723889799392,6.87160200012801
44,184.25,185.1,179.78,180.29,1848430,183.04,182.76,,,179.1746250448436,190.11789502136654,6.760773285833152
45,179.48,183.22,178.61,182.61,2375298,183.45,183.8,,,177.923268664897,186.49105736689813,6.6071466225593545
46,183.0,185.05,181.86,181.88,2004178,183.48,184.1,,,178.27262730160507,185.63507081352478,6.363064720947972
47,182.41,182.98,178.8,179.12,2251160,183.26,184.05,,,177.7502493787285,184.99543125061143,6.207131526594544
48,178.03,185.9,177.4499,184.62,3567036,183.62,183.94,,,176.88438236432702,186.29539759761977,6.3673435604092194
49,184.91,188.41,184.75,188.4,3276020,184.05,183.88,177.74,,176.0608057377799,188.7526697702924,6.18324759180856
50,184.57,187.38,184.445,186.81,3278406,184.06,183.92,177.65,,177.67253248232927,188.61787571489555,6.024087049536521
51,185.04,186.49,182.99,183.06,3126102,183.42,183.58,177.35,,183.0270768526163,188.48360201631203,5.866652260283912
52,182.63,182.7,177.71,178.78,3129772,182.84,183.47,177.02,,177.81670258317766,188.2571007582127,5.8297485274064895
53,173.8,179.36,172.76,179.16,4046205,182.72,183.28,176.49,,172.19252427815064,186.7741025725636,5.8847664897345995
54,178.01,182.7,177.92,182.47,3431692,182.7,182.97,176.21,,172.91756681003258,183.7078515556696,5.8058545976107
55,187.91,193.68,187.68,192.25,3328276,183.85,183.32,176.27,,171.11834267147069,193.48784239184883,6.19186498349565
56,191.45,192.25,189.86,190.17,3281146,185.08,183.89,176.62,,178.15912077341366,196.10975597685308,5.920303198960245
57,192.8,197.34,192.66,196.09,3633808,186.35,184.61,177.01,,187.32060014647135,197.3110026934446,6.009567256177371
58,195.38,195.82,192.51,193.68,3354990,186.94,185.24,177.41,,189.94409391687,198.01085391410288,5.8360267378789885
59,192.42,192.705,190.345,190.99,2449506,187.41,185.72,178.07,,190.41335207614506,197.8874097237699,5.6573819708876325
60,194.0,195.0,192.31,193.0,3679416,188.51,186.15,178.4,,190.40561040520294,196.28445300366113,5.539711830109944
61,194.7,194.75,191.505,192.92,2568030,190.08,186.45,179.09,,190.3000535417055,195.53664413338794,5.375803842244948
62,197.89,201.93,196.73,200.03,3058588,192.4,187.02,179.81,,190.42046421090257,201.70930275866917,5.635389282084596
63,201.54,203.12,198.975,202.17,3286352,194.59,187.92,180.71,,191.52060065872297,204.91430937556856,5.52893290479284
64,202.49,205.92,202.25,205.19,3062869,196.03,189.17,181.73,,196.26476655277347,205.9099310393755,5.401866268736209
