,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,17.75,17.93,17.45,17.555,2607510,,,,,,,0.4800000000000004
1,17.17,17.19,16.67,16.86,4013372,,,,,,,0.5089285714285717
2,16.37,16.85,16.24,16.84,5818140,,,,,,,0.5168622448979595
3,16.9,17.2,16.6,17.2,6378213,,,,,,,0.5228006559766766
4,17.21,17.47,16.67,16.7,5113509,,,,,,,0.5426006091211995
5,17.0,17.13,16.79,16.88,3543949,,,,,,,0.5345577084696852
6,16.5,16.81,16.45,16.64,4473592,,,,,,,0.5270893007218506
7,16.13,16.28,15.82,16.07,4017735,,,,,,,0.5480114935274327
8,15.03,15.1,14.21,14.22,4019343,16.55,,,,,,0.6417249582754732
9,14.75,15.0,14.49,14.92,3370549,16.26,,,,,,0.6516017469700822
10,14.5,14.61,14.005,14.06,4574154,15.95,,,,,,0.6704159079007905
11,12.94,13.05,11.6,11.62,4036762,15.37,,,,,,0.7982433430507341
12,12.46,12.96,11.48,12.96,3973208,14.9,,,,,,0.8469402471185389
13,11.5,11.73,10.44,10.48,2940515,14.21,,,,,,0.9664445151815004
14,10.7,10.7,9.73,10.08,5181013,13.45,,,,,,0.9666984783828217
15,9.48,9.55,8.62,9.26,3613814,12.63,,,,,,1.0019343013554773
16,9.21,10.05,8.83,9.94,4541509,11.95,,,,,,1.017510422687229
17,10.24,10.64,9.3499,9.39,4401806,11.41,,,,,,1.0369811067809984
18,9.36,9.59,8.87,8.91,3987488,10.74,,,,,,1.0143395991537842
19,9.7,10.78,9.635,10.74,3263087,10.38,13.57,,,9.887823411032931,17.074688724661502,1.0754581992142282
20,11.29,12.7,10.86,11.75,4637713,10.39,13.28,,,9.678099162651769,16.682433907140428,1.138639756413212
21,11.85,12.78,11.72,12.05,4461283,10.29,13.04,,,9.551372040161917,16.35430868927205,1.1330226309551255
22,11.63,11.68,11.02,11.26,3720693,10.38,12.76,,,9.394176636782172,16.012587966017414,1.125663871601188
23,11.13,12.04,10.86,12.01,3460168,10.59,12.5,,,9.265657769709986,15.604963236911882,1.1295450236296747
24,11.86,12.7,11.86,12.55,4235956,10.96,12.29,,,9.242139624953374,15.144982773224847,1.1088632362275552
25,11.86,12.16,11.69,11.83,3753130,11.17,12.04,,,9.264813125329963,14.665347251200199,1.09108729078273
26,11.79,12.17,11.41,11.57,3255058,11.41,11.78,,,9.317258057051806,14.180947667131177,1.0674381985839636
27,11.52,11.62,11.12,11.34,2377866,11.68,11.55,,,9.383635409195179,13.701446685703981,1.026906898685109
28,11.9,11.98,11.515,11.71,4301849,11.79,11.42,,,9.40937367680766,13.381387363344766,0.9992706916361728
29,12.24,12.62,11.91,11.94,4476364,11.81,11.27,,,9.498625662327044,13.084267807408029,0.9928942136621602
30,12.06,12.35,11.94,12.23,2615369,11.83,11.18,,,9.589494492501208,12.798597335585551,0.9512589126862916
31,12.46,12.87,12.36,12.795,4307447,12.0,11.24,,,9.584617594360118,12.77864851191876,0.9290261332086992
32,12.8,12.84,12.395,12.69,2272473,12.07,11.23,,,9.584052649197664,12.765592851107643,0.8944528379795065
33,12.83,13.06,12.5,12.59,2247189,12.08,11.33,,,9.633958643741318,12.87525640445991,0.8705633495523989
34,12.03,12.12,11.69,11.85,2974200,12.08,11.42,,,9.752232831296258,12.921576037295122,0.8726659674415133
35,11.8,11.93,11.54,11.56,2524721,12.08,11.54,,,10.027373216246136,12.90368470187614,0.8381898269099767
36,12.11,12.38,11.95,12.36,3301130,12.19,11.66,,,10.313619196554727,12.916327714720968,0.8368905535592641
37,11.95,12.45,11.72,12.12,3879765,12.24,11.79,,,10.5427078303601,12.943947858305807,0.8292555140193166
38,11.6,11.895,11.435,11.45,3338309,12.18,11.92,,,10.906562553617242,12.796086415280726,0.8189515487322225
39,11.73,11.81,11.54,11.58,2217714,12.11,11.96,,,11.1842474669362,12.737181922795425,0.7861692952513496
40,11.71,11.74,11.4221,11.45,3503575,11.96,11.95,,,11.246830934210758,12.696618265703671,0.7527214884476817
41,11.55,11.55,11.16,11.36,5743802,11.81,11.91,,,11.203721761501246,12.64450127155943,0.7268128107014188
42,11.54,11.68,11.44,11.62,5320442,11.71,11.93,,,11.246581898171936,12.64450127155943,0.6977547527941746
43,11.91,12.08,11.68,11.945,4701586,11.72,11.93,,,11.332847734597504,12.645843852716725,0.6807722704517337
44,12.41,13.1,12.25,13.06,4898949,11.88,11.95,,,11.3348939942145,12.697320211648233,0.7146456797051812
45,12.86,12.95,12.57,12.6,3668902,11.91,11.99,,,11.337496919448638,12.763526462018818,0.6985995597262398
