,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,154.09,156.72,146.0,149.35,10323705,,,,,,,10.719999999999999
1,151.34,153.43,148.37,153.04,6676563,,,,,,,10.315714285714286
2,152.44,154.0,144.44,145.23,6984576,,,,,144.09325035890666,156.6506760599565,10.261734693877552
3,147.02,154.0,145.99,153.92,4836888,,,,,144.08915746270603,154.17199861878183,10.155182215743443
4,150.8,154.35,149.5475,151.41,4904431,,,,,143.77862031730282,154.3389465203046,9.772847771761768
5,149.59,154.74,147.87,153.66,5972724,,,,,145.84481867059526,154.77053148329634,9.565501502350214
6,146.59,149.46,143.55,144.11,7304359,,,,,143.58548828573328,156.08652452485688,9.604394252182342
7,149.02,153.38,144.882,153.31,4689823,,,,,143.0005056235939,155.5422988281435,9.58050894845503
8,149.73,149.73,146.47,147.25,4012726,150.14,,,,143.35927729782543,153.265047104499,9.384758309279672
9,139.96,141.71,130.34,133.6,7562845,148.39,,,,130.7852494520005,154.8401245081259,9.922275572902551
10,141.01,141.69,131.0,141.68,5563692,147.13,,,,125.89575523725279,149.47641345776657,9.97711303198094
11,129.86,135.5,128.01,130.89,6174822,145.54,,,,128.0554460877832,143.57087753414356,10.24089067255373
12,131.94,136.77,129.61,134.53,5861058,143.38,,,,127.89414854862244,141.5830498961535,10.020827053085606
13,128.46,137.85,128.39,137.53,5353919,141.84,,,,127.75046316006278,138.0005740564494,9.980767977865208
14,137.71,140.18,132.93,137.69,5730648,140.07,,,,127.72549153609404,140.1837092674803,9.785713122303408
15,138.07,139.24,122.71,124.89,8311613,137.93,,,,122.37735550562599,140.3794421274338,10.267447899281736
16,128.16,128.4,114.04,117.8601,7270366,133.99,,,,112.82551469521007,143.14139680895317,10.55977304933304
17,122.29,133.45,121.0,132.59,8132944,132.36,,,,114.19848428686971,139.66329555853972,10.919067831523536
18,133.15,134.69,126.8,131.54,6896152,132.13,,,,113.58567331499611,135.84494843074236,10.70270584355757
19,131.79,136.38,130.61,135.98,5528061,131.5,140.5,,,120.8135265845971,136.4578229198528,10.350369711874885
20,132.83,137.07,130.91,133.17,3567702,131.75,139.69,,,126.91965538070643,137.3936315263918,10.051057589598107
21,132.25,138.01,131.06,137.81,3291756,132.12,138.93,,,130.60795833677312,138.0533412962617,9.829553476055384
22,135.69,139.44,135.68,136.51,2997548,132.0,138.5,,,129.56713342571237,139.48608705484187,9.396013942051429
23,132.0,135.835,131.01,133.31,3084194,131.52,137.47,,,129.63323395647572,139.75847977342815,9.117727231904897
24,132.36,138.21,132.1,137.955,2890290,132.97,136.79,,,130.24255344239137,139.84414398499052,8.90288957248312
25,136.01,137.435,132.9,133.8,3003884,134.74,135.8,,,130.95976238062545,138.49226076651723,8.628040317305757
26,137.86,141.25,136.9,140.69,3917839,135.64,135.63,,,131.1378624434416,141.183096199447,8.543894580355346
27,147.5,150.6399,144.395,144.74,4438540,137.11,135.2,,,131.64608056211932,150.5836320498625,8.644323538901393
28,145.73,149.7231,143.91,148.99,2487175,138.55,135.29,,,137.12132605725083,152.89896593943132,8.442093286122722
29,148.46,149.73,146.54,147.86,4152807,140.18,136.0,,,143.40878191056876,150.61106756942723,8.066943765685386
30,147.5,148.579,145.3,146.4,2139393,141.14,136.24,,,143.80271599193415,150.0728353455661,7.724947782422144
31,149.62,150.98,148.05,150.1,2665689,142.65,137.2,,,145.11507194890208,151.0839241348394,7.500308655106275
32,148.19,148.55,144.9,145.21,2535537,143.97,137.73,,,144.19695894490016,150.90379811583733,7.336000894027255
33,145.27,146.445,143.23,144.86,2811474,144.74,138.1,,,142.70099859683853,151.15471743505617,7.041643687311023
34,147.44,148.495,144.8,146.41,4075751,146.14,138.53,,,143.27969276426725,149.14973643202015,6.80259770964595
35,144.75,147.02,143.65,143.66,2340819,146.47,139.47,,,142.9992604429399,148.48315572904116,6.557412158956954
36,142.25,142.77,140.5038,141.63,1803526,146.12,140.66,,,140.53814423894426,149.36472571479646,6.31446843331717
37,143.36,144.13,141.71,143.59,1888422,145.52,141.21,,,140.20857201316738,147.0274561776086,6.042006402365945
38,144.58,147.58,143.88,144.26,2010603,145.12,141.85,,,140.14930495501144,147.5541417505739,5.8954345164826645
39,145.17,147.34,144.31,146.98,1857877,145.19,142.4,,,141.76696934146665,148.4689495038819,5.694332051019618
40,148.0,154.49,147.89,153.6472,3939663,145.58,143.42,,,142.93827561435998,154.26993386766978,5.824022618803933
41,160.03,163.08,155.2,157.53,7419013,146.95,144.41,,,143.02784446401765,163.6390678276272,6.08179243174651
42,158.54,160.22,155.17,156.25,3381622,148.22,145.39,,,148.12035671636897,164.0749291531559,6.008092972336046
43,154.31,154.94,151.75,151.8,2678882,148.82,146.32,,,151.85841960954787,163.95580505403052,5.900372045740614
44,149.3,150.04,147.73,148.6,2605885,149.37,146.85,,,147.4535669174262,160.66696677767268,5.769631185330572
45,148.54,148.555,146.06,148.45,1965979,150.12,147.58,,,145.29609502488648,154.8537012174144,5.538943243521245
46,149.89,150.0,147.1,147.31,2056431,150.54,147.91,,,146.03565217402397,150.46232669231236,5.350447297555442
47,147.79,148.17,145.988,146.2,1666705,150.75,147.99,,,145.69816844655395,149.96962433175693,5.124129633444338
48,147.7,147.85,144.9,145.75,2423636,150.62,147.82,,,144.7859760002363,149.94934913783382,4.968834659626884
49,147.08,149.175,146.38,148.45,1869369,150.04,147.85,143.24,,144.9125302139353,149.1588529473704,4.858560755367821
50,147.82,147.96,145.59,145.72,1999223,148.73,147.82,143.17,,144.80871419942022,149.13715753137342,4.71580641569869
51,146.55,147.22,141.46,141.46,2551928,147.08,147.39,142.94,,141.5702440660566,149.2041109732464,4.790391671720212
52,140.71,140.73,135.0,136.2,3927515,145.35,146.94,142.75,,134.81202902054764,149.6789880652947,4.909649409454484
53,135.0,136.07,131.12,136.006,5434222,143.95,146.5,142.4,,130.1142923847448,147.4999705356441,4.921817308779163
54,134.53,138.87,134.2,138.67,5163251,142.86,146.11,142.14,,131.1865297871946,141.1369893855019,4.9038303581520815
55,143.16,149.72,142.515,149.27,5138129,143.08,146.39,142.05,,129.46103649377926,149.4840841384801,5.342842475426934
56,148.5,151.65,147.37,148.36,3755401,143.32,146.73,142.14,,134.03531501094216,154.32491094442227,5.266925155753582
57,149.87,151.43,148.83,149.66,3000307,143.76,147.03,142.07,,142.60162148286472,152.09550472057992,5.110001930342611
58,147.74,148.64,145.34,145.83,2276476,143.46,147.11,142.04,,145.25198521789753,152.4190511702019,5.0535732210324245
59,145.74,146.62,144.6,146.49,2137272,143.55,147.08,142.3,,143.77168088535146,151.55344184220093,4.8368894195301095
