,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,164.89,166.51,159.76,165.72,1818758,,,,,,,6.75
1,166.81,173.55,166.17,173.49,1290810,,,,,,,6.827142857142858
2,174.28,178.6,171.63,175.01,1214681,,,,,,,6.837346938775512
3,177.28,182.43,176.67,182.25,887296,,,,,160.5657880275876,182.8417596456545,6.878965014577262
4,178.65,181.2796,178.02,180.64,1025642,,,,,167.19422198273395,183.31043595563696,6.689753227821742
5,175.94,176.96,172.4024,176.01,1329966,,,,,171.2250320781672,182.55715127795705,6.80031371154876
6,165.28,170.79,162.0301,165.95,1523577,,,,,164.31555317460564,183.66380148865,7.313141303580991
7,169.72,170.775,162.92,170.76,1516945,,,,,160.36089115161482,180.59019804621903,7.351845496182351
8,166.72,167.3775,159.42,161.11,1024652,172.33,,,,157.9552280339792,175.8680079968054,7.63671367502647
9,150.49,152.87,136.01,141.37,2144273,169.62,,,,141.00429997395216,174.8481562940205,8.884091269667438
10,149.71,154.99,144.23,154.93,1653886,167.56,,,,136.68739565684714,171.28895466244006,9.222370464691192
11,138.58,150.1,138.47,145.24,1763755,164.25,,,,132.97610998191914,164.72681223880568,9.739344002927535
12,148.39,157.08,144.1801,149.32,1543851,160.59,,,,136.16320672222824,157.04302858145752,9.965098002718426
13,142.82,148.985,136.29,148.3,1059730,157.0,,,,136.34879944088968,157.04705344493755,10.184019573952824
14,147.94,154.81,145.95,149.71,973206,154.08,,,,136.18159305990295,156.96551831779848,10.08944674724191
15,148.65,150.08,132.79,136.59,2315268,150.81,,,,132.8900671613324,156.96558110961,10.603771979581776
16,135.82,136.445,120.77,124.79,1787570,145.71,,,,122.50905516722219,156.2060657602409,10.976359695325936
17,129.11,136.6,127.44,130.66,1705511,142.32,,,,119.99516143748764,154.816813553266,11.035905431374083
18,130.47,135.68,129.51,133.65,2011364,141.47,,,,122.04540461236418,147.32517901085143,10.688340757704507
19,135.42,149.69,134.48,148.97,1319322,140.8,155.72,,,121.80007013372695,147.01355087873497,11.070602132154185
20,144.91,145.79,133.58,135.32,1547944,139.7,154.2,,,127.58186768617016,149.52357264091282,11.379130551286028
21,135.94,136.68,130.19,133.36,1885023,137.93,152.2,,,129.23744528270035,149.52094584030337,11.029906940479885
22,133.05,134.93,130.39,132.94,2121776,136.22,150.09,,,129.74896661159605,149.59154458677668,10.566342159017038
23,128.22,129.36,123.56,126.1,2034967,133.6,147.29,,,124.7987256613327,144.19467156731963,10.481603433372964
24,125.6,130.96,124.74,130.38,933089,132.91,144.77,,,123.28371079992021,136.7223530608394,10.17720318813204
25,129.75,131.587,125.97,126.62,1015983,133.11,142.3,,,122.88305885691642,134.28651711637926,9.851474388979751
26,132.1,141.88,131.55,140.845,1446804,134.24,141.05,,,122.5650571983642,139.71655144203172,10.237797646909769
27,144.97,148.31,142.25,142.33,1214803,135.21,139.63,,,122.34382091603987,147.42911309376737,10.039740672130499
28,144.1,149.52,143.44,147.77,866972,135.07,138.96,,,126.49761231036798,151.85260605684488,9.83618776697832
29,149.24,153.47,147.591,152.88,1029126,137.02,139.54,,,133.69097850093434,153.58696803341303,9.55353149790844
30,150.3,152.66,145.1101,146.25,629363,138.46,139.1,,,142.05153728649185,153.70550768733915,9.426129248057839
31,149.28,153.21,149.04,152.76,673515,140.66,139.48,,,143.54383410560337,154.22593518874447,9.249977158910852
32,149.71,150.64,147.86,148.7,606782,143.17,139.45,,,145.58373979288405,153.90513249968367,8.939264504702932
33,148.87,153.2,148.19,152.74,636438,145.66,139.67,,,145.67906414800663,153.76845895413098,8.658602754367008
34,155.72,157.95,154.695,157.78,859902,149.12,140.07,,,146.42116795899247,157.104921857013,8.412273986197937
35,156.11,159.145,155.0151,155.34,691925,150.73,141.01,,,147.09745008569408,159.62983265722596,8.106390130040943
36,152.21,153.1,144.35,144.71,1274629,150.99,142.01,,,144.84227413824934,159.31866559395365,8.312362263609447
37,148.29,152.15,146.39,151.575,693192,151.42,143.05,,,144.01775049872768,159.40950930707857,8.25005067335163
38,153.11,154.74,151.1108,153.6,1107350,151.5,144.05,,,143.9454943408792,158.19162437109458,7.919989910969371
39,154.59,154.75,151.59,152.79,643360,152.22,144.24,,,144.44729108288982,155.09736173364462,7.579990631614415
40,153.78,155.96,152.82,154.44,449996,152.41,145.2,,,147.37722896853813,156.1661994979796,7.264991300784815
41,155.77,156.23,145.22,145.54,1981661,152.06,145.8,,,146.45894395311674,156.28590800126977,7.532491922157328
42,147.0,150.03,145.0,149.07,1575012,151.65,146.61,,,144.1167655972115,157.4117394855333,7.35374249914609
43,148.36,148.38,143.56,143.81,1051084,150.1,147.5,,,142.05343882161168,157.08968685081848,7.222046606349941
44,141.5,143.14,138.46,138.74,979400,148.25,147.91,,,139.590829493957,155.37771992147486,7.088328991610659
45,138.73,141.22,137.01,141.15,1146277,147.86,148.64,,,136.75076648120907,150.29654317783107,6.88273406363847
46,141.91,143.47,140.655,140.8,854334,146.66,148.64,,,136.78483390900834,147.40838799723713,6.592181630521437
