,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,213.19,214.31,206.04,209.94,479159,,,,,,,8.27000000000001
1,211.44,212.66,200.0,201.51,637091,,,,,,,8.583571428571439
2,204.5,206.73,200.0,201.29,664329,,,,,,,8.451173469387765
3,199.63,201.6505,191.05,195.5,814257,,,,,,,8.604696793002924
4,189.12,200.16,187.5,196.58,804655,,,,,,,8.89436130778843
5,184.62,187.4,180.05,182.27,908925,,,,,,,9.439764071517828
6,174.0,183.94,170.64,177.71,1822363,,,,,,,9.715495209266557
7,172.5,175.95,154.55,155.4601,1685016,,,,,,,10.675816980033233
8,147.84,149.73,125.0,145.25,1640471,185.06,,,,,,12.088980052888001
9,154.68,171.56,150.96,169.83,845436,180.6,,,,,,13.10476719196743
10,140.01,172.13,135.005,153.71,1044075,175.29,,,,,,14.820498106826898
11,155.17,166.495,150.1164,161.69,925506,170.89,,,,,,14.931791099196406
12,149.1735,162.61,141.275,161.77,801254,167.14,,,,,,15.389163163539521
13,154.84,165.99,146.89,160.25,846850,163.1,,,,,,15.654222937572415
14,163.94,168.665,142.25,144.46,1151907,158.9,,,,,,16.422849870602956
15,147.0,147.615,135.0,141.82,817073,154.92,,,,,,16.15086059413132
16,151.02,156.94,141.0,142.51,702283,153.48,,,,,,16.13579912312194
17,145.79,163.44,143.26,152.16,1313901,154.24,,,,,,16.478242042898945
18,154.14,156.57,146.08,149.9,862160,152.03,,,,,,16.050510468406163
19,145.23,157.58,143.66,155.65,544900,152.25,167.96,,,108.89080787084355,218.114765715036,15.898331149234295
20,154.78,154.78,147.535,148.96,568071,150.83,164.91,,,110.74938763658984,212.06422056454377,15.342378924288989
21,148.29,154.055,147.06,147.7,720581,149.27,162.22,,,112.78121459123946,205.2332337170493,14.746137572554062
22,142.11,147.99,139.01,141.33,680920,147.17,159.23,,,115.45983558583333,199.10500428306003,14.334270603085917
23,137.43,143.79,135.5,139.58,521807,146.62,156.43,,,117.56274903324686,193.45111399633072,13.902536988579781
24,139.5,140.64,129.52,131.92,613749,145.52,153.2,,,119.83182078610672,187.03172826212943,13.703784346538367
25,139.16,148.805,137.43,141.03,862867,145.36,151.13,,,123.52469849237018,182.5421867059269,13.931014036071343
26,150.0,155.54,145.01,150.58,654468,145.18,149.78,,,127.08394849704685,178.07477143518503,13.97237017635196
27,152.465,159.9734,151.43,157.72,422485,146.05,149.89,,,127.439332028275,175.46131409942828,13.645300878041105
28,162.0,168.48,160.09,164.7,517908,147.06,150.86,,,129.18438407066796,176.69785135323104,13.439207958181028
29,164.0,164.0,154.26,154.88,276325,147.72,150.12,,,128.91041270052065,175.45856877038077,13.224978818310955
30,160.32,161.77,157.72,160.63,498663,149.15,150.46,,,129.33725967373238,173.73771784822304,12.772480331288746
31,156.39,161.36,154.825,160.23,262141,151.25,150.39,,,129.08701938950693,173.02994895402884,12.326946021910981
32,161.1,161.1,150.37,151.12,497428,152.53,149.86,,,129.46287059529013,172.8575354153155,12.21287844891734
33,158.47,163.04,155.05,162.72,475563,155.96,149.98,,,129.30189783585413,172.4090441633462,12.191958559708958
34,159.0,160.54,157.09,157.71,316453,157.81,150.64,,,129.3947564847732,171.0997136388257,11.723247234015462
35,154.69,156.15,146.92,150.33,293604,157.78,151.07,,,130.87433515243038,170.9362611593759,11.656586717300074
