,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,57.72,58.83,55.54,55.93,2072845,,,,,,,3.289999999999999
1,56.37,58.07,55.71,58.0,1547544,,,,,,,3.223571428571428
2,56.36,57.17,55.4,55.87,1690144,,,,,,,3.1790306122448975
3,53.72,54.99,53.13,54.78,1710407,,,,,,,3.147671282798833
4,50.6,52.43,49.82,49.82,2647653,,,,,,,3.277123334027488
5,51.54,53.0,49.58,52.98,2507287,,,,,,,3.2873288101683817
6,51.14,52.11,48.98,49.51,3992872,,,,,,,3.3382338951563546
7,46.7,49.06,44.67,44.85,3527809,,,,,,,3.4455029026451864
8,47.74,49.06,44.44,48.56,3599060,52.26,,,,,,3.5293955524562453
9,43.32,49.02,42.49,42.5,6757214,50.76,,,,,,3.743724441566514
10,43.47,49.0,41.93,48.1575,4352838,49.67,,,,,,3.9813155528831916
11,44.38,46.9654,42.42,45.085,2427869,48.47,,,,,,4.106757299105821
12,44.73,47.12,43.2301,45.74,3733812,47.47,,,,,,4.091267492026834
13,46.07,46.6,43.78,44.12,3754302,46.83,,,,,,4.000462671167774
14,45.14,46.69,43.3615,45.84,3078489,46.04,,,,,,3.9524653375129333
15,47.7,48.69,46.67,48.05,4266477,45.88,,,,,,3.8737178134048667
16,47.85,50.73,46.2,48.61,3216723,46.3,,,,,,3.9205951124473755
17,49.21,50.43,48.42,50.22,3268404,46.48,,,,,,3.7841240329868486
18,48.42,49.44,47.5,47.67,1998408,47.05,,,,,,3.7081151734877884
19,48.51,50.09,47.6168,49.91,3499036,47.25,49.31,,,38.486096607183754,58.46172379136971,3.6199069468100897
20,49.34,50.21,48.18,48.66,1855771,47.65,48.95,,,38.923586481211316,57.05568266109154,3.5063421648950834
21,47.3,48.21,45.46,46.02,1512194,47.68,48.35,,,39.43255592729561,55.58278486663148,3.4844605816882916
22,45.46,47.89,45.32,47.69,2059215,48.07,47.94,,,40.19870001938671,54.05995834841784,3.419141968710557
23,47.38,48.82,47.2,48.64,2519487,48.39,47.63,,,40.84685399961583,52.96421237902248,3.290631828088374
24,50.69,53.86,50.0,53.43,6647382,48.98,47.81,,,40.8254128123689,53.33635054509456,3.428443840367776
25,54.9,55.59,51.57,51.72,6057170,49.33,47.75,,,40.55243078786746,54.08525700782044,3.470697851770078
26,52.31,53.5,51.56,53.32,2219079,49.67,47.94,,,40.27255246522485,54.359300704982466,3.361362290929358
27,53.33,54.43,51.31,51.79,2330048,50.13,48.29,,,40.20497996763482,55.09016777720393,3.344122127291547
28,51.43,52.555,51.43,52.23,2570576,50.39,48.47,,,40.24837234061169,55.38943358239003,3.1856134039135795
29,53.13,53.73,52.37,53.15,7355790,50.89,49.0,,,40.616075293067944,55.85257326575014,3.065212446491181
30,52.3,52.4,51.04,52.12,4828069,51.57,49.2,,,41.37182015351464,56.07166596684405,2.9969829860275254
31,52.82,53.07,51.31,52.51,18540263,52.1,49.57,,,42.14533926989428,56.25499134448137,2.9086270584541305
32,53.97,54.4,52.71,53.08,10873569,52.59,49.94,,,42.7678800819387,56.58444810413916,2.835867982850264
33,52.65,52.65,51.6,51.82,9308921,52.42,50.32,,,43.491801064722026,56.50608117044779,2.7390202697895307
34,51.14,51.28,50.04,50.38,6420329,52.27,50.55,,,44.50227460944434,56.24174344797024,2.6705188219474216
35,51.58,52.45,51.17,52.385,10111499,52.16,50.77,,,44.83894745871438,56.234209682962714,2.6276246203797484
36,52.18,53.58,52.18,52.43,6967926,52.23,50.96,,,45.28834870281274,56.4165986193496,2.539937147495481
37,52.86,53.795,52.13,53.66,10483038,52.39,51.13,,,45.42617324407759,56.60047036468851,2.4774416369600893
38,53.99,55.375,53.5,55.15,8214357,52.62,51.5,,,45.654823738138575,56.94184656012755,2.4344100914629405
39,55.5,56.88,54.95,55.05,3923280,52.94,51.76,,,45.79353235610654,57.56217883348194,2.398380799215588
40,56.51,57.68,55.15,57.4,3575820,53.48,52.2,,,45.92786819885448,58.258565085030504,2.4149250278430463
41,56.82,56.97,54.82,54.97,5289328,53.69,52.65,,,46.872754476460734,58.42586954113028,2.4267160972828288
42,53.74,54.0,51.96,52.07,2120730,53.72,52.87,,,48.240060397392256,57.94195915725665,2.468379233191198
43,52.01,52.105,50.765,51.6,4116528,53.86,53.01,,,49.09797224007301,57.47012891068818,2.387780716534684
44,51.95,53.34,51.72,52.73,1655590,53.9,52.98,,,49.34137115031487,57.456842648041935,2.3415106653536353
45,53.57,53.625,52.785,52.87,2856938,53.94,53.04,,,49.40367332438692,57.27801449948528,2.238188474971233
46,53.61,53.86,52.7,52.84,2536714,53.85,53.01,,,49.47119865331505,57.29109405638886,2.161175012473288
47,53.08,54.16,52.9,54.13,1322510,53.74,53.13,,,49.57663092058651,57.27098301981246,2.10109108301091
48,53.89,54.99,53.34,54.59,4474552,53.69,53.25,,,49.67563456478475,57.36473198952421,2.0688702913672734
49,54.89,55.425,54.07,54.07,2210805,53.32,53.29,51.17,,49.66941927876697,57.504261881722485,2.017879556269611
50,54.44,54.62,52.4,53.0,5288654,53.1,53.34,51.12,,49.824044621961676,57.525162819110875,2.0323167308217815
51,52.22,53.4,51.65,53.37,3181218,53.24,53.38,51.02,,49.87045105153875,57.52091775038837,2.012151250048797
52,51.97,52.94,51.65,52.06,3087611,53.3,53.33,50.95,,49.783616891045874,57.496374288579304,1.99128330361674
53,53.22,55.44,53.22,55.11,1890882,53.56,53.49,50.95,,49.88972472104119,57.603891909703435,2.090477353358401
54,55.07,56.02,54.88,55.05,1916032,53.8,53.73,51.06,,50.25072476269408,57.60171086476728,2.0225861138328014
55,56.24,57.51,56.15,56.99,3555062,54.26,53.96,51.14,,50.25781608691741,57.964096599296944,2.0538299628447443
56,56.72,56.97,55.44,55.67,1773729,54.43,54.12,51.26,,50.285564171257164,58.22316334517582,2.0178421083558344
57,55.77,56.22,55.31,56.13,1046163,54.61,54.24,51.49,,50.37203080390688,58.34310470761136,1.9387105291875604
58,57.17,58.685,57.1,58.21,3136778,55.07,54.4,51.68,,50.15149738648526,58.885890922164215,1.982731205674163
59,57.61,58.86,56.65,57.57,1486097,55.57,54.52,51.98,,50.02685801391093,59.2687978295061,1.9989646909831515
60,57.5,57.885,56.27,56.55,2095474,55.93,54.48,52.15,,49.9608678458714,59.3057276419967,1.9715386416272118
61,56.73,57.86,56.21,57.77,1410563,56.56,54.62,52.4,,49.90319696416789,59.445801689078756,1.9485715957966965
62,57.28,58.185,57.27,57.87,1364892,56.87,54.91,52.65,,49.99616814907955,59.78187745369157,1.8747450532397896
63,57.93,58.74,57.5,58.71,2681506,57.27,55.26,52.94,,50.38820485631307,59.99545121175663,1.829406120865519
64,60.0,61.35,59.78,60.54,2147236,57.67,55.66,53.23,,50.36073945733323,60.87015133068028,1.8873056836608393
65,60.31,61.0,59.8,60.54,1958892,58.21,56.04,53.48,,50.31764612279103,61.502151527389735,1.8382124205422081
66,62.0,62.72,61.16,61.3,3452002,58.78,56.46,53.73,,50.22117428873355,62.44861428586515,1.8626258190749077
67,61.4,61.93,60.71,61.145,3404180,59.11,56.81,53.95,,50.32416343335934,63.049463543535246,1.8167239748552713
68,60.93,61.02,60.31,60.69,2453944,59.46,57.12,54.21,,50.51464372853034,63.42343852900261,1.7466008337941805
69,60.72,61.33,59.9,59.95,1763525,59.84,57.41,54.41,,50.710039911089325,63.80503410525557,1.7239864885231677
70,59.5,59.775,56.92,57.03,4568358,59.75,57.61,54.58,,51.285016979316524,63.85504175923597,1.81727316791437
71,58.6,58.91,57.45,57.47,472730,59.71,57.82,54.81,,52.14591598657629,63.60059286990991,1.821753655920486
72,56.22,58.29,55.9346,58.28,1706541,59.66,58.13,55.02,,53.03127672021908,63.077216543679825,1.8598712519261655
73,60.0,60.97,58.98,59.88,2242384,59.59,58.37,55.25,,53.74003009837581,63.10204061998938,1.9191661625028678
74,60.42,60.9,59.86,60.32,1593836,59.56,58.63,55.39,,54.10791338877927,63.10810094784639,1.8563685794669487
75,60.39,60.76,60.04,60.56,2848751,59.48,58.81,55.56,,54.289059014159946,63.19455288319823,1.7751993952193095
76,61.41,61.48,59.99,60.44,4166637,59.4,59.05,55.7,,54.650709097533515,63.28317118991547,1.7548280098465014
77,60.07,60.75,59.09,60.59,1124916,59.39,59.27,55.88,,55.118975984810646,63.07402536957501,1.7480545805717511
78,61.25,62.19,61.125,61.52,1744127,59.57,59.44,56.07,,55.206969327586535,63.31725341796646,1.7374792533880543
79,61.28,61.58,59.78,59.9,1606003,59.88,59.55,56.2,,55.47902190261515,63.435821853881315,1.741945021003193
80,59.68,60.31,58.97,60.17,1610925,60.18,59.73,56.36,,55.84618833745434,63.3234451570254,1.713234662360108
81,59.88,60.18,58.94,59.2,1482338,60.29,59.81,56.5,,56.27157563909842,63.15875713576146,1.6794321864772435
82,59.29,59.765,58.61,59.595,1261618,60.26,59.89,56.63,,56.46458715405022,63.00688702279419,1.641972744586012
83,59.79,60.88,59.49,60.58,1685972,60.28,59.98,56.8,,56.68704236560511,62.92237107604178,1.623974691401297
84,60.44,60.53,59.65,59.67,1074023,60.18,59.94,56.99,,56.68442398192958,62.86861682386104,1.5744050705869186
85,60.22,60.98,60.22,60.41,1161066,60.18,59.94,57.15,,56.68336857215337,62.86716274332859,1.555518994116424
86,61.7,62.1975,61.24,61.98,1752964,60.34,59.97,57.34,,56.675791032344215,62.749719608643886,1.572089065965251
