,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,103.0,110.35,103.0,110.09,1096566,,,,,,,7.349999999999994
1,110.74,114.07,109.13,110.07,1167138,,,,,,,7.177857142857137
2,112.17,116.55,110.5,116.37,1062313,,,,,,,7.128010204081629
3,112.57,114.59,111.5909,114.16,2115412,,,,,,,6.960230903790084
4,110.87,112.29,107.67,110.48,1135638,,,,,,,6.926642982090792
5,102.72,108.42,102.46,105.68,1319558,,,,,,,7.004739911941451
6,108.32,108.79,102.195,104.64,1805211,,,,,,,6.975472775374206
7,101.86,101.96,97.79,99.29,3267600,,,,,,,6.9665104342760475
8,91.43,93.32,88.3,88.49,1645642,106.59,,,,,,7.253902546113473
9,93.15,96.37,85.715,96.05,1513332,105.03,,,,,,7.496838078533939
10,87.0,92.78,83.35,85.34,2588992,102.28,,,,,,7.868492501495801
11,87.47,95.88,87.0,95.05,1592391,99.91,,,,,,8.059314465674673
12,90.44,95.4906,89.15,91.77,1672541,97.42,,,,,,7.93654914669791
13,91.77,92.6,85.52,87.99,3335380,94.92,,,,,,7.875367064790916
14,89.82,89.82,79.67,80.4,1929871,92.11,,,,,,8.037840845877279
15,80.57,80.57,71.66,72.88,1672235,88.58,,,,,,8.100137928314616
16,76.91,83.19,76.39,82.99,1728654,86.77,,,,,,8.257985219149287
17,82.99,91.02,82.28,86.81,1747744,86.59,,,,,,8.292414846352909
18,88.05,96.09,88.05,93.82,1375682,86.34,,,,,,8.362956643041986
19,90.04,95.44,89.28,92.82,1012182,87.17,96.26,,,68.44219849770698,120.8629407266259,8.205602597110417
20,94.03,99.83,92.81,99.43,2392422,87.66,95.73,,,68.4388473133377,119.71970137325943,8.120916697316815
21,99.52,100.4,94.575,94.94,1252630,88.01,94.97,,,69.07441517949991,117.80462583913412,7.956922647508471
22,90.12,93.285,90.0,92.31,973037,88.49,93.77,,,69.97049803081056,114.73589631061105,7.741428172686438
23,92.05,94.45,90.33,93.91,954738,89.99,92.75,,,71.55331611227567,111.70913476863323,7.482754731780264
24,94.53,95.915,93.57,95.29,754687,92.48,91.99,,,72.95109871941973,108.90647586343007,7.115772250938818
25,99.89,102.27,98.0701,101.6,1596698,94.55,91.79,,,73.45367645101769,107.59075068938449,7.106074233014617
26,104.72,107.11,100.22,100.94,1865156,96.12,91.61,,,73.72314452778022,107.13638279393082,7.0906403592278595
27,101.97,104.81,101.23,104.14,623534,97.26,91.85,,,73.34299899832922,107.68487423978303,6.860594619283013
28,104.78,108.59,104.78,107.92,648170,98.94,92.82,,,72.46791444652183,109.78558344967031,6.688409289334227
29,105.29,106.99,102.67,103.38,1476121,99.38,93.19,,,72.36340449755659,111.18746077443424,6.585665768667496
30,105.65,107.88,104.27,107.53,2530601,100.78,94.3,,,72.61536694181771,112.69885368434086,6.436689642334104
31,106.11,108.11,104.61,106.06,2256487,102.31,94.85,,,72.65384201334379,114.05237387271336,6.226926096453097
32,106.89,108.93,106.5,108.31,2523120,103.91,95.67,,,72.5190126750317,115.43218334607153,5.987145660992161
33,111.1,111.81,109.38,111.28,1957683,105.68,96.84,,,72.73858179091947,117.17105462853425,5.809492399492721
34,109.77,110.88,108.76,109.78,2081265,106.59,98.31,,,74.346028187666,118.34735554156649,5.574528656671813
35,107.72,108.855,104.76,105.36,3096535,107.08,99.93,,,78.8631939106298,117.50832205449423,5.534919466909541
36,108.5,108.5,102.8,105.06,3343988,107.19,101.03,,,82.87604541098102,116.35681591991467,5.54671093355886
37,106.97,106.97,102.82,103.71,3288692,106.72,101.88,,,85.79874186301338,115.97540357981558,5.446945866876084
38,104.77,105.75,102.97,105.63,1772721,106.97,102.47,,,87.58013763121201,115.9129867601042,5.256449733527792
39,107.11,111.89,107.0,111.68,1595377,107.43,103.41,,,89.23416888428972,116.40615568868269,5.3281318954186645
40,113.53,114.42,110.651,111.21,894086,108.0,104.0,,,90.06996826016737,117.56425904488674,5.216765331460189
41,112.75,113.23,111.22,111.59,729212,108.37,104.83,,,90.76114012865119,118.3445733932774,4.988424950641605
42,108.75,111.14,108.3219,109.67,1126878,108.19,105.7,,,93.07762636618298,117.60830780712912,4.865544597024347
43,107.0,107.54,105.83,106.66,618466,107.84,106.34,,,95.90093247985679,116.23159427402747,4.7922914115226085
44,105.81,106.63,104.375,106.13,1211358,107.93,106.88,,,98.1450992880798,114.49213556527762,4.613199167842422
45,107.54,109.475,105.94,108.89,887704,108.35,107.25,,,99.36763067975559,114.04212651184457,4.536184941567963
46,109.77,109.77,105.6,105.625,1282068,108.56,107.48,,,100.15751014324982,114.10814640854997,4.510028874313108
47,106.75,109.22,106.45,107.33,1092454,108.75,107.64,,,100.83159253070366,113.90113827667676,4.444669669005029
48,109.21,109.2858,107.08,107.56,829204,108.3,107.62,,,100.95721018922485,113.92282194613671,4.284750406933242
49,105.98,109.95,105.85,109.24,1159586,108.08,107.92,101.55,,101.37250318209637,113.93656121758855,4.2715539492951535
50,110.0,110.49,108.2,108.57,940694,107.74,107.97,101.52,,101.58981172493232,114.01810638116642,4.1300143814883565
51,108.52,110.3,107.45,108.83,1685148,107.65,108.11,101.49,,101.79325301236271,114.07545237442288,4.0385847828106165
52,107.35,109.67,107.25,109.47,1389012,107.96,108.16,101.35,,101.82227019184876,114.09547362720576,3.92297158403843
53,109.79,112.245,108.67,112.12,1869850,108.63,108.21,101.31,,101.86212147473147,114.16433942501526,3.898116470892828
54,114.92,115.91,113.86,114.9,675089,109.29,108.46,101.4,,101.17272646678195,115.18851570349518,3.890393865829054
55,114.2,115.986,112.42,112.63,556421,110.07,108.83,101.54,,101.1333416521509,116.14805908311025,3.8672228754126934
56,112.9862,115.605,112.9862,114.68,905556,110.89,109.31,101.74,,101.5035281175432,116.87165989908563,3.803492670026073
57,113.86,114.7,113.01,114.05,593430,111.61,109.82,102.04,,102.0429767876676,117.22280561493017,3.6525289078813534
58,114.08,115.79,113.83,115.37,336372,112.29,110.31,102.57,,102.6333297223221,117.49691872250025,3.5316339858898287
59,118.42,119.27,116.03,116.33,525887,113.15,110.54,102.98,,102.35992817980728,118.78727164291865,3.557945844040555
60,117.78,117.99,114.22,115.2,714895,113.86,110.74,103.58,,102.20879826894515,119.4058198151907,3.5730925694662297
61,116.33,117.65,115.57,116.27,1274380,114.62,110.98,104.0,,101.95271349064102,120.01951425531384,3.4928716716472135
62,116.32,118.83,115.701,118.42,626127,115.32,111.41,104.53,,101.89348110487009,120.89219538505911,3.4668808379581275
63,119.3,119.865,117.25,118.89,718276,115.76,112.03,105.15,,102.1058482592348,121.69236961247574,3.406032206675404
64,119.25,119.8,118.28,119.27,802942,116.5,112.68,105.93,,102.66659906836098,122.16558709700831,3.2713156204843035
65,119.97,120.725,118.34,119.332,615273,117.01,113.2,106.86,,103.12223507524436,122.93903680983416,3.2080073618782814
66,119.1,119.37,116.44,117.89,1016076,117.44,113.82,107.56,,103.96931334280197,123.33998044979394,3.1881496931726905
67,119.54,120.25,115.33,119.97,1865132,117.95,114.45,108.22,,104.81465581330136,123.69870947191376,3.3118532865174983
68,119.37,121.61,119.27,121.2533,1460252,118.5,115.13,108.77,,105.42991432985443,124.13673439595493,3.2424351946233916
69,120.36,121.16,119.15,120.14,1373522,119.05,115.68,109.32,,106.57064482019769,124.38204378291952,3.1610683950074345
70,119.57,120.84,119.38,120.1,415619,119.47,116.26,109.73,,107.3346526472,124.46563604767208,3.0395635096497613
71,118.49,118.87,112.72,113.26,1433346,118.9,116.48,110.09,,108.35289907944143,124.08197533745391,3.349594687531921
72,115.46,115.89,114.52,114.58,119412,118.42,116.73,110.54,,109.79172280729672,123.19772663022029,3.2981950669939266
73,112.54,118.36,112.23,117.39,556887,118.21,117.0,111.01,,110.68896436682714,122.6854023017704,3.5004668479229313
74,118.69,120.0,116.09,118.41,482665,118.11,117.17,111.47,,110.85979114029452,122.77297549485453,3.529719215928436
75,119.07,119.67,117.905,118.14,387558,118.14,117.45,111.8,,111.2845383042901,122.786736362048,3.4036678433621192
76,117.74,119.39,116.71,119.32,1159807,118.07,117.68,112.17,,111.67115723401747,122.68259265815125,3.3519772831219683
77,120.28,122.1497,118.41,118.871,1168254,117.8,117.92,112.47,,112.07775529344148,122.71426436069335,3.3796717628989708
78,119.12,120.45,118.125,119.75,380401,117.76,118.14,112.7,,112.39890541470211,122.51704176506406,3.3043380655490444
79,120.22,120.88,118.285,118.6,498924,117.59,118.25,113.01,,112.45334417329522,122.64694610263344,3.25367106086697
80,118.23,118.32,115.07,115.28,488324,117.82,118.26,113.16,,112.58417373395321,122.6270534125275,3.273408842233615
81,115.0,118.99,114.66,118.68,452409,118.27,118.38,113.41,,112.465490359312,122.55389157163002,3.3488796392169284
82,118.12,118.34,115.41,115.83,465996,118.1,118.25,113.56,,112.43459008064585,122.57256515625515,3.343245379272863
83,117.4,117.68,116.18,117.61,616756,118.01,118.18,113.69,,112.38443518876883,122.6091939919074,3.2365849950390877
84,116.83,119.98,116.45,119.41,447492,118.15,118.19,113.88,,112.36490581460463,122.62135787532188,3.2575432096791532
85,119.6,121.61,118.84,120.76,542772,118.31,118.26,114.19,,112.33861670826624,122.75805456376324,3.2227186947020705
86,122.58,123.12,120.0,120.05,591644,118.44,118.37,114.49,,112.24606575369636,123.30091562757023,3.2153816450804946
87,121.49,122.5022,120.54,121.08,375989,118.59,118.43,114.84,,112.25287441022618,123.60773681581048,3.160868670431888
88,120.26,121.79,119.76,120.51,382801,118.8,118.39,115.14,,112.2232060596606,123.63455425263491,3.0800923368296105
89,120.95,122.28,120.46,121.7,454885,119.51,118.47,115.34,,112.13314646433335,123.79872622088142,2.9900857413417814
90,122.27,122.5,119.21,120.78,468337,119.75,118.5,115.53,,112.14065226802607,124.02580597282659,3.0115081883887975
91,121.3,123.0,120.17,122.84,386764,120.53,118.98,115.75,,112.78085401205529,124.38437330316525,2.9985433177895975
92,124.02,126.2221,122.94,123.0,543913,121.13,119.4,116.02,,112.8126229334435,125.13779279452274,3.025940223661769
93,122.99,124.8,122.9629,124.79,350978,121.72,119.77,116.38,,113.59839882273583,125.63298449694304,2.941023064828785
94,126.0,127.36,125.08,126.91,468563,122.41,120.2,116.8,,113.3332465258912,126.74417807262948,2.9145214173410143
95,126.54,127.2717,126.01,126.94,242876,123.17,120.64,117.16,,112.9066107247474,127.63232972938204,2.7964627446737986
96,127.7,129.1499,127.22,128.45,596056,123.99,121.09,117.62,,112.63349313312622,128.83086791608656,2.7545654057685276
97,128.33,131.67,128.3225,131.28,688558,125.19,121.71,118.09,,112.21638917238856,130.52118956110488,2.796917876785061
98,130.69,131.85,129.49,131.16,818756,126.24,122.28,118.57,,111.87547320987736,131.9745449794346,2.7657094570146987
99,133.01,135.315,131.5462,134.19,1163494,127.73,123.06,119.07,,111.44486990418207,134.1050286219414,2.8649444957993633
100,134.2,135.515,131.0,131.4,851118,128.68,123.87,119.52,,111.87485901491299,135.77152273869876,2.982805603242265
101,130.81,130.9797,129.05,130.6,772774,129.52,124.46,119.96,,112.83434201994312,136.285418603763,2.937605203010674
102,130.69,131.2,130.12,130.48,789605,130.16,125.2,120.38,,113.7644843110382,136.61897457064867,2.8049191170813392
103,129.56,129.96,127.4,128.18,641663,130.3,125.73,120.7,,114.87372526514223,136.51288226895105,2.824567751575528
104,128.77,131.54,128.52,131.09,712600,130.76,126.31,121.02,,116.07253795918025,136.72088051297445,2.862812912177275
105,129.61,130.375,128.67,129.96,485566,130.93,126.77,121.37,,116.90287189040946,136.81137774251457,2.831183418450328
106,130.7,131.35,129.01,131.32,491746,130.93,127.33,121.7,,117.61192913728175,137.0475656563365,2.796098888561019
107,131.84,132.394,129.95,130.34,450566,130.84,127.8,122.03,,118.29233991191207,137.26767457511443,2.770948967949519
