,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,143.34,159.59,142.5,159.42,1379474,,,,,,,17.090000000000003
1,161.06,161.94,153.05,159.26,658901,,,,,,,16.504285714285718
2,159.22,160.22,151.3,154.66,560982,,,,,,,15.962551020408167
3,157.53,161.615,155.66,161.11,459677,,,,,,,15.319154518950443
4,157.8,161.61,156.03,159.95,621531,,,,,,,14.623500624739698
5,155.0,158.78,152.67,155.87,601838,,,,,,,14.09896486582972
6,142.66,153.25,141.0001,146.96,765036,,,,,,,14.154031661127597
7,152.33,158.86,148.28,158.78,918647,,,,,144.37048706628588,162.2961977194653,13.993029399618482
8,153.99,156.43,146.49,147.91,1174748,155.99,,,,145.48506439317524,162.09895300369885,13.871384442502876
9,133.72,146.0,132.821,140.47,1091908,153.89,,,,140.1247297303122,162.37172978444363,13.9583569823241
10,148.58,149.62,136.84,145.42,828290,152.35,,,,137.5551131912793,161.46447157672526,13.874188626443807
11,128.69,137.43,118.23,118.94,1890478,148.38,,,,129.32381280059067,160.81902623202615,14.82531801026925
12,120.63,124.8,114.8,121.93,918715,144.03,,,,122.56322024405489,160.03378000597087,14.48065243810716
13,113.73,117.36,105.11,108.63,677812,138.32,,,,114.54798126087944,158.13194834100221,14.64774869252808
14,107.96,127.94,106.12,119.71,1675756,134.31,,,,108.7756439934208,155.1558622373003,15.160052357347501
15,123.47,128.41,113.5001,113.5001,614064,130.59,,,,106.56239250134809,149.62852563749942,15.14218433182268
16,111.75,115.36,105.33,111.76,569870,125.36,,,,104.30482254598066,143.38968648025065,14.777028308121059
17,120.19,128.56,118.51,128.56,724323,123.21,,,,104.3039952771051,139.61529864969071,14.921526286112412
18,129.82,137.88,123.52,133.99,677029,122.49,,,,106.16933850093437,135.37089850264044,14.881417265675811
19,135.0,140.39,133.12,139.79,467401,121.87,139.33,,,105.10386033537152,136.31733185896022,14.337744603841823
20,132.43,137.48,131.53,133.35,382838,123.47,138.03,,,105.60412064742147,138.45738287486716,13.903619989281694
21,135.38,139.0,132.2958,137.01,1008636,125.14,136.92,,,109.03237865903185,140.34569047967165,13.389375704333
22,136.17,140.18,130.01,131.66,493366,127.7,135.77,,,113.25226493269321,142.16349508908047,13.159420296880644
23,127.47,129.78,122.13,123.4,393535,128.11,133.88,,,115.10826611690041,142.2358799062846,12.900175989960598
24,122.73,124.5,119.59,122.64,414895,129.13,132.01,,,120.30980624931821,140.8703461879428,12.329449133534842
25,122.54,124.44,117.88,118.23,553309,129.85,130.13,,,120.11126179341943,141.07544612161018,11.917345623996638
26,124.55,131.58,123.35,130.44,1332474,130.06,129.31,,,120.07890699003677,140.16666488958953,12.01967807942545
27,138.09,139.79,133.57,134.13,1225756,130.07,128.07,,,120.06171393521383,140.00590310005504,11.828986788037918
28,137.78,141.25,134.65,139.61,462421,130.05,127.66,,,119.99633571749825,140.92950831550783,11.492630588892354
29,141.781,144.9865,137.14,138.36,407901,130.61,127.55,,,119.84480787928976,142.56109803698067,11.232192689685759
30,137.84,138.46,134.8,137.39,752950,130.65,127.15,,,120.01338254825525,142.19523372945372,10.691321783279633
31,141.5,144.74,140.57,142.91,597838,131.9,128.35,,,121.58066537335696,144.58629313597834,10.452655941616804
32,140.01,142.0,136.89,140.07,992536,133.75,129.26,,,124.66315859555515,145.4565420667972,10.136037660072748
33,142.93,143.1568,139.11,143.03,1126958,136.02,130.98,,,129.74559391492525,145.08341154710445,9.701092112924695
34,147.62,147.62,141.635,144.22,1068320,138.91,132.2,,,134.36450693260653,145.74618612125744,9.435656962001502
35,143.46,144.21,139.96,139.97,967303,139.97,133.53,,,135.46882004165573,146.07385665649133,9.065967179001394
36,136.96,137.79,130.35,131.54,1716653,139.68,134.52,,,133.89129870785004,146.21765497123667,9.105540951929866
