,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,13.95,14.04,13.885,13.91,506179,,,,,,,0.15499999999999936
1,14.07,14.11,13.81,13.83,1137867,,,,,,,0.1653571428571422
2,13.23,13.46,13.09,13.42,1822924,,,,,,,0.2064030612244892
3,13.38,13.68,13.37,13.67,1287586,,,,,,,0.21380284256559717
4,13.57,13.78,13.33,13.45,1881705,,,,,,,0.23067406809662588
5,13.84,14.04,13.77,14.03,981115,,,,,,,0.256340206089724
6,13.79,13.88,13.68,13.78,1037611,,,,,,,0.26303019136902944
7,13.71,13.77,13.51,13.67,1680900,,,,,,,0.2635280348426702
8,13.01,13.25,12.61,12.72,3120758,13.61,,,,,,0.3204188894967652
9,12.62,12.76,12.26,12.55,4371262,13.46,,,,,,0.3332461116755677
10,12.32,12.38,11.87,11.99,2828696,13.25,,,,,,0.35801424655588443
11,11.12,11.12,10.58,10.74,2664578,12.96,,,,,,0.433156086087607
12,11.41,11.43,10.52,11.0,3112076,12.66,,,,,,0.4672163656527779
13,10.0,10.58,9.9324,10.25,3946628,12.3,,,,,,0.5101009109632938
14,10.62,11.56,10.38,11.45,3432434,12.02,,,,,,0.5672365601802014
15,11.61,12.1,10.98,11.29,1689902,11.74,,,,,,0.6067196630244727
16,11.88,12.37,11.51,11.66,1460818,11.52,,,,,,0.6405254013798676
17,11.97,12.47,11.62,11.68,1475524,11.4,,,,,,0.6554878727098772
18,12.09,12.32,11.91,12.08,1740176,11.35,,,,,,0.6543815960877432
19,12.35,12.6,12.07,12.44,1070150,11.4,12.48,,,9.646922209649539,14.920637461841558,0.64549719636719
20,12.15,12.4796,11.87,12.29,1327368,11.57,12.4,,,9.662486287372491,14.762063645474008,0.6429331109123908
21,12.27,12.645,12.11,12.575,2705846,11.75,12.34,,,9.706704829079097,14.57979576953823,0.6352236029900772
22,11.95,12.22,11.72,12.13,861240,11.96,12.27,,,9.686817831464301,14.48570284818227,0.6509219170622145
23,12.17,12.42,12.03,12.32,1207692,12.05,12.2,,,9.714445419736984,14.350697877998677,0.6322846372720564
24,12.04,12.35,12.0,12.19,1233296,12.15,12.14,,,9.750314414000012,14.17975325829075,0.612121448895481
25,12.04,12.06,11.74,11.8,1147982,12.17,12.03,,,9.854434049735831,13.914384581117902,0.6005413454029467
26,11.58,12.04,11.49,12.02,1355394,12.2,11.94,,,9.977382884582733,13.648698267921354,0.5969312493027362
27,11.7,11.92,11.7,11.89,2055406,12.18,11.85,,,10.139241104863764,13.363887267030766,0.5771504457811123
28,12.36,12.48,12.24,12.45,1255770,12.18,11.84,,,10.170899389751472,13.223218419282063,0.5780682710824614
29,12.54,12.54,12.13,12.175,1533028,12.17,11.82,,,10.178026311843514,13.189399237540977,0.5660633945765712
30,12.33,12.56,12.2,12.48,760260,12.16,11.85,,,10.168551882890094,13.210942502098415,0.5531302949639589
31,12.36,12.55,12.175,12.48,1028926,12.2,11.93,,,10.298049280136635,13.192660417606714,0.5404067024665333
32,12.5,12.57,12.33,12.51,566118,12.22,12.01,,,10.458815444680946,13.197540298509516,0.5189490808617809
33,12.66,12.96,12.66,12.88,976414,12.3,12.14,,,10.8394138055623,12.978164164741054,0.514024146514511
34,12.22,12.4,12.16,12.25,1582188,12.35,12.18,,,11.194212238877904,12.891748803211849,0.5287367074777602
35,12.18,12.23,12.03,12.06,703780,12.35,12.22,,,11.39806013303449,12.884570831072,0.5066840855150632
36,12.48,12.49,12.255,12.38,700634,12.41,12.25,,,11.46856669683453,12.891514325078834,0.5012066508354158
