,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,49.24,49.89,47.905,49.44,19220563,,,,,,,1.9849999999999994
1,49.73,50.9,48.67,50.9,14869297,,,,,,,2.0024999999999995
2,50.62,51.84,48.25,48.85,19111974,,,,,,,2.115892857142857
3,49.85,50.585,48.83,50.54,12416272,,,,,,,2.0901147959183675
4,49.23,49.68,47.745,48.02,18905291,,,,,,,2.1404637390670556
5,46.57,48.3,46.46,47.38,42272928,,,,,47.037768713390236,51.52869501975533,2.1190020434194086
6,44.91,47.57,44.66,45.97,45216886,,,,,45.670148581837,51.60142520106348,2.1755018974608795
7,47.45,48.91,46.16,48.5,47734294,,,,,45.31783892349091,51.19880802513373,2.2301089047851024
8,46.81,47.48,44.27,44.73,39326750,48.26,,,,44.42825414485611,50.09827672230447,2.3729582687290236
9,41.115,43.395,39.71,39.79,41565464,47.19,,,,41.743193253376496,49.976739205453654,2.5620326781055214
10,44.45,47.99,43.42,47.92,49872790,46.86,,,,41.423877948563636,49.44194941446836,2.964744629669413
11,42.51,47.57,41.26,42.73,47147826,46.18,,,,40.64279526687236,49.260651506652216,3.228691441835884
12,43.62,47.71,41.66,46.85,45279968,45.77,,,,40.1887405014565,49.291618114842706,3.4302134817047496
13,43.67,47.8,42.56,47.24,46307172,45.68,,,,40.355244252307955,48.938487060684956,3.5594839472972675
14,46.47,47.97,44.87,45.09,34161590,45.42,,,,40.2722274382611,49.061918501723554,3.526663665347463
15,45.02,46.7,44.51,45.7,44151288,45.39,,,,41.41828517983171,48.15058419076901,3.431187689251216
16,45.0,46.49,43.885,44.08,39896342,44.9,,,,41.457057179660254,48.05564079091141,3.3721742828761294
17,45.33,48.01,45.3,47.87,33511370,45.25,,,,42.24004702318172,48.185901586476774,3.4120189769564058
18,47.1,48.74,45.48,45.9,42829014,45.93,,,,43.24400724807318,48.56262850258216,3.4011604786023772
19,46.38,50.74,46.19,50.42,36687514,46.21,46.9,,,44.15539065337666,49.80931063084986,3.5039347301307795
20,49.09,51.6,48.5625,49.85,35139442,47.0,46.92,,,43.85781791725455,51.01716159660875,3.470617963692867
21,50.4,51.585,49.59,50.35,35083638,47.39,46.89,,,44.13092371576189,51.84263221544688,3.365216680571948
22,51.12,51.18,48.0,48.33,24729632,47.51,46.86,,,45.23192777419828,52.01231488149315,3.351986917673952
23,46.55,48.99,46.04,48.72,30842312,47.91,46.77,,,45.505648493072975,51.88807542186913,3.3232735664115274
24,48.18,49.89,48.1,49.81,27888456,48.37,46.86,,,46.223799360983904,51.80707892999514,3.213754025953561
25,49.3,50.05,48.95,49.4,22977042,48.96,46.96,,,46.87419329270109,51.722596102835126,3.0627715955283064
26,50.4,51.88,50.345,51.45,21972188,49.36,47.24,,,46.85371786659238,51.83484755507036,3.021145052990571
27,52.15,52.33,50.71,50.72,23981308,49.89,47.35,,,46.80256416775693,52.13554229890878,2.9210632634912446
28,50.98,52.68,50.88,52.09,26114448,50.08,47.72,,,47.10315394772573,52.64076928389289,2.8524158875275845
29,52.24,53.62,52.03,53.16,26139434,50.45,48.38,,,48.60893224784795,53.377990768630156,2.762243324132757
30,52.7,53.14,52.4,52.96,20998102,50.74,48.64,,,49.52318941738665,53.659919351955715,2.61922594383756
31,53.71,54.1,53.45,54.0,19890276,51.37,49.2,,,50.32270598167758,53.866654073307174,2.5135669478491627
32,53.21,53.453,52.81,53.16,18507150,51.86,49.52,,,50.85938663791756,53.92977186254634,2.4190264515742226
33,53.15,53.87,53.07,53.68,23269206,52.29,49.84,,,51.43698335008846,54.04072337336674,2.3033817050332064
34,54.52,54.72,53.97,54.63,21851068,52.87,50.31,,,52.181370696005025,54.42524699167862,2.2131401546736917
35,54.05,54.58,53.8,53.92,18373472,53.15,50.72,,,52.58827891071861,54.65834664410775,2.114344429339857
36,53.23,53.34,51.12,51.31,23118500,53.21,51.09,,,51.89873983832206,54.63582798993805,2.163319827244153
37,52.03,52.49,51.77,52.27,15555370,53.23,51.31,,,51.52055507515624,54.66087950627795,2.0930826967267135
38,52.23,52.99,51.45,51.96,17005416,53.1,51.61,,,51.16403206479809,54.64073782339313,2.0535767898176625
39,52.41,53.05,51.955,53.0,14815932,53.1,51.74,,,50.99317849437705,54.53148066382205,1.9851070191164009
40,53.36,53.64,53.06,53.36,16181692,53.03,51.91,,,51.06285971433391,54.13485769193048,1.8890279463223725
41,53.9,54.1467,53.13,53.2,13351085,53.04,52.06,,,51.16141218844573,53.9071329697973,1.8267188072993459
42,53.95,54.28,53.69,53.86,13022040,53.06,52.33,,,51.51812577867746,54.21088268612618,1.7733817496351068
43,53.47,53.595,52.8,52.92,16267308,52.87,52.54,,,51.77109664523813,54.20640675172143,1.7224259103754564
44,52.38,52.44,51.31,51.8,14534453,52.63,52.64,,,51.700956861924276,54.283806582032184,1.714395488205781
45,51.71,51.79,51.1,51.78,12832354,52.68,52.76,,,51.35176885358077,54.404030460455445,1.6419386676196535
46,52.22,52.86,51.99,52.04,12329348,52.66,52.79,,,51.1957239570329,54.27407958186501,1.6018001913611066
47,52.43,52.5,51.7,51.86,9530257,52.65,52.85,,,51.01895547240304,53.893721445819516,1.5445287491210273
48,52.4,52.92,52.28,52.6,10449140,52.6,52.87,,,51.17067680469418,53.34585499334825,1.5099195527552398
49,53.19,53.78,52.765,53.57,12969567,52.63,52.89,49.99,,51.17621226710017,53.4404581311144,1.4863538704155799
50,53.13,53.83,53.06,53.52,13089365,52.66,52.92,50.08,,51.363021233768634,53.80160565084429,1.4351857368144667
51,53.8,53.825,52.25,52.27,13537056,52.48,52.84,50.1,,51.792415024315076,53.93914829693561,1.445172469899148
