,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,89.5,91.33,88.37,90.61,997610,,,,,,,2.9599999999999937
1,91.27,94.81,89.16,94.72,669776,,,,,,,3.152142857142852
2,93.9,94.96,89.64,90.86,1147686,,,,,,,3.306989795918362
3,92.07,94.3,91.14,93.96,1185541,,,,,,,3.316490524781336
4,90.71,92.03,90.22,90.95,1097457,,,,,,,3.346741201582669
5,88.02,91.13,87.91,90.76,1658122,,,,,,,3.3376882586124785
6,85.565,86.94,83.16,85.07,2180658,,,,,,,3.6421390972830165
7,88.13,90.67,85.53,90.09,1944860,,,,,,,3.7819863046199442
8,87.89,88.05,83.61,85.34,1982458,90.26,,,,,,3.974701568575663
9,79.11,79.72,71.05,77.42,2370190,88.8,,,,,,4.711508599391688
10,81.79,86.11,79.88,84.37,2574160,87.65,,,,79.52504485934867,94.5632697577609,4.995686556577995
11,74.24,83.92,72.75,80.965,2098192,86.55,,,,77.09202729741,94.2103854040916,5.46885180253671
12,82.65,94.37,82.1498,93.735,3079102,86.52,,,,76.65738938192649,94.12254743529179,6.035719530926945
13,87.29,97.5,85.69,91.03,2224288,86.53,,,,76.56726069542862,94.69976530047788,6.448168135860736
14,91.57,94.06,82.75,88.46,2434882,86.28,,,,76.39400140334283,94.65626027271705,6.795441840442113
15,88.43,89.22,81.05,85.88,2779608,86.37,,,,76.19084349376477,94.33207798738762,6.893624566124819
16,84.56,85.57,74.26,76.1801,2984382,84.82,,,,75.02728226039794,93.89628870352435,7.231222811401617
17,79.92,81.37,76.91,79.58,2366430,84.18,,,,74.47713986096896,93.83819976112483,7.085414039158645
18,79.16,83.64,76.675,79.74,1963818,84.44,,,,74.01205315562613,93.29340174955757,7.0768130363615995
19,80.44,88.15,80.2,87.24,1766292,84.76,86.85,,,73.940443942393,93.30337300967516,7.172040676621487
20,84.24,87.93,82.7223,85.98,1183924,85.31,86.62,,,75.58646992890003,93.41678950815037,7.031730628291381
21,86.91,91.32,86.15,90.85,1488594,84.99,86.42,,,75.68154586175255,93.90368011822603,6.910892726270568
22,90.56,91.06,86.2,86.83,2160704,84.53,86.22,,,77.30261869863459,94.31428618518551,6.764400388679813
23,83.77,87.5062,83.21,83.85,2215102,84.01,85.72,,,77.36527542212093,93.43132353985334,6.58810036091697
24,83.05,86.73,82.56,83.96,2848152,83.8,85.37,,,77.30431276219535,91.46268525826049,6.415378906565758
25,83.03,85.285,80.17,80.52,1686848,84.28,84.85,,,77.09828534341945,90.07947433134679,6.322494698953918
26,83.4,86.15,82.01,85.45,1788538,84.94,84.87,,,77.17132443852034,89.7224805751229,6.273030791885781
27,87.76,88.9084,84.54,85.01,1495640,85.52,84.62,,,78.70913902025046,90.05944589890123,6.136985735322511
28,85.53,88.86,84.4,87.85,1219516,85.59,84.75,,,79.79193912763802,90.08040907730407,6.017201039942331
29,88.72,91.75,88.69,90.45,1773044,86.09,85.4,,,81.0983399847123,90.65344857968971,5.865972394232165
30,89.17,90.0,87.19,88.87,1293474,85.87,85.62,,,81.82534671398223,90.862505621793,5.679831508929868
31,91.1,91.255,87.54,88.49,1165630,86.05,86.0,,,82.15807478527945,91.2776713871976,5.539486401149163
32,86.36,86.68,83.97,85.51,1507256,86.23,85.59,,,81.99090517844944,90.80949184500594,5.466665943924223
33,86.08,86.31,83.14,85.18,1146796,86.37,85.29,,,81.73876424838778,90.30491079105751,5.302618376501065
34,87.18,92.0,86.8014,90.92,1984294,87.53,85.42,,,81.99207817458823,90.98909557907402,5.41100277817956
35,87.86,88.96,86.04,86.12,1332136,87.6,85.43,,,82.37446089830722,91.11833588771046,5.37307400830959
36,84.15,86.11,84.04,85.69,1041814,87.68,85.9,,,83.22911705237524,91.08384095618338,5.137854436287477
37,87.09,87.5,85.26,85.45,815556,87.41,86.2,,,83.83191086934679,91.08083222166849,4.930864833695514
