,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,30.43,30.76,29.585,30.02,13465505,,,,,,,1.1750000000000007
1,30.31,31.83,30.22,31.81,7571999,,,,,,,1.2203571428571436
2,31.88,32.59,30.915,31.03,7011878,,,,,,,1.2528316326530622
3,31.34,32.2,31.3152,32.19,4902641,,,,,,,1.246915087463558
4,31.95,31.95,31.28,31.68,6843921,,,,,,,1.2228497240733036
5,30.83,31.71,30.41,31.51,13307366,,,,,,,1.2283604580680678
6,29.7,30.38,28.62,29.09,14236170,,,,,,,1.3470489967774915
7,29.7,30.17,28.51,29.84,15883200,,,,,,,1.3694026398648136
8,29.57,29.57,28.8,29.25,14984982,30.71,,,,,,1.3458738798744698
9,27.64,28.6,26.3,26.63,15383852,30.34,,,,,,1.4604543170262934
10,27.8,28.12,25.18,27.43,17554670,29.85,,,,,,1.5661361515244154
11,25.0,25.69,23.47,23.66,17777902,29.03,,,,,,1.7371264264155288
12,24.25,25.76,23.0,25.54,16693028,28.29,,,,,,1.8101888245287054
13,24.06,24.28,21.12,22.85,15301638,27.31,,,,,,1.9966039084909408
14,22.53,22.98,20.5464,21.58,12669164,26.21,,,,,,2.0278179150273026
15,22.13,22.98,19.56,19.68,21649674,25.16,,,,,,2.1272594925253525
16,19.53,19.9,18.12,18.59,22730832,23.91,,,,,,2.102455243059256
17,19.74,21.34,19.4457,21.24,17918726,23.02,,,,,,2.148708439983595
18,21.3,23.41,21.2,22.18,13941800,22.53,,,,,,2.153086408556195
19,22.66,24.99,22.35,24.63,13874934,22.22,26.52,,,16.332717091346936,35.57078320616553,2.2000088079450384
20,23.83,25.995,23.8,25.42,11001474,22.41,26.29,,,16.223272320001882,35.203346399420454,2.1996510359489645
21,25.65,25.96,24.7725,25.83,10259138,22.44,25.99,,,16.265862968297526,34.62295963076165,2.1273545333811814
22,25.6,25.84,24.555,24.665,8811384,22.65,25.67,,,16.41744373336234,33.81783241640215,2.0671863524253826
23,23.73,23.94,22.38,22.89,10041450,22.79,25.21,,,16.554202127683485,32.98724194563994,2.082744470109284
24,22.4,23.55,22.35,22.97,10043380,23.16,24.77,,,16.85175346999675,32.08759458650632,2.0196912936729063
25,22.72,22.98,21.4,21.76,12115110,23.51,24.29,,,17.10084155241497,31.103255244721034,1.9882847726962705
26,22.85,24.13,22.76,23.91,10060786,23.81,24.03,,,17.343165053876216,30.293861497944814,2.015550146075108
27,25.79,26.0,24.55,24.58,14210436,24.07,23.76,,,17.71323010287802,29.527663174355407,2.020867992784029
28,24.6,26.04,24.6,25.81,9421854,24.2,23.59,,,18.261398019187965,28.837001663574217,1.9808059932994557
29,26.26,27.76,26.1,26.7,12013474,24.35,23.6,,,18.28701404346181,28.642082087531126,1.9786055652066377
30,26.5,26.6,25.51,25.88,6485242,24.35,23.52,,,18.258682283885665,28.33771924546542,1.9222765962633062
31,26.27,26.71,25.86,26.51,7458688,24.56,23.66,,,18.14839133034187,28.481103469821672,1.8456854108159273
32,25.56,25.76,24.905,25.26,8066112,24.82,23.65,,,18.138576236377027,28.48110346982167,1.828493595757647
33,25.3,25.56,24.79,25.29,9215944,25.08,23.77,,,18.31063604016861,28.567752615574555,1.7528869103463864
34,25.97,26.52,25.75,26.39,7153804,25.59,24.01,,,18.561347353692142,28.75234617725054,1.7155378453216446
35,25.99,26.025,25.16,25.24,8748918,25.74,24.29,,,19.105414838159813,28.843839656928296,1.680856570655813
36,24.5,25.08,24.31,24.57,8763170,25.74,24.59,,,20.21290097523534,28.29319378642255,1.6272239584661121
37,25.04,25.5,24.65,25.34,6730768,25.69,24.79,,,21.107683515675195,27.905984002676924,1.5774222471471042
38,25.37,25.7837,25.01,25.19,6272968,25.52,24.94,,,21.60400592468804,27.84118864678328,1.5200135152080252
39,25.33,25.63,24.89,25.5,4959814,25.48,24.99,,,21.879426308235903,27.858988205749828,1.4642982641217377
40,25.6,25.8616,25.5,25.55,7514412,25.37,24.99,,,21.93591048741189,27.847858131474826,1.3855341023987564
41,26.15,26.63,25.8,25.93,7806616,25.44,25.0,,,21.922850086700976,27.925156547338183,1.3637102379417023
42,26.4,26.59,25.733,26.21,7024837,25.55,25.07,,,21.928030233590235,28.003047285129675,1.327516649517295
43,25.95,26.0,25.082,25.4,8375681,25.44,25.2,,,22.27062536883347,27.971607406785605,1.3132654602660596
44,25.07,25.1,24.51,24.88,7286767,25.4,25.3,,,22.643686945741948,27.826537571619465,1.283032213104198
45,24.77,25.08,24.5,24.97,7952046,25.44,25.46,,,23.49300878797862,27.4772749084856,1.232815626453898
46,25.15,25.69,25.15,25.34,6783921,25.44,25.53,,,24.042692651035644,27.31645732186356,1.1961859388500484
47,25.41,25.48,24.24,24.27,8441221,25.34,25.51,,,23.984624853972868,27.310453517838575,1.1993155146464738
48,24.52,24.8,24.23,24.28,9873101,25.2,25.44,,,23.919822585414277,27.345984361030744,1.1543644064574399
49,24.895,26.26,24.7814,26.1,9776363,25.26,25.4,25.66,,23.950846010093713,26.99408396712515,1.2133383774247657
50,25.44,25.6728,24.73,25.24,8023562,25.19,25.37,25.57,,23.930696556893754,26.891458227014233,1.2245284933229967
51,25.33,25.68,24.82,24.85,6878604,25.04,25.29,25.43,,23.962885232601067,26.751191428014586,1.1984907437999255
52,24.73,24.77,24.02,24.55,12834014,24.94,25.25,25.3,,23.836626306350734,26.789282464748574,1.1721699763856452
53,24.2,25.275,23.71,25.25,8926457,24.98,25.25,25.16,,23.65834577204122,26.78913358107296,1.2002292637866705
54,24.94,24.98,24.115,24.475,11298835,24.93,25.16,25.01,,23.619907539192976,26.677636423930032,1.1955700306590513
55,25.41,26.48,25.3,26.13,9378750,25.02,25.2,24.91,,23.61444008204652,26.75614062529629,1.2533864570405475
56,25.98,26.07,25.34,25.35,6297068,25.14,25.24,24.83,,23.65737567736718,26.79333127718833,1.220287424394794
57,25.62,25.92,25.4801,25.59,5343755,25.28,25.25,24.75,,23.66310319579273,26.816905996247655,1.1738383226523088
58,25.49,26.025,25.4798,25.7,8128435,25.24,25.28,24.68,,23.654768996898405,26.838408334236508,1.128935585320001
59,25.68,25.73,25.41,25.65,5292386,25.28,25.29,24.66,,23.657010578740863,26.842997445783297,1.071154472082858
60,26.47,26.75,26.2,26.28,7412613,25.44,25.32,24.63,,23.585329623262755,26.978859270317205,1.0732148669340826
61,26.87,27.1013,26.32,26.74,8940838,25.68,25.36,24.69,,23.52348995054352,27.088544631046112,1.0552209478673624
62,27.14,27.795,26.95,27.45,10092318,25.93,25.42,24.73,,23.360060916451804,27.393886967869125,1.0552051658768369
63,27.53,28.19,27.2331,28.0,11099025,26.32,25.55,24.84,,23.193827376845476,27.8265361240496,1.0481833683142059
64,27.89,28.68,27.8,28.52,10264021,26.59,25.74,24.97,,23.044425795439004,28.32217116044461,1.036170270577477
65,28.72,29.19,28.37,29.13,8891712,27.01,25.94,25.16,,22.885500353133956,28.860590004224473,1.0207295369648
66,29.42,30.14,29.33,29.92,9228739,27.49,26.17,25.39,,22.585119085672847,29.58035483475465,1.0199631414673143
67,29.75,30.18,29.52,30.03,9870881,27.97,26.46,25.57,,22.492257085577172,30.173844126438716,0.9942514885053633
68,30.54,30.94,29.94,30.055,11343370,28.46,26.75,25.72,,22.451288637055626,30.81939548375521,0.9946620964692658
69,30.04,30.725,29.77,30.61,15454296,28.94,26.98,25.84,,22.456883468109265,31.35471116960185,0.9918290895786042
70,29.63,29.73,28.25,28.39,15552462,29.12,27.13,25.9,,22.64942800812627,31.61743896739537,1.0895555831801325
71,28.37,28.415,27.54,27.86,14843441,29.17,27.28,25.94,,22.865440229988383,31.67785950455133,1.0742301843815516
72,26.94,27.0,25.88,26.34,15407770,28.98,27.37,25.98,,23.15215006217477,31.570453011842627,1.138928028354298
73,27.0,27.18,26.46,26.46,2613248,28.76,27.43,26.05,,23.592662450447452,31.494682973880185,1.1175760263289911
74,26.0,26.97,25.7871,26.8,8453150,28.5,27.55,26.12,,23.900962799484958,31.36367686711591,1.1222420244483489
75,27.66,28.09,27.0,27.18,11467516,28.19,27.6,26.23,,24.10041709990927,31.372119361467632,1.1342247369877525
76,27.35,27.36,26.63,26.85,6421144,27.84,27.68,26.29,,24.27635709257295,31.323972003979307,1.1053515414886275
77,26.63,27.0,26.51,26.89,5814764,27.49,27.74,26.34,,24.423484408788767,31.257558982716443,1.0613978599537255
78,27.4,27.408,26.11,26.12,14002592,26.99,27.76,26.34,,24.52643243963674,31.18457589215805,1.0782980128141737
79,26.1,26.68,25.96,26.37,5044992,26.76,27.8,26.34,,24.623643865334994,31.09013177449589,1.0527052976131612
80,26.62,26.7,25.655,25.77,7377892,26.53,27.77,26.34,,24.537175080626447,31.09342393105913,1.052154919212221
81,25.55,25.67,25.11,25.515,5111770,26.44,27.71,26.32,,24.33488774032388,31.213302832213476,1.0241438535542053
82,25.39,25.795,25.26,25.59,7066726,26.34,27.62,26.32,,24.11584623973181,31.297444123682826,0.9892050068717622
83,25.49,25.8635,24.91,25.07,7324307,26.15,27.47,26.32,,23.83381274329165,31.333416518736367,0.9866546492380648
84,25.39,25.83,25.34,25.76,4469466,25.99,27.34,26.31,,23.63874028585008,31.307117571202223,0.9704650314353458
85,25.8,25.99,25.38,25.84,4865665,25.88,27.17,26.32,,23.48605364741192,31.180665647963053,0.9447175291899639
86,25.85,26.385,25.7,26.2,3713277,25.8,26.98,26.35,,23.490685049901703,30.83732067168276,0.9261662771049666
87,26.53,26.73,26.07,26.18,3074350,25.81,26.79,26.37,,23.62038478348759,30.429243638032176,0.9071544001688976
88,26.47,26.655,25.74,25.88,3599104,25.76,26.58,26.38,,23.91634572408412,29.715515324913945,0.9077148001568337
89,25.58,25.66,25.26,25.44,3784264,25.72,26.33,26.38,,24.339391326226526,28.908307435072814,0.887163743002774
90,25.42,25.84,25.31,25.73,2733622,25.74,26.19,26.38,,24.528682541191245,28.25234017936283,0.8616520470740046
91,25.28,25.36,24.2,24.4,7427873,25.61,26.02,26.35,,24.40014356350564,27.97209699385697,0.9093911865687185
92,24.48,25.34,24.48,25.25,3823534,25.63,25.96,26.33,,24.222656207300695,27.95832646856798,0.9115775303852387
93,25.28,25.47,25.06,25.26,3305026,25.58,25.9,26.33,,24.18441383135093,27.88628790050282,0.8757505639291502
94,25.32,25.85,25.27,25.54,3544281,25.54,25.84,26.34,,24.156043455766234,27.815245987016212,0.8553398093627823
95,25.92,26.1487,25.66,25.69,3199345,25.49,25.77,26.36,,24.265598828984235,27.460585319595328,0.8377226801225838
96,25.76,26.095,25.63,25.94,2705561,25.46,25.72,26.37,,24.33864303107302,27.271452189815292,0.8110996315423993
97,26.06,26.235,25.855,26.0,3191357,25.47,25.68,26.4,,24.407617830277026,27.158802839877698,0.7803068007179421
98,25.82,25.88,25.25,25.35,3338660,25.46,25.64,26.43,,24.421748750476716,26.885468170044927,0.7781420292380892
99,25.43,25.76,25.24,25.35,3751535,25.42,25.59,26.41,,24.42949037755571,26.786111748667597,0.7597033128639402
100,25.2,26.2,24.95,26.17,4634679,25.62,25.61,26.43,,24.39442811167578,26.694534350869123,0.7947245048022302
101,26.0,26.28,25.74,25.91,2567115,25.69,25.63,26.45,,24.40740422710223,26.728740396214565,0.7765298973163569
102,26.04,26.29,25.5,25.72,3071960,25.74,25.63,26.47,,24.41614035266132,26.76190872090373,0.7774920475080457
103,25.64,25.7,25.11,25.25,3390284,25.71,25.64,26.47,,24.441156284271365,26.76295848841559,0.7655283298288995
104,25.11,26.07,25.11,25.93,7618917,25.74,25.65,26.5,,24.423919843274867,26.772295534882115,0.7794191634125496
105,26.06,26.22,25.58,26.21,8655856,25.77,25.67,26.5,,24.426978272539518,26.79015896602169,0.7694606517402246
106,25.83,26.55,25.67,26.51,9587490,25.82,25.69,26.53,,24.42791396960072,26.818369923737137,0.7773563194730657
107,26.25,26.655,26.055,26.64,7422236,25.97,25.71,26.55,,24.42970624150492,26.801159574664677,0.7646880109392754
108,26.67,26.76,26.3401,26.515,4673674,26.1,25.74,26.57,,24.36772439538559,26.82558144022268,0.7400602958721845
109,26.43,27.05,26.4,26.85,6508796,26.17,25.81,26.59,,24.324231032177064,26.998001718221587,0.7336274175956
110,27.02,27.055,26.48,26.61,4975518,26.25,25.85,26.6,,24.28688153328413,27.147039574340997,0.7222968877673429
111,26.41,26.5599,26.27,26.49,12295221,26.33,25.96,26.59,,24.503901955170384,27.150146059788288,0.6949899672125327
112,26.42,27.31,26.42,27.13,8495373,26.54,26.05,26.58,,24.671768912002474,27.277841584895462,0.7089192552687802
113,27.92,29.03,27.8,28.66,14393936,26.85,26.22,26.6,,24.473992845041824,27.975861012700307,0.7939964513210104
114,29.0,29.255,28.23,28.43,14887426,27.09,26.37,26.6,,24.26935277212071,28.560800940492115,0.8104967047980809
115,28.6,29.07,28.25,28.855,9061726,27.35,26.53,26.59,,24.123449149511448,28.972698164151875,0.811175511598218
116,28.62,29.2,28.52,29.13,6113136,27.63,26.69,26.57,,24.004922778804186,29.34816626369383,0.8018058321983453
117,29.0,29.22,28.89,29.05,3634766,27.91,26.84,26.55,,23.872109746487137,29.67388267910561,0.7681054156127491
118,29.03,29.3783,28.7,28.8,10873496,28.13,27.01,26.53,,23.90471340951712,29.97091427043222,0.7616907430689813
119,28.73,28.78,28.19,28.34,8046583,28.32,27.16,26.48,,24.0339358580873,30.1014743750968,0.7508556899926254
120,28.1,28.51,27.91,28.34,7278178,28.53,27.27,26.48,,24.26573295585682,30.192377833553063,0.7400802835645809
121,28.19,28.4236,28.01,28.01,5722376,28.62,27.37,26.49,,24.386617829273153,30.256739465594414,0.7167602633099679
