,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,32.23,33.14,31.88,33.09,1301905,,,,,,,1.2600000000000016
1,32.78,33.36,32.26,33.36,1383025,,,,,,,1.2485714285714302
2,33.18,33.45,31.8,32.13,1011262,,,,,,,1.2772448979591855
3,33.22,33.75,32.7568,33.75,538471,,,,,,,1.301727405247815
4,32.45,32.6913,31.82,32.09,694638,,,,,,,1.3466040191586854
5,30.64,31.32,30.44,30.87,1738988,,,,,31.05420477014457,33.82572592880844,1.368275160647351
6,28.83,29.99,27.53,27.7,1898544,,,,,29.189093661499438,33.90347531545523,1.5091126491725402
7,29.7,29.83,28.03,29.64,1973704,,,,,28.233439802879538,33.55307028713573,1.553461745660216
8,28.06,28.3,26.39,26.56,1667860,31.02,,,,26.94156782286837,32.99029365068162,1.6746430495416293
9,23.15,23.55,21.0,22.82,2516512,29.88,,,,23.765051724492757,32.45506996747706,1.9521685460029414
10,23.5,23.81,21.41,23.81,2307550,28.82,,,,22.001168600740478,31.132866633995416,1.9841565070027312
11,17.42,18.8,17.08,17.76,2961910,27.22,,,,19.17069473055582,30.141076174405583,2.3231453279311074
12,17.87,19.44,17.53,19.35,2149450,25.62,,,,17.40964246541238,28.439171049369087,2.2936349473646
13,16.75,17.1699,15.68,16.52,1823972,23.89,,,,15.924766503691359,25.976517794240866,2.391946736838557
14,16.51,18.42,16.26,17.83,2106280,22.44,,,,15.712478804994713,22.996247652532205,2.3753791127786603
15,19.32,19.64,18.15,18.2,2496978,21.39,,,,15.658547434554631,21.812571828969354,2.334994890437328
16,20.67,20.89,18.1,18.2,2786722,20.12,,,,16.133020049073455,20.315322172717536,2.3674952554060904
17,21.83,22.25,20.87,21.68,2751938,19.57,,,,15.944618171921038,21.424074890986684,2.487674165734227
18,23.22,24.935,22.63,24.0,2576954,19.71,,,,15.937428338960823,23.34452019454261,2.5424831538960677
19,25.49,26.54,25.31,26.14,2241092,19.96,25.28,,,16.855491120534815,25.237575599085535,2.5423057857606346
20,24.85,25.87,24.205,25.01,4358684,20.77,24.87,,,18.50187408266579,26.18486696282423,2.4989268010634467
21,25.01,25.08,24.18,24.77,2375944,21.37,24.44,,,19.879154650463985,26.466078028750722,2.3847177438446288
22,25.06,25.72,24.52,24.78,2580566,22.29,24.07,,,22.015139183527214,26.562096734832725,2.3000950478557267
23,23.77,24.17,22.86,22.91,1399736,22.85,23.53,,,22.92878432928965,26.21688337193903,2.272945401580318
24,22.99,23.87,22.73,22.79,2943174,23.36,23.07,,,22.970796684062897,26.2435804857885,2.1920207300388665
25,22.1,22.69,22.1,22.53,4230470,23.85,22.65,,,22.43902252164429,25.78789009694735,2.08473353503609
26,24.86,25.85,24.8,25.66,3741984,24.29,22.55,,,22.422677637565524,25.78030772364174,2.172966853962084
27,26.93,27.05,25.76,25.96,2228896,24.51,22.36,,,22.36123921102576,26.48382767192541,2.1170406501076493
28,25.77,26.11,25.315,25.94,2184378,24.48,22.33,,,22.381033867166817,26.596650406423414,2.02260917509996
29,26.11,27.17,25.74,26.19,2206862,24.61,22.5,,,22.812445925681512,27.258206748559527,1.9802799483071059
30,25.76,25.76,25.08,25.59,1131600,24.71,22.59,,,23.425207363533325,27.39689793226136,1.9181170948565984
31,25.89,26.12,25.45,25.71,1981346,24.81,22.99,,,24.981604402792502,26.955008628458565,1.828965873795413
32,24.35,24.42,23.74,23.78,1539690,24.91,23.21,,,24.429205655113158,27.103573983238032,1.8390397399528837
33,23.91,24.65,23.45,24.07,3304122,25.05,23.59,,,23.83711326643859,26.72967067880362,1.7933940442419634
34,25.89,26.17,25.555,26.12,2749998,25.45,24.0,,,23.84659920196368,26.74469412934127,1.8152944696532518
35,25.23,25.81,25.02,25.15,1532820,25.39,24.35,,,23.8188471758779,26.247949464459136,1.7642020075351625
36,24.17,24.69,23.76,23.95,1521554,25.17,24.64,,,23.54572588326957,26.11719266597255,1.7374732927112222
37,25.18,25.34,24.82,25.22,975834,25.09,24.81,,,23.53736736056894,25.887276466454146,1.712653771803278
38,25.46,25.98,25.17,25.31,1446682,24.99,24.88,,,23.79433484727628,26.09696270822617,1.648178502388758
39,25.7,25.73,25.21,25.61,1116720,24.99,24.85,,,24.303567451170974,26.153591604131723,1.567594323646704
40,25.49,26.01,25.48,25.91,1263674,25.01,24.9,,,24.305814597991645,26.097105768731037,1.4934804433862254
41,27.94,28.02,27.06,27.5,1080724,25.43,25.03,,,24.1783657340305,27.08386837164957,1.5375175545729236
42,28.81,29.41,28.67,29.19,1066684,26.0,25.25,,,24.57165144773885,28.351922017088157,1.5641234435320004
43,28.58,28.86,27.94,28.26,1105930,26.23,25.52,,,25.070263286640284,28.96399662369197,1.541686054708286
44,26.55,26.8,26.29,26.44,1011150,26.38,25.7,,,25.404529277948633,28.99523375303553,1.5722799079434087
45,25.98,26.32,25.74,26.3,933764,26.64,25.89,,,25.601102503941718,28.972939770624468,1.5099742002331655
46,26.89,26.95,26.445,26.48,559730,26.78,25.93,,,25.922139368154216,28.9631724962795,1.4485474716450821
47,27.78,27.91,26.86,26.89,888622,26.95,25.98,,,25.887083286145725,28.940427756121828,1.4472226522418619
48,27.14,27.8,27.12,27.31,1225116,27.14,26.05,,,25.972501644738635,28.364229408750795,1.4088496056531574
49,28.02,28.35,27.67,28.34,883288,27.41,26.16,25.5,,26.00975557914507,28.13466018238708,1.3825032052493607
50,27.54,27.95,27.36,27.73,897836,27.44,26.26,25.4,,26.172995569735935,28.303625494256725,1.3537529763029779
51,28.21,28.28,27.31,27.34,1612910,27.23,26.34,25.28,,26.698760568643415,28.374877615193384,1.326342049424194
52,27.07,27.14,26.15,26.34,1155916,27.02,26.47,25.16,,26.5502645246856,28.337885666198183,1.3166033316081804
53,24.82,25.73,24.42,25.72,1255916,26.94,26.56,25.0,,25.453382353927378,28.529136497429366,1.3597030936361674
54,25.4,25.66,25.27,25.58,755088,26.86,26.53,24.87,,25.05075317705081,28.416758904980945,1.2947243012335838
55,26.81,27.545,26.43,27.47,953016,26.97,26.64,24.8,,25.002965376615098,28.16891390586222,1.3426011368597566
56,27.31,27.6,26.89,27.03,736696,26.98,26.8,24.79,,25.00986870281595,28.062377329416723,1.297415341369774
57,27.31,27.74,27.15,27.48,741486,27.0,26.91,24.74,,25.018682316994973,27.859128193186805,1.2554571027005041
58,27.39,27.76,27.12,27.38,535800,26.9,27.01,24.76,,25.08993373093593,28.024707303295525,1.2114958810790397
59,24.96,25.07,24.12,24.2599,3079926,26.51,26.95,24.79,,24.941766034054798,28.09896431816687,1.357817603859108
60,25.76,25.76,25.335,25.38,5055700,26.29,26.92,24.82,,24.96185310711755,28.095613477228557,1.3679806321548864
61,26.17,26.36,25.64,26.36,5144808,26.3,26.86,24.99,,24.820666337016373,27.869984848385407,1.340267729858109
62,26.22,26.8376,25.83,26.35,875416,26.37,26.72,25.13,,24.7165708886904,27.665419308493348,1.3165057491539582
63,25.87,26.03,25.42,25.68,1035342,26.38,26.59,25.32,,24.612628246863874,27.230463616756218,1.2888981956429613
64,26.6,27.23,26.44,27.18,787330,26.34,26.63,25.5,,24.69703944992445,26.988053915886308,1.307548324525607
65,27.81,27.85,27.39,27.54,683268,26.4,26.69,25.69,,25.226565767953502,27.461197290544774,1.262009158488064
66,29.02,29.83,28.98,29.59,651660,26.64,26.85,25.92,,25.258776145797388,28.72736973597493,1.3354370757389165
67,29.14,29.76,28.99,29.64,596188,26.89,26.98,26.08,,25.624016441092948,29.488713530764162,1.295048713186137
68,32.0,32.3284,31.69,32.08,1155062,27.76,27.22,26.24,,25.920941074697403,31.09477719898279,1.394573805101413
69,32.06,32.26,31.63,32.06,730580,28.5,27.41,26.36,,27.037707228550946,32.012718553025245,1.339961390451312
70,30.72,31.21,30.5,30.92,717206,29.0,27.57,26.48,,28.15901333208162,32.26914214176081,1.3556784339905041
71,30.79,31.1,30.3249,30.34,674292,29.45,27.72,26.59,,29.15385136243207,32.20149738862291,1.3142085458483252
72,28.87,29.27,27.77,27.92,994118,29.7,27.8,26.65,,28.61947176702236,32.24790730209106,1.4039079354305877
73,29.28,29.41,28.44,28.44,168716,29.84,27.93,26.76,,28.431018084275735,32.26372899549514,1.4100573686141171
74,27.87,29.0456,27.71,28.94,849410,29.99,28.1,26.88,,27.75430303539014,31.701332937330324,1.40473898514168
75,30.39,30.57,29.53,29.89,931252,30.03,28.22,27.03,,27.799681440591,31.07353336760566,1.42082905763156
76,29.8,29.85,29.26,29.32,524240,29.99,28.34,27.1,,27.796152044584943,30.68104124897981,1.3643412678007343
77,30.19,30.4,29.67,29.92,1017574,29.75,28.46,27.18,,27.852435187578727,30.381576409810393,1.344031177243539
78,30.58,30.63,29.21,29.41,1131012,29.46,28.56,27.25,,28.219826686691675,30.641806647707014,1.349457521726143
79,29.36,29.78,29.08,29.53,259503,29.3,28.82,27.32,,28.372857980540495,30.654360836546775,1.3030676987457046
80,30.32,30.45,30.08,30.2,275363,29.29,29.07,27.41,,29.103025015918085,30.650081072198873,1.2757057202638684
81,29.82,29.84,28.93,29.2,354499,29.43,29.21,27.48,,28.94517321224252,30.53396169576958,1.2752981688164493
82,29.49,30.26,29.41,30.215,218961,29.62,29.4,27.61,,28.973645784597423,30.570972732059847,1.2599197281867032
83,29.82,29.89,29.09,29.23,190210,29.66,29.58,27.71,,28.885753696455865,30.497386593950104,1.2502826047447957
84,29.59,30.03,29.31,29.9,269011,29.66,29.71,27.79,,28.904760528491177,30.304985231653145,1.218119561548739
85,29.64,30.49,29.62,30.37,220075,29.78,29.86,27.89,,28.997830921327978,30.441140534252654,1.1932538785809719
86,30.35,30.77,30.23,30.56,328645,29.85,29.9,28.03,,28.97199649505811,30.578335616431037,1.1465928872537596
87,31.0,31.28,30.47,30.51,289459,29.97,29.95,28.13,,29.142864116358965,30.966934994805072,1.1225505381642056
88,31.39,31.63,31.14,31.57,310714,30.2,29.92,28.26,,29.199655298238497,31.36771088292866,1.1223683568667622
89,31.44,31.465,30.94,30.98,161456,30.28,29.87,28.36,,29.565256990308384,31.564927624416526,1.0871991885191363
90,31.28,31.88,31.25,31.76,199037,30.57,29.91,28.48,,29.984877908570184,31.780967122912912,1.0738278179106266
91,31.62,31.6598,30.83,31.2,270878,30.68,29.95,28.55,,30.417113247869153,31.835487937561087,1.063554402345582
92,31.06,31.79,31.04,31.67,196278,30.95,30.14,28.6,,30.66970016345824,31.835535707721373,1.0411576593208975
93,31.35,31.72,30.65,30.77,351240,31.04,30.26,28.65,,30.758228230620503,31.833721796797587,1.043217826512262
94,30.51,31.3348,30.44,31.26,303620,31.14,30.37,28.75,,30.571180644565512,31.846855314181756,1.0326165531899576
95,32.26,32.27,31.7577,32.02,226871,31.3,30.48,28.87,,30.524928385285722,32.0811659310183,1.0310010851049607
96,31.5,31.88,31.355,31.48,214585,31.41,30.59,28.97,,30.52923916494746,32.0811659310183,1.0048581504546066
97,31.32,31.47,31.1,31.42,155933,31.4,30.66,29.06,,30.582088160504583,32.072883856780095,0.9602254254221346
98,30.96,31.23,30.75,31.11,317269,31.41,30.75,29.13,,30.517199890094457,32.038187970902364,0.9394950378919823
99,31.18,31.44,31.02,31.18,241890,31.35,30.83,29.19,,30.610698964112185,31.998323270630724,0.9023882494711266
