,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,154.11,158.0,152.51,157.75,1037210,,,,,,,5.490000000000009
1,156.36,161.46,154.64,161.21,485489,,,,,,,5.58500000000001
2,161.21,163.58,156.12,156.73,490406,,,,,,,5.718928571428581
3,157.58,160.645,155.54,160.31,540363,,,,,,,5.675076530612255
4,155.61,157.25,153.12,154.09,749815,,,,,,,5.783285349854237
5,152.27,153.29,149.3,152.18,1619694,,,,,151.0450911335728,162.68145904203107,5.712336396293219
6,141.17,145.31,137.18,137.79,2306602,,,,,143.79374734618034,163.65927500737558,6.375740939415132
7,145.89,147.445,141.3701,146.36,1809040,,,,,140.92126419791984,161.84501473400726,6.609973729456908
8,146.35,147.32,140.36,143.03,1544798,152.16,,,,138.61497290838304,158.0617759354401,6.634975605924271
9,132.87,134.91,128.24,129.9901,2457190,149.08,,,,132.74496915257578,155.2279225995687,7.21747734835825
10,143.93,143.93,132.67,141.9,1369586,146.93,,,,130.8552855128856,151.4060973122903,7.697650394904089
11,129.36,139.68,127.73,129.42,2366794,143.9,,,,128.6412339552052,148.01918538275572,8.159961080982368
12,139.01,139.97,133.06,136.55,2691940,141.26,,,,128.07652041105615,147.13225961385612,8.330678146626486
13,134.11,138.6,130.2,134.05,2197218,139.03,,,,127.41599428516908,145.0652967565745,8.335629707581738
14,135.97,139.49,133.15,136.81,1739850,137.32,,,,128.37366815235077,142.31884059788692,8.193084728468758
15,137.42,147.99,137.18,139.56,1401028,137.52,,,,129.15234965405756,145.2447159448848,8.406435819292419
16,132.81,137.62,130.76,131.77,1347156,135.9,,,,128.77951412585347,144.2988542417987,8.434547546485819
17,140.79,149.98,138.96,144.945,1083946,136.11,,,,130.3870477418925,147.57164327664228,9.132794150308259
18,149.34,156.94,147.98,153.49,2677028,138.72,,,,129.70734849699124,152.87539269148718,9.337237425286242
19,151.65,157.77,151.2,157.76,972152,140.48,145.28,,,131.74325128193965,156.77096554927817,9.139577609194369
20,152.61,154.07,149.48,150.01,1058174,142.77,144.9,,,134.43183673854958,158.2012642621367,9.078179208537628
21,151.21,154.43,150.5,154.01,644962,144.71,144.54,,,136.6073485254832,159.26511202833888,8.745452122213514
22,152.45,156.45,151.51,153.2775,961568,146.85,144.37,,,143.5328971358003,157.76515840263866,8.473634113483978
23,152.72,153.03,147.02,148.44,915686,148.14,143.77,,,147.8087912634468,157.3140065808948,8.315338819663694
24,146.33,148.26,141.54,141.94,1347758,148.4,143.16,,,144.74872365804293,157.2969263934054,8.214243189687716
25,139.1,140.69,134.24,135.75,1257284,148.85,142.34,,,139.0597351668021,156.96314514281448,8.17751153328145
26,139.87,147.18,138.91,147.01,1056536,149.08,142.8,,,137.09804729505112,155.80432366468455,8.409832138047062
27,150.55,151.42,146.0,146.7,1000608,148.32,142.82,,,136.9915745915061,154.96367657953823,8.196272699615129
28,150.86,155.0,150.05,153.9,647158,147.89,143.36,,,137.12132549288793,154.37405409137384,8.203681792499763
29,154.0,158.6,152.84,157.02,634856,148.67,144.72,,,136.91664131816998,156.4910647860639,8.029133093035494
30,157.48,157.6,152.51,153.38,368524,148.6,145.29,,,138.0930416450368,158.60435088484715,7.81919501496153
31,155.56,157.11,154.44,156.16,675982,148.92,146.63,,,143.32024074573275,158.87930426802689,7.527109656749993
32,152.85,153.26,150.0,150.575,532592,149.16,147.33,,,147.99348322524594,158.2741605373693,7.4294589669821365
33,154.72,156.2,151.99,154.09,276594,150.51,148.33,,,150.25602781578093,158.22256582248167,7.300569040769127
