,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,184.8,189.64,177.3,181.41,1731079,,,,,,,12.339999999999975
1,182.22,193.05,175.68,192.55,1250998,,,,,,,12.699285714285692
2,193.24,199.74,182.01,183.18,1001797,,,,,,,13.058622448979573
3,185.77,191.13,181.78,190.04,813957,,,,,,,12.793720845481033
4,183.85,184.345,170.63,174.78,1644241,,,,,,,13.266312213660958
5,169.05,176.63,161.12,167.1,3156928,,,,,,,13.42657562697089
6,150.52,157.99,147.275,147.6,2646556,,,,,,,13.883605939330112
7,155.66,155.66,140.07,146.02,2845152,,,,,,,14.005491229377961
8,141.16,142.386,122.4301,126.02,4281454,167.63,,,,,,14.690091855850964
9,116.1,119.96,101.0,107.71,4815786,159.44,,,,,,15.427942437575895
10,117.38,123.5,105.5401,123.12,3558120,151.73,,,,,,15.608796549177617
11,105.1,113.38,93.29,94.0,4316628,141.82,,,,,,16.624596795664928
12,96.13,102.89,89.84,92.93,3743990,131.03,,,,,,16.369268453117435
13,83.96,93.39,78.06,81.33,3444888,120.65,,,,,,16.295034992180476
14,80.36,95.34,74.3,91.83,4607482,112.28,,,,,,16.633961064167586
15,93.4,95.34,80.05,82.12,3772956,105.01,,,,,,16.537963845298474
16,82.04,82.83,73.1359,80.3101,3763516,97.71,,,,,,16.049116427777154
17,88.47,104.76,87.1301,104.06,4611674,95.27,,,,,,16.649172397221644
18,107.15,115.4609,96.48,106.64,5047066,95.15,,,,,,16.81572436884867
19,109.93,113.5,102.69,108.11,3758182,93.48,129.04,,,41.02364442843948,216.964750576938,16.386744056788054
20,101.91,113.0,97.11,110.92,3476346,95.36,125.52,,,40.68779340503988,209.87850845630547,16.351262338446052
21,111.4,121.9031,109.99,117.89,5437556,98.13,121.79,,,42.2990991588497,201.1207747303556,16.03425074284276
22,100.63,112.0,98.56,100.43,9503072,100.26,117.65,,,45.18654303307058,189.05426101455691,16.26966140406828
23,94.6,98.33,86.41,88.63,4664764,99.9,112.58,,,48.95115895558869,177.46296902688078,16.10897130377769
24,88.25,99.3,87.1125,88.61,3586084,100.62,108.27,,,53.2015103295635,165.4194785544754,15.82886621065071
25,89.42,92.5,84.61,86.19,3339424,101.28,104.22,,,57.840174612390356,153.35604417937736,15.261804338461374
26,93.6,104.03,92.1,103.64,4813980,101.23,102.03,,,62.56801408788173,144.72873995583876,15.445961171428419
27,110.56,113.0,99.75,105.03,3154100,101.05,99.98,,,68.25183232519011,135.24988647769254,15.289106802040674
28,106.21,115.33,105.08,112.27,3226020,101.51,99.29,,,70.74575509625868,128.94069130803476,14.932742030466342
29,115.96,126.22,115.57,122.46,3968222,102.79,100.03,,,69.31392621168764,130.1990943401402,14.862546171147319
30,119.68,129.09,116.62,128.41,2550878,103.96,100.29,,,68.14970307344772,131.43260397303766,14.691650016065367
31,135.03,138.82,129.21,130.79,3084472,107.34,102.13,,,65.2945068929283,136.45843963237462,14.385817872060699
32,124.0,126.48,120.57,122.86,2375806,111.14,103.63,,,64.89292380644827,138.6351065911668,14.088259452627792
33,124.25,125.5179,119.0,121.89,2111484,114.84,105.65,,,66.72955164397186,140.03616058505236,13.547519491725806
34,128.07,132.66,127.325,129.91,1789970,119.7,107.56,,,69.13338950240588,142.42204420721998,13.34912524231682
35,125.99,130.4599,123.1,124.51,2423172,122.01,109.68,,,71.54695945199256,143.93028224041203,12.921323439294191
36,120.5,124.5,118.6,119.81,1490330,123.66,111.65,,,76.58274977805316,142.1016332420627,12.42051462220175
37,123.26,127.75,122.6425,127.49,1357342,125.35,112.82,,,78.8354350757274,143.02732018650593,12.100477863473055
38,125.98,130.4,124.14,125.19,2123340,125.65,113.75,,,79.81832187156006,144.3412706075053,11.68330087322498
39,126.33,134.503,125.225,132.91,2307702,126.15,114.99,,,80.24096527674965,146.19685935152228,11.513993667994622
40,136.43,144.99,135.833,144.58,2813956,127.68,116.68,,,80.74770160165365,149.8594730274797,11.554422691709293
41,151.03,152.36,143.7401,148.94,2921790,130.58,118.23,,,79.41665978249964,154.5770297926067,11.344813928015773
42,150.71,159.45,149.45,154.96,2107206,134.26,120.95,,,79.26762668884881,160.42655197603494,11.28518436172893
43,152.22,152.22,143.79,143.88,1761012,135.81,123.72,,,83.00757854920036,162.68026082180657,11.276956907319722
44,138.98,141.5761,134.03,137.46,2013546,137.25,126.16,,,88.12972140865861,162.51395321427907,11.17503141393974
45,132.54,143.35,129.11,142.4,1664728,139.76,128.97,,,95.12000234368749,160.2648611138247,11.393957741515472
46,150.0,151.4,143.18,143.27,2198128,141.51,130.95,,,100.59619131120424,160.3343090095031,11.222960759978651
47,147.68,147.83,141.5,146.91,1344226,143.92,133.05,,,105.09374174387874,160.44272902284533,10.87346356283732
48,150.26,152.39,149.36,151.51,1289036,145.99,135.01,,,108.2358613513236,161.00560225412463,10.488216165491798
49,154.79,161.33,153.08,159.95,1541040,147.7,136.88,127.09,,109.14784383031065,164.13696020894594,10.440486439385243
50,158.68,167.274,156.62,164.12,2095170,149.38,138.67,126.75,,110.03897537933184,168.26585193831858,10.455737408000582
51,165.5,166.6,156.14,156.4,1847900,149.54,139.95,126.02,,109.69755310782026,171.76287734173533,10.456041878857684
