,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,190.4,198.1,183.58,183.93,1431202,,,,,,,14.519999999999982
1,187.37,192.67,185.0,192.21,795144,,,,,,,14.10714285714284
2,185.52,189.56,182.76,183.37,1402792,,,,,,,13.774489795918353
3,177.69,180.94,174.5,178.8,2278708,,,,,,,13.4241690962099
4,156.08,165.459,151.45,152.57,4025102,,,,,,,14.41887130362348
5,158.26,169.45,154.28,169.37,3146846,,,,,,,14.594666210507516
6,157.44,164.46,156.21,159.04,3213998,,,,,,,14.492190052614122
7,145.13,157.23,144.97,149.5,4487014,,,,,,,14.462033620284542
8,157.88,166.35,152.28,166.09,3635392,170.54,,,,,,14.632602647407074
9,146.17,163.83,145.27,153.3,3305742,167.14,,,,,,15.074559601163712
10,156.36,159.13,148.1,155.16,3495052,163.02,,,,,,14.785662486794877
11,143.57,144.01,116.98,128.55,3857116,156.93,,,,,,16.456686594880956
12,127.26,137.8,119.9,135.07,3279768,152.07,,,,,,16.55978040953232
13,137.58,141.59,124.46,126.78,3069936,149.21,,,,,,16.600510380280014
14,122.47,125.34,115.38,120.92,3847690,143.82,,,,,,16.229045353117154
15,129.49,146.28,129.49,141.71,4626556,141.9,,,,,,16.88125639932307
16,143.63,159.99,138.58,153.89,3646802,142.39,,,,,,17.204738085085708
17,157.98,159.37,150.215,158.06,2816070,141.49,,,,,,16.629756793293872
18,150.08,156.62,146.52,151.4,2110488,141.28,,,,,,16.266202736630024
19,151.39,153.6,148.68,152.13,2168944,140.95,155.59,,,106.11710454041248,198.6178730877986,15.455759684013593
20,150.23,152.85,145.51,150.91,2733256,143.43,153.94,,,107.58018062537303,192.26612305289441,14.876062563726908
21,142.96,145.13,140.06,143.73,2510286,144.39,151.52,,,109.74337642463973,186.43842769087007,14.588486666317843
22,142.47,152.3,142.47,149.76,1659400,146.95,149.84,,,112.86064393850718,180.29861543842947,14.248594761580856
23,150.28,152.52,144.84,146.68,1554402,149.81,148.23,,,115.52333380976604,175.75211617024374,13.779409421467939
24,155.93,159.3,154.38,157.41,2406298,151.55,148.47,,,115.37702869120938,174.9172704069408,13.696594462791658
25,163.5,169.9,160.01,160.1,2115286,152.24,148.01,,,114.91565515120952,175.0113038271658,13.610409144020826
26,162.3,169.69,161.84,167.81,1575198,153.33,148.45,,,114.41255684819629,175.95255581497537,13.323237062305054
27,170.36,174.0,161.835,167.64,2248154,155.13,149.35,,,113.7899930869213,178.55007226718206,13.240505843568979
28,166.06,167.36,159.2,160.55,1227500,156.07,149.08,,,113.46884415297282,178.70942207340062,12.897612569028338
29,164.51,165.69,159.49,163.99,1962692,157.52,149.61,,,113.23816653798636,178.96677770604614,12.419211671240598
30,158.63,159.61,154.8,158.96,1245194,159.21,149.8,,,113.20659015318896,179.01042340508633,12.188553694723414
31,159.18,160.16,154.85,158.75,1220470,160.21,151.31,,,117.48193330500222,179.40038654609913,11.697228430814599
32,165.45,170.4,164.91,168.62,1946440,162.65,152.99,,,121.23577623770288,180.400133102321,11.6938549714707
33,164.4,171.04,162.04,168.47,1868178,163.88,155.07,,,124.82233594574981,181.46858752501603,11.501436759222791
34,163.46,167.385,163.46,164.46,1450522,164.36,157.25,,,132.4592467020525,177.70145441037295,11.037762704992591
35,167.38,169.44,164.1,166.66,1025974,164.23,158.5,,,136.64700265370948,177.86366978797423,10.630779654635978
36,167.57,173.34,167.1681,169.3,1547652,164.42,159.27,,,138.6912862533138,179.30316196595865,10.348581107876266
37,171.93,175.54,169.32,174.69,1472146,165.99,160.1,,,138.71223529118586,181.01170725275696,10.055111028742246
38,175.96,182.635,175.74,181.98,1985984,167.99,161.63,,,138.78322119988087,183.9898578005285,9.904388812403514
39,194.22,199.97,191.14,196.11,4426444,172.12,163.83,,,136.23911592453578,191.2349314935912,10.481932468660407
40,197.0,200.57,193.86,197.25,2776118,176.39,166.15,,,135.196045001139,196.94738790389422,10.212508720898947
41,193.64,194.41,188.44,189.7,2162584,178.74,168.44,,,137.3288812508364,199.1243414183318,10.112329526549024
42,185.11,186.48,181.025,183.24,1242000,180.38,170.12,,,140.44235253762866,199.97094683110794,10.00966313179552
43,180.0,188.8987,177.8,187.82,2339210,182.97,172.18,,,143.7678838393673,200.70642405358163,10.087451479524411
44,191.24,192.95,188.47,191.26,1413722,185.71,173.87,,,144.8070549467885,202.38692125685708,9.733347802415524
45,190.82,191.825,187.59,189.2,940722,187.92,175.32,,,145.47276928657493,204.08290154651505,9.340608673671557
46,192.73,194.15,190.2318,191.08,1138278,189.74,176.49,,,145.9906904279009,205.93933244985635,9.026993768409305
47,194.48,195.57,191.9,192.18,1279720,190.87,177.71,,,146.71536562137462,207.8489592552449,8.702922784951497
48,190.64,195.34,188.9,193.23,1595318,190.55,179.35,,,148.4211347386499,209.30777208997554,8.541285443169246
49,194.98,194.98,188.49,188.68,1297558,189.6,180.58,165.84,,150.43447107346435,210.28257817879808,8.39476505437144
50,188.15,191.37,183.89,186.92,1962378,189.29,181.98,165.9,,153.93247194264953,209.67029729450402,8.329424693344912
51,184.0,191.315,183.67,190.81,2770025,190.13,183.58,165.87,,157.9967464979216,208.4713411828638,8.280537215248847
52,188.66,202.7989,188.39,197.99,5000842,191.26,185.05,166.17,,160.09418619490833,209.90806142149393,8.718277414159646
53,202.0,209.49,201.29,205.17,2611888,192.81,186.89,166.69,,162.2910108166582,212.3069676423735,8.916971884576814
54,204.19,207.26,202.6,202.76,1784924,194.31,188.8,167.7,,164.7222471996783,212.9083274402634,8.612902464249897
55,205.04,206.57,203.795,206.14,1562202,195.99,190.78,168.43,,167.64486326453817,212.87774216268778,8.269838002517762
56,205.88,206.25,203.31,203.67,1367521,197.26,192.49,169.32,,170.59514118900302,212.694658761275,7.889135288052207
57,204.22,204.23,200.56,202.18,1347286,198.26,193.87,170.38,,173.97488534973263,211.784658366527,7.5877684817627635
58,210.0,217.55,207.7483,215.9,3129422,201.28,195.56,171.37,,175.41780154165005,214.65317870495028,8.143642161636851
59,218.34,220.51,214.02,219.24,2624624,204.87,196.72,172.69,,173.93267798726737,218.4401525073666,8.025524864377076
60,220.0,221.31,216.02,216.37,1939938,207.71,197.68,173.92,,172.53231367475786,221.83481949801876,7.830130231207285
61,215.17,216.75,212.64,215.63,2679446,209.67,198.97,175.66,,172.49062438924358,223.89886682657234,7.564406643263909
62,216.45,217.16,213.75,214.73,1298494,210.74,200.55,177.25,,173.84487751972952,225.2195828854991,7.267663311602201
63,216.2,217.88,215.03,217.59,1180856,212.38,202.04,179.07,,176.3063884144477,226.48711436695345,6.973544503630616
64,218.0,222.605,217.62,220.25,1507774,213.95,203.49,181.06,,176.91817025903995,228.61360008765612,6.8336484676569995
65,218.53,222.66,218.04,222.47,1393530,216.04,205.15,182.67,,178.0425191309391,230.22082332056394,6.675530719967214
66,225.0,230.71,224.98,227.67,1948078,218.87,206.98,184.15,,178.4071230297589,233.29355009954557,6.787278525683842
67,228.0,229.21,224.12,225.55,1162788,219.94,208.65,185.5,,179.13379555209391,235.54697986542237,6.666044345277854
68,221.99,223.27,219.405,220.15,2042722,220.05,209.99,186.87,,181.1651200221326,236.28202181837017,6.628826892043722
69,220.0,220.9,217.86,217.99,2129324,220.23,211.46,188.19,,183.74239138572696,236.29335832927987,6.372482114040598
70,211.46,213.38,205.67,206.08,1756511,219.16,212.42,189.29,,187.62648472072237,234.70428965518556,6.797304820180557
71,213.09,213.43,206.795,207.155,384894,218.32,213.23,190.56,,192.3850829999969,232.35573131857785,6.836783047310517
72,202.61,211.1,200.6,210.46,2214846,217.53,213.86,191.77,,195.481439994391,231.71376769704094,7.0984414010740515
73,218.71,219.685,209.09,213.88,1416836,216.82,214.29,193.12,,196.53961449840736,231.89613936170673,7.348195586711619
74,214.01,214.755,210.76,211.76,1026080,215.63,214.74,194.2,,197.55027388786738,231.5819314612,7.108681616232219
75,208.92,211.81,207.82,209.62,1378426,213.63,214.92,195.2,,198.1284362751767,231.1669398868281,6.885918643644205
76,213.97,214.63,207.17,208.99,1945438,211.79,215.18,196.02,,198.73769440630616,230.55604990155305,6.926924454812477
77,209.62,212.62,206.9,210.56,491558,210.72,215.6,196.88,,199.9492130555553,229.46164261043552,6.8407155651830145
78,213.24,213.24,208.58,208.64,472141,209.68,215.24,197.84,,200.05441991292258,229.50148041665702,6.6849501676699425
79,206.72,208.995,202.97,204.95,573469,209.56,214.52,198.66,,198.78147564045838,229.631503687635,6.637810869979233
80,204.4,208.45,202.02,208.15,446034,209.67,214.11,199.64,,197.45856302908666,229.57020119284277,6.622967236409286
81,207.56,207.905,202.9,205.03,383042,209.06,213.58,200.57,,196.4616883475897,229.80197597950774,6.524898148094337
82,207.78,209.48,205.34,208.67,473938,208.49,213.28,201.37,,195.8789978042775,229.8085925770223,6.37669113751617
83,209.24,213.68,208.89,212.94,587614,208.62,213.05,202.26,,195.69738698363003,229.6281424878037,6.279070341979303
84,212.64,213.69,209.31,210.5,501189,208.71,212.56,203.18,,195.68014030304184,228.8666974437744,6.143422460409352
