,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,79.29,80.2,77.88,79.67,9705433,,,,,,,2.3200000000000074
1,77.9,77.9,75.28,76.19,11300212,,,,,,,2.4678571428571496
2,73.46,75.71,72.05,75.33,15588280,,,,,,,2.5872959183673534
3,70.5,74.03,70.08,70.8,28564362,,,,,,,2.7774890670553996
4,72.56,74.95,70.03,74.9,16934604,,,,,,,2.930525562265728
5,72.85,74.27,67.4,68.1,31776280,,,,,,,3.2569165935324618
6,62.9535,66.793,61.46,62.1,43505708,,,,,,,3.4985654082801427
7,65.65,70.18,63.51,70.05,34347354,,,,,,,3.825810736260133
8,60.4,63.949,58.11,58.41,43140248,70.62,,,,,,4.405395683670124
9,59.55,59.6199,53.61,58.98,22861745,68.32,,,,,,4.520003134836543
10,55.55,57.65,50.02,56.36,46620332,66.11,,,,,,4.837145768062504
11,56.23,63.36,53.55,61.39,23536332,64.57,,,,,,5.192349641772325
12,62.3,65.68,57.91,57.99,26585846,63.14,,,,,,5.376467524502874
13,57.23,57.44,54.0,56.51,46725716,61.1,,,,,,5.277434129895526
14,62.61,65.16,61.0,64.91,26569086,60.74,,,,,,5.518331692045845
15,67.12,69.64,63.4927,65.81,20856890,61.16,,,,,,5.563257999756857
16,66.71,71.58,66.25,70.17,37950187,61.17,,,,,,5.5780252854885095
17,66.68,68.25,64.8202,66.35,16809800,62.05,,,,,,5.561723479382188
18,66.56,68.2199,64.58,67.86,12369802,63.04,,,,,,5.424450373712031
19,67.18,68.32,65.31,65.73,29467358,64.08,66.38,,,48.48712870061115,81.49340719358406,5.2519896327326
20,63.0,64.76,61.58,62.63,11968035,64.22,65.53,,,49.26842443287176,79.60505047742191,5.173276087537414
21,65.75,68.7,62.91,65.03,17062572,65.0,64.97,,,50.018925214744456,78.1706833041002,5.237327795570456
22,64.47,64.75,60.9,63.1,18039800,65.73,64.36,,,50.40712753006423,76.93792859911345,5.158232953029709
23,65.82,68.34,64.41,67.8,31294440,66.05,64.21,,,50.77167913282835,76.10800735655025,5.16407345638473
24,71.5676,72.48,68.335,68.83,26028204,66.39,63.91,,,50.96258555517764,75.58329814390594,5.129496780928679
25,69.4945,71.92,68.5377,71.56,17610498,66.54,64.08,,,50.86135678119022,75.09524567183804,5.004697010862344
26,71.2,74.255,70.14,73.88,37502002,67.38,64.67,,,50.55111957465762,76.1584489179706,4.941147224372177
27,73.5203,73.6,70.35,71.76,9705316,67.81,64.75,,,50.248740121162484,76.70990839450056,4.840350994059879
28,73.69,74.33,72.66,73.67,10044717,68.7,65.52,,,50.2106376671406,77.66335521565787,4.678183065912744
29,72.01,73.175,70.71,72.55,36526102,69.8,66.19,,,51.35266214627687,77.96019686114732,4.555455704061835
30,73.11,73.76,71.345,73.53,20460694,70.74,67.05,,,53.74914718132632,77.76086031502845,4.402566010914561
31,76.62,77.39,74.97,77.08,37970844,72.3,67.84,,,55.20587243648387,78.83343064773192,4.363811295849236
32,76.02,76.98,75.085,75.32,26786965,73.13,68.7,,,55.942248100150415,79.7667487987752,4.194610489002862
33,73.4,73.96,71.74,72.75,28355266,73.57,69.52,,,58.40147901870025,78.63293927780359,4.150709739788372
34,74.55,78.05,74.43,77.78,36070462,74.26,70.16,,,59.097063725418046,79.38455548620038,4.23280190123206
35,77.33,77.67,74.26,75.16,28303665,74.4,70.63,,,59.51588885047067,80.17516311481056,4.181887479715484
36,75.75,76.03,74.21,75.588,21644831,74.83,70.9,,,59.66725153001697,80.58732157961495,4.013181231164379
37,76.68,78.04,76.54,77.75,29805227,75.28,71.47,,,59.91206769012359,81.23672048691009,3.9016682860812097
38,78.67,79.61,76.96,78.69,11010744,75.96,72.01,,,60.31654291948363,82.05470733308643,3.8122634085039806
39,78.18,78.75,76.72,76.9,23084482,76.34,72.57,,,60.77648536617579,82.56823494440948,3.684958879325125
40,76.83,77.64,75.19,76.74,25542940,76.3,73.27,,,62.286998018960944,82.24355527244208,3.596747530801902
41,74.9,75.8799,73.21,73.7937,9998775,76.13,73.71,,,63.72080865864011,82.12892792638547,3.591979850030338
42,72.58,72.62,71.255,71.85,22742931,76.03,74.15,,,66.07028992467478,80.90298488070572,3.5167455750281715
43,74.96,75.08,72.89,72.9103,12037418,75.49,74.4,,,67.74890893543318,80.23008408527251,3.496263748240445
44,73.767,74.975,72.86,72.98,11329239,75.24,74.61,,,68.45099377124856,80.13644512019401,3.3976020519375556
45,73.81,76.03,73.37,76.01,11731926,75.29,74.83,,,69.23042546150172,79.97418888142212,3.372773333942016
46,77.25,77.93,75.76,77.92,19469966,75.31,75.04,,,69.69371215165017,80.17861314704258,3.286860952946158
47,76.62,77.18,75.795,75.88,7573750,75.0,75.24,,,70.19700234702864,80.21281206971591,3.2038708848785755
48,76.0,76.73,74.34,74.34,7573155,74.71,75.28,,,70.33158612810193,80.23145336173597,3.145737250244392
49,74.46,75.75,72.92,73.62,21530136,74.37,75.33,70.5,,70.74218269956468,80.07174009104386,3.1231845895126495
50,72.32,74.29,70.65,74.24,21499824,74.42,75.37,70.39,,70.57521418095564,80.01949438362507,3.160099975976032
51,72.81,74.64,72.6746,74.16,8265274,74.67,75.22,70.35,,70.42313078674043,79.95512500719605,3.074764263406316
52,76.86,77.5,76.2,76.23,15577728,75.04,75.26,70.37,,70.37835981745674,80.0066938656005,3.093709673163008
53,76.4,77.225,75.76,75.86,5772802,75.36,75.42,70.47,,70.68299481326785,79.99183747069476,2.9773732679370783
54,77.23,77.84,76.52,77.77,6752970,75.56,75.42,70.53,,70.65335929962303,79.96354309743012,2.9061323202272877
55,78.6,79.375,77.89,78.08,9132478,75.58,75.57,70.73,,70.52568482260045,80.24510556200902,2.8131942973539106
