,o,h,l,c,v,sma9,sma20,sma50,sma200,lower,upper,atr
0,26.4,26.845,26.29,26.78,191477,,,,,,,0.5549999999999997
1,26.91,27.4,26.66,27.26,219910,,,,,,,0.5682142857142853
2,27.1,27.33,26.51,26.65,234238,,,,,26.3005663353039,27.493922077426063,0.5861989795918362
3,28.46,28.54,27.55,28.11,189347,,,,,26.344498245876835,28.435955510482998,0.6793276239067051
4,27.37,27.43,26.7167,26.96,255378,,,,,26.37500426027359,28.43825681946324,0.7303256507705118
5,26.38,26.77,26.23,26.4,475206,,,,,26.16469235082115,28.474483090952532,0.7303023900011896
6,23.86,24.94,23.86,24.35,397804,,,,,24.07391662422709,27.670000000000005,0.8595665050011045
7,25.66,25.98,24.67,25.5,456238,,,,,23.715383878573757,26.814508337835154,0.914597468929597
8,25.62,25.97,24.82,25.06,282246,26.34,,,,23.933569946652973,26.227578446733176,0.9314119354346257
9,23.83,23.96,22.24,22.73,288582,25.89,,,,22.461794213517976,26.466704870432885,1.0663110829035811
10,23.55,23.96,22.44,23.83,465542,25.51,,,,21.73135020910989,25.790474041071178,1.0987174341247539
11,21.91,22.8,20.79,20.79,407394,24.86,,,,20.922870489384,24.243059645593387,1.2373804745444144
12,20.36,20.85,19.97,20.7,359070,24.04,,,,19.808639109999756,24.10830063592717,1.211853297791242
13,19.64,19.78,18.92,18.97,383328,23.15,,,,18.955978900190086,22.674552890853928,1.2524352050918675
14,18.41,19.21,18.1,18.52,669132,22.27,,,,18.05931223352342,20.779273016230263,1.2422612618710198
15,19.14,19.52,18.32,18.33,472190,21.6,,,,18.022245492202792,19.788698596344855,1.2392426003088042
16,18.09,18.15,17.09,17.43,487926,20.71,,,,17.180744923366984,19.6784010022267,1.2392967002867468
17,19.11,20.975,19.11,20.73,867980,20.23,,,,17.155377866069024,20.961046444100564,1.4039897931234078
18,18.86,23.0,17.09,22.36,395560,20.18,,,,16.597085789570308,23.144305076464512,1.7258476650431644
19,22.63,23.65,22.41,23.65,316424,20.16,23.26,,,16.851125132202284,23.936821974628273,1.6947156889686528
20,22.72,22.97,22.36,22.5,348490,20.35,23.04,,,17.56282810427677,23.590897500064248,1.665807425470892
21,23.18,24.19,22.26,22.85,321786,20.59,22.82,,,22.26695707175102,24.214670665199613,1.6846783236515426
22,23.02,23.5899,23.02,23.24,349562,21.07,22.65,,,22.13370984890809,24.1933267781008,1.6171941576764324
23,21.94,22.24,21.4968,21.71,229688,21.42,22.33,,,21.49733277310948,24.3387033703746,1.6261945749852587
24,21.35,22.14,21.24,22.14,409676,21.85,22.09,,,20.956775647019235,23.46641108267782,1.5743235339148833
25,21.47,21.82,21.064,21.63,286504,22.31,21.85,,,21.049279908519257,22.286059768959,1.538728995778106
26,22.45,22.96,22.21,22.91,311946,22.55,21.78,,,20.887523787477985,22.894657596302018,1.5238197817939558
27,24.47,24.47,23.47,23.48,388284,22.68,21.68,,,21.044549959491484,24.4126313937146,1.5264040830943877
28,23.33,23.45,22.84,23.28,355774,22.64,21.59,,,22.210000000000036,24.397012909166353,1.4630895057305031
29,23.65,23.91,23.29,23.33,291580,22.73,21.62,,,22.87550038520832,24.454149673453124,1.4035831124640386
30,23.34,23.67,23.03,23.65,252606,22.82,21.61,,,22.827427748335342,23.906739119023285,1.3490414615737503
31,24.31,24.31,23.78,23.85,379732,22.89,21.76,,,22.985834245077744,24.286649484079593,1.2998242143184824
32,23.16,23.46,22.9,23.15,337792,23.05,21.89,,,22.76165789481789,24.256089850319114,1.274836770438591
33,22.86,22.99,21.91,22.62,439822,23.1,22.07,,,21.927794273040664,24.25572072526985,1.2723484296929775
34,23.28,23.605,23.212,23.5,281226,23.31,22.32,,,21.99421473978913,23.673160575370073,1.2518235418577648
35,23.05,23.31,22.51,22.59,313504,23.27,22.53,,,21.892334441603705,23.60925134335488,1.2331218602964957
36,22.01,22.22,21.61,22.2,375448,23.13,22.77,,,21.640963263604988,23.774537524737465,1.2150417274181746
37,22.51,22.5211,22.23,22.265,276904,23.02,22.85,,,21.65608732134895,23.246597921474283,1.151188746888305
38,22.26,22.85,22.14,22.26,202256,22.9,22.84,,,21.65832089575333,22.845468877597355,1.119675264967712
39,22.39,22.56,21.83,22.14,211668,22.73,22.76,,,21.8568254568596,22.82341663807247,1.0918413174700183
40,24.23,25.35,24.0,25.27,539676,22.89,22.9,,,21.48302560853463,25.120626683529363,1.24313836622216
41,25.3,25.57,24.61,24.72,459590,23.06,23.0,,,22.018870300076014,26.171258639577143,1.2229141972062916
42,25.08,25.895,25.08,25.77,294824,23.41,23.12,,,24.021823099511952,25.879180597417143,1.2194917545486994
43,25.44,25.65,25.28,25.51,421246,23.64,23.31,,,24.646052329561666,25.87433694221882,1.1673852006523637
44,24.94,24.95,24.265,24.4,470702,23.84,23.43,,,24.33734304617167,25.988749822996308,1.1729291148914807
45,24.09,24.41,23.83,24.02,407522,24.04,23.55,,,23.71425112461356,25.625051383041846,1.130577035256375
46,23.95,24.44,23.95,24.15,354752,24.25,23.61,,,23.79033358061349,24.903479818109922,1.0848215327380628
47,24.45,24.45,23.7801,24.13,171760,24.46,23.64,,,23.766039675803086,24.45414999332884,1.0551842803996296
48,24.44,24.85,24.44,24.72,239314,24.74,23.71,,,23.714054892053085,24.813880311270605,1.0312425460853705
49,24.82,24.82,24.56,24.59,122178,24.67,23.78,23.35,,23.840090476109538,24.929452064153498,0.9761537927935584
50,23.87,24.0341,23.71,23.88,289342,24.57,23.79,23.3,,23.776630436209448,25.030676395891682,0.9692856647368757
51,23.82,23.84,23.27,23.3,236408,24.3,23.76,23.22,,23.19089739830066,24.750294025102672,0.9436224029699559
52,23.9,23.95,23.34,23.65,395714,24.09,23.78,23.16,,23.203568191649342,24.038704240775434,0.9226493741863876
53,23.3,23.7,22.9,23.68,334626,24.01,23.84,23.07,,22.933568191649343,23.955299640861615,0.9138887046016456
54,23.77,23.77,23.19,23.46,207992,23.95,23.84,23.0,,22.919652012402654,23.935636947481214,0.8900395114158136
55,24.16,24.37,23.7976,24.34,221042,23.97,23.92,22.96,,22.837797618014285,24.314950977129904,0.8914652606003983
56,24.56,24.665,24.23,24.29,478088,23.99,24.03,22.96,,23.216746250850886,24.724412639302567,0.8588605991289413
57,24.37,24.73,24.28,24.59,318780,23.98,24.14,22.94,,23.837272606249012,24.780188313287912,0.8296562706197312
58,24.31,24.31,23.67,23.7,187624,23.88,24.22,22.91,,23.721326115562523,24.79440485593928,0.8361093941468932
59,23.58,23.58,22.8,23.12,350262,23.79,24.26,22.92,,22.839536766163718,24.788588769128307,0.8406730088506865
60,23.93,24.61,23.93,24.3,360010,23.9,24.22,22.93,,22.874861518553455,24.696415034605046,0.8870535082184945
61,24.9,24.9,23.83,24.25,350586,23.97,24.19,23.0,,22.89446023307869,25.057043167005432,0.9001211147743163
62,24.57,24.95,24.35,24.45,392360,24.06,24.13,23.07,,23.76074397217905,25.003575597506956,0.8858267494332936
63,24.49,24.6,24.08,24.475,324018,24.17,24.07,23.18,,23.826602572002855,25.00596361152677,0.8596962673309158
64,24.83,25.385,24.65,25.19,185588,24.26,24.11,23.32,,24.074868451412378,25.371599570548497,0.8632893910929933
